"","ENPH.Open","ENPH.High","ENPH.Low","ENPH.Close","ENPH.Volume","ENPH.Adjusted"
"2020-07-01",47.529999,49.93,46.610001,49.060001,3227600,49.060001
"2020-07-02",49.610001,51.540001,48.220001,48.860001,3812500,48.860001
"2020-07-06",49.700001,50.720001,49.150002,50.16,3395100,50.16
"2020-07-07",49.799999,51.470001,49.25,50.639999,2376100,50.639999
"2020-07-08",51.02,55.220001,50.98,54.93,4305800,54.93
"2020-07-09",55.84,56.5,52.830002,55.790001,3176700,55.790001
"2020-07-10",54.830002,55.709999,54.099998,55.43,2357700,55.43
"2020-07-13",56.25,58.060001,52.119999,52.32,4159800,52.32
"2020-07-14",52.799999,55.990002,51.330002,55.880001,4188400,55.880001
"2020-07-15",57.009998,58.18,55.349998,57.950001,3938400,57.950001
"2020-07-16",57.209999,58.25,56.389999,57.740002,2990200,57.740002
"2020-07-17",58,59.75,57.740002,59.310001,3150100,59.310001
"2020-07-20",59.900002,64.059998,59.75,63.540001,3631800,63.540001
"2020-07-21",64.059998,64.699997,59.68,61.099998,4300300,61.099998
"2020-07-22",61.189999,63.490002,60.959999,62.080002,2719500,62.080002
"2020-07-23",62.459999,65.43,60.299999,61.669998,3993900,61.669998
"2020-07-24",60.380001,60.5,56.279999,59.650002,3511200,59.650002
"2020-07-27",61.009998,62.93,60.349998,62.220001,3498100,62.220001
"2020-07-28",61.84,61.84,57.049999,57.23,3648500,57.23
"2020-07-29",58.02,60.360001,57.709999,59.119999,3079800,59.119999
"2020-07-30",58.139999,59.25,57.599998,59.139999,1399100,59.139999
"2020-07-31",59.720001,60.400002,58.59,60.360001,2454400,60.360001
"2020-08-03",60.889999,61.93,59.119999,61.209999,3000200,61.209999
"2020-08-04",64.830002,70.150002,64.400002,68.949997,9014900,68.949997
"2020-08-05",68.989998,75.980003,67.599998,74.989998,8597000,74.989998
"2020-08-06",75.300003,76.75,71.099998,71.370003,5019900,71.370003
"2020-08-07",72.300003,75.830002,71.110001,72.839996,3723200,72.839996
"2020-08-10",72.800003,74.389999,70.349998,71.839996,5581300,71.839996
"2020-08-11",71.739998,71.809998,67.059998,67.300003,3495200,67.300003
"2020-08-12",68.68,71.779999,67.57,71.190002,2644500,71.190002
"2020-08-13",70.910004,76.489998,70.260002,74.879997,3322100,74.879997
"2020-08-14",75.620003,76.690002,72.809998,73.160004,2367000,73.160004
"2020-08-17",74.339996,76.389999,73.730003,75.059998,2016400,75.059998
"2020-08-18",75.239998,77.730003,72.529999,75.160004,2052600,75.160004
"2020-08-19",75.099998,77.300003,74.989998,75.489998,1935900,75.489998
"2020-08-20",75.089996,75.220001,72.199997,73.089996,1876200,73.089996
"2020-08-21",73.279999,74.800003,72.809998,73.139999,1560000,73.139999
"2020-08-24",73.790001,75.650002,72.230003,73.360001,1472400,73.360001
"2020-08-25",73.300003,76.610001,72.5,75.93,2282600,75.93
"2020-08-26",76.660004,78.529999,74.400002,75.239998,1838800,75.239998
"2020-08-27",76.5,76.5,72.019997,73.440002,4370700,73.440002
"2020-08-28",74.139999,78.529999,73.540001,76.040001,3301400,76.040001
"2020-08-31",76.68,79.529999,75.800003,77.230003,2767300,77.230003
"2020-09-01",77.470001,79.519997,77.099998,78.709999,2159900,78.709999
"2020-09-02",80,80.470001,75.089996,77.019997,2607900,77.019997
"2020-09-03",75.239998,75.480003,65.129997,67.800003,5850700,67.800003
"2020-09-04",67.129997,68.669998,58.669998,66.160004,5516400,66.160004
"2020-09-08",62.029999,67.339996,60.169998,65.050003,3879300,65.050003
"2020-09-09",67.010002,69.559998,64.870003,67.709999,3435500,67.709999
"2020-09-10",67.93,70.089996,66,66.099998,2787000,66.099998
"2020-09-11",67.779999,68.099998,64.199997,65.099998,2584800,65.099998
"2020-09-14",67.169998,69.779999,66.309998,69.489998,2548000,69.489998
"2020-09-15",71.010002,73.029999,70.440002,72.160004,2868200,72.160004
"2020-09-16",72.599998,76.400002,72.550003,72.830002,2966300,72.830002
"2020-09-17",69.769997,70.190002,65.889999,66.870003,3318700,66.870003
"2020-09-18",67.720001,69.860001,65.419998,68.269997,12892600,68.269997
"2020-09-21",65.510002,70.82,65.410004,70.720001,3082400,70.720001
"2020-09-22",71,72.32,67.489998,72.230003,3109300,72.230003
"2020-09-23",71.849998,74.760002,69.440002,70.269997,2796900,70.269997
"2020-09-24",69.32,70.980003,67.529999,69.410004,2064700,69.410004
"2020-09-25",69.790001,73.900002,69.550003,73.620003,2386800,73.620003
"2020-09-28",75.139999,79.730003,74.699997,78.139999,3455600,78.139999
"2020-09-29",78.199997,83.370003,78.199997,80.800003,4215100,80.800003
"2020-09-30",81.370003,84.720001,81.269997,82.589996,3352600,82.589996
"2020-10-01",85.559998,89.519997,84.410004,89.510002,4046300,89.510002
"2020-10-02",85.610001,92.57,85.160004,90.43,4115800,90.43
"2020-10-05",93,98.419998,92.900002,98.050003,4212200,98.050003
"2020-10-06",98.059998,100.279999,95.059998,98.57,5770000,98.57
"2020-10-07",101.5,108.75,100.459999,107.82,4977900,107.82
"2020-10-08",109.599998,109.800003,102.559998,105.5,6016600,105.5
