"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2020-07-01",212.639999,213.690002,209.309998,210.5,571100,203.53479
"2020-07-02",213.75,214.809998,210.660004,210.990005,615300,204.008606
"2020-07-06",215.679993,215.710007,212.589996,214.589996,677500,207.489471
"2020-07-07",213.929993,213.929993,210.970001,211.440002,647200,204.44371
"2020-07-08",211.490005,213.059998,210.75,212.279999,700100,205.255905
"2020-07-09",212,214.889999,209.449997,211.369995,617300,204.376007
"2020-07-10",212.070007,212.070007,208.039993,210.899994,444500,203.921539
"2020-07-13",212.270004,214.449997,210.210007,211.800003,737200,204.791779
"2020-07-14",211.110001,219.75,210.940002,219.070007,663700,211.821228
"2020-07-15",220,223.100006,217.240005,222.039993,716900,214.692963
"2020-07-16",220.639999,224.169998,220.580002,223.279999,749400,215.891953
"2020-07-17",225,227.190002,224.229996,225.279999,706200,217.825729
"2020-07-20",224.509995,226,221.419998,222.440002,437900,215.079712
"2020-07-21",228.559998,228.990005,224.190002,226.830002,656700,219.324448
"2020-07-22",226.470001,227.809998,224.869995,226.600006,523500,219.102066
"2020-07-23",226.360001,228.199997,225.130005,225.990005,419200,218.512253
"2020-07-24",226.600006,227.619995,225.119995,226.190002,431200,218.705627
"2020-07-27",225.279999,230.929993,225.139999,229,768200,221.422668
"2020-07-28",223,225.559998,217.210007,222.279999,1190800,214.925003
"2020-07-29",224.190002,224.479996,219.059998,220.970001,1055500,213.658371
"2020-07-30",218.789993,220.850006,215.029999,219.839996,840100,212.565735
"2020-07-31",219.279999,219.979996,214.5,218.139999,770400,210.922012
"2020-08-03",219.229996,222.710007,218.160004,220.770004,501600,213.464996
"2020-08-04",218.020004,220.639999,217.699997,220.449997,493700,213.155563
"2020-08-05",221.809998,224.130005,219.919998,223.940002,653000,216.53009
"2020-08-06",223.039993,224.770004,220.679993,221.949997,357800,214.605896
"2020-08-07",222.199997,224.720001,220.600006,223.639999,471700,216.240005
"2020-08-10",224.029999,231.470001,224.029999,229.320007,875200,221.732071
"2020-08-11",230.419998,238.490005,230.020004,232.179993,921500,224.497406
"2020-08-12",233.949997,237.429993,231.970001,236.119995,495600,228.307037
"2020-08-13",234.679993,235.639999,232.509995,233.990005,465800,226.247543
"2020-08-14",231.630005,233.949997,231.25,232.050003,308300,225.354095
"2020-08-17",233.169998,234.990005,232.550003,233.449997,403400,226.713684
"2020-08-18",232.979996,234.800003,232.369995,233.020004,440600,226.296127
"2020-08-19",232,232.490005,227.320007,228.679993,701600,222.081345
"2020-08-20",227.440002,229,226.029999,226.830002,455800,220.284729
"2020-08-21",227.110001,229.179993,226.429993,228.520004,380800,221.925964
"2020-08-24",230.179993,230.789993,227.649994,230.789993,596400,224.130463
"2020-08-25",232,234.089996,229.830002,230.839996,641000,224.179016
"2020-08-26",230.610001,233.100006,229.259995,232.389999,609100,225.684265
"2020-08-27",232.289993,233.800003,230.880005,232.009995,410300,225.315247
"2020-08-28",231.330002,233.449997,229.820007,233.270004,327300,226.538895
"2020-08-31",232.75,233.190002,229.5,230.529999,367300,223.87796
"2020-09-01",229.220001,234.070007,228.460007,233.940002,257600,227.189545
"2020-09-02",234.740005,238.339996,232.479996,237.300003,560000,230.452606
"2020-09-03",236.339996,237.449997,225.679993,228.809998,550800,222.207596
"2020-09-04",231.679993,232.419998,225.270004,228.25,585300,221.663773
"2020-09-08",225.970001,226.130005,220.380005,220.919998,523200,214.545242
"2020-09-09",223.119995,226.259995,222.080002,224.570007,624600,218.089951
"2020-09-10",225.360001,226.740005,218.720001,219.369995,592500,213.039978
"2020-09-11",220.619995,223.020004,219.139999,222.25,524400,215.836868
"2020-09-14",224.630005,226.100006,222.809998,224.660004,389300,218.177368
"2020-09-15",224.979996,228.369995,224.630005,224.770004,410600,218.284164
"2020-09-16",226.949997,229.229996,224.789993,225.279999,489100,218.779419
"2020-09-17",222.889999,226.029999,219.800003,222.199997,537900,215.788315
"2020-09-18",222.690002,224.330002,218.460007,218.960007,774100,212.641846
"2020-09-21",215.259995,216.210007,206.570007,209.080002,1024600,203.046906
"2020-09-22",209.320007,214.320007,209.289993,214.089996,558100,207.912338
"2020-09-23",214.5,216.479996,212.529999,212.779999,669900,206.640167
"2020-09-24",214.009995,219.059998,210.740005,217.369995,471600,211.097687
"2020-09-25",215.550003,217.210007,214.699997,215.669998,563400,209.446762
"2020-09-28",219.119995,221.740005,218.369995,219.990005,470500,213.64209
"2020-09-29",220.050003,222.639999,218.690002,221.229996,388700,214.846298
"2020-09-30",222.580002,225.779999,219.550003,220.679993,609200,214.312164
"2020-10-01",222.669998,224.360001,216.360001,219.520004,703800,213.185654
"2020-10-02",215.720001,225.490005,215.509995,223.429993,512900,216.982849
"2020-10-05",227.130005,233.25,226.229996,233.220001,715300,226.490341
"2020-10-06",233.600006,238.229996,232.410004,232.789993,519200,226.072739
"2020-10-07",235.949997,238.279999,233.389999,236.419998,428900,229.598007
"2020-10-08",237.429993,241.350006,235.399994,241.119995,655500,234.162399
"2020-10-09",243.919998,246.460007,242.649994,244.279999,764000,237.231186
"2020-10-12",247.779999,249,244.039993,244.229996,604000,237.182632
"2020-10-13",244,246.009995,241.179993,243.149994,480500,236.133804
"2020-10-14",244.75,246.839996,243.490005,243.979996,460700,236.939835
"2020-10-15",240.770004,248.479996,240.770004,247.449997,371600,240.309738
"2020-10-16",248.979996,251.949997,248.100006,249.029999,452100,241.844116
"2020-10-19",248.139999,250.869995,243.320007,244.460007,406600,237.406006
"2020-10-20",245.669998,247.300003,238.639999,240.979996,844100,234.026428
"2020-10-21",240.539993,246.110001,236.649994,236.820007,730200,229.98645
"2020-10-22",237.820007,241.300003,237.649994,239.330002,594900,232.424042
"2020-10-23",241.279999,243.929993,240.259995,243.100006,562300,236.085251
"2020-10-26",240.029999,241.130005,234.669998,236.940002,610100,230.102982
"2020-10-27",237.5,238.690002,233.720001,236.880005,739200,230.044739
"2020-10-28",232.419998,236.360001,230.690002,234.009995,845100,227.257553
"2020-10-29",234,238.710007,231.580002,235.839996,488000,229.034729
"2020-10-30",235.119995,237.630005,232.399994,237.119995,478600,230.277817
"2020-11-02",240.070007,246.270004,240.070007,245.389999,694000,238.309158
"2020-11-03",249.190002,254.789993,246.779999,253.369995,573300,246.058899
"2020-11-04",251.020004,251.270004,241.580002,242.690002,813700,235.687088
"2020-11-05",247.600006,255.699997,246.339996,250.300003,528400,243.077484
"2020-11-06",250.679993,252.440002,249.309998,249.440002,518100,242.242294
"2020-11-09",264.5,267.480011,254.210007,254.740005,928800,247.389374
"2020-11-10",242.119995,253.910004,237.020004,249.050003,1032400,241.863556
"2020-11-11",251.119995,252.029999,241.100006,242.190002,987700,235.201508
"2020-11-12",242.190002,242.190002,231.740005,235.080002,1253900,228.296661
"2020-11-13",237.539993,239.940002,236.729996,239.779999,740500,233.925781
"2020-11-16",241.949997,242.979996,236.509995,241.220001,914300,235.330627
"2020-11-17",241.809998,243.690002,239.279999,241.320007,663700,235.428192
"2020-11-18",241.770004,249.080002,241.190002,245.5,907500,239.506134
"2020-11-19",245.5,250.639999,242.550003,250.139999,770700,244.032867
"2020-11-20",250,251.339996,246.970001,247.630005,778800,241.584152
"2020-11-23",251.520004,253.559998,249.460007,251.779999,573300,245.632828
"2020-11-24",256.119995,259.25,253.550003,256.809998,896500,250.540009
"2020-11-25",256.100006,257.809998,252.449997,256.429993,539600,250.169296
"2020-11-27",257.660004,259.01001,255.210007,255.929993,243800,249.681488
"2020-11-30",253.389999,255.580002,249.440002,255.559998,972900,249.320526
"2020-12-01",258,259.829987,246.809998,246.960007,977300,240.930511
"2020-12-02",246.630005,248.929993,245.5,246.690002,780100,240.667099
"2020-12-03",245.679993,250.770004,244.070007,245.240005,644600,239.252502
"2020-12-04",245.300003,249.720001,245.279999,247.960007,582900,241.906067
"2020-12-07",247.639999,248.139999,243.119995,245.130005,648800,239.145203
"2020-12-08",244.220001,250.179993,244.080002,249.600006,493200,243.506042
"2020-12-09",249.119995,252.25,248.440002,251.279999,660200,245.145004
"2020-12-10",249.75,250.399994,244.130005,246.770004,696500,240.745132
"2020-12-11",245.130005,249.059998,244.869995,246.720001,578600,240.69635
"2020-12-14",248.190002,249.100006,242.770004,242.990005,428200,237.057434
"2020-12-15",245.710007,249.440002,244.240005,247.220001,483500,241.184158
"2020-12-16",248.520004,248.770004,244.160004,245.729996,535500,239.730515
"2020-12-17",246.690002,247.919998,244.619995,247.190002,500600,241.154877
"2020-12-18",246.910004,248.399994,242.710007,247.949997,1325300,241.896317
"2020-12-21",244.050003,250.160004,243.309998,249.360001,702900,243.271881
"2020-12-22",249.059998,249.139999,245.639999,247.639999,538000,241.593872
"2020-12-23",248.410004,250.889999,248.029999,248.029999,498000,241.974365
"2020-12-24",248.559998,249.080002,247.210007,248.630005,131900,242.559723
"2020-12-28",251.410004,251.990005,248.059998,248.360001,416000,242.29631
"2020-12-29",250.229996,250.360001,244.679993,246.660004,396300,240.637817
"2020-12-30",247.369995,249.899994,247.100006,249.100006,296000,243.01825
"2020-12-31",249.990005,251.089996,247.649994,250.809998,354700,244.686508
"2021-01-04",251.889999,256.48999,245.050003,246.470001,887000,240.452469
"2021-01-05",246.210007,248.740005,244.5,247.070007,683100,241.037811
"2021-01-06",250.479996,260.910004,250.479996,258.559998,901800,252.247269
"2021-01-07",261.369995,262.540009,257.579987,259.540009,587300,253.203354
"2021-01-08",260.730011,264.25,258.230011,261.809998,700900,255.417938
"2021-01-11",259.109985,264.130005,257.019989,262.589996,578700,256.178894
"2021-01-12",262.519989,265.839996,260.890015,265.470001,446300,258.988556
"2021-01-13",266.209991,266.369995,262.109985,262.420013,407300,256.013031
"2021-01-14",263.359985,264.559998,260.700012,262.75,376100,256.334991
"2021-01-15",258.970001,258.970001,253.380005,255.600006,663900,249.359558
"2021-01-19",258.589996,263.119995,258.450012,261,525100,254.627701
"2021-01-20",261.48999,265.079987,260.130005,263.970001,519600,257.525177
"2021-01-21",264.179993,268.540009,261.940002,267.700012,774100,261.164185
"2021-01-22",264.980011,268.910004,262.790009,265.970001,735800,259.476349
"2021-01-25",265.51001,266.730011,260.089996,260.850006,803000,254.481369
"2021-01-26",255.490005,257.190002,244.009995,244.449997,2311000,238.481781
"2021-01-27",245.910004,247.179993,238.490005,241.050003,2246400,235.164795
"2021-01-28",245.039993,254.380005,243.220001,251.199997,938000,245.066971
"2021-01-29",250,255.320007,248.110001,248.529999,1108900,242.462173
"2021-02-01",252.020004,252.600006,247.089996,247.679993,985900,241.632904
"2021-02-02",250,254.059998,249.429993,252.520004,677300,246.354767
"2021-02-03",252.630005,253.850006,245,245.389999,720600,239.398819
"2021-02-04",245.740005,246.5,237.770004,241.270004,1422600,235.379425
"2021-02-05",244.410004,246.039993,240.389999,242.889999,894400,236.959854
"2021-02-08",245.339996,247.330002,244.080002,247.259995,595700,241.22316
"2021-02-09",247.130005,247.910004,243.639999,246.520004,557700,240.501266
"2021-02-10",248.869995,248.899994,244.160004,244.75,600100,238.774445
"2021-02-11",245.899994,246.929993,242.360001,246.860001,633400,240.832932
"2021-02-12",244.839996,249.669998,243.050003,249.179993,611500,244.154572
"2021-02-16",250.990005,252.660004,248.820007,249.720001,561900,244.68367
"2021-02-17",247.720001,251.880005,246.350006,248.100006,632400,243.096359
"2021-02-18",247,247.149994,242,244.190002,444900,239.265213
"2021-02-19",246.380005,250.5,245.929993,248.229996,576300,243.223724
"2021-02-22",246.339996,247.660004,243.080002,243.949997,590500,239.030029
"2021-02-23",242.5,246.320007,237.139999,245.410004,586000,240.460602
"2021-02-24",245.639999,247.710007,242.940002,247.039993,607700,242.057724
"2021-02-25",247.029999,247.619995,243.050003,244.410004,427700,239.480774
"2021-02-26",246.5,247.639999,242.240005,243.279999,617200,238.373535
"2021-03-01",245.509995,253.029999,245.509995,251.240005,722600,246.17305
"2021-03-02",252.130005,252.339996,247.75,248.710007,438100,243.694061
"2021-03-03",247.139999,253.440002,246.910004,250.839996,737300,245.781082
"2021-03-04",249.360001,254.399994,242.050003,246.070007,940900,241.107285
"2021-03-05",248.610001,254.100006,244,253.089996,575300,247.985718
"2021-03-08",254.449997,259.899994,253.610001,257.869995,721600,252.669312
"2021-03-09",259.559998,263.940002,258.450012,259.720001,746400,254.48201
"2021-03-10",260.369995,265.160004,259.01001,263.660004,628200,258.34256
"2021-03-11",265.01001,268.200012,262.690002,264.25,743100,258.920685
"2021-03-12",265,265.23999,262.019989,265.23999,644700,259.890625
"2021-03-15",264,265.059998,260.200012,265.059998,553700,259.714294
"2021-03-16",265.179993,265.179993,257.079987,258.339996,861800,253.129807
"2021-03-17",258.660004,261.76001,257.329987,261.329987,505400,256.05954
"2021-03-18",261.170013,264.869995,259.149994,260.309998,6e+05,255.060074
"2021-03-19",258.950012,260.519989,255.529999,258.299988,1027900,253.090622
"2021-03-22",259.359985,263.119995,256.579987,261.869995,666900,256.588623
"2021-03-23",260.980011,263.450012,257.100006,258.720001,605600,253.502167
"2021-03-24",260.019989,265.98999,259.899994,263.190002,628300,257.882019
"2021-03-25",263.26001,265.329987,256.630005,264.649994,523600,259.312561
"2021-03-26",266.690002,274.100006,266.040009,273.549988,761700,268.033051
"2021-03-29",273,275.429993,270.209991,270.320007,619800,264.868225
"2021-03-30",269.73999,272.200012,266.440002,267.640015,586900,262.242279
"2021-03-31",268.51001,270.149994,264.399994,265.440002,734800,260.086639
"2021-04-01",266.640015,266.980011,261.559998,263.440002,784500,258.126984
"2021-04-05",265.98999,268.059998,264.720001,267.660004,684900,262.261871
"2021-04-06",266.320007,267.899994,261.850006,262.920013,738400,257.617493
"2021-04-07",261.350006,262.670013,259.440002,261.269989,647800,256.000732
"2021-04-08",260.970001,262.179993,259.25,261.040009,452800,255.775375
"2021-04-09",263.130005,265.089996,257.170013,264.589996,506500,259.253815
"2021-04-12",264.079987,266.769989,263.5,265.089996,549800,259.743713
"2021-04-13",260.269989,262.480011,258.779999,261.940002,604600,256.657227
"2021-04-14",262.76001,263.459991,259.359985,259.600006,464200,254.36441
"2021-04-15",260.279999,264.600006,259.859985,264.279999,588800,258.950043
"2021-04-16",267.440002,269.619995,265.549988,265.850006,580200,260.488373
"2021-04-19",264.899994,267.200012,263.769989,267.100006,517500,261.713165
"2021-04-20",267.809998,268,261.359985,263.220001,435100,257.911407
"2021-04-21",263.329987,267.890015,263.149994,267.820007,452100,262.418671
"2021-04-22",268.369995,268.369995,263.959991,265.049988,694700,259.704468
"2021-04-23",265.670013,269.429993,265.190002,269.059998,682600,263.633636
"2021-04-26",268.829987,272.549988,266.119995,267.420013,558500,262.026703
"2021-04-27",268.799988,270.459991,266.519989,268.619995,701900,263.202484
"2021-04-28",266.959991,269.559998,263.359985,266.25,738700,260.88028
"2021-04-29",269.459991,271.76001,266.790009,267.769989,529100,262.369659
"2021-04-30",265.109985,267.459991,263.149994,264.26001,613900,258.93045
"2021-05-03",266.799988,266.799988,260.519989,261.170013,708000,255.902771
"2021-05-04",259.690002,263.440002,258.209991,262.600006,606100,257.303894
"2021-05-05",264.070007,268.459991,262.369995,266.529999,991200,261.154663
"2021-05-06",267,268.630005,264.799988,268.5,579500,263.08493
"2021-05-07",267.309998,271.290009,265.940002,270.679993,616200,265.220947
"2021-05-10",271.040009,274.140015,270.350006,270.809998,507800,265.348297
"2021-05-11",269.019989,270.170013,266,268.309998,659800,262.898743
"2021-05-12",266.380005,269.390015,260.440002,260.540009,746200,255.285477
"2021-05-13",261.109985,267.130005,261,265.709991,416400,260.351166
"2021-05-14",266.880005,269.640015,264.630005,267.459991,460800,263.125488
"2021-05-17",268.359985,268.76001,262.329987,264.940002,502600,260.646362
"2021-05-18",264.649994,264.670013,260.429993,261.390015,783700,257.1539
"2021-05-19",257.820007,259.700012,253.369995,258.420013,780000,254.23201
"2021-05-20",258.779999,260.109985,256.51001,258.350006,549100,254.163132
"2021-05-21",259.529999,262.5,259,260.200012,424000,255.983154
"2021-05-24",261.730011,263.350006,260.029999,262.390015,415500,258.137695
"2021-05-25",262.75,264.839996,259.980011,260.529999,551800,256.3078
"2021-05-26",260.049988,261,257.25,260.51001,623400,256.288147
"2021-05-27",263.859985,265.630005,262.269989,263.089996,1717300,258.826324
"2021-05-28",263.730011,264.540009,260.619995,263.720001,598500,259.446106
"2021-06-01",267.320007,268.450012,265.369995,267.890015,737400,263.548492
"2021-06-02",268.320007,272.48999,267.279999,271.820007,751400,267.414825
"2021-06-03",270.880005,275.01001,269.829987,274.440002,642000,269.992401
"2021-06-04",275.720001,277.140015,274.119995,275.619995,502200,271.153229
"2021-06-07",276.369995,277,273.170013,274.730011,452400,270.277679
"2021-06-08",274.899994,277.890015,273.75,275.429993,649400,270.966309
"2021-06-09",275.230011,279.880005,274.350006,279.149994,1061800,274.626038
"2021-06-10",280.200012,281.809998,278.5,281.670013,892500,277.105225
"2021-06-11",282.920013,284.230011,280.209991,284.149994,1002700,279.544983
"2021-06-14",283.940002,283.940002,279.220001,281.700012,689900,277.134705
"2021-06-15",282.839996,284.440002,279.809998,284.01001,708600,279.407318
"2021-06-16",284,285.929993,281.230011,283.130005,1395200,278.541565
"2021-06-17",283.190002,283.190002,268.970001,270.98999,933600,266.598267
"2021-06-18",267.279999,272.269989,266.769989,271.709991,1466300,267.30661
"2021-06-21",273.309998,280.329987,273.309998,280.320007,1244700,275.777069
"2021-06-22",281.100006,285.679993,278.480011,285.179993,1712800,280.558289
"2021-06-23",286,289.519989,285.200012,285.799988,1808300,281.168213
"2021-06-24",287.670013,287.670013,283.049988,285.51001,715600,280.882996
"2021-06-25",286.470001,289.369995,284.399994,285.640015,1274100,281.010895
"2021-06-28",285.670013,285.670013,281.529999,283.23999,924500,278.649719
"2021-06-29",284.380005,285.070007,282.320007,283.579987,747500,278.984253
"2021-06-30",282.5,286.549988,281.709991,286.019989,597200,281.384674
"2021-07-01",288.01001,288.01001,284.720001,285.299988,543200,280.676331
"2021-07-02",285.730011,286.070007,283.290009,285.230011,628500,280.607544
"2021-07-06",286.429993,286.670013,280.350006,284,711600,279.397461
"2021-07-07",283.76001,293.200012,282.609985,291.959991,642000,287.228455
"2021-07-08",285.320007,290.480011,285.320007,287.5,460100,282.840698
"2021-07-09",291.880005,292.950012,289.980011,291.200012,429400,286.480743
"2021-07-12",290.5,293.75,290.399994,292.910004,379000,288.163055
"2021-07-13",292.890015,293.179993,290.940002,291.429993,415100,286.707031
"2021-07-14",292.089996,293.079987,289.089996,291.880005,410200,287.14975
"2021-07-15",291.950012,294.850006,290.480011,293.820007,437900,289.058319
"2021-07-16",295.709991,295.709991,292.940002,293.920013,586300,289.156708
"2021-07-19",290.119995,291.459991,286.220001,290.25,694300,285.546173
"2021-07-20",290.839996,297.579987,289.769989,295.920013,539500,291.124298
"2021-07-21",297.26001,298.709991,296.910004,298.290009,417400,293.455872
"2021-07-22",299.040009,299.290009,296.76001,297.51001,332700,292.688507
"2021-07-23",299.450012,299.980011,296.98999,299.25,361200,294.40033
"2021-07-26",299.209991,300.089996,296.390015,297.809998,773700,292.983643
"2021-07-27",290.619995,296.769989,281.440002,293.48999,1021300,288.733612
"2021-07-28",288.619995,301,287.51001,299.179993,1023900,294.331421
"2021-07-29",301.980011,304.980011,297.160004,304.809998,710300,299.870178
"2021-07-30",304.25,308.790009,303.609985,307.420013,632300,302.437897
