"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2020-10-22",161.369995,163.229996,161.25,162.380005,878800,160.654602
"2020-10-23",163.100006,164.610001,162.25,163.490005,1111200,161.752808
"2020-10-26",162,162.949997,158.960007,160.479996,1151600,158.774765
"2020-10-27",160.839996,164.479996,160.630005,162.470001,1851000,160.743668
"2020-10-28",159.759995,161.509995,158.160004,158.690002,2160700,157.003815
"2020-10-29",159.460007,162.449997,158.130005,161.190002,1539000,159.477264
"2020-10-30",160.020004,161.320007,156.25,158.550003,2078300,156.865295
"2020-11-02",161.309998,163.259995,160.710007,162.889999,1516600,161.159164
"2020-11-03",164.639999,165.490005,162.899994,163.139999,1519500,161.406525
"2020-11-04",165.990005,176.169998,165.970001,174.350006,3403700,172.497437
"2020-11-05",174.679993,176.639999,170.380005,170.899994,2539300,169.084045
"2020-11-06",172,172.619995,166.259995,169.25,2008200,167.451614
"2020-11-09",175.460007,176.410004,165.009995,165.199997,2325300,163.444641
"2020-11-10",166.039993,166.960007,160.490005,162.559998,2926600,160.832703
"2020-11-11",164.990005,165.919998,163.330002,164.949997,1570200,163.197281
"2020-11-12",164.160004,166.600006,163.789993,165.190002,1182800,163.434738
"2020-11-13",165.460007,167.029999,164.509995,165.779999,1666600,164.018478
"2020-11-16",166.369995,168.520004,164.600006,165.289993,1548000,163.533691
"2020-11-17",164.490005,166.110001,164.070007,165.429993,1214300,163.672195
"2020-11-18",165.100006,166.330002,163.419998,163.5,1457800,161.762695
"2020-11-19",164.070007,166.940002,163.539993,166.309998,1329000,164.542847
"2020-11-20",166.860001,168.160004,166.139999,166.199997,1217600,164.434006
"2020-11-23",166.149994,167.210007,162.139999,164.339996,1493100,162.593765
"2020-11-24",164.389999,166.25,160.470001,161.059998,2425500,159.348633
"2020-11-25",161.990005,162.679993,159.25,160.190002,1981800,158.487885
"2020-11-27",161.619995,162.190002,160.289993,161.470001,853300,159.754272
"2020-11-30",162.479996,162.479996,159.649994,160.380005,4533900,158.675858
"2020-12-01",161.639999,162.479996,159.990005,161.360001,1964400,159.645447
"2020-12-02",161,161.839996,158.479996,158.949997,1529400,157.261047
"2020-12-03",158.580002,159.089996,156.440002,157.070007,2308200,155.401047
"2020-12-04",157.160004,158.220001,156.660004,157.949997,1497100,156.271652
"2020-12-07",157.559998,159.199997,157.559998,158.449997,1407100,156.766357
"2020-12-08",156.869995,159.5,156.470001,158.990005,1593900,157.300629
"2020-12-09",159.690002,160.169998,157.660004,158.699997,1510400,157.013702
"2020-12-10",159.449997,160.470001,157.889999,158.119995,1847000,156.43985
"2020-12-11",157.550003,159.619995,157.160004,159.529999,1264000,157.834885
"2020-12-14",160.100006,162.869995,159.089996,159.5,1612900,157.805206
"2020-12-15",160.289993,162.110001,158.360001,161.960007,1813100,160.239075
"2020-12-16",162.360001,163.330002,160.539993,160.619995,1440900,158.9133
"2020-12-17",161.889999,163.970001,161.240005,162.699997,1486800,160.971191
"2020-12-18",162.649994,164.539993,161.050003,163.630005,3566400,161.891327
"2020-12-21",160.740005,161.559998,158.300003,160.839996,1463800,159.130951
"2020-12-22",160.529999,162.380005,159.639999,161.830002,1209200,160.110458
"2020-12-23",162,162.979996,159.839996,159.850006,1164600,158.151489
"2020-12-24",159.919998,161.869995,159.850006,160.720001,417400,159.012238
