"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"2020-09-04",94.029999,94.860001,92.110001,93.300003,1149000,91.461174
"2020-09-08",93.5,93.68,91.57,91.900002,1313900,90.088753
"2020-09-09",92.739998,95.120003,92.739998,94.040001,1004700,92.186592
"2020-09-10",93.959999,94.720001,92.720001,92.889999,921900,91.059242
"2020-09-11",93.360001,94.029999,92.169998,92.870003,914700,91.039642
"2020-09-14",93.550003,93.599998,92.43,92.720001,761800,90.892586
"2020-09-15",92.860001,93.75,91.959999,92.330002,1336200,90.510277
"2020-09-16",92.589996,93.169998,91.730003,91.959999,1047200,90.147583
"2020-09-17",91.349998,92.370003,90.550003,92.059998,1139500,90.245598
"2020-09-18",90.370003,91.790001,89.599998,90.32,3051000,88.539902
"2020-09-21",90.190002,91.059998,88.639999,89.639999,1449800,87.873306
"2020-09-22",89.809998,92.129997,89.550003,91.589996,1837400,89.784859
"2020-09-23",92.050003,92.339996,91.110001,91.610001,1083100,89.804466
"2020-09-24",91.709999,93.449997,91.489998,92.589996,1077300,90.765152
"2020-09-25",92.339996,93.089996,92.099998,92.949997,921900,91.118057
"2020-09-28",93.620003,94.400002,93.209999,93.459999,1048900,91.618011
"2020-09-29",93.739998,94.099998,92.269997,92.849998,1120600,91.02005
"2020-09-30",93.32,94.160004,92.739998,93.709999,1297100,91.863091
"2020-10-01",94.010002,94.029999,92.589996,93.099998,933900,91.265106
"2020-10-02",93.160004,93.309998,91.059998,91.169998,1498700,89.373138
"2020-10-05",91.019997,91.919998,90.230003,90.730003,1840000,88.941826
"2020-10-06",90.760002,91.230003,89.389999,89.849998,1489100,88.079163
"2020-10-07",90.489998,91.599998,90.360001,90.93,2046900,89.137878
"2020-10-08",90.82,91.980003,90.510002,91.139999,990400,89.343735
"2020-10-09",91.459999,93.459999,91.339996,92.760002,1076500,90.931808
"2020-10-12",92.699997,94.300003,92.139999,93.269997,1247700,91.43174
"2020-10-13",93.220001,95.910004,92.779999,95.18,1649400,93.304108
"2020-10-14",95.32,96.309998,94.410004,94.470001,1127600,92.608109
"2020-10-15",93.93,95.739998,93.559998,95.099998,1398900,93.225685
"2020-10-16",95.110001,95.419998,92.959999,93.190002,3391200,91.35334
"2020-10-19",93.599998,94.629997,91.989998,92.339996,1294900,90.520081
"2020-10-20",93.220001,93.889999,92.18,92.239998,923100,90.422058
"2020-10-21",92.370003,93.529999,92.160004,92.190002,1183900,90.373032
"2020-10-22",92.019997,92.18,90.940002,90.989998,943800,89.196693
"2020-10-23",91.300003,91.959999,90.980003,91.910004,959700,90.098564
"2020-10-26",91.260002,92.010002,90.769997,91.910004,760000,90.098564
"2020-10-27",92.260002,93.220001,91.709999,92.230003,1328100,90.412247
"2020-10-28",91.209999,91.809998,88.199997,88.239998,1969600,86.500885
"2020-10-29",84,87.900002,82.519997,87.059998,2947100,85.344154
"2020-10-30",87.18,88.959999,86.620003,88.389999,1961500,86.647934
"2020-11-02",89.860001,90.639999,87.150002,87.900002,2505900,86.167603
"2020-11-03",88.559998,89.93,88.230003,89,1602600,87.245918
"2020-11-04",90.050003,90.970001,89.529999,89.769997,1382600,88.000732
"2020-11-05",91.080002,91.599998,89.239998,90.029999,1499500,88.255608
"2020-11-06",90.040001,91.379997,89.970001,90.5,1038700,88.716362
"2020-11-09",91.660004,91.860001,84.779999,84.830002,2914700,83.158104
"2020-11-10",84.57,86.980003,84.239998,86.32,2350400,84.618729
"2020-11-11",87.300003,88.199997,86.910004,87.410004,3891400,85.687256
"2020-11-12",88.089996,88.830002,86.629997,87.5,2687900,85.775475
"2020-11-13",87.419998,87.959999,86.480003,87.379997,1456900,85.893433
"2020-11-16",87.209999,88.029999,86.059998,87.970001,1145400,86.473396
"2020-11-17",87.470001,88.279999,87,87.209999,1356300,85.726326
"2020-11-18",87.25,87.629997,85.989998,86,1927400,84.536911
"2020-11-19",85.910004,87.32,85.830002,86.199997,1110800,84.733521
"2020-11-20",86.480003,87.18,85.620003,85.959999,1178400,84.497597
"2020-11-23",85.620003,86.349998,84.769997,85.269997,1031700,83.819336
"2020-11-24",85.43,85.919998,83.43,83.650002,2600600,82.226898
"2020-11-25",84.309998,86.099998,84.160004,85.580002,1442500,84.124054
"2020-11-27",85.93,86.330002,85.120003,86.269997,747900,84.802315
"2020-11-30",86.209999,87.839996,85.559998,87.769997,2803000,86.276802
"2020-12-01",88.370003,88.459999,86.610001,87.839996,2374600,86.345619
"2020-12-02",87.769997,87.940002,85.080002,86.260002,1311100,84.792488
"2020-12-03",85.949997,86.910004,85.580002,86.589996,1148400,85.116882
"2020-12-04",86.349998,87.269997,85.830002,86.339996,1109300,84.871117
"2020-12-07",86.25,87.470001,86.18,86.760002,1367900,85.283981
"2020-12-08",86.260002,87.410004,86,87.089996,1499900,85.608368
"2020-12-09",87.129997,87.5,86.050003,86.440002,1158000,84.969429
"2020-12-10",86.690002,87.199997,85.050003,85.330002,1222600,83.878319
"2020-12-11",85.370003,86.25,85.199997,85.849998,1226700,84.389458
"2020-12-14",85.980003,86.839996,85.760002,86.059998,1049300,84.595886
"2020-12-15",86.379997,87.190002,85.959999,86.160004,1377600,84.694206
"2020-12-16",86.389999,87.639999,86.269997,86.669998,923400,85.195518
"2020-12-17",87.059998,87.860001,86.809998,87.209999,963900,85.726326
"2020-12-18",87.260002,88.279999,86.699997,88.150002,2454400,86.65033
"2020-12-21",87.220001,87.709999,86,86.540001,1356200,85.067726
"2020-12-22",86.199997,86.910004,85.790001,86.559998,1122800,85.087387
"2020-12-23",86.699997,87.389999,86.669998,86.940002,681900,85.46093
"2020-12-24",86.779999,87.290001,86.389999,86.860001,281900,85.382286
"2020-12-28",87.550003,87.849998,86.839996,87.480003,636400,85.991737
"2020-12-29",87.709999,88.449997,86.839996,87.080002,657400,85.598549
"2020-12-30",87,87.489998,86.68,86.709999,701200,85.23484
"2020-12-31",86.93,87.260002,86.199997,87.230003,1651400,85.745987
"2021-01-04",87.019997,87.790001,85.589996,86.599998,1355500,85.126709
"2021-01-05",86.5,86.959999,85.269997,85.82,1646300,84.359978
"2021-01-06",85.529999,86.610001,85.25,85.949997,1439500,84.487762
"2021-01-07",85.169998,85.809998,84.120003,84.900002,1632300,83.455635
"2021-01-08",84.650002,85.480003,83.809998,85.400002,1722600,83.947121
"2021-01-11",85.639999,86.309998,84.57,84.919998,893300,83.475288
"2021-01-12",84.830002,85,83.610001,83.870003,1611300,82.443153
"2021-01-13",84.160004,84.910004,83.610001,84.480003,1657800,83.042778
"2021-01-14",84.610001,85.07,84.089996,84.510002,1034800,83.072273
"2021-01-15",84.379997,85.830002,83.980003,85.239998,1961600,83.789848
"2021-01-19",85.910004,86.040001,84.480003,85.160004,1396100,83.711212
"2021-01-20",85.019997,85.25,83.93,84.739998,1457900,83.298347
"2021-01-21",84.800003,85.410004,84.220001,85.059998,977600,83.612915
"2021-01-22",85.480003,85.989998,84.529999,84.919998,1446100,83.475288
"2021-01-25",85.489998,88.489998,85.110001,87.120003,1644500,85.637871
"2021-01-26",86.879997,88.07,86.019997,88,1440900,86.502899
"2021-01-27",87.879997,90.239998,87.540001,87.779999,2064000,86.286636
"2021-01-28",87.540001,88.779999,86.709999,86.910004,1821900,85.431435
"2021-01-29",86.529999,87.5,84.330002,84.43,2364700,82.993629
"2021-02-01",84.32,85.410004,83.059998,83.989998,2080800,82.561119
"2021-02-02",83.989998,83.989998,82.620003,82.690002,1808100,81.283226
"2021-02-03",82.660004,83.629997,81.75,83.010002,1643200,81.597794
"2021-02-04",82.5,83.199997,81.459999,82.160004,1375200,80.762245
"2021-02-05",82.290001,84.080002,82.029999,82.870003,1577100,81.460167
"2021-02-08",83.040001,83.449997,81.900002,82.330002,1133600,80.929352
"2021-02-09",82.150002,83.040001,81.599998,82.949997,1404900,81.538803
"2021-02-10",83.379997,84.059998,83.050003,83.239998,1227100,81.82386
"2021-02-11",83.529999,83.620003,82.169998,82.720001,849300,81.312714
"2021-02-12",82.330002,82.959999,81.760002,82.940002,889000,81.779091
"2021-02-16",82.730003,83.029999,81.589996,81.669998,1101900,80.526863
"2021-02-17",81.459999,82.910004,81.029999,82.760002,1515400,81.601608
"2021-02-18",82.230003,83.730003,81.949997,83.550003,890700,82.380562
"2021-02-19",83.120003,83.470001,81.410004,81.449997,1486400,80.309944
"2021-02-22",81.550003,81.580002,80.059998,80.519997,1357500,79.39296
"2021-02-23",81.010002,81.489998,80.190002,81.029999,1097100,79.895828
"2021-02-24",80.290001,80.690002,78.690002,79.550003,1635300,78.436546
"2021-02-25",79.459999,80.879997,78.82,79.389999,1128300,78.278778
"2021-02-26",79.870003,80.18,78.730003,78.75,1550000,77.647736
"2021-03-01",78.879997,80.239998,78.580002,78.690002,1174100,77.588585
"2021-03-02",78.620003,79.849998,78.540001,79.220001,1194400,78.11116
"2021-03-03",78.800003,79.339996,78.349998,78.43,1139500,77.332222
"2021-03-04",78.860001,79.580002,77.699997,77.919998,1674300,76.829361
"2021-03-05",78.07,80.25,77.620003,79.959999,1939900,78.840805
"2021-03-08",79.639999,81.510002,79.120003,80.830002,1508700,79.698631
"2021-03-09",81,82.410004,80.230003,80.410004,1399800,79.284515
"2021-03-10",80.529999,81.889999,79.57,81.150002,1225800,80.014153
"2021-03-11",80.760002,82.470001,80.360001,81.5,1150600,80.359245
"2021-03-12",81.970001,83.220001,81.760002,82.900002,1379800,81.739662
"2021-03-15",83.550003,83.550003,81.779999,82.900002,1763600,81.739662
"2021-03-16",82.889999,83.739998,82.529999,83.400002,1158500,82.232651
"2021-03-17",83.75,83.75,82.080002,82.160004,1305800,81.01001
"2021-03-18",82.230003,82.910004,80.910004,82.260002,1793500,81.108612
"2021-03-19",82.370003,83.93,82.32,83.089996,3561500,81.926994
"2021-03-22",83.089996,84.68,82.309998,84.510002,1737200,83.327126
"2021-03-23",84.980003,86.040001,83.989998,85.709999,1508200,84.51033
"2021-03-24",84.849998,85.099998,83.059998,84.57,1306800,83.386284
"2021-03-25",85.279999,86.050003,84.389999,86,1896600,84.796265
"2021-03-26",85.639999,87.550003,85.25,87.349998,2333800,86.127373
"2021-03-29",87.650002,89.339996,87.480003,88.580002,2215300,87.340149
"2021-03-30",87.68,88.370003,87.209999,87.919998,1432100,86.689384
"2021-03-31",88.059998,88.480003,86.919998,87.349998,2227100,86.127373
"2021-04-01",86.879997,87.239998,85.199997,86.529999,1753300,85.318848
"2021-04-05",86.779999,87.949997,86.620003,87.470001,1692900,86.245697
"2021-04-06",87.019997,88.800003,87,88.209999,1162500,86.975327
"2021-04-07",88.599998,88.720001,87.550003,87.860001,1278700,86.630226
"2021-04-08",87.879997,88.290001,86.93,87.309998,1476200,86.087921
"2021-04-09",87.25,88.080002,86.410004,86.790001,1329100,85.575211
"2021-04-12",87.199997,87.760002,86.5,87.410004,1347400,86.186531
"2021-04-13",86.949997,87.480003,86.660004,86.779999,1048000,85.565338
"2021-04-14",86.800003,87.110001,86.209999,86.889999,1058500,85.673805
"2021-04-15",87,87.879997,86.949997,87.639999,998700,86.413307
"2021-04-16",88.010002,88.239998,87.290001,87.940002,963000,86.709114
"2021-04-19",86.760002,87.400002,85.620003,87.339996,1306800,86.117508
"2021-04-20",87.389999,90.239998,87.389999,89.169998,1263700,87.92189
"2021-04-21",89.610001,90.150002,89.169998,89.889999,1036700,88.631821
"2021-04-22",89.639999,90.209999,89.07,89.629997,1013500,88.37545
"2021-04-23",89.230003,89.790001,87.330002,87.559998,1416400,86.334427
"2021-04-26",87.370003,87.540001,85.529999,86.07,1843500,84.865288
"2021-04-27",85.339996,85.839996,84.360001,84.769997,1529100,83.583473
"2021-04-28",84.82,85.209999,83.93,84.400002,1247100,83.218658
"2021-04-29",84.459999,86.199997,84.25,85.980003,1282200,84.77655
"2021-04-30",86,86.089996,84.220001,85.739998,2437000,84.539902
"2021-05-03",85.760002,87.779999,85.440002,87.449997,1117900,86.225967
"2021-05-04",87.68,89.510002,87.389999,89.419998,1594300,88.168396
"2021-05-05",88.879997,89.32,87.699997,88.290001,1399700,87.054207
"2021-05-06",88.900002,89.18,88.25,88.480003,895000,87.241554
"2021-05-07",88.440002,88.879997,87.389999,87.43,816200,86.206253
"2021-05-10",87.529999,89.809998,87.529999,89.389999,1195200,88.138802
"2021-05-11",89.75,90,87.870003,88.089996,1367300,86.857002
"2021-05-12",88.550003,88.550003,87.349998,87.400002,1154800,86.176659
"2021-05-13",86.940002,89.300003,86.5,88.639999,1338700,87.653046
"2021-05-14",88.809998,89.419998,88.489998,88.550003,887400,87.564049
"2021-05-17",88.849998,89.449997,88.190002,88.290001,1298500,87.306938
"2021-05-18",88.080002,88.879997,87.519997,87.839996,979500,86.861954
"2021-05-19",88.010002,88.010002,86.589996,87.699997,937900,86.723511
"2021-05-20",87.660004,88.589996,87.290001,87.379997,1225700,86.407066
"2021-05-21",87.470001,87.779999,87,87.190002,1505400,86.219193
"2021-05-24",87.389999,87.82,86.809998,87.199997,811800,86.22908
"2021-05-25",87.010002,87.169998,85.75,86.910004,1483400,85.942307
"2021-05-26",86.760002,87.099998,85.959999,86.660004,1041600,85.695091
"2021-05-27",86.410004,87.089996,85.230003,85.309998,2481200,84.360123
"2021-05-28",85.160004,86.410004,85.160004,85.730003,875600,84.775452
"2021-06-01",86.040001,86.82,84.389999,84.870003,1121900,83.925034
"2021-06-02",84.980003,85.419998,84.610001,85.099998,1084800,84.152466
"2021-06-03",85.209999,86.330002,85.120003,86.209999,1656300,85.250099
"2021-06-04",86.279999,86.629997,85.720001,86.470001,1661600,85.50721
"2021-06-07",86.470001,86.610001,85.360001,86.019997,1376400,85.062218
"2021-06-08",86.089996,86.470001,84.980003,85.129997,1478200,84.182121
"2021-06-09",85.400002,86,84.410004,84.540001,1144900,83.598694
"2021-06-10",84.43,85.339996,84.43,84.730003,2284200,83.786583
"2021-06-11",84.669998,84.730003,84.059998,84.690002,1242700,83.747032
"2021-06-14",84.980003,85.080002,83.949997,84.540001,1395100,83.598694
"2021-06-15",84.839996,85.650002,84.529999,85.190002,1735500,84.241463
"2021-06-16",85.75,86,83.93,84.239998,1369000,83.302032
"2021-06-17",83.980003,85.550003,83.57,85.459999,1479500,84.508446
"2021-06-18",84.940002,85.059998,83.599998,83.68,2756100,82.748276
"2021-06-21",83.839996,84.279999,83.660004,83.949997,1179400,83.015259
"2021-06-22",83.980003,84.470001,83.739998,83.940002,1247600,83.005379
"2021-06-23",84.029999,84.029999,83.029999,83.050003,798700,82.12529
"2021-06-24",82.75,83.309998,82.400002,83.18,1116500,82.253838
"2021-06-25",83.160004,84.699997,82.730003,84.230003,6334300,83.292152
"2021-06-28",84.5,85.5,84.230003,85.059998,1191900,84.112907
"2021-06-29",85.440002,85.660004,84.550003,84.940002,946600,83.994247
"2021-06-30",85.089996,85.900002,85.050003,85.220001,1154100,84.271126
"2021-07-01",85.620003,85.860001,84.730003,84.900002,975500,83.954689
"2021-07-02",85.099998,85.739998,85.010002,85.269997,810100,84.320572
"2021-07-06",85.050003,85.919998,84.949997,85.519997,1565500,84.56778
"2021-07-07",85.720001,87.809998,85.5,86.629997,1289800,85.665428
"2021-07-08",86.769997,87.690002,85.849998,86.510002,1048100,85.546768
"2021-07-09",86.620003,87.169998,86.300003,86.980003,1905000,86.011536
"2021-07-12",86.919998,86.980003,86.199997,86.519997,1007600,85.556648
"2021-07-13",86.129997,86.760002,85.769997,86.029999,1200800,85.072098
"2021-07-14",85.230003,86.110001,84.82,85.959999,1400700,85.002884
"2021-07-15",86.050003,86.459999,85.050003,86.459999,874700,85.497314
"2021-07-16",86.809998,87.629997,86.449997,87.330002,1061000,86.357635
"2021-07-19",87.169998,88.910004,86.580002,87.510002,1599200,86.535637
"2021-07-20",87.489998,88.690002,86.959999,86.989998,1126900,86.021416
"2021-07-21",86.720001,86.959999,84.919998,84.940002,1925500,83.994247
"2021-07-22",84.690002,85.5,84.040001,85.160004,1145200,84.2118
"2021-07-23",84.779999,86.580002,84.25,86.480003,675000,85.517097
"2021-07-26",86.239998,86.970001,85.980003,86.440002,1072900,85.477539
"2021-07-27",86.610001,88.269997,86.459999,87.050003,1095200,86.08075
"2021-07-28",86.879997,87.050003,85.809998,86.300003,941700,85.339096
"2021-07-29",86.739998,87.230003,86.269997,86.910004,943200,85.942307
"2021-07-30",85.889999,88.239998,85.25,86.580002,2328600,85.615982
"2021-08-02",86.279999,86.730003,84.389999,85.599998,1627000,84.646889
"2021-08-03",85.059998,85.959999,84.470001,85.139999,1778500,84.192017
"2021-08-04",84.709999,85.25,82.910004,83.769997,1522400,82.837273
"2021-08-05",84.370003,84.480003,83.279999,83.75,1128600,82.81749
"2021-08-06",83.989998,84.32,82.970001,83.510002,1232000,82.58017
"2021-08-09",84,84.279999,83.389999,84.129997,725900,83.193253
"2021-08-10",84.089996,84.370003,83.309998,84.129997,968900,83.193253
"2021-08-11",84.389999,84.760002,84.139999,84.25,662000,83.31192
"2021-08-12",84.739998,84.769997,84.059998,84.32,588800,83.381149
"2021-08-13",84.349998,85.260002,84.139999,85.099998,784200,84.405724
"2021-08-16",85.370003,86.370003,85.290001,86.209999,884200,85.50666
"2021-08-17",86.209999,86.849998,85.959999,86.589996,873100,85.883568
"2021-08-18",86.029999,86.699997,84.690002,84.75,1005400,84.058578
"2021-08-19",84.970001,86.620003,84.760002,86.389999,707500,85.685196
"2021-08-20",86.339996,86.980003,85.900002,86.019997,870000,85.318214
"2021-08-23",86.099998,86.099998,84.910004,84.919998,895300,84.227188
"2021-08-24",84.650002,84.650002,83.129997,83.139999,944700,82.461708
"2021-08-25",83.089996,83.089996,82.269997,82.360001,954800,81.688072
"2021-08-26",82.389999,82.75,81.870003,82.379997,918600,81.707909
"2021-08-27",82.400002,82.980003,82.010002,82.709999,925000,82.035217
"2021-08-30",82.720001,83.629997,82.68,83.559998,701700,82.878288
"2021-08-31",83.660004,83.910004,83.190002,83.660004,1325000,82.97747
"2021-09-01",83.940002,84.480003,83.669998,84.330002,862600,83.642006
"2021-09-02",84.440002,84.82,84,84.309998,857300,83.622162
"2021-09-03",84.129997,84.769997,83.849998,84.389999,625800,83.701515
"2021-09-07",84.449997,84.599998,83.309998,83.989998,1099200,83.304779
"2021-09-08",84.139999,86.209999,84.040001,84.599998,1607600,83.909798
"2021-09-09",84.699997,84.739998,82.949997,83.459999,2718700,82.779099
"2021-09-10",83.330002,83.389999,82.410004,82.709999,1869000,82.035217
"2021-09-13",82.68,84.239998,82.68,83.339996,969800,82.660072
"2021-09-14",83.620003,83.779999,82.93,83.709999,1481600,83.027061
"2021-09-15",83.75,83.949997,83.279999,83.650002,1259900,82.967552
"2021-09-16",83.5,83.739998,82.580002,83.489998,844500,82.808853
"2021-09-17",83.199997,83.980003,83.199997,83.589996,2384200,82.908043
"2021-09-20",83.540001,83.970001,82.959999,83.699997,1909700,83.017136
"2021-09-21",83.860001,84.68,83.720001,84.120003,1933900,83.433723
"2021-09-22",84.580002,84.610001,83.029999,83.209999,997400,82.531136
"2021-09-23",82.900002,83.540001,82.720001,83.269997,939800,82.590645
"2021-09-24",83.339996,83.589996,82.57,82.980003,1110100,82.303024
"2021-09-27",82.730003,83.07,82.330002,82.559998,1044500,81.886444
"2021-09-28",82.449997,83.57,82.019997,83.300003,1623200,82.620407
"2021-09-29",83.150002,84.660004,83.150002,84.260002,1019000,83.572578
"2021-09-30",84.190002,84.330002,82.540001,82.57,1193900,81.896355
"2021-10-01",82.690002,83.010002,81.440002,82.239998,1167800,81.569046
"2021-10-04",82.43,83.110001,81.529999,81.730003,1428100,81.063217
"2021-10-05",81.639999,81.919998,81.07,81.199997,1121000,80.537529
"2021-10-06",81.120003,82.889999,80.760002,82.730003,1168600,82.055054
"2021-10-07",82.900002,83.709999,82.900002,82.980003,1027400,82.303024
"2021-10-08",82.949997,83.419998,82.589996,83.150002,862800,82.471626
"2021-10-11",83.139999,83.360001,82.709999,83,568600,82.322853
"2021-10-12",82.720001,83.519997,82.300003,82.559998,803400,81.886444
"2021-10-13",82.449997,83.18,82.279999,83.120003,842600,82.441872
"2021-10-14",83.339996,83.629997,83.080002,83.370003,623200,82.689835
"2021-10-15",83.510002,83.970001,82.940002,83.449997,846200,82.76918
"2021-10-18",83.25,83.5,82.760002,82.919998,1246400,82.243507
"2021-10-19",82.599998,83.349998,81.279999,83.330002,1623400,82.650162
"2021-10-20",83.529999,84.790001,83.290001,83.599998,1295400,82.917953
"2021-10-21",84.220001,84.400002,83.629997,83.800003,918100,83.116325
"2021-10-22",83.900002,84.910004,83.879997,84.68,911700,83.989143
"2021-10-25",84.230003,84.25,82.699997,83.760002,1331000,83.076653
"2021-10-26",83.720001,84.769997,83.559998,84.599998,760400,83.909798
"2021-10-27",84.779999,85.120003,83.779999,84.080002,1124300,83.394051
"2021-10-28",84.080002,85.739998,83.849998,85.290001,2317200,84.59417
"2021-10-29",86.389999,88.389999,86.199997,87.360001,2773600,86.647278
"2021-11-01",87.870003,88.519997,86.889999,87.639999,1500000,86.924995
"2021-11-02",87.900002,89.459999,87.5,89.07,1243000,88.34333
"2021-11-03",88.989998,89.449997,88.089996,88.910004,961400,88.184647
"2021-11-04",88.75,89.349998,88.209999,89.349998,825200,88.62104
"2021-11-05",89.5,89.709999,88.599998,88.779999,956700,88.055695
"2021-11-08",88.639999,88.779999,87.059998,88.43,1261900,87.708557
"2021-11-09",88.559998,89.709999,88.129997,89.660004,981200,88.92852
"2021-11-10",89.949997,90.949997,89.660004,90.400002,873600,89.662483
"2021-11-11",90.160004,90.389999,89.849998,90.290001,565300,89.553375
"2021-11-12",90.349998,90.610001,89.779999,89.919998,734400,89.437004
"2021-11-15",90.040001,91.389999,89.809998,91.160004,864700,90.670349
"2021-11-16",91.269997,91.739998,90.82,91.099998,760100,90.610664
"2021-11-17",91.129997,91.620003,90.860001,91.489998,780700,90.998573
"2021-11-18",91.489998,91.5,90.639999,91.220001,929700,90.730026
"2021-11-19",91.989998,93.059998,91.779999,92.230003,1719300,91.734596
"2021-11-22",92.230003,94.449997,91.93,93.75,1311800,93.246437
"2021-11-23",93.760002,94.599998,93.410004,94.129997,1067800,93.62439
"2021-11-24",93.82,94.050003,92.779999,93.379997,805600,92.878418
"2021-11-26",93.489998,94.75,93.279999,93.339996,661800,92.838631
"2021-11-29",93.889999,94.370003,92.93,93.75,1129900,93.246437
"2021-11-30",92.919998,93.349998,88.940002,89.379997,3807400,88.899902
"2021-12-01",89.949997,92.360001,89.730003,90.68,2932300,90.192924
"2021-12-02",90.949997,92.040001,90.639999,91.059998,1754400,90.570877
"2021-12-03",91.82,92.389999,91.470001,92.330002,1342700,91.834061
"2021-12-06",92.330002,94.370003,92.260002,94.150002,2337800,93.644287
"2021-12-07",93.82,94.68,92.589996,92.940002,1564200,92.440788
"2021-12-08",92.93,95.449997,92.779999,95,2349400,94.489723
"2021-12-09",95.260002,96.260002,94.669998,95.540001,1309500,95.026825
"2021-12-10",95.639999,96.07,95.300003,95.650002,1390000,95.13623
"2021-12-13",95.639999,98.110001,95.150002,97.760002,1603600,97.234894
"2021-12-14",97.879997,98.209999,97.080002,97.910004,1475300,97.384094
"2021-12-15",98.040001,100.080002,98.040001,99.099998,2204500,98.567696
"2021-12-16",98.970001,101.699997,98.629997,101.540001,1753600,100.994591
"2021-12-17",101.5,102.269997,97.550003,98.089996,4787400,97.563118
"2021-12-20",98.010002,99.169998,97.43,98.839996,1765200,98.30909
"2021-12-21",98.440002,98.809998,96.769997,98.400002,1917700,97.87146
"2021-12-22",98.5,99.57,98.239998,99.400002,1044500,98.866089
"2021-12-23",99.610001,100.339996,99.400002,99.529999,709700,98.995384
"2021-12-27",99.610001,100.360001,99.370003,100.360001,674400,99.82093
"2021-12-28",100.489998,100.769997,99.949997,100.18,935600,99.641899
"2021-12-29",100.43,101.239998,100.260002,100.980003,912000,100.437599
"2021-12-30",101.209999,101.599998,100.330002,101.419998,1101500,100.875229
"2021-12-31",101.669998,103,101.419998,102.5,1320600,101.949432
"2022-01-03",101.370003,101.839996,99.779999,101.709999,1516500,101.163673
"2022-01-04",100.889999,102.550003,99.57,101.82,1472900,101.273087
"2022-01-05",102.07,103.220001,102.050003,102.540001,1450200,101.98922
"2022-01-06",102.519997,104,102.260002,102.709999,1345900,102.158302
"2022-01-07",102.709999,104.389999,102.419998,103.599998,1968100,103.043526
