"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"2020-07-01",77.5,78.279999,77.309998,77.900002,1308400,76.17141
"2020-07-02",78.389999,78.849998,77.82,78.290001,1059400,76.552757
"2020-07-06",79,79.239998,77.57,77.860001,1327100,76.132294
"2020-07-07",77.639999,79.239998,77.559998,79.050003,1258700,77.295898
"2020-07-08",78.959999,80.300003,78.82,80.260002,1652800,78.47905
"2020-07-09",80.279999,81.870003,80.269997,81.730003,2166500,79.916428
"2020-07-10",81.610001,83.040001,81.099998,82.779999,1689000,80.943123
"2020-07-13",82.879997,84.790001,81.760002,82.129997,2579900,80.307541
"2020-07-14",82.059998,84.5,82.059998,84.480003,2109200,82.6054
"2020-07-15",84.480003,85.309998,83.889999,84.599998,1397100,82.722733
"2020-07-16",83.389999,84.660004,81.739998,84.199997,1851500,82.331619
"2020-07-17",84.629997,85.360001,84.209999,84.870003,3644900,82.986763
"2020-07-20",84.699997,85.07,83.900002,84.290001,1189200,82.419624
"2020-07-21",84.730003,85.400002,83.730003,84.5,1478100,82.624954
"2020-07-22",84.900002,85.160004,83.959999,85.139999,1232500,83.250755
"2020-07-23",85.779999,86.949997,85.699997,86.220001,1481300,84.306801
"2020-07-24",86.269997,86.589996,85.129997,85.870003,1346900,83.964554
"2020-07-27",86.18,87.5,85.919998,87.169998,1111900,85.23571
"2020-07-28",87.449997,88.809998,87.110001,88.209999,1146800,86.252632
"2020-07-29",88.220001,89.559998,87.809998,89.309998,1338700,87.328224
"2020-07-30",89.300003,90.449997,88.68,90.059998,2215600,88.061577
"2020-07-31",93.769997,96.400002,92.040001,96.330002,4192600,94.192459
"2020-08-03",95.190002,95.860001,91.860001,93.410004,3076400,91.337242
"2020-08-04",92.959999,96.400002,92.559998,96.050003,1929700,93.918663
"2020-08-05",96.099998,96.720001,95.449997,95.830002,1260700,93.703545
"2020-08-06",95.75,96.190002,94.849998,95.120003,1177000,93.0093
"2020-08-07",95.139999,95.800003,94.139999,94.959999,1352900,92.852852
"2020-08-10",95,95.190002,94.150002,94.779999,903600,92.676842
"2020-08-11",94.540001,94.540001,92.25,92.709999,1170400,90.652779
"2020-08-12",93.269997,95.339996,92.949997,94.830002,943300,92.725731
"2020-08-13",94.32,94.809998,93.610001,94.75,830600,92.882584
"2020-08-14",94.940002,94.940002,93.989998,94.260002,743600,92.402245
"2020-08-17",94.220001,96.25,93.75,95.790001,2140200,93.902092
"2020-08-18",96.029999,96.68,95.339996,96.459999,1874800,94.558884
"2020-08-19",96.610001,97.150002,95.779999,96.290001,1008300,94.392242
"2020-08-20",96.139999,96.720001,95.550003,96.540001,815100,94.637314
"2020-08-21",96.889999,96.989998,95.949997,96.5,1319700,94.598091
"2020-08-24",96.169998,96.639999,95.599998,96.629997,733500,94.725525
"2020-08-25",96.800003,96.830002,95.919998,96.099998,1018000,94.205971
"2020-08-26",95.690002,96.440002,95.139999,95.910004,738300,94.019737
"2020-08-27",96.349998,97.019997,95.769997,96.099998,789600,94.205971
"2020-08-28",95.629997,96.349998,94.080002,94.910004,1259400,93.039436
"2020-08-31",94.849998,95.910004,94.839996,95.830002,1260000,93.941299
"2020-09-01",95.339996,95.5,94.150002,95.330002,894800,93.451172
"2020-09-02",95.529999,98.959999,95.5,98.160004,1926400,96.225372
"2020-09-03",97.940002,98.099998,93.400002,94.260002,1448600,92.402245
