"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"2020-09-23",107.269997,107.300003,104.080002,104.150002,636000,98.965401
"2020-09-24",104.220001,105.93,102.760002,104.269997,382600,99.079422
"2020-09-25",103.029999,109.93,102.779999,109.440002,1078900,103.992073
"2020-09-28",110.339996,111.68,108.610001,111.150002,945800,105.616936
"2020-09-29",111.389999,111.459999,108.349998,108.75,630400,103.336411
"2020-09-30",109.360001,110.559998,107.959999,109.050003,676800,103.621468
"2020-10-01",109.760002,110.559998,106.940002,107.650002,547300,102.291168
"2020-10-02",106.339996,109.650002,106.080002,108.419998,622000,103.022842
"2020-10-05",110.169998,111.779999,109.610001,110.940002,795000,105.417389
"2020-10-06",110.550003,111.839996,109.089996,109.410004,474600,103.963554
"2020-10-07",110.540001,112.889999,110.540001,111.970001,378000,106.396118
"2020-10-08",112.230003,113.839996,111.940002,113.809998,323300,108.144524
"2020-10-09",114.559998,115.510002,112.739998,112.900002,493500,107.279831
"2020-10-12",115.75,118.580002,114.5,116.709999,578200,110.900162
"2020-10-13",115.830002,117.190002,115.370003,116.400002,350300,110.605591
"2020-10-14",116.870003,117.830002,116.400002,116.559998,383000,110.757629
"2020-10-15",115.25,118.830002,115.110001,118.699997,398300,112.791092
"2020-10-16",119.389999,120.169998,119,119.589996,650500,113.636787
"2020-10-19",120.120003,120.709999,116.919998,117.260002,476500,111.422775
"2020-10-20",118.400002,118.720001,116.019997,116.529999,352700,110.729111
"2020-10-21",116.82,118.760002,116.690002,117.709999,444500,111.85038
"2020-10-22",117.589996,118.620003,116.529999,118.190002,283100,112.306488
"2020-10-23",118.510002,119.599998,118.199997,119.199997,419300,113.266197
"2020-10-26",118.230003,118.309998,115.190002,115.779999,436300,110.016449
"2020-10-27",115.550003,117.900002,113.910004,113.970001,616000,108.296555
"2020-10-28",111.940002,112.919998,110.870003,111.93,565600,106.358109
