"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"2020-12-17",246.110001,252.660004,245.740005,250.740005,715200,250.740005
"2020-12-18",250.990005,252.669998,249.050003,250.380005,687700,250.380005
"2020-12-21",247.860001,248.75,242.770004,247.389999,364800,247.389999
"2020-12-22",248.210007,249.169998,245.470001,246.289993,351000,246.289993
"2020-12-23",246.919998,248.199997,245.770004,246.309998,145000,246.309998
"2020-12-24",247.520004,248.539993,246.339996,247.089996,48000,247.089996
"2020-12-28",249.539993,249.850006,245.779999,247.039993,196600,247.039993
"2020-12-29",247.889999,249.199997,245.869995,245.869995,140500,245.869995
"2020-12-30",246.539993,248.270004,245.059998,245.559998,235700,245.559998
"2020-12-31",244.710007,247.660004,243.029999,247.419998,310800,247.419998
"2021-01-04",247.389999,252.139999,244.770004,250.149994,365200,250.149994
"2021-01-05",250,256.670013,248.360001,255.429993,333900,255.429993
"2021-01-06",254.220001,263.230011,253.949997,262.470001,483400,262.470001
"2021-01-07",258.540009,263.890015,257.75,260.790009,351300,260.790009
"2021-01-08",261.420013,267.290009,260.390015,261.820007,368200,261.820007
"2021-01-11",261.51001,267.700012,261.369995,266.049988,357900,266.049988
"2021-01-12",265.450012,269.399994,263.950012,266.51001,396800,266.51001
"2021-01-13",268.209991,268.25,263.470001,264.799988,317700,264.799988
"2021-01-14",265.359985,267.019989,262.049988,262.899994,276400,262.899994
"2021-01-15",262.380005,269.200012,261.179993,268.329987,378800,268.329987
"2021-01-19",271.040009,273.959991,269.950012,271.820007,366900,271.820007
"2021-01-20",271.109985,272.970001,269.769989,271.130005,241300,271.130005
"2021-01-21",272.269989,272.839996,267.070007,271.26001,316400,271.26001
"2021-01-22",270.329987,274.589996,268.779999,273.619995,360300,273.619995
"2021-01-25",274.230011,276.76001,271.619995,273.350006,245000,273.350006
"2021-01-26",273.420013,273.420013,265.339996,270.529999,308700,270.529999
"2021-01-27",267.839996,270.290009,263.369995,265.959991,509500,265.959991
"2021-01-28",268.559998,271.98999,264.76001,266.559998,426200,266.559998
"2021-01-29",266.440002,267.119995,262.670013,264.670013,328900,264.670013
"2021-02-01",266.549988,270.059998,266.350006,268.809998,534200,268.809998
"2021-02-02",284.200012,299.059998,281.470001,291.309998,1028300,291.309998
"2021-02-03",289.660004,291.149994,280.029999,281.269989,609200,281.269989
"2021-02-04",281.049988,287.899994,280.549988,286.450012,549300,286.450012
"2021-02-05",286.309998,287.649994,282.420013,283.480011,372400,283.480011
"2021-02-08",284.48999,285.309998,280.859985,284.5,337200,284.5
"2021-02-09",283.829987,284.279999,281.369995,282.709991,276600,282.709991
"2021-02-10",286.01001,289.470001,283.329987,284.019989,269100,284.019989
"2021-02-11",284.48999,285.420013,281.619995,282.829987,300900,282.829987
"2021-02-12",281.279999,285.799988,281.279999,283.950012,346500,283.950012
"2021-02-16",285.209991,285.609985,280.880005,282.51001,269800,282.51001
"2021-02-17",280.720001,283.709991,279.720001,282.579987,286600,282.579987
"2021-02-18",279.940002,283.630005,279.399994,280.799988,227000,280.799988
"2021-02-19",281.549988,283.329987,280.709991,281.720001,417600,281.720001
"2021-02-22",280.600006,282.410004,276.709991,279.809998,277100,279.809998
"2021-02-23",280.380005,281.410004,274.140015,278.880005,281000,278.880005
"2021-02-24",279.890015,282.570007,278.220001,279.899994,208500,279.899994
"2021-02-25",280.51001,283,276.700012,278.230011,325200,278.230011
"2021-02-26",278.029999,279.5,272.130005,273.880005,493500,273.880005
"2021-03-01",275.829987,279.980011,275.829987,277.040009,287200,277.040009
"2021-03-02",276.160004,277.679993,272.700012,274.029999,290600,274.029999
"2021-03-03",273.220001,273.269989,265.600006,265.779999,343700,265.779999
"2021-03-04",264.820007,268.25,259.5,261.630005,409200,261.630005
"2021-03-05",262.459991,267.140015,258.910004,266.440002,338800,266.440002
"2021-03-08",266.880005,271.029999,263.970001,264.670013,266600,264.670013
"2021-03-09",266.399994,275.519989,264.670013,272.679993,422300,272.679993
"2021-03-10",274.959991,277.589996,272.339996,272.450012,380600,272.450012
"2021-03-11",274.109985,275.700012,271.73999,273.079987,351800,273.079987
"2021-03-12",272.029999,272.029999,267.450012,268.829987,348600,268.829987
"2021-03-15",267.339996,272.630005,266.230011,272.630005,298400,272.630005
"2021-03-16",274.429993,276.570007,268.75,269.769989,231500,269.769989
"2021-03-17",269.649994,270.200012,267.420013,268.130005,237900,268.130005
"2021-03-18",268.019989,269.970001,265.910004,268.76001,300900,268.76001
"2021-03-19",267.670013,270.230011,265.26001,268.700012,696200,268.700012
"2021-03-22",268.730011,272.390015,264.880005,271.630005,394500,271.630005
"2021-03-23",270.98999,272.200012,268.040009,270.690002,347100,270.690002
"2021-03-24",271.170013,274.190002,267.600006,269.049988,282000,269.049988
"2021-03-25",270.109985,273.040009,267.48999,273,474800,273
"2021-03-26",274.5,281.519989,271.279999,281.220001,346000,281.220001
"2021-03-29",278.920013,284.799988,278.290009,284.019989,324100,284.019989
"2021-03-30",284.140015,285.429993,281.359985,282.51001,377400,282.51001
"2021-03-31",282.970001,287.649994,281.299988,284.170013,480500,284.170013
"2021-04-01",284.559998,285.470001,279.690002,284.720001,269500,284.720001
"2021-04-05",288.329987,296.290009,286.339996,295.649994,521200,295.649994
"2021-04-06",294.980011,304.48999,294.829987,302.230011,612400,302.230011
"2021-04-07",299.799988,301.059998,294.170013,296.350006,697500,296.350006
"2021-04-08",297.51001,305.149994,297.279999,304.130005,490100,304.130005
"2021-04-09",305.450012,307.25,301.470001,307.140015,464500,307.140015
"2021-04-12",307.140015,309.649994,306.23999,307.040009,298400,307.040009
"2021-04-13",307.200012,308.269989,305.119995,307.910004,368400,307.910004
"2021-04-14",307.869995,307.869995,296.179993,296.670013,614100,296.670013
"2021-04-15",298.470001,303.269989,297.809998,299.649994,421400,299.649994
"2021-04-16",299.779999,301.179993,297.200012,299.899994,344900,299.899994
"2021-04-19",300.829987,300.829987,296.230011,298.809998,308500,298.809998
"2021-04-20",298.579987,300.470001,295.700012,296.269989,305800,296.269989
"2021-04-21",295.970001,301.230011,295.970001,301.220001,314500,301.220001
"2021-04-22",301.929993,306.369995,300.940002,304.640015,341500,304.640015
"2021-04-23",303.859985,308,302.029999,306.5,210600,306.5
"2021-04-26",307.339996,308.589996,304.130005,304.350006,217400,304.350006
"2021-04-27",304.350006,304.940002,302.399994,304.269989,344200,304.269989
"2021-04-28",304.119995,304.640015,299.790009,300.440002,242400,300.440002
"2021-04-29",300.459991,302.660004,297.859985,302.109985,237200,302.109985
"2021-04-30",301.579987,303.290009,298.940002,299.869995,407800,299.869995
"2021-05-03",302.26001,303.51001,298.459991,301.670013,609800,301.670013
"2021-05-04",300.48999,300.959991,296.399994,299.75,368200,299.75
"2021-05-05",304.179993,311.980011,301.950012,308.459991,545600,308.459991
"2021-05-06",310,311.910004,303.950012,309.01001,328200,309.01001
"2021-05-07",310,315.75,309.779999,314.649994,354300,314.649994
"2021-05-10",315.899994,320.390015,315.5,317.630005,384700,317.630005
"2021-05-11",315.559998,317.23999,311.920013,315.890015,315200,315.890015
"2021-05-12",314.410004,314.929993,303.089996,303.640015,479600,303.640015
"2021-05-13",306.410004,317.540009,305.320007,315.480011,416800,315.480011
"2021-05-14",315.359985,317.880005,312.059998,312.23999,394100,312.23999
"2021-05-17",311.329987,311.429993,308.630005,308.940002,247200,308.940002
"2021-05-18",309.660004,310.959991,304.929993,305.070007,345500,305.070007
"2021-05-19",303.390015,306.839996,301.589996,306.450012,302800,306.450012
"2021-05-20",306.980011,312,305.950012,311.459991,257000,311.459991
"2021-05-21",312.179993,316.019989,311.459991,312.220001,718400,312.220001
"2021-05-24",314.519989,319.399994,313.480011,317.200012,343900,317.200012
"2021-05-25",317.600006,322.079987,317.570007,321.140015,296800,321.140015
"2021-05-26",319.75,324.519989,318.589996,319.73999,436900,319.73999
"2021-05-27",319.98999,326.589996,318.420013,323.73999,782300,323.73999
"2021-05-28",324.470001,326.850006,321.809998,322.25,376800,322.25
"2021-06-01",323.029999,323.820007,315.829987,318.5,344000,318.5
"2021-06-02",318.600006,320.690002,316.730011,317.209991,300500,317.209991
"2021-06-03",315.420013,316.859985,311.369995,316.279999,385000,316.279999
"2021-06-04",318.970001,320.279999,316.75,319.26001,279400,319.26001
"2021-06-07",319.899994,322.279999,317.940002,318.709991,216100,318.709991
"2021-06-08",320.369995,324.359985,319.369995,323.089996,229300,323.089996
"2021-06-09",323.029999,328.809998,322.790009,328,274100,328
"2021-06-10",328.230011,334.48999,328.029999,333.769989,302500,333.769989
"2021-06-11",332.859985,336.660004,331.640015,336.579987,338600,336.579987
"2021-06-14",337.480011,337.480011,333.089996,336.179993,565000,336.179993
"2021-06-15",338.01001,342.390015,337.019989,341.799988,405400,341.799988
"2021-06-16",342.109985,344.869995,341,343.070007,378600,343.070007
"2021-06-17",342.529999,348.100006,341.079987,346.559998,653400,346.559998
"2021-06-18",345.040009,347.730011,342.700012,342.709991,1583800,342.709991
"2021-06-21",344.01001,345.899994,341.089996,342.440002,484500,342.440002
"2021-06-22",342.630005,345.790009,341.220001,345.619995,336900,345.619995
"2021-06-23",346.190002,349.070007,343.73999,346.950012,347900,346.950012
"2021-06-24",348.079987,348.190002,344.5,344.579987,504100,344.579987
"2021-06-25",344.570007,346.399994,336.540009,337.779999,1701100,337.779999
"2021-06-28",338.350006,344.230011,337.019989,343.959991,297300,343.959991
"2021-06-29",342.149994,345.549988,340.179993,345.149994,356600,345.149994
"2021-06-30",345.029999,345.950012,340.649994,345.609985,392000,345.609985
"2021-07-01",346,351.98999,343.149994,351.179993,367500,351.179993
"2021-07-02",351.359985,356.140015,350.179993,355.48999,308500,355.48999
"2021-07-06",360,361.779999,356.559998,359.070007,490400,359.070007
"2021-07-07",360.299988,365.929993,359.640015,365.399994,383700,365.399994
"2021-07-08",360.5,366.049988,358.559998,365.679993,401500,365.679993
"2021-07-09",365.070007,369.459991,365.070007,369.399994,266100,369.399994
"2021-07-12",369.98999,371.670013,367.790009,369.670013,245700,369.670013
"2021-07-13",370.920013,371.589996,367.720001,368.440002,279800,368.440002
"2021-07-14",369.75,372.25,369.51001,371.640015,299100,371.640015
"2021-07-15",369.75,373.529999,368.609985,372.26001,416400,372.26001
"2021-07-16",372.5,373.309998,369.540009,370.690002,287600,370.690002
"2021-07-19",369.019989,369.019989,361.950012,362.98999,626700,362.98999
"2021-07-20",364.119995,373.040009,362.100006,372.119995,416600,372.119995
"2021-07-21",371.910004,373.630005,364.799988,370.670013,310200,370.670013
"2021-07-22",372.600006,378.130005,371.769989,377.170013,284800,377.170013
"2021-07-23",379,384.799988,377.23999,384.700012,201000,384.700012
"2021-07-26",383.01001,383.899994,378.279999,382.309998,241100,382.309998
"2021-07-27",382.570007,384.649994,377.839996,378.519989,335500,378.519989
"2021-07-28",378.519989,387.929993,377.980011,386.220001,375100,386.220001
"2021-07-29",387.209991,394.019989,385.959991,391.019989,305200,391.019989
"2021-07-30",391.429993,392.320007,388.339996,389.809998,422000,389.809998
"2021-08-02",390.880005,393.119995,382.899994,388.850006,490100,388.850006
"2021-08-03",385.929993,392.390015,373.209991,391.75,631400,391.75
"2021-08-04",394,399.350006,391.130005,394.25,351300,394.25
"2021-08-05",395.799988,398.73999,392.459991,397.339996,306000,397.339996
"2021-08-06",395.839996,398,393.339996,395.470001,251800,395.470001
"2021-08-09",396.48999,396.48999,391.589996,393.619995,223600,393.619995
"2021-08-10",395.26001,399.769989,392.5,394.880005,163400,394.880005
"2021-08-11",395.079987,398.920013,393.179993,397.779999,210100,397.779999
"2021-08-12",397.51001,401.829987,395.720001,401.329987,166300,401.329987
"2021-08-13",402.029999,405.329987,402.029999,405.269989,189300,405.269989
"2021-08-16",405.320007,411.23999,404.670013,408.130005,308700,408.130005
"2021-08-17",407.309998,409.420013,403.179993,406.119995,187900,406.119995
"2021-08-18",405.980011,408.23999,400.149994,400.73999,203600,400.73999
"2021-08-19",397.100006,408.470001,395.670013,404.859985,198700,404.859985
"2021-08-20",404.859985,411.350006,400.76001,402.25,285500,402.25
"2021-08-23",404.040009,406.450012,401.51001,402.779999,243900,402.779999
"2021-08-24",402.700012,404.820007,400.48999,402.269989,165700,402.269989
"2021-08-25",401.390015,407.559998,400.559998,407.100006,189300,407.100006
"2021-08-26",405.640015,409.170013,402.570007,407.350006,256100,407.350006
"2021-08-27",408.140015,412.100006,406.859985,407.350006,136400,407.350006
"2021-08-30",407.630005,414.570007,407.630005,413.059998,211000,413.059998
"2021-08-31",414.579987,415.920013,409.459991,414.019989,542400,414.019989
"2021-09-01",412.790009,418.160004,410.859985,416.119995,288800,416.119995
"2021-09-02",419,422.859985,418.73999,421.25,271700,421.25
"2021-09-03",420.380005,424.690002,418.869995,423.399994,213100,423.399994
"2021-09-07",423.130005,423.559998,413.76001,422.980011,303200,422.980011
"2021-09-08",421.700012,428.220001,419.869995,424.700012,259800,424.700012
"2021-09-09",425.649994,426.959991,421.380005,422.019989,229500,422.019989
"2021-09-10",423.950012,425.339996,419.619995,420.179993,289200,420.179993
"2021-09-13",423.049988,423.049988,400.51001,403.209991,411000,403.209991
"2021-09-14",405.829987,412.019989,404.059998,409.48999,300600,409.48999
"2021-09-15",409.369995,413.029999,407.459991,409.839996,322100,409.839996
"2021-09-16",410.049988,411.799988,396.470001,399.730011,539700,399.730011
"2021-09-17",399.970001,403.149994,394.369995,396.579987,715100,396.579987
"2021-09-20",390.920013,399.480011,389.160004,395.809998,487800,395.809998
"2021-09-21",399.660004,400.230011,391.76001,392.140015,308200,392.140015
"2021-09-22",394.480011,397,390.23999,395.579987,264000,395.579987
"2021-09-23",399.140015,405.059998,398.119995,402.109985,420600,402.109985
"2021-09-24",399.809998,399.809998,391.570007,393.579987,317000,393.579987
"2021-09-27",391.290009,391.820007,375.420013,380.75,446800,380.75
"2021-09-28",376.609985,377.209991,365.559998,366.880005,576400,366.880005
"2021-09-29",371.200012,374.859985,364.859985,365.170013,390900,365.170013
"2021-09-30",368.51001,370.619995,356.690002,357.299988,539700,357.299988
"2021-10-01",358.779999,359.98999,350.549988,355.700012,461900,355.700012
"2021-10-04",352.829987,356.459991,344.779999,347.540009,470400,347.540009
"2021-10-05",349.950012,354.73999,347.350006,349.320007,501300,349.320007
"2021-10-06",345.709991,351.350006,339.429993,343.640015,460900,343.640015
"2021-10-07",346.519989,350.459991,345.429993,346.309998,320400,346.309998
"2021-10-08",346.839996,350.190002,343.350006,343.399994,447200,343.399994
"2021-10-11",341.950012,346.049988,340.929993,341.380005,219200,341.380005
"2021-10-12",344.950012,344.950012,333.910004,338.730011,404300,338.730011
"2021-10-13",341.910004,342.910004,338.890015,341.420013,339000,341.420013
"2021-10-14",344.329987,349.019989,343.970001,344.940002,249600,344.940002
"2021-10-15",345.880005,345.970001,343.01001,344.709991,294500,344.709991
"2021-10-18",344.230011,348.859985,341.920013,347.679993,272900,347.679993
"2021-10-19",350.649994,354.600006,348.869995,349.540009,254800,349.540009
"2021-10-20",352.829987,356.790009,351.410004,356.049988,436000,356.049988
"2021-10-21",355.640015,361.140015,353.420013,361.01001,385800,361.01001
"2021-10-22",361.690002,365.339996,360.220001,364.48999,285700,364.48999
"2021-10-25",363.880005,370.799988,361.529999,366.579987,500800,366.579987
"2021-10-26",367.179993,367.609985,359.649994,362.059998,330500,362.059998
"2021-10-27",363.809998,364.070007,356.049988,361.170013,264600,361.170013
"2021-10-28",362.200012,366.149994,357.279999,361.339996,264700,361.339996
"2021-10-29",361.720001,367.820007,359.470001,367.549988,305200,367.549988
"2021-11-01",367.709991,369.950012,363.920013,364.600006,482500,364.600006
"2021-11-02",350.01001,356.269989,344.75,348.880005,659500,348.880005
"2021-11-03",349.630005,351.140015,340.630005,347.51001,550500,347.51001
"2021-11-04",347.859985,351.369995,342.859985,346.480011,266500,346.480011
"2021-11-05",343,344.470001,332.609985,343.059998,440400,343.059998
"2021-11-08",345.670013,350.029999,342.059998,349.920013,333800,349.920013
"2021-11-09",350.700012,354.51001,349.029999,350.149994,213500,350.149994
"2021-11-10",348.649994,353.029999,345.769989,351.48999,194300,351.48999
"2021-11-11",353.519989,354.119995,346.850006,350.5,224800,350.5
"2021-11-12",352.619995,358.5,348.700012,356.839996,274900,356.839996
"2021-11-15",357.910004,362.269989,344.480011,345.640015,305200,345.640015
"2021-11-16",345.709991,353.149994,344.790009,349.01001,323000,349.01001
"2021-11-17",350.140015,350.140015,343.070007,343.230011,299700,343.230011
"2021-11-18",344.559998,346.01001,340.549988,342.359985,263200,342.359985
"2021-11-19",344.720001,349.970001,344.160004,349.709991,311500,349.709991
"2021-11-22",350,355.130005,345.51001,346.459991,304000,346.459991
"2021-11-23",344.179993,348.809998,335.809998,342.640015,299200,342.640015
"2021-11-24",340.73999,344.459991,338.950012,343.869995,344100,343.869995
"2021-11-26",345.209991,351.859985,338.01001,338.429993,230100,338.429993
"2021-11-29",339.470001,346.709991,339.01001,341.220001,415300,341.220001
"2021-11-30",340.049988,344.459991,327.230011,328.070007,835600,328.070007
"2021-12-01",328.890015,337.75,324.350006,328.5,340000,328.5
"2021-12-02",327.649994,338.309998,327.649994,334,353000,334
"2021-12-03",336.209991,338.820007,327.190002,331.350006,363700,331.350006
"2021-12-06",331.890015,338.190002,330.01001,336.329987,315300,336.329987
"2021-12-07",341.920013,346.410004,341.880005,344.100006,264200,344.100006
"2021-12-08",345.320007,349.859985,343.220001,346.549988,250800,346.549988
"2021-12-09",346.109985,348.450012,343.649994,343.720001,186300,343.720001
"2021-12-10",344.5,347.75,338.940002,340.959991,285500,340.959991
"2021-12-13",342.109985,348.799988,341.359985,344.529999,284300,344.529999
"2021-12-14",341.899994,345.200012,338.429993,342.040009,664400,342.040009
"2021-12-15",345.73999,351.829987,340.130005,351.049988,593300,351.049988
"2021-12-16",350.76001,355.01001,348.429993,350.079987,382300,350.079987
"2021-12-17",347.899994,352.059998,342.350006,348.350006,998300,348.350006
"2021-12-20",347.76001,349.420013,338.140015,347.220001,594800,347.220001
"2021-12-21",348.119995,354.089996,344.959991,349.420013,465500,349.420013
"2021-12-22",350.209991,361.350006,349.220001,361.059998,306800,361.059998
"2021-12-23",362.230011,364.950012,361.059998,361.709991,333200,361.709991
"2021-12-27",364.049988,368.540009,362.769989,367.609985,275500,367.609985
"2021-12-28",368.73999,370.25,366.329987,367.529999,181400,367.529999
"2021-12-29",368.630005,372.380005,367.029999,370.820007,305300,370.820007
"2021-12-30",371.700012,373.609985,368.140015,372.01001,250300,372.01001
"2021-12-31",371.109985,375.23999,370.410004,372.600006,222200,372.600006
"2022-01-03",372.23999,372.23999,359.01001,364.589996,445500,364.589996
"2022-01-04",362.109985,363.059998,354.399994,356.410004,460100,356.410004
"2022-01-05",355.320007,359.600006,347.480011,350.720001,630600,350.720001
"2022-01-06",347.190002,355.070007,347.01001,352.559998,516900,352.559998
"2022-01-07",352,355.029999,342.309998,347.029999,560000,347.029999
"2022-01-10",342.980011,345.359985,331.170013,345.029999,582400,345.029999
"2022-01-11",345.799988,347.51001,342.059998,344.420013,424500,344.420013
"2022-01-12",345.98999,352,340.640015,343.820007,316800,343.820007
"2022-01-13",344.079987,344.079987,331.600006,337.940002,361900,337.940002
"2022-01-14",335.559998,337.899994,329.529999,333.730011,285200,333.730011
"2022-01-18",327.140015,327.790009,323.450012,325.399994,312800,325.399994
