"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"2020-07-01",180.470001,182.610001,179.759995,180.149994,468500,180.149994
"2020-07-02",182.5,183.809998,180.699997,180.820007,438100,180.820007
"2020-07-06",182.889999,184.949997,182.759995,184.360001,371300,184.360001
"2020-07-07",182.949997,188.660004,182.460007,185.339996,814700,185.339996
"2020-07-08",186.029999,187.470001,183.789993,185.050003,434000,185.050003
"2020-07-09",184.270004,190.110001,182.75,188.630005,639700,188.630005
"2020-07-10",188.639999,189.5,185.089996,188.75,411200,188.75
"2020-07-13",191.100006,196.449997,191,193.270004,1000900,193.270004
"2020-07-14",192.869995,198.270004,192.619995,198.070007,468800,198.070007
"2020-07-15",211.509995,239.740005,209.669998,220.800003,1799300,220.800003
"2020-07-16",222.449997,227.669998,220.050003,224.039993,944400,224.039993
"2020-07-17",225.130005,227.539993,224.089996,226.889999,550200,226.889999
"2020-07-20",226.320007,229.5,225.100006,227.059998,493300,227.059998
"2020-07-21",226,226.970001,221.050003,222.820007,807400,222.820007
"2020-07-22",224.089996,226.899994,223.029999,223.839996,556000,223.839996
"2020-07-23",224.410004,228.649994,224.179993,226.380005,622600,226.380005
"2020-07-24",225.320007,225.779999,220.360001,223.050003,406600,223.050003
"2020-07-27",223.070007,227.690002,221.880005,227.449997,559000,227.449997
"2020-07-28",226.539993,229.839996,220.350006,223.490005,836100,223.490005
"2020-07-29",224.190002,225.5,216.029999,216.520004,686100,216.520004
"2020-07-30",214.210007,215.229996,211.740005,212.759995,665900,212.759995
"2020-07-31",212.309998,214.550003,210.720001,213.149994,459100,213.149994
"2020-08-03",214.179993,216.389999,212.449997,213.050003,431700,213.050003
"2020-08-04",212.009995,212.009995,208.759995,210.100006,396000,210.100006
"2020-08-05",211.460007,212.880005,210.410004,211.179993,400600,211.179993
"2020-08-06",211.169998,212.960007,208.399994,210.639999,390200,210.639999
"2020-08-07",210.639999,212.850006,209.860001,212.339996,418000,212.339996
"2020-08-10",212.649994,213.539993,211.889999,212.710007,321300,212.710007
"2020-08-11",213.860001,215.110001,212.820007,213.639999,360600,213.639999
"2020-08-12",215.729996,216.929993,211.949997,215.210007,390900,215.210007
"2020-08-13",214.009995,217.479996,213.130005,217,482800,217
"2020-08-14",216.350006,217,214.740005,215.399994,299300,215.399994
"2020-08-17",216.910004,217.070007,215.009995,215.679993,297400,215.679993
"2020-08-18",215.800003,216.169998,213.199997,215.059998,294500,215.059998
"2020-08-19",216.389999,219.419998,215.080002,216.949997,431200,216.949997
"2020-08-20",215.289993,215.699997,212.139999,214.729996,303200,214.729996
"2020-08-21",214.449997,217.970001,212.300003,216.240005,1083200,216.240005
"2020-08-24",217.729996,219.889999,214.039993,215.020004,742200,215.020004
"2020-08-25",215.169998,219.089996,214.649994,216.139999,478700,216.139999
"2020-08-26",215.949997,216.529999,214.960007,216.089996,415800,216.089996
"2020-08-27",216.089996,217.419998,213.949997,215.759995,321500,215.759995
"2020-08-28",216.179993,217.600006,214.399994,217.429993,294700,217.429993
"2020-08-31",217.820007,217.820007,215.529999,216.259995,363600,216.259995
"2020-09-01",216.360001,216.899994,211.630005,212.020004,399900,212.020004
"2020-09-02",213.240005,217.899994,210.309998,217.070007,383200,217.070007
"2020-09-03",218,218.479996,207.289993,208.990005,442000,208.990005
"2020-09-04",209.669998,210.460007,203.630005,206.070007,466100,206.070007
"2020-09-08",203.050003,207,201.470001,204.369995,627200,204.369995
"2020-09-09",205.919998,208.020004,205.619995,206.240005,315200,206.240005
"2020-09-10",207.649994,208.229996,203.449997,204.029999,424900,204.029999
"2020-09-11",205.039993,206.740005,202.990005,203.929993,366400,203.929993
"2020-09-14",206.009995,206.990005,204.330002,205.279999,394700,205.279999
"2020-09-15",206.520004,209.149994,205.25,205.610001,496800,205.610001
"2020-09-16",206.960007,208.100006,206.289993,206.589996,495700,206.589996
"2020-09-17",204.940002,208.050003,202.929993,203.800003,366600,203.800003
"2020-09-18",202.369995,204,195.289993,195.470001,790600,195.470001
"2020-09-21",193.080002,194.440002,189.119995,194.360001,350800,194.360001
"2020-09-22",193.050003,194.630005,192.169998,194.229996,313000,194.229996
"2020-09-23",194.509995,195.75,190.380005,190.600006,241400,190.600006
"2020-09-24",190.070007,190.940002,187.309998,189.639999,264900,189.639999
"2020-09-25",189.149994,191.990005,188.220001,191.059998,317000,191.059998
"2020-09-28",193.410004,195.149994,192.309998,193.289993,236800,193.289993
"2020-09-29",193.070007,195.119995,191.619995,193.389999,266900,193.389999
"2020-09-30",194.190002,198.050003,194.190002,195.679993,370200,195.679993
"2020-10-01",197.25,198.679993,194.070007,195.679993,438700,195.679993
"2020-10-02",193.490005,197.580002,192.539993,195.889999,284900,195.889999
"2020-10-05",197.960007,200.960007,197.059998,198.649994,259700,198.649994
"2020-10-06",199.169998,200.179993,195.809998,196.679993,229100,196.679993
"2020-10-07",196.460007,201.229996,196.460007,200.089996,367700,200.089996
"2020-10-08",201.649994,202.289993,199.199997,201.190002,242300,201.190002
"2020-10-09",201.889999,203.199997,200.690002,202.800003,262900,202.800003
"2020-10-12",204.009995,204.960007,201.789993,202.130005,313500,202.130005
"2020-10-13",205.350006,217.440002,203.710007,216.449997,884200,216.449997
"2020-10-14",215.440002,218.199997,212.160004,212.190002,505800,212.190002
"2020-10-15",210.059998,214.610001,209.139999,213.699997,283200,213.699997
"2020-10-16",215.039993,215.039993,210.880005,211.100006,320700,211.100006
"2020-10-19",211.309998,212.139999,208.809998,209.869995,297200,209.869995
"2020-10-20",211.440002,214.490005,209.990005,213.080002,361700,213.080002
"2020-10-21",214.460007,218.160004,214,214.899994,436200,214.899994
"2020-10-22",215.600006,222.639999,215.589996,221.979996,366100,221.979996
"2020-10-23",222.410004,223.570007,218.899994,221.949997,372900,221.949997
"2020-10-26",219.940002,221.220001,216.759995,220.309998,424700,220.309998
"2020-10-27",225,229.919998,216.380005,223.960007,901900,223.960007
"2020-10-28",220.800003,229.080002,220.149994,224.770004,485500,224.770004
"2020-10-29",224.5,227.779999,220.130005,225.580002,628200,225.580002
"2020-10-30",224.789993,226.419998,219.130005,222.820007,507000,222.820007
"2020-11-02",225.119995,228.399994,220.720001,222.220001,586000,222.220001
"2020-11-03",225.309998,227.110001,216.880005,217.130005,580800,217.130005
"2020-11-04",218.449997,220.660004,212.850006,213.070007,655500,213.070007
"2020-11-05",216.320007,220.639999,213.410004,217.699997,433200,217.699997
"2020-11-06",219.199997,225.300003,217.669998,222.479996,413200,222.479996
"2020-11-09",229.960007,232.949997,224.479996,230.440002,721000,230.440002
"2020-11-10",230,230.25,222.990005,225.309998,523800,225.309998
"2020-11-11",226,228.589996,221.130005,223.139999,463200,223.139999
"2020-11-12",223.410004,229.639999,223.410004,226.570007,351600,226.570007
"2020-11-13",227.550003,233,227.190002,232.649994,469900,232.649994
"2020-11-16",232.990005,234.759995,230.580002,231.839996,488300,231.839996
"2020-11-17",230.289993,233.070007,229.509995,231.190002,276500,231.190002
"2020-11-18",230.690002,231.949997,224.350006,224.690002,247100,224.690002
"2020-11-19",223.470001,228.110001,222.529999,226.350006,264600,226.350006
"2020-11-20",226.229996,229.770004,223.929993,225.399994,910200,225.399994
"2020-11-23",225.559998,229.300003,224.880005,228.490005,461700,228.490005
"2020-11-24",231.130005,235.460007,229.419998,232.25,451000,232.25
"2020-11-25",231.089996,232.809998,224.740005,226.740005,419600,226.740005
"2020-11-27",227.339996,228.910004,225.889999,228.270004,142900,228.270004
"2020-11-30",227.279999,232.050003,225.820007,232.009995,562600,232.009995
"2020-12-01",234.940002,236.039993,231.460007,234.190002,655200,234.190002
"2020-12-02",232.759995,235.929993,231.919998,235.119995,232900,235.119995
"2020-12-03",234.710007,237.470001,230.050003,232.589996,263600,232.589996
"2020-12-04",233.770004,238,233.240005,237.740005,377000,237.740005
"2020-12-07",237.339996,238,235.029999,236.490005,227300,236.490005
"2020-12-08",235.440002,239.309998,235.440002,239.229996,259800,239.229996
"2020-12-09",238.75,239.529999,236.940002,239.130005,259000,239.130005
"2020-12-10",238.759995,242.229996,238.740005,241.559998,288000,241.559998
"2020-12-11",240.539993,242.699997,238.630005,240.330002,263200,240.330002
"2020-12-14",242.809998,247.520004,240.589996,240.75,619800,240.75
"2020-12-15",241.279999,244.669998,240.600006,244.270004,269400,244.270004
"2020-12-16",246.399994,247.880005,241.699997,242.449997,351500,242.449997
