"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"2020-11-27",275.23999,276.579987,274.359985,275.98999,1625300,265.58609
"2020-11-30",275.220001,277.76001,271.920013,277.410004,4624100,266.952545
"2020-12-01",278.730011,278.950012,275.549988,276.600006,3942400,266.173096
"2020-12-02",273.970001,274.109985,269.570007,271.100006,4168600,262.302887
"2020-12-03",270.630005,271.929993,267.140015,268.140015,4168900,259.438965
"2020-12-04",267.470001,268.730011,262.820007,263.98999,7732800,255.42363
"2020-12-07",263.5,264.5,261,262.640015,6379000,254.117462
"2020-12-08",261.720001,262.5,258.730011,261.720001,5338100,253.22731
"2020-12-09",264.609985,265.769989,262.25,265.579987,4550100,256.962036
"2020-12-10",264.079987,266.070007,262.109985,264.809998,4234300,256.21701
"2020-12-11",263.359985,265.359985,262.649994,264.549988,3454500,255.965454
"2020-12-14",266.140015,268.600006,265.269989,265.579987,4576800,256.962036
"2020-12-15",267.51001,268.76001,266.200012,267.980011,3754100,259.284149
"2020-12-16",268.529999,270.75,267.51001,269.589996,4669600,260.841888
"2020-12-17",272.160004,274.329987,271.299988,273.970001,4247000,265.079742
"2020-12-18",274.589996,275.73999,270.299988,270.450012,9817000,261.674042
"2020-12-21",268.559998,271.950012,265.880005,270.98999,4339000,262.196472
"2020-12-22",270.059998,271.359985,268.51001,270.040009,3140100,261.277344
"2020-12-23",270.059998,271,268.200012,269.809998,2337100,261.054749
"2020-12-24",269.440002,271.359985,269.399994,270.920013,1093900,262.128754
"2020-12-28",272.170013,272.25,269.23999,269.25,2633800,260.512939
"2020-12-29",269.980011,270.459991,265.070007,266.190002,2572100,257.552246
"2020-12-30",266.109985,267.299988,264.920013,265.26001,2511400,256.652405
"2020-12-31",265.570007,265.950012,263.579987,265.619995,2607900,257.000702
"2021-01-04",266.01001,266.440002,261.059998,263.920013,5002000,255.355911
"2021-01-05",262.660004,266.529999,262.26001,266.049988,3822600,257.416779
"2021-01-06",264.059998,269.769989,261.869995,267.570007,3949200,258.887451
"2021-01-07",266.950012,268.779999,266.170013,266.26001,3833200,257.619995
"2021-01-08",267.350006,270.730011,267,269.089996,3757700,260.358124
"2021-01-11",267.470001,273.369995,267.26001,271.230011,3764400,262.42868
"2021-01-12",271.109985,277.940002,270.649994,276.329987,4030900,267.363159
"2021-01-13",278.309998,280.480011,273.940002,274.049988,3921400,265.157135
"2021-01-14",274.5,274.899994,267.670013,268.339996,4641400,259.632446
"2021-01-15",268.630005,276.390015,268,275.589996,5131700,266.647247
"2021-01-19",278,278,273.019989,273.190002,3615800,264.325043
"2021-01-20",273.25,277.209991,271.5,274.299988,3498400,265.399048
"2021-01-21",276.220001,280.700012,275.670013,279.049988,4397900,269.994934
"2021-01-22",279.26001,285.079987,277.869995,284,4501900,274.784271
"2021-01-25",283.850006,285.769989,281.420013,285.079987,4025900,275.829224
"2021-01-26",285.420013,285.649994,281.700012,282.600006,2472200,273.429718
"2021-01-27",279.98999,280.809998,273.079987,274.049988,4337000,265.157135
"2021-01-28",276.170013,282.959991,274.929993,278.049988,3463000,269.027344
"2021-01-29",275.809998,277.059998,270.029999,270.820007,4079500,262.031982
"2021-02-01",271.230011,272.649994,267.25,270.070007,3707800,261.306335
"2021-02-02",270,275.690002,269.98999,272.160004,4111800,263.328491
"2021-02-03",271.890015,275.720001,270.709991,274.170013,2802700,265.273285
"2021-02-04",274.25,279.440002,274.25,278.820007,2976000,269.77243
"2021-02-05",280.290009,281.76001,277.809998,278.859985,2389900,269.811096
"2021-02-08",279.690002,280.420013,276.890015,280.029999,3475600,270.943115
"2021-02-09",279.660004,280.200012,276.619995,276.769989,2507800,267.788879
"2021-02-10",278.029999,278.929993,276.25,278.690002,2410600,269.646606
"2021-02-11",277.929993,280.25,276.01001,277.059998,2595300,268.069519
"2021-02-12",277.119995,278.709991,276.579987,277.51001,2392200,268.504913
"2021-02-16",277.01001,278.630005,274.880005,275.390015,2873500,266.453705
"2021-02-17",275.540009,281.790009,275.399994,280.920013,3536400,271.80426
"2021-02-18",280.799988,284.679993,279.829987,283.049988,3532000,273.865112
"2021-02-19",282.869995,283.910004,279.440002,279.640015,4079900,270.565826
"2021-02-22",278.209991,278.48999,273.630005,275.850006,3995500,266.898804
"2021-02-23",269.380005,269.670013,257.579987,267.23999,12111000,258.568176
"2021-02-24",263.230011,266.98999,254.029999,259.970001,14512700,251.534088
"2021-02-25",259.75,260.899994,254.710007,255.25,6545400,246.967224
"2021-02-26",257.769989,260.23999,256.109985,258.339996,7871200,249.95697
"2021-03-01",258.809998,262.480011,258.470001,261.619995,4528900,253.130508
"2021-03-02",261.679993,263.109985,259.769989,260.290009,3740300,251.843674
"2021-03-03",259.279999,260.5,256.01001,257.359985,4257500,249.008759
"2021-03-04",256,256.859985,247.100006,250.929993,7154900,242.787415
"2021-03-05",252.259995,254.199997,246.589996,253.520004,6351800,245.29335
"2021-03-08",254.229996,263.230011,252.520004,259.029999,5037400,250.624588
"2021-03-09",262.730011,267.570007,261.790009,264.959991,6625300,256.362152
"2021-03-10",265.920013,268.75,264.079987,266.23999,3798400,259.214844
"2021-03-11",268.600006,270.779999,267.200012,268.850006,4371300,261.755981
"2021-03-12",267.450012,273.809998,266.76001,273.100006,4190500,265.89386
"2021-03-15",274.5,279.649994,274.339996,278.540009,4355200,271.190277
"2021-03-16",278.540009,282.519989,277.649994,282.079987,4458900,274.636841
"2021-03-17",281.140015,283.880005,279.25,280.029999,5908400,272.64093
"2021-03-18",279.029999,285.470001,277.76001,283.160004,4808100,275.688385
"2021-03-19",283.640015,289.100006,282.429993,289.100006,13729200,281.47168
"2021-03-22",286.5,290.329987,284.200012,288.940002,5564700,281.315857
"2021-03-23",289.609985,293.429993,288.940002,289.980011,4801200,282.32843
"2021-03-24",289.26001,296.779999,288.98999,292.75,4842000,285.02533
"2021-03-25",293.029999,297.880005,292.459991,297.179993,5373500,289.33847
"2021-03-26",297.339996,304,296.029999,303.809998,5865900,295.793488
"2021-03-29",303.299988,305.549988,299.929993,302.200012,4642900,294.225952
"2021-03-30",301.649994,305.679993,300.040009,304.820007,5045400,296.776855
"2021-03-31",305.5,308.019989,304.140015,305.25,4744100,297.195465
"2021-04-01",306.880005,308.549988,303.890015,307.75,3923900,299.629517
"2021-04-05",309.839996,315.850006,309.73999,315.399994,4697200,307.077698
"2021-04-06",313.609985,315.940002,313.130005,313.779999,3988600,305.500397
"2021-04-07",312.839996,315.140015,310.929993,312.470001,3799300,304.224976
"2021-04-08",312.700012,315.25,310.589996,314.429993,4035600,306.13324
"2021-04-09",315.369995,319.320007,314.75,319.230011,4607800,310.80661
"2021-04-12",317.720001,321.309998,317.309998,320.790009,3556800,312.32547
"2021-04-13",320.529999,320.899994,317,320.399994,3635100,311.945709
"2021-04-14",319.709991,322.700012,319.290009,320.019989,3440600,311.575714
"2021-04-15",320.209991,323.399994,320.049988,322.73999,3508200,314.223969
"2021-04-16",324.839996,328.670013,323.940002,328.079987,6213100,319.423065
"2021-04-19",326.48999,328.829987,325.440002,326.850006,4494300,318.225555
"2021-04-20",326,327.690002,322.160004,323.959991,4462900,315.411774
"2021-04-21",324.959991,327.910004,323.890015,325.950012,3740100,317.349304
"2021-04-22",326.200012,326.429993,318.839996,321.459991,4875000,312.977753
"2021-04-23",322.190002,325.529999,319.579987,323.890015,3405700,315.343658
"2021-04-26",323.679993,324,319.320007,319.98999,2848500,311.54657
"2021-04-27",320.5,322.470001,320.380005,320.589996,3335800,312.130707
"2021-04-28",321.950012,322.959991,319.299988,319.709991,2713400,311.273895
"2021-04-29",321.709991,325.790009,321.079987,325.339996,3261900,316.755371
"2021-04-30",325.049988,325.829987,321.609985,323.670013,3118700,315.129456
"2021-05-03",326.279999,331.619995,325.679993,330.269989,3683700,321.555267
"2021-05-04",329.119995,333.230011,328.880005,332.769989,3954400,323.989319
"2021-05-05",334.25,334.25,331.160004,332.049988,3227200,323.2883
"2021-05-06",333.670013,337.809998,333.230011,337.579987,3539600,328.672394
