"","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
"2020-07-01",625,625,601.02002,609.169983,984700,609.169983
"2020-07-02",612.099976,630.76001,608.76001,622.450012,802500,622.450012
"2020-07-06",635,639,623.5,627.25,1041000,627.25
"2020-07-07",636.030029,653.530029,628.22998,640.880005,1423100,640.880005
"2020-07-08",650.409973,650.48999,632.419983,640.340027,660100,640.340027
"2020-07-09",648,655.929993,629,640.630005,1009600,640.630005
"2020-07-10",638.400024,639.98999,617.950012,620.859985,929000,620.859985
"2020-07-13",623.669983,633.840027,614.109985,615.880005,733200,615.880005
"2020-07-14",615.580017,644.340027,612.200012,641.22998,864200,641.22998
"2020-07-15",641.98999,644.73999,626.5,632.73999,568800,632.73999
"2020-07-16",628.75,634.26001,621.98999,632.210022,410300,632.210022
"2020-07-17",635,650,632.210022,644.059998,713700,644.059998
"2020-07-20",646.640015,664.640015,646.5,658.210022,671100,658.210022
"2020-07-21",658,658,635.640015,638.859985,753400,638.859985
"2020-07-22",642.590027,644.059998,634.359985,637.530029,497200,637.530029
"2020-07-23",637.919983,644.320007,628.340027,630.309998,571300,630.309998
"2020-07-24",623.700012,623.700012,596.02002,608.940002,1206000,608.940002
"2020-07-27",620,638.419983,613.289978,637.400024,850800,637.400024
"2020-07-28",636.200012,638.359985,629.070007,631,452000,631
"2020-07-29",634.049988,634.469971,625.880005,632.159973,369900,632.159973
"2020-07-30",625.719971,641.380005,625.719971,631.469971,615700,631.469971
"2020-07-31",634.679993,634.789978,620.059998,632.070007,663000,632.070007
"2020-08-03",634.840027,647.400024,632.72998,645.179993,487200,645.179993
"2020-08-04",654.460022,654.460022,636.099976,648.429993,747700,648.429993
"2020-08-05",654.950012,660,623.900024,624.52002,1132700,624.52002
"2020-08-06",628.880005,630,613.599976,621.210022,663500,621.210022
"2020-08-07",621,627.460022,614.549988,620.210022,432600,620.210022
"2020-08-10",623,624.359985,596.580017,608.23999,624300,608.23999
"2020-08-11",601.109985,608.23999,592.450012,598.859985,587200,598.859985
"2020-08-12",599.900024,617,599.900024,612.349976,562600,612.349976
