"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"2020-08-17",64.459999,64.529999,63.709999,63.959999,1785500,62.387337
"2020-08-18",63.849998,64.400002,63.375,63.450001,1680200,61.889889
"2020-08-19",63.48,63.59,62.59,62.919998,1549000,61.37291
"2020-08-20",62.16,63.25,61.810001,62.970001,1291500,61.61755
"2020-08-21",63.029999,63.740002,62.59,63.630001,2649500,62.263371
"2020-08-24",63.610001,64.230003,63.040001,63.799999,3199900,62.429714
"2020-08-25",64.410004,64.809998,63.904999,64.290001,1604100,62.909195
"2020-08-26",64.279999,64.790001,63.748001,64.18,1161900,62.801559
"2020-08-27",64.470001,64.904999,63.169998,63.23,1341700,61.87196
"2020-08-28",63.27,63.630001,62.650002,63.59,1129900,62.224228
"2020-08-31",63.610001,63.84,62.84,62.900002,1736400,61.549046
"2020-09-01",62.52,64.279999,62.325001,64.050003,2334100,62.674355
"2020-09-02",63.73,65.559998,63.650002,65.339996,1827200,63.936634
"2020-09-03",64.879997,65.449997,61.060001,61.849998,3096800,60.521603
"2020-09-04",62.5,62.599998,60.43,61.490002,2697000,60.169331
"2020-09-08",61.43,61.75,60.459999,60.630001,2137900,59.327805
"2020-09-09",61.029999,62.529999,61,62.080002,1888500,60.746666
"2020-09-10",61.98,61.98,59.73,59.900002,3828900,58.613487
"2020-09-11",60.259998,60.709999,59.775002,60.139999,2273400,58.848328
"2020-09-14",60.57,60.57,59.067001,59.990002,2420100,58.701557
"2020-09-15",60.029999,61.619999,60.029999,60.299999,1629400,59.004894
"2020-09-16",60.860001,61.009998,59.400002,59.790001,2457000,58.505852
"2020-09-17",58.75,61.09,58.040001,61.040001,2219900,59.728996
"2020-09-18",61.16,62.639999,60.389999,60.880001,3806500,59.572433
"2020-09-21",60,60.220001,58.669998,59.41,2512100,58.134007
"2020-09-22",58.939999,61.119999,58.860001,60.990002,1841500,59.680073
"2020-09-23",60.77,61.77,60.200001,60.41,1733700,59.112526
"2020-09-24",60.849998,62.75,60.459999,62.080002,2374800,60.746666
"2020-09-25",61.610001,62.349998,61.189999,61.549999,1557600,60.228043
"2020-09-28",62.27,62.880001,61.900002,62.509998,1233900,61.167423
"2020-09-29",62.419998,62.759998,61.880001,62.41,1435400,61.069572
"2020-09-30",62.709999,63.599998,61.950001,62.419998,2494000,61.079361
"2020-10-01",62.869999,64.220001,61.759998,62.369999,2342500,61.03043
"2020-10-02",61.619999,63.439999,61.509998,63.16,1447800,61.803459
"2020-10-05",63.740002,64.629997,63.235001,64.540001,1447700,63.15382
"2020-10-06",64.43,65,63.485001,63.830002,2107000,62.459072
"2020-10-07",64.629997,65.620003,64.375,65.050003,1648100,63.652878
"2020-10-08",64.790001,65.510002,64.480003,64.709999,1213200,63.320171
"2020-10-09",65.019997,65.669998,64.300003,65.349998,1187000,63.946438
"2020-10-12",65.849998,65.985001,65.169998,65.690002,1185800,64.279129
"2020-10-13",65.160004,65.800003,64.615997,65.129997,1415900,63.731148
"2020-10-14",65.5,66,64.529999,65.610001,1633600,64.200844
"2020-10-15",64.669998,65.434998,64.010002,65.199997,982100,63.799652
"2020-10-16",65.300003,65.809998,64.809998,65.029999,1047500,63.633301
"2020-10-19",64.900002,65.440002,64.080002,64.360001,910500,62.977688
"2020-10-20",64.68,65.739998,64.339996,64.389999,720000,63.007046
"2020-10-21",64.25,64.830002,63.709999,63.720001,1082600,62.35144
"2020-10-22",63.990002,63.990002,62.98,63.240002,4980300,61.881744
"2020-10-23",63.470001,64.019997,63.119999,63.450001,2308600,62.087238
"2020-10-26",63.84,63.889999,61.369999,63.209999,3026000,61.852394
"2020-10-27",62.91,63.240002,61.860001,61.970001,1973200,60.639027
"2020-10-28",61.009998,61.259998,58.77,58.990002,2570900,57.72303
"2020-10-29",58.889999,61.189999,58.799999,60.790001,2122600,59.484367
"2020-10-30",60.349998,61.299999,59.799999,61.279999,2036100,59.96384
"2020-11-02",62.189999,62.77,61.09,62.139999,1819100,60.805374
"2020-11-03",62.93,63.849998,62.080002,62.709999,1545600,61.363129
"2020-11-04",62.68,63.645,61.950001,62.299999,2042700,60.961941
"2020-11-05",63.32,63.950001,62.59,62.630001,1495700,61.284847
"2020-11-06",62.970001,63.810001,62.669998,63.580002,1145800,62.214443
"2020-11-09",67,67.290001,63.43,63.5,2420100,62.136158
"2020-11-10",63.380001,65.917999,63.32,65.739998,2174600,64.328049
"2020-11-11",65.860001,66.330002,64.739998,66.120003,1319500,64.69989
"2020-11-12",66.18,66.459999,65.419998,65.989998,1774700,64.572678
"2020-11-13",66.239998,66.739998,65.230003,65.57,1438500,64.161705
"2020-11-16",66.220001,67.639999,65.68,67.389999,2338900,65.942612
"2020-11-17",67.160004,67.949997,66.305,67.199997,1465000,65.756691
"2020-11-18",67.309998,67.980003,66.510002,66.629997,2182800,65.198936
"2020-11-19",66.629997,67.190002,65.599998,66.160004,1809900,64.933945
"2020-11-20",66.089996,66.739998,66,66.32,1811200,65.090973
"2020-11-23",66.639999,67.529999,66.550003,67.25,1885500,66.003738
"2020-11-24",68.040001,68.040001,66.879997,67.400002,4738800,66.150955
"2020-11-25",67.440002,67.470001,66.419998,67.379997,1125400,66.131332
"2020-11-27",67.550003,68.209999,66.900002,67.339996,1645000,66.092056
"2020-11-30",66.839996,67.699997,66.379997,66.940002,1831000,65.699493
"2020-12-01",67.419998,68.160004,66.769997,66.830002,2928100,65.591522
"2020-12-02",66.919998,67.269997,65.559998,65.690002,1379600,64.472656
"2020-12-03",65.769997,66.849998,65.360001,65.489998,1061900,64.276344
