"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2020-09-18",112.199997,114.419998,112.050003,113.870003,1364800,109.69651
"2020-09-21",112.18,118.190002,111.889999,118.150002,1913200,113.819641
"2020-09-22",117.269997,118.010002,114.449997,115.230003,1272100,111.00666
"2020-09-23",115.32,115.32,110.940002,111.32,1257100,107.239967
"2020-09-24",111.110001,111.300003,109.010002,109.190002,993700,105.188042
"2020-09-25",108.879997,112.32,108.279999,111.699997,1137900,107.606041
"2020-09-28",112.68,115.400002,112.660004,113.879997,953400,109.706139
"2020-09-29",114.010002,114.730003,112.650002,113.650002,635700,109.484566
"2020-09-30",114.32,115.349998,113.559998,114.489998,1013700,110.293777
"2020-10-01",115.089996,115.639999,112.379997,112.699997,858400,108.569389
"2020-10-02",111.529999,115.150002,109.5,113.870003,937600,109.69651
"2020-10-05",114.959999,116,114.139999,115.389999,829700,111.710167
"2020-10-06",115.760002,117.620003,114.889999,116.209999,819500,112.504021
"2020-10-07",116.75,117.970001,115.900002,116.449997,695400,112.736374
"2020-10-08",116.860001,117.419998,116.059998,116.279999,592700,112.571785
"2020-10-09",116.809998,117.690002,115.769997,116.669998,468900,112.949348
"2020-10-12",117.230003,117.730003,116.07,116.669998,529600,112.949348
"2020-10-13",116.07,117.470001,115.690002,117.139999,984600,113.404366
"2020-10-14",117.839996,119.370003,116.339996,117.620003,638600,113.869064
"2020-10-15",116.239998,118.349998,115.93,118.139999,510100,114.372475
"2020-10-16",118.589996,122.860001,118.550003,120.199997,1807200,116.366768
"2020-10-19",120.540001,121.769997,120.309998,120.830002,1075500,116.976685
"2020-10-20",120.790001,123.699997,120.75,123.32,1076700,119.387283
"2020-10-21",124.75,125.800003,122.730003,122.830002,1650900,118.912903
"2020-10-22",122.559998,127.120003,120.730003,126.339996,1843400,122.310974
"2020-10-23",126.43,130.839996,125.790001,127.129997,1509900,123.075775
"2020-10-26",126.480003,126.480003,123.440002,124.32,1438000,120.355385
"2020-10-27",125.300003,127.809998,124.199997,127.150002,1514700,123.095146
"2020-10-28",125.07,127.330002,124.32,124.970001,1093500,120.984657
"2020-10-29",125.019997,125.050003,122.309998,122.970001,1202900,119.048447
"2020-10-30",122.900002,123.419998,119.870003,122.139999,988800,118.244911
"2020-11-02",123.110001,125.800003,122.730003,124.839996,1142900,120.858803
"2020-11-03",125.800003,127.5,125.470001,126.5,1243900,122.465866
"2020-11-04",127.690002,129.210007,125.599998,125.760002,1580300,121.749466
"2020-11-05",127.190002,128.669998,125.010002,128.050003,1284000,123.966454
"2020-11-06",128.080002,129.119995,126.510002,126.910004,869000,122.862801
"2020-11-09",118,125.160004,118,120.32,1869700,116.482948
"2020-11-10",120.480003,121.300003,118.449997,120.709999,1226400,116.860519
"2020-11-11",121.540001,124.040001,121.540001,123.260002,1008100,119.329193
"2020-11-12",122.959999,123.779999,120.610001,121.360001,744800,117.489777
"2020-11-13",121.769997,122.580002,120.870003,121.519997,918600,117.644684
"2020-11-16",121.949997,124.970001,119.589996,122.900002,989000,118.980682
"2020-11-17",122.32,124.620003,121.839996,123.940002,1068700,119.987511
"2020-11-18",123.919998,124.639999,122.120003,122.269997,1176800,118.370758
"2020-11-19",122.199997,123.279999,121.489998,122.809998,851700,118.893547
"2020-11-20",122.43,125.470001,122.43,124.809998,2407600,120.829758
"2020-11-23",125.580002,128.050003,124.809998,125.610001,962600,121.604248
"2020-11-24",126.120003,126.940002,124.57,126,954400,121.981812
"2020-11-25",126.110001,126.209999,124.260002,124.330002,706300,120.365074
"2020-11-27",123.940002,125.059998,123.809998,124.800003,405300,120.820091
"2020-11-30",124.879997,125.989998,123.25,123.980003,1459900,120.026222
"2020-12-01",125.239998,126.379997,124.449997,125.68,1074100,121.67202
"2020-12-02",125.629997,126.400002,124.07,124.379997,1005700,120.413475
"2020-12-03",124.209999,124.849998,121.849998,122.82,1262300,118.903229
"2020-12-04",122.800003,123.790001,122.389999,123.290001,780900,119.358231
"2020-12-07",123,123.949997,122.5,122.900002,823300,118.980682
"2020-12-08",122.720001,124.489998,122.720001,124.089996,1181400,120.132721
"2020-12-09",124.269997,125.690002,124.019997,124.169998,1018400,120.210175
"2020-12-10",123.860001,126.75,123.860001,125.470001,1142500,121.468712
"2020-12-11",125,125.709999,121.459999,122.059998,1419300,118.167458
"2020-12-14",123.589996,125.300003,122.949997,123.160004,1077600,119.232384
"2020-12-15",123.699997,124.970001,123.059998,124.5,1015300,120.52964
"2020-12-16",126.830002,126.900002,120.730003,120.980003,1801800,117.121895
"2020-12-17",120.019997,122.18,119.349998,120.720001,1651100,116.870201
"2020-12-18",120.860001,121.239998,119.139999,120.360001,1879300,116.521675
"2020-12-21",119.559998,120.879997,118.919998,120.839996,1727100,116.986359
"2020-12-22",120.860001,121.879997,120.559998,121.199997,1030400,117.334885
"2020-12-23",121.870003,122.099998,120.389999,120.830002,860100,116.976685
"2020-12-24",121.029999,121.639999,119.639999,120.230003,535300,116.395828
"2020-12-28",121.32,121.410004,118.199997,118.5,768200,114.721001
"2020-12-29",118.970001,118.989998,117.07,118.400002,970900,114.624184
"2020-12-30",119.099998,120.160004,117.830002,118.330002,614400,114.556404
"2020-12-31",118.029999,119.330002,117.260002,119.169998,886700,115.369614
"2021-01-04",120,121.260002,118.610001,121.120003,1182300,117.257446
"2021-01-05",121.470001,122.68,120.980003,121.739998,1698400,117.857674
"2021-01-06",121.139999,127.300003,121.110001,125.709999,1721600,121.701057
"2021-01-07",125.760002,126.209999,123.43,123.940002,2033000,119.987511
"2021-01-08",123.639999,124.480003,120.279999,122.970001,1699600,119.048447
"2021-01-11",122.68,124.970001,121.980003,123.629997,1135600,119.687386
"2021-01-12",124.019997,126.379997,123.610001,126.220001,1568500,122.194794
"2021-01-13",125.860001,127.690002,125.360001,125.449997,1043800,121.449348
"2021-01-14",126.269997,126.559998,124.769997,124.970001,1239300,120.984657
"2021-01-15",124.669998,125.32,123.330002,124.389999,3038500,120.423157
"2021-01-19",124.480003,127.160004,123.080002,125.989998,1029500,122.523735
"2021-01-20",126.089996,127.639999,125.220001,127.360001,1114100,123.856049
"2021-01-21",127.339996,127.709999,124.68,125.18,1070300,121.736023
"2021-01-22",124.989998,125.699997,123.589996,124.459999,1394400,121.03582
"2021-01-25",124.349998,125.760002,123.089996,124.970001,905300,121.531799
"2021-01-26",125.080002,126.260002,123.68,125.989998,965600,122.523735
"2021-01-27",125.300003,127.389999,124.5,125.120003,2268000,121.677673
"2021-01-28",125.669998,127.389999,123.599998,123.720001,964300,120.316185
"2021-01-29",124.760002,132.100006,124.010002,129.149994,1814500,125.596802
"2021-02-01",130.429993,134.710007,130.039993,133.339996,1425000,129.671509
"2021-02-02",133.389999,133.850006,130.860001,130.990005,1376600,127.386177
"2021-02-03",130.860001,131.949997,126,126.900002,1789700,123.408707
"2021-02-04",126.400002,128.160004,121.639999,121.989998,2313900,118.633774
"2021-02-05",121.370003,123.150002,119.599998,121.790001,1484100,118.439278
"2021-02-08",123,123.650002,121.400002,121.639999,1572500,118.293419
"2021-02-09",121.400002,122.830002,121.400002,121.790001,1275400,118.439278
"2021-02-10",122.910004,123.959999,121.82,123.550003,1160700,120.150871
"2021-02-11",124,125.559998,122.860001,125.059998,1388000,121.619308
"2021-02-12",125,126.879997,124.980003,126.019997,1206500,122.552902
"2021-02-16",126.589996,126.589996,121.769997,122.080002,1580900,118.721313
