"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2020-09-22",145.559998,147.880005,145.550003,146.960007,1075400,138.452942
"2020-09-23",147.119995,147.279999,144.619995,144.820007,1446100,136.436829
"2020-09-24",144.720001,147.169998,144.539993,146.479996,1110900,138.000717
"2020-09-25",146.009995,146.860001,145.399994,146.419998,1013700,137.944214
"2020-09-28",146.970001,148.429993,146.300003,147.559998,1483300,139.018204
"2020-09-29",147.600006,147.940002,146.020004,146.339996,965800,137.86882
"2020-09-30",146.940002,148.320007,146.679993,147.660004,1578800,139.112427
"2020-10-01",148.080002,148.649994,146.5,147.630005,1181700,139.084152
"2020-10-02",146.619995,148.509995,145.830002,147.429993,1101800,138.895737
"2020-10-05",147.339996,149.619995,147.339996,149.529999,1345900,140.874161
"2020-10-06",149.529999,151.460007,149.220001,150,1626400,141.316956
"2020-10-07",150.479996,151.690002,149.570007,150.850006,1139300,142.117767
"2020-10-08",151.199997,151.199997,149.770004,150.309998,1342300,141.609024
"2020-10-09",150.600006,152.75,150.5,152.490005,1221300,143.662842
"2020-10-12",153.070007,154.330002,152.529999,153.389999,1131100,144.510727
"2020-10-13",154.029999,155.449997,153.300003,154.220001,1856200,145.292679
"2020-10-14",153.720001,155.259995,151.259995,152.639999,1790900,143.804123
"2020-10-15",152.899994,155,152.25,154.320007,1080500,145.386902
"2020-10-16",154.050003,154.190002,152.679993,153.330002,1357300,144.454193
"2020-10-19",153.330002,154.149994,150.419998,150.809998,1132700,142.080063
"2020-10-20",152.289993,152.740005,148.009995,148.520004,1637300,139.922623
"2020-10-21",147.800003,149.520004,147.089996,148.380005,2179200,139.790756
"2020-10-22",140.75,142.429993,136.039993,138.089996,6301600,130.096405
"2020-10-23",138.559998,139.259995,136.710007,136.880005,2661600,128.956451
"2020-10-26",136.020004,137.399994,134.570007,135.690002,2295100,127.835327
"2020-10-27",136.600006,137.830002,134.759995,134.759995,1899700,126.959167
"2020-10-28",133.050003,134.080002,131.130005,132.990005,2728000,125.291626
"2020-10-29",132.389999,134.139999,130.550003,132.830002,2613300,125.140884
"2020-10-30",133.350006,134.559998,131.050003,132.589996,2140000,124.91478
"2020-11-02",134.270004,136.339996,133.699997,134.350006,1965100,126.572906
"2020-11-03",135.059998,137.110001,134.600006,135.350006,1821900,127.515007
"2020-11-04",136.169998,137.75,134.889999,135.119995,2240900,127.298317
"2020-11-05",136.589996,136.729996,134.199997,134.320007,1962500,126.54464
"2020-11-06",134.399994,136.949997,134.350006,136.179993,1681900,128.296967
"2020-11-09",135.160004,136.5,132.360001,132.660004,3282900,124.980713
"2020-11-10",132.399994,137.059998,131.139999,136.550003,2420700,128.645569
"2020-11-11",137.279999,137.910004,135.610001,137.779999,2335800,129.804337
"2020-11-12",138.020004,138.839996,136.550003,138.130005,2299400,130.134094
"2020-11-13",138.279999,140.350006,137.929993,140.339996,1655400,132.216125
"2020-11-16",139.169998,142.470001,138.660004,142.089996,3730800,133.864853
"2020-11-17",140.649994,144.440002,140.649994,143.830002,3224800,135.50412
