"","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted"
"2020-07-01",44.93,45.529999,44.709999,44.82,14316500,42.13665
"2020-07-02",45.290001,45.43,44.799999,44.880001,15111900,42.193062
"2020-07-06",45.139999,45.27,44.610001,45.23,15146000,42.522106
"2020-07-07",45,45.5,44.799999,45.209999,13043600,42.503304
"2020-07-08",45.139999,45.18,44.470001,45.07,13851200,42.371677
"2020-07-09",45.049999,45.049999,43.830002,43.91,16087100,41.281128
"2020-07-10",43.880001,45.25,43.860001,45.150002,15627800,42.446888
"2020-07-13",45.529999,45.68,44.959999,45.25,16705300,42.540909
"2020-07-14",44.91,45.939999,44.669998,45.869999,17080100,43.123787
"2020-07-15",46.299999,47.189999,46.200001,46.400002,23738000,43.622055
"2020-07-16",46.259998,46.689999,45.939999,46.150002,13306100,43.38702
"2020-07-17",46.470001,46.91,46.130001,46.82,13899800,44.016911
"2020-07-20",46.720001,46.830002,45.849998,46.119999,16633200,43.358818
"2020-07-21",47.52,47.990002,46.93,47.200001,25681500,44.374161
"2020-07-22",47.93,48.52,47.029999,48.48,29831200,45.577526
"2020-07-23",48.470001,48.57,48.029999,48.279999,15935000,45.389496
"2020-07-24",48.400002,48.799999,48.07,48.490002,16196800,45.586929
"2020-07-27",48.18,48.509998,48.18,48.48,17346500,45.577526
"2020-07-28",48.34,49.279999,48.099998,48.18,13872700,45.29549
"2020-07-29",48.139999,48.5,47.82,48.02,13758100,45.145069
"2020-07-30",47.669998,48.23,47.200001,47.689999,17276500,44.834824
"2020-07-31",47.439999,47.77,46.73,47.240002,14849200,44.411762
"2020-08-03",47.139999,47.360001,46.23,46.299999,14137500,43.528038
"2020-08-04",46.290001,46.860001,46.220001,46.689999,11717200,43.894691
"2020-08-05",46.900002,47.27,46.810001,47.220001,10498700,44.392963
"2020-08-06",46.66,47.529999,46.599998,47.48,10745000,44.637398
"2020-08-07",47.470001,48.080002,47.209999,47.799999,11669700,44.938236
"2020-08-10",48.060001,48.279999,47.66,47.720001,11888000,44.863029
"2020-08-11",48.459999,48.650002,47.700001,47.93,16531600,45.060452
"2020-08-12",48.299999,48.689999,48.119999,48.43,9562200,45.530521
"2020-08-13",48.259998,48.73,48.060001,48.380001,9882900,45.483513
"2020-08-14",48.34,48.689999,48.029999,48.450001,10075800,45.549316
"2020-08-17",48.32,48.75,48.200001,48.209999,9102400,45.323692
"2020-08-18",48.200001,48.5,47.959999,48.419998,9829000,45.521114
"2020-08-19",48.119999,48.380001,47.220001,47.369999,17371000,44.533978
