"","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted"
"2020-08-20",47.27,47.599998,47.09,47.349998,11308700,44.515175
"2020-08-21",47.34,47.5,46.970001,47.279999,14734100,44.449368
"2020-08-24",47.43,47.98,47.18,47.970001,9257700,45.098061
"2020-08-25",48,48.049999,47.650002,47.91,7827800,45.041649
"2020-08-26",47.759998,48.18,47.470001,48.16,10124200,45.276684
"2020-08-27",48.25,48.82,48.200001,48.23,10931600,45.342495
"2020-08-28",48.75,49.849998,48.529999,49.830002,16420300,46.84671
"2020-08-31",49.799999,50.07,49.349998,49.529999,18510800,46.564667
"2020-09-01",49.310001,49.349998,48.830002,49.119999,12588400,46.179211
"2020-09-02",49.360001,51.360001,49.360001,51.189999,26332600,48.125275
"2020-09-03",51.400002,52.139999,50.099998,50.48,22289400,47.457787
"2020-09-04",50.939999,51.470001,50.279999,51.040001,21019500,47.984272
"2020-09-08",50.93,51.040001,49.360001,49.810001,17776700,46.827908
"2020-09-09",49.599998,50.759998,49.549999,50.189999,15252300,47.18515
"2020-09-10",50.349998,50.68,49.950001,50,15439500,47.006531
"2020-09-11",50.400002,51.200001,50.099998,51.060001,18272300,48.003071
"2020-09-14",50.970001,51.23,50.57,50.709999,10911700,48.059925
"2020-09-15",51,51.380001,50.84,51.049999,12838400,48.38216
"2020-09-16",50.950001,51.450001,50.740002,50.790001,15353900,48.135746
"2020-09-17",50.220001,50.630001,49.939999,50.549999,13287100,47.908291
"2020-09-18",50.75,51.16,50.209999,50.450001,23816600,47.813511
"2020-09-21",49.75,50.02,48.610001,49.09,17514800,46.524593
"2020-09-22",49.110001,50.040001,49.07,49.66,13034600,47.0648
"2020-09-23",49.73,49.919998,48.169998,48.209999,17121200,45.690575
"2020-09-24",48.209999,49.099998,47.560001,48.700001,16788100,46.154968
"2020-09-25",48.200001,48.759998,47.98,48.720001,12603400,46.173927
"2020-09-28",49.310001,49.709999,49.139999,49.279999,11215700,46.704659
"2020-09-29",49.389999,49.560001,48.91,48.919998,12426600,46.363468
"2020-09-30",49.27,49.619999,48.889999,49.369999,15755900,46.789955
"2020-10-01",49.439999,49.66,48.59,49.18,17577300,46.609886
"2020-10-02",48.759998,49.580002,48.549999,49.360001,13610100,46.780479
"2020-10-05",49.43,49.549999,49.119999,49.380001,10628700,46.799435
"2020-10-06",49.549999,49.73,48.830002,48.939999,10077400,46.382427
"2020-10-07",49.02,49.759998,48.950001,49.560001,10135600,46.970028
"2020-10-08",49.709999,50.540001,49.540001,50.459999,12143900,47.82299
"2020-10-09",50.669998,51.23,50.599998,50.810001,11407800,48.154701
"2020-10-12",50.84,51.529999,50.830002,51.09,11386500,48.420063
"2020-10-13",50.990002,50.990002,49.900002,50.220001,14365300,47.595535
"2020-10-14",50.049999,50.490002,49.650002,50.119999,10582100,47.500763
"2020-10-15",49.400002,50.130001,49.299999,49.990002,9961700,47.377552
"2020-10-16",49.990002,50.349998,49.869999,50.029999,13569800,47.415462
"2020-10-19",50.029999,50.48,49.459999,49.619999,9930400,47.026894
"2020-10-20",49.889999,50.619999,49.790001,50.25,10970700,47.623966
"2020-10-21",49.959999,50.43,49.77,49.990002,12517400,47.377552
"2020-10-22",51.169998,51.200001,50.380001,50.68,20189200,48.03149
"2020-10-23",51,51.18,50.470001,50.52,13491300,47.87986
"2020-10-26",50.34,50.509998,49.200001,49.799999,14696400,47.197479
"2020-10-27",49.810001,50.290001,49.549999,49.900002,13892100,47.292259
"2020-10-28",49,49.150002,47.779999,47.959999,19886200,45.45364
"2020-10-29",47.73,48.48,47.299999,48.02,15369900,45.510506
"2020-10-30",47.810001,48.119999,47.369999,48.060001,15804000,45.548412
"2020-11-02",48.75,48.950001,48.240002,48.619999,15156100,46.079151
"2020-11-03",49.220001,49.959999,49,49.349998,15285100,46.770996
"2020-11-04",49.43,50.209999,49.080002,49.169998,12930800,46.60041
"2020-11-05",49.759998,50.209999,49.34,49.439999,12452400,46.856297
"2020-11-06",49.650002,49.990002,49.25,49.450001,9294900,46.865776
"2020-11-09",52.5,53.259998,52.07,52.57,33442000,49.82272
"2020-11-10",52.57,54.279999,52.450001,53.98,29706700,51.159039
"2020-11-11",53.93,54.299999,53.330002,53.580002,17399900,50.779945
"2020-11-12",53.049999,53.209999,52.610001,53.009998,15024400,50.239727
"2020-11-13",53.25,53.5,52.889999,53.450001,12447900,50.656734
"2020-11-16",54.5,54.619999,53.279999,53.849998,14908200,51.035831
"2020-11-17",53.66,53.75,53.029999,53.68,14248400,50.874718
"2020-11-18",53.75,54.02,52.560001,52.610001,15278200,49.86063
"2020-11-19",52.490002,53.23,51.950001,53.130001,17189500,50.353458
"2020-11-20",53.189999,53.25,52.59,52.669998,15645600,49.917496
"2020-11-23",52.950001,53.169998,52.200001,52.68,13191900,49.926975
"2020-11-24",53.139999,53.59,53.02,53.220001,13827600,50.438763
"2020-11-25",53.07,53.279999,52.790001,52.93,10194800,50.16391
"2020-11-27",53.110001,53.189999,52.610001,52.700001,8499300,49.94593
"2020-11-30",52.09,52.189999,51.080002,51.599998,43203600,49.286861
"2020-12-01",52.139999,52.330002,51.790001,52.040001,18968800,49.707138
"2020-12-02",51.900002,52.130001,51.639999,52.110001,14913100,49.774002
"2020-12-03",51.900002,52.939999,51.900002,52.779999,17318900,50.41396
"2020-12-04",52.779999,53.869999,52.759998,53.849998,18122400,51.436001
"2020-12-07",53.759998,53.779999,52.700001,52.990002,16210900,50.614548
"2020-12-08",52.939999,53.48,52.790001,53.18,12485800,50.796032
"2020-12-09",53.369999,53.599998,53,53.330002,11508400,50.939312
"2020-12-10",53.400002,53.509998,52.98,53.049999,12097300,50.67186
"2020-12-11",52.799999,53.540001,52.779999,53.349998,10638100,50.958412
"2020-12-14",53.650002,53.84,53.18,53.27,22292000,50.882
"2020-12-15",53.790001,54.220001,53.599998,53.84,16193700,51.426445
"2020-12-16",53.599998,53.799999,52.939999,53.060001,15679600,50.681412
"2020-12-17",53.299999,53.709999,53.150002,53.27,12677300,50.882
"2020-12-18",53.080002,53.84,52.619999,53.740002,35480100,51.330933
"2020-12-21",52.68,53,51.98,52.810001,14926600,50.442623
"2020-12-22",52.810001,53.18,52.389999,52.759998,9689500,50.394855
"2020-12-23",52.950001,53.389999,52.939999,53.080002,7040300,50.700516
"2020-12-24",53.02,53.549999,53.02,53.439999,3265500,51.044373
"2020-12-28",53.849998,54.439999,53.73,54.16,9020500,51.732101
"2020-12-29",54.450001,54.490002,54.02,54.130001,8320600,51.703445
"2020-12-30",54.049999,54.630001,54.029999,54.439999,8142700,51.99955
"2020-12-31",54.450001,54.93,54.27,54.84,8495000,52.381622
"2021-01-04",54.27,54.630001,52.029999,52.759998,25611100,50.394855
"2021-01-05",52.330002,52.619999,52.029999,52.18,20323800,49.840866
"2021-01-06",51.970001,52.02,50.189999,50.52,38724500,48.25528
"2021-01-07",50.09,50.259998,49.52,49.959999,53225700,47.720383
"2021-01-08",50.029999,51.130001,49.84,51.080002,29674000,48.79018
"2021-01-11",50.619999,50.860001,49.950001,50.200001,19304400,47.949619
"2021-01-12",50.040001,50.369999,49.759998,50.110001,18538700,47.863659
"2021-01-13",49.98,50.360001,49.950001,50.16,18864100,47.911415
"2021-01-14",50.16,50.18,49.220001,49.23,34303600,47.023106
"2021-01-15",49.16,49.18,48.529999,48.700001,24366800,46.516865
"2021-01-19",48.740002,49.040001,48.240002,48.509998,29114500,46.335384
"2021-01-20",48.540001,48.82,48.310001,48.68,23115800,46.497765
"2021-01-21",48.779999,49.09,48.459999,48.950001,19702500,46.755661
"2021-01-22",48.810001,48.939999,48.490002,48.490002,15400300,46.316277
"2021-01-25",48.419998,48.84,48.240002,48.779999,16604200,46.593273
"2021-01-26",48.91,49.400002,48.610001,49.290001,12922600,47.080418
"2021-01-27",48.889999,49.32,48.23,48.529999,21242400,46.354485
"2021-01-28",48.689999,49.5,48.610001,49.150002,17498900,46.946697
"2021-01-29",49.029999,49.119999,48.110001,48.150002,18670300,45.99152
"2021-02-01",48.27,48.689999,48.18,48.48,12183600,46.306725
"2021-02-02",48.799999,49.349998,48.630001,48.959999,13319800,46.765213
"2021-02-03",48.950001,49.09,48.669998,48.77,12274100,46.583729
"2021-02-04",48.959999,49.07,48.650002,49.009998,20597400,46.812965
"2021-02-05",49.5,49.779999,49.27,49.650002,12742000,47.424282
"2021-02-08",49.959999,50.169998,49.490002,49.919998,17833200,47.682171
"2021-02-09",49.849998,50.02,49.630001,49.700001,14592900,47.472038
"2021-02-10",50.41,50.580002,49.529999,49.599998,22965400,47.376522
"2021-02-11",49.810001,50.59,49.799999,50.299999,21928600,48.045139
"2021-02-12",50.57,50.849998,50.389999,50.689999,13137100,48.417656
"2021-02-16",50.619999,50.720001,50.16,50.27,15093400,48.016487
"2021-02-17",50,50.490002,49.889999,50.130001,12794300,47.882763
"2021-02-18",50.16,50.849998,50.029999,50.77,12747100,48.494072
"2021-02-19",50.790001,50.830002,49.970001,50.110001,15968800,47.863659
"2021-02-22",49.849998,50.880001,49.669998,50.630001,14370900,48.360348
"2021-02-23",51,51.509998,50.419998,50.540001,16222300,48.274384
"2021-02-24",50.389999,50.900002,50.130001,50.709999,14442000,48.43676
"2021-02-25",50.470001,50.75,49.98,50.169998,14211100,47.920967
"2021-02-26",50.200001,50.209999,48.970001,48.990002,23638400,46.793865
"2021-03-01",49.439999,50.439999,49.400002,49.900002,13901200,47.663071
"2021-03-02",49.84,50.560001,49.700001,50.099998,11755100,47.854107
"2021-03-03",49.720001,50.560001,49.709999,49.98,15410700,47.739487
"2021-03-04",50.310001,51.09,49.619999,49.939999,22036400,47.701279
"2021-03-05",50.049999,50.950001,49.900002,50.790001,21310800,48.513172
"2021-03-08",51.470001,52.490002,51.16,51.639999,25084900,49.325066
"2021-03-09",51.720001,51.880001,50.82,50.860001,23082700,48.580036
"2021-03-10",51.18,51.630001,50.720001,51.439999,21331600,49.134037
"2021-03-11",51.41,51.43,50.810001,50.880001,17417700,48.59914
"2021-03-12",50.59,50.68,50.200001,50.360001,17598600,48.502827
"2021-03-15",50.5,51.119999,50.470001,51.029999,13411900,49.148117
"2021-03-16",51.200001,51.52,51.040001,51.220001,14214200,49.331108
"2021-03-17",51.25,51.619999,51.150002,51.240002,17502700,49.350372
"2021-03-18",51.060001,51.189999,50.490002,50.57,18007300,48.705082
"2021-03-19",50.459999,51.080002,50.169998,50.810001,67845700,48.93623
"2021-03-22",50.32,51.080002,50.32,51,17911400,49.119225
"2021-03-23",50.990002,51.650002,50.830002,51.389999,16936700,49.494843
"2021-03-24",51.169998,51.889999,51.150002,51.52,14997400,49.620052
"2021-03-25",51.700001,52.060001,51.169998,52.02,17091900,50.101608
"2021-03-26",52.139999,53.110001,51.759998,53.040001,17126700,51.083992
"2021-03-29",52.73,53.939999,52.709999,53.849998,17514100,51.864124
"2021-03-30",53.75,53.790001,52.93,53.150002,14871800,51.189938
"2021-03-31",53.029999,53.169998,52.5,52.709999,15826500,50.766163
"2021-04-01",52.959999,53.150002,52.459999,52.509998,15834700,50.573532
"2021-04-05",52.349998,53.220001,52.290001,52.810001,16368700,50.86248
"2021-04-06",53.040001,53.650002,52.900002,53.189999,15614300,51.228462
"2021-04-07",53.279999,53.5,53.119999,53.279999,10062700,51.31514
"2021-04-08",53.169998,53.380001,52.970001,53.119999,9695600,51.161041
"2021-04-09",53.169998,53.279999,52.810001,53.18,10828200,51.21883
"2021-04-12",53.330002,53.549999,53.099998,53.349998,8565300,51.382561
"2021-04-13",53.040001,53.290001,52.810001,53.09,11071700,51.132149
"2021-04-14",52.98,53.189999,52.650002,53.080002,9787600,51.12252
"2021-04-15",53.130001,53.66,53.119999,53.330002,13078100,51.3633
"2021-04-16",53.740002,53.799999,53.380001,53.68,17974100,51.700394
"2021-04-19",54,54.360001,53.299999,54,19352900,52.008591
"2021-04-20",53.84,54.59,53.810001,54.169998,14419200,52.172318
"2021-04-21",54.240002,54.740002,54.240002,54.610001,13866500,52.596092
"2021-04-22",54.470001,54.869999,54.32,54.439999,12558900,52.432362
"2021-04-23",54.400002,54.59,54.169998,54.470001,9020500,52.461262
"2021-04-26",54.470001,54.509998,53.580002,53.66,11684600,51.681133
"2021-04-27",53.560001,53.700001,53.32,53.580002,9852400,51.604084
"2021-04-28",53.98,54.049999,53.439999,53.59,10868100,51.613708
"2021-04-29",53.540001,54.360001,53.43,54.259998,15391000,52.259003
"2021-04-30",54.25,54.27,53.689999,53.98,14912600,51.98933
"2021-05-03",54.27,54.799999,54.16,54.48,10417900,52.47089
"2021-05-04",54.57,54.619999,53.939999,54.139999,14151000,52.143425
"2021-05-05",54.139999,54.240002,53.709999,54,9665900,52.008591
"2021-05-06",54.119999,54.610001,54.049999,54.540001,11572700,52.528675
"2021-05-07",54.439999,54.77,54.16,54.509998,10637500,52.499783
"2021-05-10",54.880001,55.5,54.830002,54.91,15545800,52.885029
"2021-05-11",55.029999,55.139999,54.049999,54.32,12986700,52.316792
"2021-05-12",54.360001,54.560001,53.880001,54.040001,15836500,52.047119
"2021-05-13",53.970001,54.779999,53.830002,54.509998,15475800,52.499783
"2021-05-14",54.900002,55.099998,54.689999,54.73,11725300,52.71167
"2021-05-17",54.84,55.02,54.5,54.639999,12119800,52.624992
"2021-05-18",54.389999,54.560001,54.099998,54.34,13232500,52.336056
"2021-05-19",54.119999,54.18,53.610001,54.169998,15126100,52.172318
"2021-05-20",54.119999,54.799999,54.119999,54.650002,10948400,52.634621
"2021-05-21",54.799999,55.119999,54.220001,54.619999,16033200,52.605724
"2021-05-24",54.630001,54.93,54.490002,54.799999,10326100,52.779087
"2021-05-25",54.82,54.82,54.349998,54.790001,11916500,52.769459
"2021-05-26",54.98,55.049999,54.59,55.029999,16064300,53.000607
"2021-05-27",55.209999,55.57,54.779999,55.490002,59109600,53.443642
"2021-05-28",55.349998,55.709999,55.200001,55.290001,17011600,53.251022
"2021-06-01",55.34,55.650002,55.099998,55.279999,13304000,53.24139
"2021-06-02",55.5,55.560001,55.259998,55.5,11328500,53.453274
"2021-06-03",55.18,55.740002,55.099998,55.639999,17364300,53.588112
"2021-06-04",55.900002,56.48,55.779999,56.240002,18935100,54.165989
"2021-06-07",56.310001,56.34,55.810001,56.040001,14010800,53.973358
"2021-06-08",56.25,56.25,55.549999,55.650002,10968300,53.597744
"2021-06-09",55.75,55.919998,55.48,55.48,9838800,53.43401
"2021-06-10",55.91,56.119999,55.759998,55.91,12444400,53.848156
"2021-06-11",55.990002,56.209999,55.66,56.16,11825800,54.088936
"2021-06-14",55.689999,55.709999,55.200001,55.549999,9710800,53.904568
"2021-06-15",55.779999,55.790001,55.189999,55.41,11154200,53.768711
"2021-06-16",55.439999,55.459999,54.639999,54.669998,15211700,53.050629
"2021-06-17",54.669998,55.150002,54.650002,54.950001,10658400,53.322338
"2021-06-18",54.509998,54.619999,53.720001,53.77,31445600,52.177292
"2021-06-21",54.220001,54.43,54,54.360001,14404300,52.749813
"2021-06-22",54.34,54.849998,54.259998,54.560001,13072800,52.94389
"2021-06-23",54.560001,54.599998,54.110001,54.119999,12339200,52.516922
"2021-06-24",54.259998,54.419998,54,54.389999,11488400,52.778919
"2021-06-25",54.240002,54.470001,54.009998,54.32,18880300,52.710999
"2021-06-28",54.25,54.369999,54,54.259998,10556900,52.652775
"2021-06-29",54.130001,54.34,53.720001,53.860001,12300900,52.264622
"2021-06-30",53.799999,54.18,53.75,54.110001,14614200,52.507217
"2021-07-01",54.34,54.48,53.860001,53.959999,13214700,52.36166
"2021-07-02",54,54.450001,54,54.18,10604600,52.575146
"2021-07-06",53.990002,54.09,53.549999,53.880001,15278200,52.284031
"2021-07-07",53.720001,54.380001,53.720001,54.32,14377700,52.710999
"2021-07-08",54.009998,54.169998,53.740002,54.130001,11943900,52.526627
"2021-07-09",54.25,54.52,54.18,54.459999,10847000,52.846848
"2021-07-12",54.32,54.599998,54.27,54.48,15107600,52.866257
"2021-07-13",54.950001,55.299999,54.75,55.02,15170800,53.390263
"2021-07-14",55.02,56.349998,54.959999,56.259998,22002700,54.593533
"2021-07-15",56.240002,56.470001,55.91,56.439999,15068200,54.7682
"2021-07-16",56.459999,56.68,56.259998,56.400002,14860500,54.729385
"2021-07-19",56.080002,56.349998,55.16,55.73,19527000,54.079231
"2021-07-20",55.73,56.330002,55.52,55.830002,16257900,54.17627
"2021-07-21",57.330002,57.560001,56.43,56.549999,20918200,54.874943
"2021-07-22",56.619999,56.740002,56.049999,56.470001,13402700,54.797314
"2021-07-23",56.59,57.330002,56.450001,57.009998,12144000,55.32132
"2021-07-26",56.889999,57.119999,56.560001,57.060001,8681100,55.369839
"2021-07-27",57.110001,57.540001,56.919998,57.259998,12794400,55.563911
"2021-07-28",56.990002,57.16,56.630001,56.740002,9858000,55.059315
"2021-07-29",57.07,57.25,56.860001,57.049999,9599100,55.360134
"2021-07-30",57.150002,57.25,56.900002,57.029999,11727000,55.340725
"2021-08-02",57.200001,57.240002,56.709999,56.880001,9778000,55.195168
"2021-08-03",57,57,56.75,56.919998,8825500,55.233978
"2021-08-04",56.75,56.950001,56.009998,56.099998,11888400,54.438274
"2021-08-05",56.439999,56.59,56.290001,56.5,9806800,54.826424
"2021-08-06",56.599998,56.740002,56.439999,56.639999,10409300,54.962276
"2021-08-09",56.799999,56.880001,56.43,56.650002,8859900,54.971985
"2021-08-10",56.84,57.169998,56.66,56.799999,10906900,55.117538
"2021-08-11",56.889999,57.18,56.709999,56.73,8370700,55.049614
"2021-08-12",56.73,56.98,56.73,56.84,6169200,55.156357
"2021-08-13",56.810001,57.299999,56.77,57.23,7714200,55.534798
"2021-08-16",57.200001,57.490002,57.029999,57.48,7972000,55.777393
"2021-08-17",57.459999,57.560001,57.009998,57.279999,10346400,55.583321
"2021-08-18",57.189999,57.23,56.419998,56.5,13873700,54.826424
"2021-08-19",56.060001,56.98,55.950001,56.860001,9223700,55.175758
"2021-08-20",56.84,57.029999,56.580002,56.639999,10543600,54.962276
"2021-08-23",56.669998,56.75,56.380001,56.439999,8912800,54.7682
"2021-08-24",56.639999,56.639999,55.900002,56.009998,12067200,54.350937
"2021-08-25",56.060001,56.169998,55.73,56.07,11270700,54.409164
"2021-08-26",55.950001,55.98,55.509998,55.540001,10331500,53.894859
"2021-08-27",55.66,55.790001,55.450001,55.650002,8844100,54.001602
"2021-08-30",55.689999,56.200001,55.639999,56.18,10034700,54.515907
"2021-08-31",56.16,56.52,56,56.310001,14185700,54.642052
"2021-09-01",56.380001,56.799999,56.279999,56.689999,9518900,55.010796
"2021-09-02",56.77,57.029999,56.41,56.77,11653200,55.088425
"2021-09-03",56.459999,56.77,56.25,56.73,13220400,55.049614
"2021-09-07",56.599998,56.689999,55.509998,55.669998,20035300,54.021008
"2021-09-08",55.610001,56.48,55.610001,56.419998,12040100,54.748787
"2021-09-09",56.18,56.419998,55.799999,55.860001,12545400,54.205379
"2021-09-10",56.009998,56.130001,55.52,55.610001,10573700,53.962788
"2021-09-13",55.740002,56.400002,55.740002,56.07,20274300,54.409164
"2021-09-14",55.919998,55.98,55.549999,55.689999,13918900,54.448269
"2021-09-15",55.68,56,55.419998,55.880001,15746000,54.634033
"2021-09-16",55.720001,55.990002,54.82,55.349998,17430400,54.115849
"2021-09-17",55.02,55.189999,54.369999,54.439999,33370200,53.226139
"2021-09-20",54.110001,54.400002,53.73,54.060001,27542500,52.85461
"2021-09-21",54.389999,54.82,53.939999,54.049999,16418200,52.844833
"2021-09-22",54.509998,54.560001,54.060001,54.130001,12719700,52.923054
"2021-09-23",54.259998,54.619999,54,54.040001,13836200,52.835064
"2021-09-24",54,54.240002,53.860001,53.889999,9682200,52.688404
"2021-09-27",53.849998,54.25,53.57,53.610001,12429500,52.414646
"2021-09-28",53.459999,53.459999,52.43,52.639999,19926100,51.466274
"2021-09-29",52.639999,53.16,52.560001,52.959999,13941500,51.77914
"2021-09-30",53.169998,53.330002,52.43,52.470001,17672000,51.300068
"2021-10-01",52.779999,53.200001,52.57,53.02,16277400,51.837803
"2021-10-04",53.060001,53.529999,52.400002,52.990002,18973400,51.808475
"2021-10-05",53.02,53.470001,52.93,53.080002,17173100,51.896465
"2021-10-06",52.77,53.77,52.509998,53.709999,21284500,52.512413
"2021-10-07",53.990002,54.279999,53.810001,53.880001,13774400,52.678627
"2021-10-08",54,54.389999,53.900002,54.119999,13786800,52.913273
"2021-10-11",54.209999,54.389999,54.009998,54.23,12378500,53.020821
"2021-10-12",54.419998,54.830002,54.220001,54.23,19474400,53.020821
"2021-10-13",54.169998,54.43,53.790001,54.240002,12143300,53.030598
"2021-10-14",54.389999,54.810001,54.310001,54.610001,13704000,53.392349
"2021-10-15",54.639999,54.880001,54.290001,54.48,17867000,53.265247
"2021-10-18",54.349998,54.389999,53.860001,53.939999,15861800,52.737286
"2021-10-19",54.040001,54.200001,53.77,54.150002,11068500,52.942608
"2021-10-20",54.18,54.759998,54.110001,54.630001,12474800,53.411903
"2021-10-21",54.599998,54.669998,54.209999,54.349998,14388300,53.138145
"2021-10-22",54.389999,54.529999,54.07,54.450001,12828600,53.23592
"2021-10-25",54.380001,54.470001,54.02,54.23,11855000,53.020821
"2021-10-26",54.32,54.580002,54.23,54.470001,12086700,53.25547
"2021-10-27",55.970001,56.080002,55.27,55.52,24019800,54.282059
"2021-10-28",55.75,56.110001,55.619999,56.040001,15928000,54.790466
"2021-10-29",55.869999,56.470001,55.779999,56.369999,24463700,55.113106
"2021-11-01",56.389999,56.400002,55.900002,56.169998,11651100,54.917564
"2021-11-02",56.470001,56.5,55.970001,56.099998,11498900,54.849125
"2021-11-03",56,56.330002,55.779999,56.290001,10788300,55.034889
"2021-11-04",56.110001,56.630001,56.029999,56.599998,10820200,55.337978
"2021-11-05",56.84,57.16,56.59,56.84,12886700,55.572624
"2021-11-08",56.75,56.889999,56.130001,56.330002,12828000,55.074001
"2021-11-09",56.41,56.52,56.09,56.490002,10155800,55.230431
"2021-11-10",56.540001,56.919998,56.290001,56.720001,8813600,55.455303
"2021-11-11",56.830002,56.880001,56.57,56.740002,7257700,55.474857
"2021-11-12",56.75,56.990002,56.549999,56.610001,10162500,55.347755
"2021-11-15",56.529999,56.68,56.27,56.619999,10289200,55.357533
"2021-11-16",56.619999,56.939999,56.189999,56.220001,13756500,54.966454
"2021-11-17",56.040001,56.049999,55.650002,55.91,13288700,54.663361
"2021-11-18",55.830002,55.93,55.139999,55.41,15380100,54.174511
"2021-11-19",55.439999,55.490002,54.900002,55.130001,15813700,53.900757
"2021-11-22",55.099998,56.02,55.080002,55.470001,16905600,54.233173
"2021-11-23",55.66,56.110001,55.5,55.880001,13835900,54.634033
"2021-11-24",55.709999,55.84,55.029999,55.43,12598900,54.194069
"2021-11-26",54.59,54.75,53.580002,53.73,14754300,52.531971
"2021-11-29",54.049999,54.73,53.93,54.580002,22712500,53.363018
"2021-11-30",53.599998,53.630001,52.439999,52.450001,30485200,51.678185
"2021-12-01",52.98,53.52,52.279999,52.299999,18719600,51.530392
"2021-12-02",52.599998,53.34,52.509998,53.07,17074200,52.289059
"2021-12-03",53.330002,53.610001,52.98,53.540001,21064400,52.752144
"2021-12-06",54.310001,55.25,54.139999,54.91,26624100,54.101982
"2021-12-07",55.02,55.419998,54.849998,55.209999,23832700,54.397568
"2021-12-08",55.119999,55.349998,54.360001,55,18026300,54.190659
"2021-12-09",54.75,55.130001,54.59,54.860001,13846400,54.052719
"2021-12-10",55.25,56.32,55.07,56.279999,23153600,55.451824
"2021-12-13",56.98,57.93,56.959999,57.759998,31362800,56.910046
"2021-12-14",57.400002,58.169998,57.400002,57.799999,24806600,56.949451
"2021-12-15",57.93,58.25,57.650002,58.060001,24923800,57.205631
"2021-12-16",57.98,58.880001,57.900002,58.650002,24696900,57.786949
"2021-12-17",58.490002,58.919998,57.700001,57.73,51874400,56.880486
"2021-12-20",57.200001,57.779999,57,57.540001,20879500,56.693283
"2021-12-21",57.610001,57.970001,57.529999,57.77,15864900,56.919899
"2021-12-22",57.709999,58.189999,57.490002,58.18,12447400,57.323864
"2021-12-23",58.52,58.610001,57.939999,58.220001,11027300,57.363277
"2021-12-27",58,58.689999,58,58.650002,9860000,57.786949
"2021-12-28",58.400002,58.939999,58.299999,58.880001,8979900,58.013565
"2021-12-29",58.950001,59.099998,58.66,58.950001,9996000,58.082535
"2021-12-30",59.060001,59.23,58.759998,58.779999,7703900,57.915035
"2021-12-31",58.75,59.349998,58.700001,59.209999,10021300,58.338707
"2022-01-03",58.82,59.310001,58.380001,59.299999,20187300,58.427383
"2022-01-04",59.73,60.540001,59.59,60.290001,26141600,59.402813
"2022-01-05",60.09,61.200001,60.049999,60.790001,22507300,59.895458
"2022-01-06",60.470001,61.119999,60.439999,60.470001,17902300,59.58017
"2022-01-07",60.279999,60.720001,60.060001,60.330002,12307900,59.442226
"2022-01-10",60.549999,60.82,60.18,60.43,20954300,59.540756
"2022-01-11",60.43,60.490002,59.84,60.450001,19369600,59.560459
"2022-01-12",60.529999,60.689999,60.189999,60.540001,15753800,59.649136
"2022-01-13",60.540001,61.040001,60.389999,60.900002,14318000,60.003838
"2022-01-14",60.939999,61.450001,60.360001,61.389999,19729600,60.486629
