"","K.Open","K.High","K.Low","K.Close","K.Volume","K.Adjusted"
"2021-01-19",59.439999,59.799999,58,58.459999,3862800,55.36607
"2021-01-20",58.450001,58.450001,57.040001,57.639999,5202100,54.589466
"2021-01-21",57.68,57.900002,57.25,57.889999,2982300,54.826237
"2021-01-22",58,58.610001,57.509998,58.299999,2241400,55.214535
"2021-01-25",58.32,60.880001,58.18,59.84,4423100,56.673035
"2021-01-26",59.82,60.990002,59.119999,60.919998,2949200,57.695877
"2021-01-27",61.169998,63.419998,61,62.360001,6165400,59.059666
"2021-01-28",62.099998,62.84,59.900002,60.169998,3270700,56.985569
"2021-01-29",60,60.75,58.790001,58.939999,5715200,55.820663
"2021-02-01",58.939999,59.439999,58.220001,58.82,2823300,55.707016
"2021-02-02",58.900002,59.25,57.860001,58.450001,2816700,55.356602
"2021-02-03",58.400002,58.5,57.610001,58.009998,2306400,54.93988
"2021-02-04",57.990002,58.290001,57.709999,57.869999,3123200,54.807293
"2021-02-05",57.93,58.349998,57.650002,58.029999,2948900,54.958828
"2021-02-08",58.169998,58.220001,57.209999,57.740002,3168800,54.684177
"2021-02-09",57.950001,57.970001,57.139999,57.639999,3344900,54.589466
"2021-02-10",58.150002,58.580002,57.779999,58.110001,3423200,55.034595
"2021-02-11",57.900002,58.389999,56.610001,57,7772900,53.983341
"2021-02-12",57.02,57.93,56.93,57.380001,3556400,54.343231
"2021-02-16",57.400002,57.57,56.810001,56.860001,3421000,53.850754
"2021-02-17",56.889999,58.150002,56.700001,58.029999,4341600,54.958828
"2021-02-18",57.889999,59.540001,57.599998,59.529999,4426700,56.379444
"2021-02-19",59.529999,59.740002,57.709999,57.91,5082600,54.845177
"2021-02-22",58.18,59.380001,57.869999,59.259998,3517200,56.12373
"2021-02-23",59.59,60.099998,58.740002,59.279999,3993200,56.14267
"2021-02-24",59.299999,59.630001,58.240002,58.610001,4761700,55.508129
"2021-02-25",58.59,59.650002,58.419998,58.740002,3424200,55.631252
"2021-02-26",59,59.16,57.630001,57.709999,4904500,54.655766
"2021-03-01",57.200001,57.82,56.75,56.91,5096400,54.435764
"2021-03-02",57.07,57.630001,56.93,57.23,2664900,54.741852
"2021-03-03",57.029999,57.630001,56.869999,57.330002,2539100,54.837502
"2021-03-04",57.830002,58.5,57.380001,57.700001,3227200,55.191418
"2021-03-05",57.959999,59.310001,57.689999,59.240002,4510300,56.664463
"2021-03-08",59.299999,59.970001,58.950001,59.380001,3108900,56.798374
"2021-03-09",59.25,59.849998,58.799999,58.990002,3127500,56.425335
"2021-03-10",59.310001,60.009998,58.110001,59.73,3270100,57.13316
"2021-03-11",59.400002,59.77,59.200001,59.259998,2138600,56.68359
"2021-03-12",59.68,60.740002,59.400002,60.639999,3409700,58.003593
"2021-03-15",60.93,60.959999,59.66,60.02,3588000,57.410553
"2021-03-16",60,60.59,59.790001,60.360001,2246800,57.735771
"2021-03-17",60.5,60.799999,60.07,60.380001,1920200,57.754902
"2021-03-18",60.150002,60.869999,59.91,60.630001,1467200,57.99403
"2021-03-19",60.75,61.23,60.279999,60.810001,7112500,58.16621
"2021-03-22",60.639999,62.610001,60.630001,62.389999,3719500,59.677509
"2021-03-23",62.57,62.970001,62.009998,62.59,3470600,59.868813
"2021-03-24",61.82,62.02,60.459999,61.509998,3658100,58.83577
"2021-03-25",61.93,63.349998,61.220001,62.73,3591700,60.002731
"2021-03-26",62.77,63.799999,61.900002,63.709999,2733200,60.940125
"2021-03-29",64,65.32,63.869999,64.949997,4550600,62.126205
"2021-03-30",64.949997,65.110001,63.619999,63.759998,3298800,60.987949
"2021-03-31",63.400002,63.759998,62.810001,63.299999,2585600,60.547947
"2021-04-01",63.209999,63.560001,62.220001,63.34,3652900,60.586212
"2021-04-05",63.380001,64.139999,63.299999,63.639999,2496600,60.873165
"2021-04-06",63.580002,64.160004,63.490002,64.019997,1897900,61.236641
"2021-04-07",64.239998,64.260002,63.349998,63.669998,1749100,60.901863
"2021-04-08",63.599998,63.869999,63.310001,63.860001,2162100,61.083603
"2021-04-09",63.810001,64.160004,61.970001,62.66,2614500,59.935772
"2021-04-12",62.830002,63.5,62.619999,63.41,2141800,60.653168
"2021-04-13",63.189999,63.619999,62.959999,63.080002,2153500,60.337517
"2021-04-14",63.18,63.18,61.990002,62.580002,4317900,59.859253
"2021-04-15",62.77,63.279999,62.689999,62.970001,2079500,60.232292
"2021-04-16",63.200001,63.48,62.48,63.349998,2243500,60.595776
"2021-04-19",63.299999,63.990002,62.98,63.700001,1664000,60.930557
"2021-04-20",63.57,64.730003,63.040001,64.220001,2730700,61.427952
"2021-04-21",64.559998,64.93,64.339996,64.540001,1547300,61.734035
"2021-04-22",64.540001,64.620003,63.790001,63.970001,1701800,61.18882
"2021-04-23",63.82,63.900002,62.889999,63.279999,1803300,60.52882
"2021-04-26",63.23,63.25,62.259998,62.439999,2825600,59.725334
"2021-04-27",62.349998,62.439999,61.93,62.130001,2778700,59.428818
"2021-04-28",62.380001,62.700001,61.860001,62.060001,2182200,59.361858
"2021-04-29",62.110001,63.099998,62.110001,62.73,2645300,60.002731
"2021-04-30",62.650002,62.860001,61.849998,62.419998,4038700,59.706207
"2021-05-03",62.439999,63.52,62.419998,62.889999,2709400,60.155777
"2021-05-04",63.080002,63.299999,61.990002,62.48,2629000,59.763599
"2021-05-05",62.5,63.110001,61.880001,63.07,3829100,60.327946
"2021-05-06",65.010002,68.5,65.010002,67.529999,12592900,64.59404
"2021-05-07",67.099998,67.150002,65.970001,66.949997,3926400,64.039253
"2021-05-10",67.150002,68.449997,67,68.209999,3045900,65.244484
"2021-05-11",68.360001,68.57,66.75,67.150002,2812200,64.230568
"2021-05-12",67.25,67.260002,66.360001,66.419998,2483600,63.532303
"2021-05-13",65.940002,68.089996,65.879997,67.690002,2587500,64.747093
"2021-05-14",67.800003,68.599998,66.5,66.540001,2985200,63.647083
"2021-05-17",66.540001,67.010002,65.730003,66.32,2205600,63.436653
"2021-05-18",66.199997,66.449997,65.669998,66.040001,1584500,63.168827
"2021-05-19",65.980003,66.089996,65.389999,66.040001,1686000,63.168827
"2021-05-20",65.949997,66.82,65.830002,66.32,2571000,63.436653
"2021-05-21",66.370003,67.199997,66.279999,66.5,2128200,63.608822
"2021-05-24",66.550003,66.839996,66.07,66.099998,1435900,63.226212
"2021-05-25",66.099998,66.309998,65.43,66.239998,2303600,63.360123
"2021-05-26",66.360001,66.480003,65.919998,66.089996,1456500,63.216648
"2021-05-27",66.18,66.5,65.43,65.540001,3281300,62.690571
"2021-05-28",65.150002,65.949997,65.099998,65.489998,2724200,63.202042
"2021-06-01",65.639999,66.099998,65.129997,65.459999,1768000,63.173096
"2021-06-02",65.610001,66.529999,65.290001,66.440002,2322100,64.118866
"2021-06-03",66.470001,67.07,66.239998,66.730003,2102200,64.398727
"2021-06-04",66.720001,67.010002,66.389999,66.629997,1420000,64.302216
"2021-06-07",66.629997,66.730003,65.940002,66.410004,1492500,64.089905
"2021-06-08",66.5,66.639999,65.830002,65.980003,2470300,63.674927
"2021-06-09",64.470001,65.690002,64.370003,64.800003,3097900,62.536152
"2021-06-10",64.889999,65.470001,64.610001,65.300003,1625300,63.018681
"2021-06-11",65.410004,65.589996,64.709999,65.160004,1558600,62.883572
"2021-06-14",65.139999,65.43,64.720001,65.389999,1366100,63.105537
"2021-06-15",65.440002,65.550003,64.779999,64.870003,1633800,62.60371
"2021-06-16",65.019997,65.260002,64.669998,64.779999,2527600,62.51685
"2021-06-17",64.629997,65.019997,63.900002,64.529999,2437700,62.275581
"2021-06-18",64.300003,64.300003,63.57,63.59,3464900,61.368423
"2021-06-21",63.75,64.190002,63.59,64.169998,2312300,61.928158
"2021-06-22",64.370003,64.370003,63.84,63.919998,1654400,61.686897
"2021-06-23",63.790001,63.82,63.040001,63.07,1725300,60.866592
"2021-06-24",63.029999,63.509998,62.700001,63.439999,1234000,61.22366
"2021-06-25",63.279999,63.990002,63.209999,63.93,2192100,61.696545
"2021-06-28",63.869999,64.550003,63.689999,64.410004,1952900,62.159782
"2021-06-29",64.410004,64.599998,63.68,63.93,2683900,61.696545
"2021-06-30",63.93,64.800003,63.93,64.330002,4268600,62.082573
"2021-07-01",64.330002,64.559998,63.860001,63.970001,2290500,61.735149
"2021-07-02",64.290001,64.360001,63.77,64.019997,1735700,61.783401
"2021-07-06",63.849998,63.91,63.200001,63.73,1887900,61.503532
"2021-07-07",63.630001,64.559998,63.52,64.169998,1736500,61.928158
"2021-07-08",64.110001,64.809998,63.790001,64,1311500,61.764099
"2021-07-09",64.080002,64.540001,64.059998,64.279999,1453000,62.034317
"2021-07-12",64.120003,64.230003,63.52,63.77,1512200,61.54213
"2021-07-13",63.720001,64,62.939999,63.16,1952400,60.953449
"2021-07-14",63.099998,63.48,62.509998,63.209999,1780200,61.001701
"2021-07-15",63.169998,63.939999,62.950001,63.889999,1666200,61.657944
"2021-07-16",64.160004,64.470001,63.880001,64.260002,1656700,62.015018
"2021-07-19",64.279999,64.889999,63.57,64.809998,1822700,62.545795
"2021-07-20",64.970001,65.599998,64.330002,64.400002,2260900,62.150127
"2021-07-21",64.389999,64.5,63.310001,63.310001,1619500,61.098206
"2021-07-22",63.09,63.330002,62.529999,62.77,2290100,60.577072
"2021-07-23",62.849998,63.68,62.549999,63.43,1294400,61.214012
"2021-07-26",63.32,63.669998,63.189999,63.25,1404800,61.040302
"2021-07-27",63.279999,64.110001,63.099998,63.709999,1362200,61.48423
"2021-07-28",63.509998,63.75,62.779999,62.950001,1697900,60.750786
"2021-07-29",63.16,63.400002,62.93,63.060001,1352400,60.856937
"2021-07-30",63.189999,63.93,63.060001,63.360001,4524900,61.146461
"2021-08-02",63.41,63.75,63.240002,63.419998,2176800,61.204365
"2021-08-03",63.450001,64.25,63.25,63.610001,2561700,61.387726
"2021-08-04",63.549999,63.619999,62,62.02,3298600,59.853275
"2021-08-05",62.470001,63.209999,62.09,62.509998,3628600,60.326153
"2021-08-06",62.43,63.529999,62.41,63.220001,2101100,61.011356
"2021-08-09",63.490002,63.869999,63.169998,63.549999,1902300,61.329819
"2021-08-10",63.470001,64.209999,63.25,64.190002,1704400,61.947468
"2021-08-11",64.330002,64.879997,64.290001,64.459999,1401800,62.208031
"2021-08-12",64.510002,64.620003,64.260002,64.410004,1340400,62.159782
"2021-08-13",64.82,65.68,64.529999,65.57,1338000,63.279251
"2021-08-16",65.639999,66.25,65.57,66.019997,1475500,63.713528
"2021-08-17",66.18,67.07,66.080002,66.989998,2000700,64.649635
"2021-08-18",66.989998,67.07,65.449997,65.5,2346700,63.211697
"2021-08-19",65.5,66.5,65.459999,66.230003,1571900,63.916191
"2021-08-20",66.389999,66.82,65.940002,66.160004,1881600,63.84864
"2021-08-23",66.150002,66.150002,65.580002,65.730003,1135200,63.433666
"2021-08-24",65.830002,65.830002,64.75,64.989998,1505800,62.719513
"2021-08-25",64.849998,64.879997,63.900002,63.98,2620500,61.744801
"2021-08-26",63.889999,63.889999,62.939999,63.220001,2443800,61.011356
"2021-08-27",63.080002,63.389999,62.830002,63.279999,1776800,61.069252
"2021-08-30",62.830002,63.43,62.619999,63.16,2432600,60.953449
"2021-08-31",62.790001,63.18,62.049999,63.139999,4298200,61.49889
"2021-09-01",63.200001,63.43,62.610001,63.290001,2240000,61.644997
"2021-09-02",63.290001,63.610001,63.009998,63.459999,1831200,61.810577
"2021-09-03",63.43,63.720001,63.200001,63.439999,1763100,61.791092
"2021-09-07",63.25,63.27,61.700001,61.740002,3131900,60.135284
"2021-09-08",61.740002,63.279999,61.740002,63.049999,2430000,61.411232
"2021-09-09",63,63.279999,62.759998,63,2135700,61.362534
"2021-09-10",62.900002,63.139999,62.330002,62.740002,1494200,61.109291
"2021-09-13",62.970001,63.849998,62.970001,63.400002,1663600,61.752136
"2021-09-14",63.610001,63.810001,63.259998,63.68,1699800,62.02486
"2021-09-15",63.810001,64.190002,63.720001,63.880001,1670700,62.219662
"2021-09-16",63.880001,64.349998,62.68,63.540001,2891900,61.888496
"2021-09-17",63.459999,64.080002,63.130001,63.560001,3801900,61.907982
"2021-09-20",63.220001,63.75,63.029999,63.389999,1857000,61.742393
"2021-09-21",63.299999,63.59,62.419998,62.779999,2093400,61.148251
"2021-09-22",63.349998,63.759998,62.560001,63.220001,1337600,61.576817
"2021-09-23",63.240002,63.740002,63.049999,63.150002,1336800,61.508636
"2021-09-24",63.189999,63.98,63.189999,63.779999,1627400,62.122257
"2021-09-27",64,64.68,63.639999,64,1683400,62.33654
"2021-09-28",64.07,64.470001,63.59,64,1655600,62.33654
"2021-09-29",64.019997,65.779999,64.019997,65.300003,1954000,63.602749
"2021-09-30",65.360001,65.389999,63.919998,63.919998,1967800,62.258617
"2021-10-01",64.080002,64.239998,63.560001,63.869999,1625300,62.209919
"2021-10-04",63.970001,64.769997,63.869999,64.529999,1683700,62.852764
"2021-10-05",64.519997,64.889999,63.799999,64.019997,3219900,62.356018
"2021-10-06",63.93,64.709999,63.25,64.400002,1878600,62.726143
"2021-10-07",64.239998,64.400002,63.02,63.110001,2620100,61.469669
"2021-10-08",62.990002,63.25,62.490002,62.689999,2486800,61.060589
"2021-10-11",62.889999,63.040001,62.529999,62.759998,1595100,61.128765
"2021-10-12",62.720001,62.889999,62.119999,62.360001,1946300,60.739162
"2021-10-13",62.27,62.529999,61.360001,61.689999,2105200,60.086578
"2021-10-14",61.759998,62.389999,61.459999,62.16,1682700,60.544361
"2021-10-15",62.200001,62.279999,61.619999,61.790001,1805700,60.183983
"2021-10-18",61.599998,61.849998,61.18,61.48,1611300,59.882042
"2021-10-19",61.509998,61.599998,61.119999,61.5,1528700,59.90152
"2021-10-20",61.639999,62.240002,61.610001,62.009998,2518800,60.398262
"2021-10-21",62.049999,62.16,61.27,61.68,1659000,60.076843
"2021-10-22",61.75,62.209999,61.75,62.119999,1682600,60.505402
"2021-10-25",62.150002,62.150002,61.349998,61.73,1580000,60.125542
"2021-10-26",61.66,61.970001,61.549999,61.599998,2365300,59.99892
"2021-10-27",62.139999,62.169998,60.959999,61.299999,1926700,59.706715
"2021-10-28",61.290001,61.75,61.029999,61.689999,1252800,60.086578
"2021-10-29",61.599998,61.900002,61.169998,61.299999,2190000,59.706715
"2021-11-01",61.41,62.349998,61.27,62.16,1580200,60.544361
"2021-11-02",62.389999,62.669998,61.66,62.529999,1860800,60.904747
"2021-11-03",62.599998,63.380001,62.360001,63.34,2671800,61.693695
"2021-11-04",63.400002,64.25,62.18,62.91,2948200,61.274868
"2021-11-05",62.810001,63.060001,62.07,62.560001,2045000,60.933964
"2021-11-08",62.5,62.540001,61.91,62.25,1875200,60.632027
"2021-11-09",62.52,63.380001,62.380001,62.939999,1692000,61.304089
"2021-11-10",62.919998,64.360001,62.650002,63.52,1661800,61.869015
"2021-11-11",63.18,63.470001,62.950001,63.259998,1147000,61.615772
"2021-11-12",63.549999,63.82,63.200001,63.220001,1294700,61.576817
"2021-11-15",63.5,64,63.049999,63.91,1128600,62.248878
"2021-11-16",64.080002,64.080002,63.34,63.349998,1239600,61.703434
"2021-11-17",63.27,63.380001,62.759998,62.959999,1577200,61.32357
"2021-11-18",62.939999,63.040001,61.98,62.41,1634700,60.787865
"2021-11-19",62.720001,62.950001,61.900002,61.93,1677200,60.320343
"2021-11-22",61.889999,63.130001,61.75,62.389999,1845300,60.768383
"2021-11-23",62.709999,63.610001,62.34,63.380001,1986900,61.732655
"2021-11-24",63.380001,63.619999,62.709999,63.200001,1309500,61.557335
"2021-11-26",63.32,64.169998,63.25,63.639999,1624500,61.985893
"2021-11-29",63.599998,64.129997,63.18,63.869999,2403400,62.209919
"2021-11-30",63.119999,63.59,60.970001,61.18,5386100,60.135929
"2021-12-01",61.290001,62,61.009998,61.029999,2193800,59.988483
"2021-12-02",61.509998,62.66,61.32,61.93,2495100,60.873127
"2021-12-03",62.419998,63.220001,62.110001,63,1692700,61.92487
"2021-12-06",63.419998,64.360001,63.150002,63.580002,2027500,62.494972
"2021-12-07",63.580002,64.279999,62.75,63.080002,2462200,62.003506
"2021-12-08",62.93,63.470001,61.279999,62.02,2619300,60.961594
"2021-12-09",61.82,62.25,61.259998,62.029999,1760600,60.97142
"2021-12-10",62.25,62.779999,62.060001,62.619999,1802700,61.551353
"2021-12-13",62.73,63.650002,62.150002,63.48,2339400,62.396675
"2021-12-14",63.740002,64.059998,63.259998,63.369999,2350000,62.288551
"2021-12-15",63.619999,64.019997,63.189999,63.5,2377900,62.416332
"2021-12-16",63.529999,65.790001,63.27,65.779999,3632300,64.657425
"2021-12-17",65.68,66.330002,64.449997,64.449997,3718000,63.350117
"2021-12-20",64.220001,64.540001,63.759998,64.370003,2090500,63.271488
"2021-12-21",63.830002,63.939999,62.34,62.650002,3295500,61.580841
"2021-12-22",62.630001,62.950001,62.43,62.779999,2707300,61.708622
"2021-12-23",62.990002,63.369999,62.830002,62.869999,1236300,61.797085
"2021-12-27",63.040001,63.279999,62.599998,63.259998,1096100,62.180428
"2021-12-28",63.169998,63.970001,63.110001,63.950001,890500,62.858658
"2021-12-29",64,64.269997,63.68,63.889999,1036800,62.799679
"2021-12-30",64.169998,64.230003,63.650002,63.93,933100,62.838997
"2021-12-31",63.709999,64.610001,63.709999,64.419998,1071500,63.320633
"2022-01-03",64.419998,64.699997,63.560001,64.68,1664300,63.576199
"2022-01-04",64.690002,66.110001,64.669998,65.309998,2193800,64.195442
"2022-01-05",64.82,66.160004,64.82,65.669998,2740400,64.549301
"2022-01-06",65.919998,66.419998,65.440002,65.959999,2011800,64.834351
"2022-01-07",65.989998,66.93,65.919998,66.599998,2460000,65.463432
"2022-01-10",66.730003,67.550003,66.639999,66.980003,3505200,65.836952
"2022-01-11",67.089996,67.239998,65.849998,66.580002,1587900,65.443779
