"","K.Open","K.High","K.Low","K.Close","K.Volume","K.Adjusted"
"2020-07-01",66.07,66.559998,65.5,65.93,1777000,61.380039
"2020-07-02",66.32,66.75,66.120003,66.309998,1018200,61.733807
"2020-07-06",66.75,67.190002,65.779999,66.199997,1450700,61.631413
"2020-07-07",66.010002,66.989998,65.580002,66.610001,1233500,62.013103
"2020-07-08",66.690002,66.699997,65.480003,66.610001,2506000,62.013103
"2020-07-09",66.239998,66.510002,65.68,65.900002,1708300,61.352112
"2020-07-10",66.059998,67.279999,65.949997,67.190002,1794000,62.553085
"2020-07-13",67.779999,67.900002,66.470001,66.949997,2133600,62.329643
"2020-07-14",66.699997,68.489998,66.510002,68.400002,1764300,63.679569
"2020-07-15",68.349998,69.050003,67.949997,68.089996,1242900,63.390968
"2020-07-16",68.139999,69.040001,67.830002,68.239998,1213200,63.530609
"2020-07-17",68.449997,68.839996,68.360001,68.629997,1842500,63.893707
"2020-07-20",68.449997,68.5,67.18,67.419998,2149700,62.767208
"2020-07-21",67.510002,68.449997,67.480003,67.669998,1389500,62.999962
"2020-07-22",67.660004,67.709999,66.550003,67.459999,1903700,62.80444
"2020-07-23",67.669998,68.480003,67.660004,68.410004,1425900,63.688889
"2020-07-24",68.650002,69.209999,67.849998,68.68,1217000,63.940262
"2020-07-27",68.5,70.099998,68.5,69.970001,2354900,65.141228
"2020-07-28",69.970001,71.32,69.970001,70.910004,2123500,66.016365
"2020-07-29",71.300003,71.550003,70.589996,70.940002,2639800,66.044289
"2020-07-30",72,72.879997,69.830002,70.589996,4132900,65.718437
"2020-07-31",70.099998,70.580002,68.07,68.989998,5541500,64.228859
"2020-08-03",69,69.650002,68.760002,69.349998,1790100,64.564018
"2020-08-04",69.360001,69.779999,69.059998,69.709999,1872400,64.899162
"2020-08-05",69.769997,70.209999,69.160004,69.260002,1092600,64.480232
"2020-08-06",69.089996,69.839996,68.940002,69.230003,1548600,64.452301
"2020-08-07",69.25,69.730003,68.699997,69.519997,1316100,64.722282
"2020-08-10",69.580002,69.800003,68.559998,69.019997,1476900,64.25679
"2020-08-11",69.07,69.230003,67.910004,68.129997,1386500,63.4282
"2020-08-12",68.300003,69.830002,68.18,69.279999,1206000,64.498848
"2020-08-13",69.279999,69.279999,68.540001,69.019997,903000,64.25679
"2020-08-14",68.870003,69.339996,68.610001,69.099998,1279100,64.331268
"2020-08-17",69.099998,69.790001,68.790001,69.68,1488200,64.871254
"2020-08-18",69.540001,70.470001,69.080002,70.110001,1750600,65.271561
"2020-08-19",69.970001,70.239998,68.730003,68.849998,1653900,64.098518
"2020-08-20",68.839996,69.239998,68.540001,68.739998,1073300,63.996117
"2020-08-21",68.790001,69.059998,68.160004,68.889999,1682700,64.135757
"2020-08-24",68.970001,69.580002,68.419998,69.580002,1176700,64.778152
"2020-08-25",69.830002,69.830002,68.800003,69.489998,1848200,64.694344
"2020-08-26",69.300003,70.470001,69.019997,70.379997,1447600,65.522926
"2020-08-27",70.5,71.139999,70.370003,70.459999,1043500,65.597412
"2020-08-28",70.360001,70.779999,69.349998,70.540001,1847100,65.671883
"2020-08-31",70.07,71.129997,70.010002,70.910004,1713400,66.554153
"2020-09-01",70.440002,70.779999,68.900002,69.239998,1716000,64.986732
"2020-09-02",69.080002,70.800003,69.080002,70.419998,1628000,66.094246
"2020-09-03",70.309998,71.650002,69.25,69.940002,2082000,65.643738
"2020-09-04",69.690002,70.25,68.669998,69.220001,2563300,64.967964
"2020-09-08",69,69.589996,65.870003,66.339996,3153500,62.264874
"2020-09-09",66.949997,67.519997,66.089996,66.529999,2347900,62.443203
"2020-09-10",66.419998,67.169998,65.82,66,2185400,61.945763
"2020-09-11",65.889999,66.019997,65.099998,65.440002,2121700,61.420155
"2020-09-14",65.559998,66.059998,65.360001,65.419998,1666000,61.401382
"2020-09-15",65.389999,66.300003,65.120003,65.629997,2105800,61.59848
"2020-09-16",65.589996,65.809998,63.849998,63.93,5199500,60.002914
"2020-09-17",63.349998,63.599998,62.669998,63.509998,4076600,59.608715
"2020-09-18",62.720001,63.560001,62.27,62.919998,5991900,59.054955
"2020-09-21",62.439999,63.25,61.91,62.720001,2793800,58.867245
"2020-09-22",62.720001,63.66,62.419998,62.669998,2966700,58.820313
"2020-09-23",63.099998,63.400002,61.09,61.130001,2129300,57.374912
"2020-09-24",61,62.779999,60.84,62.650002,2435100,58.801544
"2020-09-25",62.610001,63.32,62.529999,63.080002,1592800,59.205135
"2020-09-28",63.560001,63.799999,62.830002,63.380001,1292600,59.486702
"2020-09-29",63.77,63.869999,63.080002,63.439999,1661500,59.543015
"2020-09-30",63.73,64.739998,63.540001,64.589996,2024500,60.622368
"2020-10-01",64.720001,64.800003,63.66,64.379997,1691200,60.42527
"2020-10-02",63.77,65.220001,63.400002,64.709999,1574900,60.734997
"2020-10-05",64.839996,65.519997,64.510002,65.449997,1813200,61.429546
"2020-10-06",65.489998,65.860001,64.860001,65.160004,1374900,61.15736
"2020-10-07",65.129997,65.559998,64.360001,64.860001,1354600,60.87579
"2020-10-08",65.059998,65.43,64.739998,65.220001,868500,61.213673
"2020-10-09",65.559998,66.220001,65.150002,65.849998,1280200,61.804977
"2020-10-12",66,66.699997,65.889999,66.309998,1784900,62.236713
"2020-10-13",66.080002,66.93,66,66.82,992600,62.715389
"2020-10-14",66.739998,67.470001,66.57,66.860001,1228100,62.752934
"2020-10-15",66.639999,67.440002,66.309998,67.139999,1891200,63.015736
"2020-10-16",67.290001,67.57,66.93,67.099998,1215700,62.978188
"2020-10-19",67.150002,67.870003,66.599998,66.690002,1644400,62.593369
"2020-10-20",67.300003,67.349998,66.190002,66.25,1339800,62.180408
"2020-10-21",65.919998,66.620003,65.779999,65.970001,1122600,61.917603
"2020-10-22",66.029999,66.529999,65.599998,66.360001,1498000,62.283646
"2020-10-23",66.800003,67.279999,66.410004,66.760002,986400,62.659073
"2020-10-26",66.589996,66.800003,65.410004,65.699997,1413100,61.664185
"2020-10-27",65.470001,65.959999,64.889999,64.93,1528000,60.941494
"2020-10-28",64.5,64.760002,63.48,63.490002,2557200,59.589951
"2020-10-29",63.779999,64.699997,62.650002,63.080002,3469800,59.205135
"2020-10-30",62.799999,63.59,62.560001,62.889999,2532500,59.026806
"2020-11-02",63.759998,64.599998,63.279999,63.939999,1931500,60.012302
"2020-11-03",64.410004,65.489998,64.080002,64.379997,1572700,60.42527
"2020-11-04",64.580002,65.199997,63.490002,63.580002,1857300,59.674416
"2020-11-05",64.07,65.209999,64,64.300003,2111200,60.350193
"2020-11-06",64.32,65.129997,64.050003,64.349998,1339400,60.397118
"2020-11-09",64.57,65.050003,62.860001,62.959999,2921100,59.092503
"2020-11-10",62.93,64.260002,62.099998,64.190002,3262900,60.246948
"2020-11-11",64.419998,65.669998,64.120003,65.599998,1653900,61.570332
"2020-11-12",65.599998,65.669998,64.559998,65.099998,1999300,61.101048
"2020-11-13",65.669998,65.779999,65.089996,65.760002,1049500,61.720509
"2020-11-16",65.459999,66.629997,65.010002,66.580002,1710300,62.490135
"2020-11-17",66.209999,67.019997,65.879997,66.32,1250500,62.246109
"2020-11-18",66.400002,66.620003,65,65.019997,1208700,61.025951
"2020-11-19",64.980003,65.400002,64.389999,65.209999,1140600,61.204285
"2020-11-20",65.209999,65.389999,64.489998,65.010002,1785900,61.016579
"2020-11-23",63.099998,64.300003,63.099998,63.669998,2595000,59.758888
"2020-11-24",64.050003,64.25,62.419998,62.470001,3461800,58.632603
"2020-11-25",62.93,64.160004,62.830002,63.259998,2215800,59.374073
"2020-11-27",63.689999,63.77,63,63.48,824300,59.580563
"2020-11-30",62.880001,63.919998,62.490002,63.91,3265700,60.527634
"2020-12-01",63.709999,63.970001,63.290001,63.68,2751100,60.309811
"2020-12-02",63.529999,63.82,62.509998,62.720001,2110500,59.400612
"2020-12-03",62.599998,63.07,62.450001,63,1736200,59.665794
"2020-12-04",62.919998,62.919998,61.990002,62.369999,2736400,59.069134
"2020-12-07",62.450001,62.720001,61.77,61.950001,2833700,58.671368
"2020-12-08",62.110001,62.610001,61.75,62.549999,2874700,59.239613
"2020-12-09",62.669998,62.84,61.560001,62,3059200,58.718719
"2020-12-10",62.130001,62.310001,61.689999,61.98,2112300,58.699783
"2020-12-11",61.639999,62.459999,61.52,62.110001,2140000,58.822899
"2020-12-14",62.5,62.849998,61.880001,61.919998,2024500,58.642952
"2020-12-15",62.02,62.119999,61.040001,61.240002,2285700,57.99894
"2020-12-16",61.619999,61.98,61.25,61.5,2512200,58.245186
"2020-12-17",61.919998,62.720001,61.779999,62.48,2066200,59.173313
"2020-12-18",62.5,62.77,61.560001,62.080002,5138000,58.794487
"2020-12-21",61.66,61.68,60.639999,61.529999,1889200,58.273594
"2020-12-22",61.400002,61.509998,60.82,61.189999,1687500,57.951584
"2020-12-23",61.509998,61.98,61.360001,61.610001,1638500,58.349365
"2020-12-24",61.580002,61.900002,61.419998,61.779999,524800,58.510365
"2020-12-28",61.93,62.360001,61.799999,62.34,956200,59.04073
"2020-12-29",62.48,63.080002,62.009998,62.290001,1014500,58.99337
"2020-12-30",62.150002,62.209999,61.450001,61.529999,1084800,58.273594
"2020-12-31",61.529999,62.290001,61.330002,62.23,1813100,58.936546
"2021-01-04",62.02,62.209999,60.950001,61.450001,3158800,58.19783
"2021-01-05",61.490002,61.970001,61.259998,61.799999,1630000,58.529305
"2021-01-06",61.200001,61.75,60.889999,61.32,2595700,58.074707
"2021-01-07",61.540001,61.66,60.77,60.889999,2517900,57.667465
"2021-01-08",60.919998,61.400002,59.509998,60.200001,3503900,57.013988
"2021-01-11",60.41,60.619999,59.279999,59.369999,2941400,56.227905
"2021-01-12",59.5,59.529999,57.849998,58.560001,3021200,55.460781
"2021-01-13",58.73,59.599998,58.25,59.139999,2350400,56.010078
"2021-01-14",59.490002,59.490002,58.740002,59.049999,5630900,55.924847
"2021-01-15",59.220001,59.599998,58.509998,59.029999,5053900,55.905907
