"","IPG.Open","IPG.High","IPG.Low","IPG.Close","IPG.Volume","IPG.Adjusted"
"2020-07-01",17.200001,17.620001,17,17.059999,3558800,15.815343
"2020-07-02",17.440001,17.5,16.879999,17.059999,2553300,15.815343
"2020-07-06",17.459999,17.73,17.209999,17.360001,5024300,16.093454
"2020-07-07",17.120001,17.370001,17,17.190001,3596100,15.93586
"2020-07-08",17.09,17.09,16.66,17,3977600,15.759721
"2020-07-09",16.9,16.969999,16.120001,16.389999,3294300,15.194224
"2020-07-10",16.4,17.120001,16.379999,16.969999,3421000,15.731911
"2020-07-13",17.200001,17.360001,16.93,16.98,2694800,15.741178
"2020-07-14",16.93,17.389999,16.74,17.35,2381600,16.084187
"2020-07-15",17.690001,18.139999,17.52,18.049999,2737200,16.733112
"2020-07-16",17.950001,18.43,17.85,18.200001,3894700,16.872169
"2020-07-17",18.24,18.360001,17.9,18,2987400,16.686766
"2020-07-20",17.85,17.9,17.15,17.450001,4100200,16.176889
"2020-07-21",17.51,18.02,17.51,17.68,2090200,16.390108
"2020-07-22",17.629999,18.07,17.58,18,2354300,16.686766
"2020-07-23",18.75,18.91,18.34,18.459999,6352200,17.113201
"2020-07-24",18.67,18.91,18.33,18.549999,4616000,17.196634
"2020-07-27",18.290001,18.66,18.290001,18.559999,5844100,17.205906
"2020-07-28",17.780001,18.59,17.780001,18.41,5257300,17.066851
"2020-07-29",18.49,19.4,18.219999,18.91,8548800,17.530373
"2020-07-30",18.700001,18.700001,18.34,18.41,3526200,17.066851
"2020-07-31",18.32,18.32,17.790001,18.049999,5247000,16.733112
"2020-08-03",18.110001,18.57,17.9,18.42,3365900,17.076117
"2020-08-04",18.370001,18.77,18.290001,18.51,2575600,17.159554
"2020-08-05",18.709999,18.9,18.43,18.690001,4974700,17.326424
"2020-08-06",18.549999,18.889999,18.51,18.530001,3875100,17.178097
"2020-08-07",18.370001,18.49,18.110001,18.41,5508800,17.066851
"2020-08-10",18.5,19.27,18.5,19.120001,4494700,17.725052
"2020-08-11",19.42,19.93,19.27,19.299999,4163000,17.891918
"2020-08-12",19.440001,19.59,18.959999,19,3527000,17.613808
"2020-08-13",18.799999,19,18.67,18.790001,3356100,17.419127
"2020-08-14",18.74,19.129999,18.65,18.860001,2444200,17.48402
"2020-08-17",18.889999,18.93,18.469999,18.58,2994600,17.224447
"2020-08-18",18.540001,18.77,18.360001,18.440001,2954800,17.094662
"2020-08-19",18.51,18.68,18.26,18.34,2763000,17.001953
"2020-08-20",18.139999,18.24,17.790001,17.799999,3243800,16.501352
"2020-08-21",17.67,17.719999,17.42,17.48,3932100,16.2047
"2020-08-24",17.57,18.33,17.5,18.33,3349700,16.992687
"2020-08-25",18.459999,18.459999,17.959999,18.129999,1980800,16.807276
"2020-08-26",18.040001,18.219999,17.84,17.91,2196700,16.603331
"2020-08-27",18.049999,18.6,18.049999,18.4,3737900,17.057579
"2020-08-28",18.42,18.559999,18.16,18.540001,2000100,17.187368
"2020-08-31",18.32,18.43,17.73,17.76,3704200,16.69388
"2020-09-01",17.67,17.969999,17.459999,17.74,2859500,16.675081
"2020-09-02",17.77,18.190001,17.74,17.950001,5137000,16.872478
"2020-09-03",18.209999,18.540001,17.67,17.860001,6127500,16.787876
"2020-09-04",18.200001,18.24,17.719999,17.84,2937100,16.769077
"2020-09-08",17.709999,17.83,17.389999,17.469999,3297900,16.421288
"2020-09-09",17.610001,17.639999,17.18,17.200001,5059800,16.167496
"2020-09-10",17.25,17.469999,16.91,16.940001,3525500,15.923104
"2020-09-11",17,17.360001,16.870001,17.299999,3517700,16.261494
"2020-09-14",17.48,18.27,17.440001,18.16,4152600,17.069872
"2020-09-15",18.129999,18.290001,17.75,18.049999,2731800,16.966475
"2020-09-16",18.209999,18.82,18.030001,18.52,3901600,17.40826
"2020-09-17",18.139999,18.620001,17.99,18.290001,3216700,17.192068
"2020-09-18",18.200001,18.290001,17.780001,17.83,4544100,16.75968
"2020-09-21",17.35,17.52,16.719999,16.93,3833600,15.913706
"2020-09-22",16.969999,17.15,16.610001,16.68,3819300,15.678712
"2020-09-23",16.620001,16.92,16.18,16.200001,3510300,15.227529
"2020-09-24",16.18,16.52,15.92,16.280001,3252400,15.302726
"2020-09-25",16.18,16.91,16.07,16.870001,5977800,15.857306
"2020-09-28",17.23,17.25,16.879999,17.049999,3219200,16.026501
"2020-09-29",17.040001,17.1,16.540001,16.620001,2755600,15.622314
"2020-09-30",16.75,16.99,16.469999,16.67,4702700,15.669312
"2020-10-01",16.799999,16.98,16.6,16.77,3597200,15.763312
"2020-10-02",16.559999,17.51,16.559999,17.41,3828300,16.364889
"2020-10-05",17.629999,17.91,17.5,17.620001,2675400,16.562286
"2020-10-06",17.809999,18.040001,17.43,17.48,2741000,16.430691
"2020-10-07",17.65,18.139999,17.65,18.030001,2491900,16.947674
"2020-10-08",18.139999,18.42,17.969999,18.34,2813100,17.239065
