"","TFX.Open","TFX.High","TFX.Low","TFX.Close","TFX.Volume","TFX.Adjusted"
"2021-01-14",398.019989,399.660004,386.450012,387.660004,256000,385.369385
"2021-01-15",387.100006,390.429993,382.920013,388.369995,205500,386.075195
"2021-01-19",391.570007,392.630005,384.48999,385.829987,184500,383.550171
"2021-01-20",385.790009,395.48999,383.589996,393.290009,198800,390.966156
"2021-01-21",391.179993,395.190002,388.269989,388.720001,164900,386.423157
"2021-01-22",386.73999,388.549988,384.660004,386.440002,197800,384.156616
"2021-01-25",384.579987,387.200012,378.859985,382.140015,223200,379.882019
"2021-01-26",384,385.26001,377.76001,382.799988,216200,380.538147
"2021-01-27",377.359985,379.410004,370.790009,372.25,184600,370.050446
"2021-01-28",375.209991,386.820007,372.769989,381.5,181600,379.245789
"2021-01-29",379.570007,381.829987,373.899994,377.630005,174500,375.398651
"2021-02-01",380.290009,384.359985,374.119995,379.329987,182300,377.088593
"2021-02-02",384.140015,398.570007,383.76001,391.399994,223400,389.087311
"2021-02-03",390.98999,393.089996,382.029999,389.269989,138400,386.969879
"2021-02-04",389.839996,403.98999,389.839996,398.660004,175600,396.304382
"2021-02-05",400.619995,403.859985,398.540009,398.769989,163500,396.413757
"2021-02-08",398.940002,402.450012,396.420013,398.630005,93600,396.274597
"2021-02-09",397.290009,402.549988,396.73999,400.279999,209400,397.914795
"2021-02-10",402.230011,404.980011,397.75,403.209991,155100,400.827454
"2021-02-11",403.700012,407.339996,401.049988,406.549988,128700,404.147766
"2021-02-12",405.209991,410.350006,403.730011,406.190002,193500,403.789917
"2021-02-16",405.790009,407.059998,400.320007,404.5,166600,402.109894
"2021-02-17",402.480011,407.559998,400.570007,403.299988,143700,400.916992
"2021-02-18",400.51001,407.209991,400.329987,403.820007,159400,401.433929
"2021-02-19",405.01001,405.73999,390.350006,390.429993,219200,388.123047
"2021-02-22",388.769989,388.929993,379.910004,386.540009,205800,384.256012
"2021-02-23",388.880005,397.01001,386.369995,395.149994,245300,392.815155
"2021-02-24",392.869995,403.76001,392.869995,400.390015,197500,398.0242
"2021-02-25",400.829987,410.600006,397.910004,402.480011,252400,400.101868
"2021-02-26",403.149994,406.920013,394.970001,398.119995,206600,395.767609
"2021-03-01",400.820007,408.119995,400.820007,403.679993,182000,401.294769
"2021-03-02",403.309998,406.690002,397.25,403.779999,178700,401.394165
"2021-03-03",402.279999,404.410004,398.920013,402.420013,177000,400.042206
"2021-03-04",403.769989,406.839996,389.709991,390.970001,201400,388.988525
"2021-03-05",392.859985,404.589996,387.720001,401.700012,206500,399.664154
"2021-03-08",402.369995,406.51001,397.190002,400.350006,363800,398.320984
"2021-03-09",403.329987,410.549988,403.329987,406.75,214300,404.688538
"2021-03-10",409.970001,420,409.25,418.619995,270200,416.498352
"2021-03-11",418.589996,419.630005,414.579987,414.709991,236700,412.608154
"2021-03-12",415.970001,425.299988,411.309998,423.5,232800,421.353668
"2021-03-15",422.470001,434.980011,419.809998,429.440002,308900,427.26355
"2021-03-16",426.720001,429.029999,416.410004,419.809998,219900,417.682343
"2021-03-17",419.809998,420.549988,414.119995,416.459991,184600,414.349304
"2021-03-18",414,414,404.390015,406.920013,211500,404.857697
"2021-03-19",405.200012,408.809998,400.459991,401.079987,327400,399.047241
"2021-03-22",399.519989,407.179993,397.869995,402.660004,175200,400.619232
"2021-03-23",402.220001,404.890015,396.950012,399.279999,218800,397.256348
"2021-03-24",398.950012,408.779999,398.950012,403.660004,218500,401.614197
"2021-03-25",401.970001,411.519989,397.540009,410.279999,333300,408.200623
"2021-03-26",410,413.119995,400.26001,413.019989,146500,410.926727
"2021-03-29",413.369995,417.519989,408.079987,415.720001,125100,413.613037
"2021-03-30",412.329987,416.880005,411.350006,414.790009,270800,412.687775
"2021-03-31",415.51001,420.320007,415.230011,415.459991,198400,413.35437
"2021-04-01",415.600006,417.320007,411.220001,414.149994,123500,412.050995
"2021-04-05",415.540009,424.700012,415.540009,422.48999,220800,420.348755
"2021-04-06",422.48999,426.549988,418.709991,423.369995,265900,421.224274
"2021-04-07",423.059998,424.26001,417.380005,419.609985,98100,417.483276
"2021-04-08",420.950012,425.190002,419.820007,420.149994,114700,418.02063
"2021-04-09",421.23999,427.630005,418.149994,427.089996,111500,424.925415
"2021-04-12",425.519989,428.480011,423.899994,426.290009,124500,424.129486
"2021-04-13",424.779999,430.640015,424.600006,429.290009,130800,427.114288
"2021-04-14",429.880005,432,426.130005,426.910004,132300,424.746368
"2021-04-15",428.160004,435.190002,428.160004,431.23999,189600,429.054413
"2021-04-16",433.48999,433.899994,427.399994,432.559998,231200,430.367706
"2021-04-19",430.230011,432.390015,427.48999,431.790009,158900,429.601624
"2021-04-20",431.640015,433.959991,428.140015,431.859985,113300,429.671234
"2021-04-21",433.26001,440.089996,433.26001,438.279999,108400,436.058716
"2021-04-22",437.399994,442.890015,437.399994,439.350006,134400,437.123322
"2021-04-23",439.589996,445.160004,437.049988,443.709991,144300,441.461212
"2021-04-26",444.589996,447.790009,439.850006,440.01001,127500,437.779968
"2021-04-27",438.600006,441.529999,434.589996,438.809998,136900,436.586029
"2021-04-28",438.700012,449.380005,437.25,443.850006,222700,441.600464
"2021-04-29",435.230011,437.049988,414.769989,417.200012,465200,415.085541
"2021-04-30",420.359985,423.820007,412.420013,422.480011,292000,420.338806
"2021-05-03",425.01001,425.01001,414.940002,417.179993,254400,415.065643
"2021-05-04",416.700012,418.200012,409.320007,412.679993,219200,410.58847
"2021-05-05",416.529999,416.529999,407.75,410.339996,257100,408.260315
"2021-05-06",411.25,411.25,399.440002,407.540009,288800,405.474518
"2021-05-07",408.929993,418.079987,408.929993,412.549988,164700,410.459106
"2021-05-10",412.959991,413.540009,407.26001,407.640015,153400,405.574005
"2021-05-11",403.910004,407.410004,399.309998,400.720001,221700,398.689087
"2021-05-12",397.299988,399.700012,384.779999,385.959991,411000,384.003876
"2021-05-13",386.359985,394.26001,384.929993,392.109985,257500,390.466675
"2021-05-14",392.940002,396.309998,390.429993,393,155100,391.352936
"2021-05-17",391.910004,395.839996,389.079987,393.23999,302600,391.591919
"2021-05-18",393.01001,398.399994,389.589996,393.519989,190900,391.870758
"2021-05-19",391.220001,391.75,387.459991,390.5,117200,388.863434
"2021-05-20",389.589996,400.26001,389.589996,398.01001,155200,396.341949
"2021-05-21",401.079987,405.320007,399.709991,401.519989,194200,399.837219
"2021-05-24",401.649994,406.549988,401.399994,403.470001,156000,401.779083
"2021-05-25",405.540009,408.459991,402.549988,405.589996,156800,403.890167
"2021-05-26",402.720001,406.559998,396.140015,400.350006,185200,398.67218
"2021-05-27",400.01001,403.26001,398.23999,402.730011,352400,401.042175
"2021-05-28",404.420013,409.200012,402.070007,402.190002,172400,400.504425
"2021-06-01",402.140015,402.48999,392.359985,392.459991,210500,390.815216
"2021-06-02",393.170013,397.23999,387.700012,389.559998,252100,387.927368
"2021-06-03",387.119995,391.76001,384.890015,391.23999,172200,389.600311
"2021-06-04",394.269989,396.579987,392.390015,395.230011,176600,393.573639
"2021-06-07",395.73999,399.100006,391.029999,392.769989,218400,391.123871
"2021-06-08",393.910004,393.910004,382.880005,389.709991,142900,388.076721
"2021-06-09",391.600006,394.730011,390.279999,393.309998,167500,391.661682
"2021-06-10",394.98999,398.679993,393.369995,396.399994,268900,394.738708
"2021-06-11",395.440002,399.579987,391.100006,393.540009,187900,391.890686
"2021-06-14",392.940002,397.279999,388.329987,395.700012,302500,394.041626
"2021-06-15",396,399.130005,394.059998,396.309998,270200,394.649109
"2021-06-16",397.76001,403.369995,395.329987,395.970001,388100,394.310516
"2021-06-17",394.929993,405.98999,393.290009,403.029999,267600,401.340942
"2021-06-18",402.359985,402.709991,393.670013,396.869995,539200,395.206726
"2021-06-21",397.5,403.929993,392.130005,400.290009,245100,398.612396
"2021-06-22",401.519989,407.75,397.820007,404.799988,500700,403.103485
"2021-06-23",402.549988,412.700012,402.549988,408.160004,528500,406.449402
"2021-06-24",412,412,399.890015,400.820007,245600,399.140167
"2021-06-25",402.76001,419.950012,400,412.209991,1209200,410.482422
"2021-06-28",412.070007,413.700012,400.730011,406.390015,299100,404.686859
"2021-06-29",407.399994,409.089996,404.160004,408.630005,175200,406.91745
"2021-06-30",408.459991,408.459991,398.220001,401.790009,209400,400.10611
"2021-07-01",402.350006,407.209991,401.200012,406.839996,177500,405.134918
"2021-07-02",407.850006,410.799988,405.660004,410,142500,408.281738
"2021-07-06",407.700012,412.769989,407.320007,412.609985,268600,410.880737
"2021-07-07",414.839996,422.529999,412.850006,421.589996,236900,419.82312
"2021-07-08",417.609985,422.75,411.540009,422.51001,464700,420.739258
"2021-07-09",424.170013,428.359985,420.839996,422.820007,696300,421.048004
"2021-07-12",422.019989,424.350006,419.079987,420.429993,394600,418.667969
"2021-07-13",419.369995,421.480011,415.549988,418.76001,333700,417.004974
"2021-07-14",418.230011,420.790009,416.649994,417.25,415600,415.501343
"2021-07-15",397,398.299988,364.23999,376.200012,1807300,374.623383
"2021-07-16",376.76001,391.049988,375.980011,390.320007,683100,388.684204
"2021-07-19",378.390015,385.450012,370.880005,375.100006,594800,373.527954
"2021-07-20",375.890015,391.119995,375.890015,386.149994,454500,384.531677
"2021-07-21",390.410004,391.980011,386.700012,390.890015,299800,389.251801
"2021-07-22",392.049988,394.320007,388.809998,393.160004,277000,391.512299
"2021-07-23",396.040009,398.350006,393.019989,397.910004,235400,396.242371
"2021-07-26",396.190002,399.579987,392.769989,397.690002,256400,396.023315
"2021-07-27",398.070007,405.369995,397.420013,402.290009,388300,400.604034
"2021-07-28",403.570007,405.910004,398.51001,399.230011,311700,397.556854
"2021-07-29",405.970001,405.970001,390.329987,396,345000,394.340363
"2021-07-30",395.440002,401.160004,393.579987,397.429993,254300,395.764343
"2021-08-02",399.179993,399.179993,390.369995,391.290009,210500,389.650116
"2021-08-03",390.980011,390.980011,383.290009,384.959991,252200,383.346649
"2021-08-04",382.429993,383.730011,372.809998,373.410004,326500,371.845032
"2021-08-05",372.910004,379.130005,370.049988,377.839996,285500,376.25647
"2021-08-06",378.559998,382.420013,376.01001,380.880005,198500,379.283752
"2021-08-09",381.529999,381.529999,374.279999,375.119995,159200,373.547913
"2021-08-10",375.179993,377.029999,359.880005,360.299988,549800,358.789948
"2021-08-11",361.220001,366.369995,360.540009,364.059998,240300,362.534241
"2021-08-12",363.959991,366.720001,360.73999,361.649994,217000,360.134308
"2021-08-13",360.48999,366.690002,359.570007,366.079987,184200,364.888794
"2021-08-16",366.309998,373.329987,364.549988,372.350006,206400,371.138397
"2021-08-17",370.920013,380.190002,369.049988,378.339996,256000,377.108887
"2021-08-18",379.149994,379.230011,371.600006,371.959991,210300,370.749664
"2021-08-19",369.059998,377.730011,369.059998,375.839996,166200,374.617065
"2021-08-20",376.070007,379.640015,374.809998,377.070007,145900,375.843048
"2021-08-23",378.709991,384.779999,378.26001,382.429993,446300,381.185608
"2021-08-24",381.619995,390.98999,381.619995,386.170013,205400,384.913452
"2021-08-25",384.959991,387.049988,381.459991,385.279999,120700,384.026337
"2021-08-26",384.23999,386.600006,383.290009,385.959991,212800,384.704102
"2021-08-27",388.170013,392.76001,387.079987,388.220001,138500,386.956787
"2021-08-30",388.410004,393.720001,388.410004,392.579987,171800,391.302612
"2021-08-31",393.200012,399.359985,392.399994,395.459991,339600,394.173218
"2021-09-01",398.299988,400,394.779999,397.559998,182600,396.266388
"2021-09-02",400.089996,405.609985,396.390015,404.609985,259500,403.293427
"2021-09-03",403.190002,405.549988,398.01001,398.429993,258100,397.133545
"2021-09-07",397.369995,400.820007,394.410004,399.140015,310700,397.841278
"2021-09-08",399.170013,405.899994,398.329987,400.109985,203700,398.808044
"2021-09-09",398.98999,400.75,384.329987,385.399994,406900,384.145935
"2021-09-10",386.790009,388.220001,372.049988,372.420013,290000,371.208191
"2021-09-13",375.470001,380.470001,373.209991,377.730011,228700,376.500946
"2021-09-14",382.140015,389.859985,376.609985,387.339996,202900,386.07962
"2021-09-15",387.019989,390.709991,386.040009,388.670013,125200,387.405304
"2021-09-16",388.600006,389.140015,383.589996,385.970001,104700,384.714111
"2021-09-17",383.269989,387.880005,382.339996,385.570007,251400,384.31543
"2021-09-20",379.26001,385.450012,377.279999,379.109985,169200,377.876404
