"","PWR.Open","PWR.High","PWR.Low","PWR.Close","PWR.Volume","PWR.Adjusted"
"2020-07-01",39.380001,39.57,38.290001,38.34,950000,38.134689
"2020-07-02",39.200001,39.720001,38.790001,38.869999,1032100,38.66185
"2020-07-06",39.16,39.470001,38.77,39,1025000,38.791161
"2020-07-07",38.689999,39.110001,38.290001,38.490002,1930700,38.28389
"2020-07-08",38.369999,38.599998,36.619999,37.349998,1295800,37.14999
"2020-07-09",37.209999,37.5,35.889999,36.16,1241100,35.966362
"2020-07-10",35.98,36.919998,35.98,36.799999,769500,36.602936
"2020-07-13",37.130001,38.150002,36.84,37.310001,889500,37.110214
"2020-07-14",37.169998,38.369999,37.040001,38.330002,731600,38.124744
"2020-07-15",38.91,40.290001,38.73,40.02,1318400,39.805702
"2020-07-16",40.07,40.57,39.5,40.029999,768900,39.815639
"2020-07-17",40.200001,41.02,40.200001,40.540001,1009500,40.322914
"2020-07-20",40.200001,40.759998,40.119999,40.139999,1477100,39.925049
"2020-07-21",40.52,41.049999,40.48,40.639999,745000,40.422371
"2020-07-22",40.349998,41.099998,40.349998,40.919998,611300,40.700874
"2020-07-23",40.790001,41.610001,40.759998,41.119999,815300,40.899799
"2020-07-24",41.34,41.34,40.540001,40.68,607200,40.462154
"2020-07-27",40.560001,41.150002,40.07,41.080002,729600,40.86002
"2020-07-28",41.040001,41.110001,39.950001,39.970001,1006000,39.755962
"2020-07-29",40.16,41.25,40.110001,41.150002,870900,40.929649
"2020-07-30",40.59,40.599998,39.919998,40.119999,640200,39.905159
"2020-07-31",39.970001,40.32,39.200001,39.970001,884300,39.755962
"2020-08-03",40.290001,41.48,40.139999,41.200001,804300,40.979378
"2020-08-04",41.110001,41.740002,41.099998,41.529999,826000,41.30761
"2020-08-05",41.830002,42.98,41.759998,42.779999,1231300,42.550915
"2020-08-06",44,47.630001,43.400002,45.43,2778700,45.186729
"2020-08-07",45.650002,46.380001,44.889999,46.360001,1656100,46.111744
"2020-08-10",46.369999,48.27,46.349998,48.200001,1375000,47.941895
"2020-08-11",48.91,50.439999,48.860001,49.860001,2529100,49.593002
"2020-08-12",50.5,50.93,48.82,49.48,1824000,49.215042
