"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"2020-07-01",203.139999,206.350006,201.770004,204.699997,32061200,201.094925
"2020-07-02",205.679993,208.020004,205,206.259995,29315800,202.627457
"2020-07-06",208.830002,211.130005,208.089996,210.699997,31897600,206.989258
"2020-07-07",210.449997,214.669998,207.990005,208.25,33600700,204.582397
"2020-07-08",210.070007,213.259995,208.690002,212.830002,33600000,209.081741
"2020-07-09",216.330002,216.380005,211.470001,214.320007,33121700,210.545532
"2020-07-10",213.619995,214.080002,211.080002,213.669998,26177600,209.906937
"2020-07-13",214.479996,215.800003,206.5,207.070007,38135600,203.423203
"2020-07-14",206.130005,208.850006,202.029999,208.350006,37591800,204.680679
"2020-07-15",209.559998,211.330002,205.029999,208.039993,32179400,204.376099
"2020-07-16",205.399994,205.699997,202.309998,203.919998,29940700,200.328644
"2020-07-17",204.470001,205.039993,201.389999,202.880005,31635300,199.306976
"2020-07-20",205,212.300003,203.009995,211.600006,36884800,207.873428
"2020-07-21",213.660004,213.940002,208.029999,208.75,37990400,205.073608
"2020-07-22",209.199997,212.300003,208.389999,211.75,49605700,208.020782
"2020-07-23",207.190002,210.919998,202.149994,202.539993,67457000,198.972961
"2020-07-24",200.419998,202.860001,197.509995,201.300003,39827000,197.754822
"2020-07-27",201.470001,203.970001,200.860001,203.850006,30160900,200.259918
"2020-07-28",203.610001,204.699997,201.740005,202.020004,23251400,198.462128
"2020-07-29",202.5,204.649994,202.009995,204.059998,19632600,200.466202
"2020-07-30",201,204.460007,199.570007,203.899994,25079600,200.309006
"2020-07-31",204.399994,205.100006,199.009995,205.009995,51044000,201.39946
"2020-08-03",211.520004,217.639999,210.440002,216.539993,78983000,212.726425
"2020-08-04",214.169998,214.770004,210.309998,213.289993,49280100,209.533661
"2020-08-05",214.899994,215,211.570007,212.940002,28806400,209.18985
"2020-08-06",212.339996,216.369995,211.550003,216.350006,32656800,212.539764
"2020-08-07",214.850006,215.699997,210.929993,212.479996,27820400,208.73793
"2020-08-10",211.669998,211.880005,206.350006,208.25,36716500,204.582397
"2020-08-11",207.160004,207.649994,203.139999,203.380005,36446500,199.798187
"2020-08-12",205.289993,210.279999,204.75,209.190002,28013100,205.505859
"2020-08-13",209.440002,211.350006,208.149994,208.699997,22588900,205.024475
"2020-08-14",208.759995,209.589996,207.509995,208.899994,17958900,205.220932
"2020-08-17",209.600006,211.190002,208.919998,210.279999,20184800,206.576675
"2020-08-18",210.529999,212.360001,209.210007,211.490005,21336200,207.765381
"2020-08-19",211.490005,212.100006,209.25,209.699997,27627600,206.504837
"2020-08-20",209.539993,215,208.910004,214.580002,26981500,211.310516
"2020-08-21",213.860001,216.25,212.850006,213.020004,36249300,209.774292
"2020-08-24",214.789993,215.520004,212.429993,213.690002,25460100,210.434082
"2020-08-25",213.100006,216.610001,213.100006,216.470001,23043700,213.171707
"2020-08-26",217.880005,222.089996,217.360001,221.149994,39600800,217.780411
"2020-08-27",222.889999,231.149994,219.399994,226.580002,57602200,223.127655
"2020-08-28",228.179993,230.639999,226.580002,228.910004,26292900,225.422165
"2020-08-31",227,228.699997,224.309998,225.529999,28774200,222.093674
"2020-09-01",225.509995,227.449997,224.429993,227.270004,25725500,223.807159
"2020-09-02",227.970001,232.860001,227.350006,231.649994,34080800,228.120392
"2020-09-03",229.270004,229.309998,214.960007,217.300003,58400300,213.989075
"2020-09-04",215.100006,218.360001,205.190002,214.25,59664100,210.985519
"2020-09-08",206.5,210.029999,202.199997,202.660004,52924300,199.572113
"2020-09-09",207.600006,214.839996,206.699997,211.289993,45679000,208.070618
"2020-09-10",213.399994,214.740005,204.110001,205.369995,35461500,202.240814
"2020-09-11",207.199997,208.630005,201.240005,204.029999,33620100,200.921249
"2020-09-14",204.240005,209.199997,204.029999,205.410004,30375800,202.280228
"2020-09-15",208.419998,209.779999,206.929993,208.779999,21823900,205.598862
"2020-09-16",210.619995,210.649994,204.639999,205.050003,26328100,201.92572
"2020-09-17",200.050003,204.330002,199.960007,202.910004,34011300,199.818359
"2020-09-18",202.800003,203.649994,196.25,200.389999,55225300,197.336716
"2020-09-21",197.190002,202.710007,196.380005,202.539993,39839700,199.453964
"2020-09-22",205.059998,208.100006,202.080002,207.419998,33517100,204.259598
"2020-09-23",207.899994,208.100006,200.029999,200.589996,30803800,197.533661
"2020-09-24",199.850006,205.570007,199.199997,203.190002,31202500,200.09404
"2020-09-25",203.550003,209.039993,202.539993,207.820007,29437300,204.653503
"2020-09-28",210.880005,212.570007,208.059998,209.440002,32004900,206.248825
"2020-09-29",209.350006,210.070007,206.809998,207.259995,24221900,204.10202
"2020-09-30",207.729996,211.979996,206.539993,210.330002,33829100,207.125259
"2020-10-01",213.490005,213.990005,211.320007,212.460007,27158400,209.222809
"2020-10-02",208,210.990005,205.539993,206.190002,33154800,203.048355
"2020-10-05",207.220001,210.410004,206.979996,210.380005,21331600,207.1745
"2020-10-06",208.820007,210.179993,204.820007,205.910004,28554300,202.772629
"2020-10-07",207.059998,210.110001,206.720001,209.830002,25681100,206.632889
"2020-10-08",210.509995,211.190002,208.320007,210.580002,19925800,207.371445
"2020-10-09",211.229996,215.860001,211.229996,215.809998,26458000,212.521774
"2020-10-12",218.789993,223.860001,216.809998,221.399994,40461400,218.026581
"2020-10-13",222.720001,225.210007,220.429993,222.860001,28950800,219.46434
"2020-10-14",223,224.220001,219.130005,220.860001,23421700,217.494812
"2020-10-15",217.100006,220.360001,216.009995,219.660004,22733100,216.31311
"2020-10-16",220.149994,222.289993,219.320007,219.660004,26057900,216.31311
"2020-10-19",220.419998,222.300003,213.720001,214.220001,27625800,210.956009
"2020-10-20",215.800003,217.369995,213.089996,214.649994,22753500,211.37944
"2020-10-21",213.119995,216.919998,213.119995,214.800003,22724900,211.527161
"2020-10-22",213.929993,216.059998,211.699997,214.889999,22351500,211.615784
"2020-10-23",215.029999,216.279999,213.160004,216.229996,18879600,212.935349
"2020-10-26",213.850006,216.339996,208.100006,210.080002,37111600,206.879074
"2020-10-27",211.589996,214.669998,210.330002,213.25,36700300,210.000763
"2020-10-28",207.669998,208.839996,202.100006,202.679993,51195600,199.591797
"2020-10-29",204.070007,207.360001,203.369995,204.720001,31432600,201.600708
"2020-10-30",203.5,204.289993,199.619995,202.470001,36953700,199.385025
"2020-11-02",204.289993,205.279999,200.119995,202.330002,30842200,199.247162
"2020-11-03",203.889999,208.119995,203.119995,206.429993,27512000,203.284683
"2020-11-04",214.020004,218.320007,212.419998,216.389999,42311800,213.092926
"2020-11-05",222.039993,224.119995,221.149994,223.289993,36080100,219.887772
"2020-11-06",222.259995,224.360001,218.029999,223.720001,25231900,220.311264
"2020-11-09",224.440002,228.119995,217.880005,218.389999,44395000,215.062454
"2020-11-10",214.5,216.5,209.720001,211.009995,44045100,207.794891
"2020-11-11",212.389999,218.039993,212.199997,216.550003,29440800,213.250488
"2020-11-12",217.210007,219.110001,214.460007,215.440002,21593900,212.15741
"2020-11-13",216.360001,217.419998,214.160004,216.509995,18621100,213.211105
"2020-11-16",214.869995,217.740005,214.520004,217.229996,24953300,213.920135
"2020-11-17",216.100006,217.679993,214.080002,214.460007,24154100,211.192337
"2020-11-18",213.649994,215.169998,210.929993,211.080002,28372800,208.408035
"2020-11-19",211.380005,213.029999,209.929993,212.419998,24792700,209.731064
"2020-11-20",212.199997,213.289993,210,210.389999,22843100,207.726761
"2020-11-23",210.949997,212.289993,208.160004,210.110001,25683500,207.450302
"2020-11-24",209.589996,214.25,208.860001,213.860001,33979700,211.152863
"2020-11-25",215.110001,215.289993,212.460007,213.869995,21012900,211.162704
"2020-11-27",214.850006,216.270004,214.039993,215.229996,14512200,212.505478
"2020-11-30",214.100006,214.759995,210.839996,214.070007,33064800,211.360199
"2020-12-01",214.509995,217.320007,213.350006,216.210007,30904500,213.473099
"2020-12-02",214.880005,215.470001,212.800003,215.369995,23724500,212.643723
"2020-12-03",214.610001,216.380005,213.649994,214.240005,25120900,211.528046
"2020-12-04",214.220001,215.380005,213.179993,214.360001,24666000,211.64653
"2020-12-07",214.369995,215.539993,212.990005,214.289993,24620000,211.577377
"2020-12-08",213.970001,216.949997,212.889999,216.009995,23284100,213.27562
"2020-12-09",215.160004,215.229996,211.210007,211.800003,32440600,209.118927
"2020-12-10",211.770004,213.080002,210.360001,210.520004,26733300,207.855133
"2020-12-11",210.050003,213.320007,209.110001,213.259995,30979400,210.560455
"2020-12-14",213.100006,216.210007,212.880005,214.199997,28798400,211.488541
"2020-12-15",215.169998,215.419998,212.240005,214.130005,27000600,211.419449
"2020-12-16",214.75,220.110001,214.720001,219.279999,35023300,216.504211
"2020-12-17",219.869995,220.889999,217.919998,219.419998,32515800,216.642471
"2020-12-18",218.589996,219.690002,216.020004,218.589996,63354900,215.822968
"2020-12-21",217.550003,224,217.279999,222.589996,37181900,219.772339
"2020-12-22",222.690002,225.630005,221.850006,223.940002,22612200,221.10524
"2020-12-23",223.110001,223.559998,220.800003,221.020004,18699600,218.222214
"2020-12-24",221.419998,223.610001,221.199997,222.75,10550600,219.930298
"2020-12-28",224.449997,226.029999,223.020004,224.960007,17933500,222.11235
"2020-12-29",226.309998,227.179993,223.580002,224.149994,17403200,221.312592
"2020-12-30",225.229996,225.630005,221.470001,221.679993,20272300,218.873856
"2020-12-31",221.699997,223,219.679993,222.419998,20942100,219.604477
"2021-01-04",222.529999,223,214.809998,217.690002,37130100,214.934357
"2021-01-05",217.259995,218.520004,215.699997,217.899994,23823000,215.141693
"2021-01-06",212.169998,216.490005,211.940002,212.25,35930700,209.563217
"2021-01-07",214.039993,219.339996,213.710007,218.289993,27694500,215.526749
"2021-01-08",218.679993,220.580002,217.029999,219.619995,22956200,216.839935
"2021-01-11",218.470001,218.910004,216.729996,217.490005,23031300,214.736893
"2021-01-12",216.5,217.100006,213.320007,214.929993,23249300,212.20929
"2021-01-13",214.020004,216.759995,213.929993,216.339996,20087100,213.601456
"2021-01-14",215.910004,217.460007,212.740005,213.020004,29480800,210.323502
"2021-01-15",213.520004,214.509995,212.029999,212.649994,31746500,209.95816
"2021-01-19",213.75,216.979996,212.630005,216.440002,30480900,213.70018
"2021-01-20",217.699997,225.789993,217.289993,224.339996,37777300,221.500168
"2021-01-21",224.699997,226.300003,222.419998,224.970001,30709400,222.122223
"2021-01-22",227.080002,230.070007,225.800003,225.949997,30172700,223.089798
"2021-01-25",229.119995,229.779999,224.220001,229.529999,33152100,226.624481
"2021-01-26",231.860001,234.179993,230.080002,232.330002,49169600,229.389053
"2021-01-27",238,240.440002,230.139999,232.899994,69870600,229.951828
"2021-01-28",235.610001,242.639999,235.089996,238.929993,49111200,235.905472
"2021-01-29",235.990005,238.020004,231.350006,231.960007,42503100,229.023727
"2021-02-01",235.059998,242.5,232.429993,239.649994,33314200,236.616379
"2021-02-02",241.300003,242.309998,238.690002,239.509995,25916300,236.478149
"2021-02-03",239.570007,245.089996,239.259995,243,27158100,239.923981
"2021-02-04",242.660004,243.240005,240.369995,242.009995,25296100,238.946503
"2021-02-05",242.229996,243.279999,240.419998,242.199997,18054800,239.134109
"2021-02-08",243.149994,243.679993,240.809998,242.470001,22211900,239.400681
