"","AIG.Open","AIG.High","AIG.Low","AIG.Close","AIG.Volume","AIG.Adjusted"
"2020-07-01",31.01,31.57,29.5,29.58,6984500,27.984957
"2020-07-02",30.549999,31.209999,29.84,29.92,7866800,28.306625
"2020-07-06",30.950001,31.549999,30.469999,30.74,6132400,29.082405
"2020-07-07",30.32,30.440001,29.110001,29.17,7413100,27.597069
"2020-07-08",28.85,29.940001,28.82,29.85,7727600,28.2404
"2020-07-09",29.709999,29.780001,27.98,28,7357000,26.490156
"2020-07-10",28.219999,30.129999,28.059999,30.1,7443500,28.476919
"2020-07-13",30.299999,30.67,29.6,29.719999,6132200,28.117407
"2020-07-14",29.870001,30.82,29.379999,30.790001,5494600,29.129713
"2020-07-15",31.719999,32.02,31.09,31.77,6813400,30.056868
"2020-07-16",31.35,33.040001,31.18,32.560001,6855100,30.804266
"2020-07-17",32.709999,32.860001,31.77,32.119999,4333400,30.387991
"2020-07-20",31.99,32.02,31.4,31.41,4364400,29.71628
"2020-07-21",31.719999,32.330002,31.459999,31.959999,4618400,30.236622
"2020-07-22",31.58,32.299999,31.42,32.189999,5729500,30.454218
"2020-07-23",31.950001,32.380001,31.66,31.870001,4965000,30.151474
"2020-07-24",31.889999,32.049999,31.200001,31.309999,3960900,29.621672
"2020-07-27",31.1,31.15,30.4,30.85,5143600,29.186476
"2020-07-28",30.6,31.280001,30.389999,30.950001,5220700,29.281084
"2020-07-29",30.879999,32.93,30.879999,32.669998,10100400,30.908335
"2020-07-30",31.74,31.950001,31.07,31.780001,7075800,30.066328
"2020-07-31",31.709999,32.150002,31.4,32.139999,6244600,30.406916
"2020-08-03",32.209999,32.689999,32.029999,32.139999,5834900,30.406916
"2020-08-04",31.059999,31.309999,29.459999,29.719999,17448400,28.117407
"2020-08-05",30,30.559999,29.809999,30.18,7344800,28.552607
"2020-08-06",30.4,30.9,29.280001,29.32,9162800,27.738976
"2020-08-07",29.17,30.67,28.969999,30.66,6015200,29.006721
"2020-08-10",31,31.67,30.98,31.459999,4596400,29.763582
"2020-08-11",32.639999,32.900002,31.75,31.98,6370800,30.255543
"2020-08-12",32.52,32.650002,30.59,30.940001,6704000,29.271622
"2020-08-13",30.51,30.93,30.120001,30.709999,6252100,29.054024
"2020-08-14",30.379999,31.42,30.23,30.99,4862800,29.318926
"2020-08-17",30.889999,30.9,29.85,29.959999,5643400,28.344465
"2020-08-18",30.059999,30.200001,29.49,29.58,7880800,27.984957
"2020-08-19",29.5,30.049999,29.309999,29.860001,4870100,28.249863
"2020-08-20",29.370001,29.629999,29.09,29.129999,4702200,27.559225
"2020-08-21",29.110001,29.27,28.23,28.27,7366500,26.745596
"2020-08-24",28.52,29.57,28.280001,29.549999,5511100,27.956579
"2020-08-25",29.99,30.200001,29.26,29.52,4134200,27.928194
"2020-08-26",29.459999,29.51,28.74,29.059999,3738700,27.492996
"2020-08-27",29.1,30.049999,29.09,29.68,4973400,28.079563
"2020-08-28",30.120001,30.120001,29.23,29.370001,6036400,27.786283
"2020-08-31",29.25,29.33,28.709999,29.139999,7539800,27.568686
"2020-09-01",28.870001,29.360001,28.67,29.15,4930500,27.578144
"2020-09-02",29.27,29.860001,28.73,29.83,6534000,28.221478
"2020-09-03",30,30.959999,29.23,29.4,7003900,27.814663
"2020-09-04",30,30.219999,29.25,29.799999,5783000,28.193092
"2020-09-08",29.379999,29.549999,28.57,28.889999,7124700,27.332163
"2020-09-09",29.16,29.25,28.43,29.15,7432400,27.578144
"2020-09-10",29.27,29.58,28.030001,28.16,7754900,26.641529
"2020-09-11",28.219999,28.790001,28.08,28.4,8491800,26.868587
"2020-09-14",28.77,29.6,28.6,29.4,6254800,27.814663
"2020-09-15",29.360001,29.809999,28.92,28.93,6438600,27.370008
"2020-09-16",28.76,30.059999,28.59,29.77,10798100,28.479733
"2020-09-17",29.209999,29.450001,28.610001,28.700001,11420800,27.456106
"2020-09-18",28.5,28.99,27.92,27.99,13427100,26.77688
"2020-09-21",27.139999,27.41,26.51,26.98,11872500,25.810654
"2020-09-22",26.950001,27.719999,26.85,27.34,10055000,26.15505
"2020-09-23",27.469999,28.120001,26.4,26.43,6986700,25.284494
"2020-09-24",26.4,27.09,25.57,26.48,5686900,25.332325
"2020-09-25",26.129999,27.15,26.120001,27.07,4886900,25.896749
"2020-09-28",27.66,28.040001,27.42,27.629999,7610400,26.43248
"2020-09-29",27.540001,27.65,26.959999,27.290001,4282100,26.10722
"2020-09-30",27.42,27.940001,27.25,27.530001,5338400,26.336819
"2020-10-01",27.559999,28.01,27.309999,27.719999,5155400,26.518579
"2020-10-02",27.190001,28.48,27.07,28.219999,4558100,26.99691
"2020-10-05",28.77,29.42,28.58,29.049999,5326100,27.790936
"2020-10-06",29.4,29.98,28.93,28.98,8161300,27.723972
"2020-10-07",29.280001,29.68,28.959999,29.559999,4976700,28.278833
"2020-10-08",29.809999,30.48,29.35,30.26,5610700,28.948496
"2020-10-09",30.43,30.57,29.75,29.950001,8058000,28.65193
"2020-10-12",29.870001,30.629999,29.76,30.459999,7711600,29.139828
"2020-10-13",30.17,30.280001,29.49,29.82,7574000,28.527565
"2020-10-14",29.790001,30.360001,29.530001,29.65,6996200,28.364931
"2020-10-15",29.16,29.98,29.120001,29.959999,3554600,28.661499
"2020-10-16",30.01,30.66,29.709999,30.290001,4893700,28.977198
"2020-10-19",30.41,30.83,30.02,30.09,5425900,28.785862
"2020-10-20",30.450001,31.23,30.4,30.65,5481500,29.32159
"2020-10-21",30.58,31.84,30.5,31.67,6869100,30.297382
"2020-10-22",31.540001,32.150002,31.219999,32.009998,5411000,30.622646
"2020-10-23",32.400002,32.639999,31.75,32.380001,4375400,30.976614
"2020-10-26",31.870001,31.91,30.74,31.26,6021600,29.905153
"2020-10-27",33.279999,33.290001,31.15,31.16,12065700,29.809488
"2020-10-28",30.42,30.969999,29.889999,30.23,8129300,28.919796
"2020-10-29",30,31.42,29.709999,31.290001,7436500,29.933857
"2020-10-30",31.08,31.77,30.77,31.49,6373300,30.125187
"2020-11-02",32.25,32.740002,31.9,32.450001,7278700,31.043579
"2020-11-03",32.950001,33.189999,32.709999,32.889999,7168900,31.46451
"2020-11-04",32.330002,32.610001,31.280001,31.59,5424400,30.220852
"2020-11-05",31.83,33.599998,31.82,33.43,6467100,31.981106
"2020-11-06",34.040001,35.5,32.759998,33.16,8329900,31.722803
"2020-11-09",36.959999,38.630001,36.509998,37.52,13776300,35.893841
"2020-11-10",37.889999,38.599998,37.240002,38.23,10213700,36.573067
"2020-11-11",37.860001,37.91,36.740002,37.349998,7211300,35.731205
"2020-11-12",37.029999,37.029999,35.549999,36.060001,6847100,34.497124
"2020-11-13",36.459999,37.41,36.290001,37.32,5073800,35.702503
"2020-11-16",38.59,38.68,37.919998,38.490002,6015400,36.8218
"2020-11-17",37.84,38.700001,37.66,38.419998,4626900,36.754826
"2020-11-18",38.25,39.360001,38.029999,38.549999,6265100,36.879196
"2020-11-19",37.990002,38.599998,37.470001,38.540001,4225200,36.869629
"2020-11-20",38.650002,38.860001,38,38.610001,5571900,36.936592
"2020-11-23",39.380001,39.950001,38.810001,39.77,4759600,38.046318
"2020-11-24",40.790001,41.57,40.27,40.98,6017800,39.203876
"2020-11-25",40.27,40.5,39.709999,40.119999,3811100,38.381149
"2020-11-27",39.950001,40.16,39.450001,39.709999,2046800,37.988918
"2020-11-30",39.099998,39.610001,38.400002,38.439999,6425700,36.773964
