"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2020-12-28",243.5,243.5,235.25,235.729996,7079500,235.729996
"2020-12-29",236,236.25,229.679993,231.029999,8316100,231.029999
"2020-12-30",232.190002,233.839996,230.020004,231.509995,6017600,231.509995
"2020-12-31",232,234.690002,229.690002,234.199997,5002700,234.199997
"2021-01-04",237.800003,237.996994,227.535004,231.919998,8148700,231.919998
"2021-01-05",230.470001,235.639999,229.800003,234.910004,5047800,234.910004
"2021-01-06",228.940002,232.490005,225.701996,226.830002,9211700,226.830002
"2021-01-07",229.460007,235.600006,229.220001,235.039993,7107900,235.039993
"2021-01-08",237.429993,242.910004,236.069,242.460007,6767700,242.460007
"2021-01-11",238.039993,240.839996,234.089996,237.5,5073100,237.5
"2021-01-12",237.619995,238.800003,233.830002,237.639999,4136600,237.639999
"2021-01-13",236.570007,247.440002,236.539993,244.899994,7354900,244.899994
"2021-01-14",246.869995,249.850006,241.539993,242.059998,6976700,242.059998
"2021-01-15",242.25,244.563004,235.033997,239.789993,8373300,239.789993
"2021-01-19",243.300003,248.740005,241,247.25,7436800,247.25
"2021-01-20",248.850006,249.649994,244.139999,244.259995,5803200,244.259995
"2021-01-21",246.669998,250.369995,243.580002,248.639999,10336600,248.639999
"2021-01-22",246.649994,254.389999,246.199997,252,7800500,252
"2021-01-25",253.800003,254.389999,242.220001,247.75,8499400,247.75
"2021-01-26",246.899994,248.759995,240.029999,241,7883000,241
"2021-01-27",234.699997,235.399994,225,229.940002,11787000,229.940002
"2021-01-28",235,241.554993,232.210007,237.789993,8295500,237.789993
"2021-01-29",238.649994,240.869995,232.660004,234.309998,9805800,234.309998
"2021-02-01",238.369995,244.139999,235.399994,241.850006,7788200,241.850006
"2021-02-02",243.610001,250.190002,240.529999,249.100006,7082800,249.100006
"2021-02-03",253.960007,254.315002,247.389999,251.899994,13545700,251.899994
"2021-02-04",265.339996,274.940002,260.850006,270.429993,23840900,270.429993
"2021-02-05",268.609985,270,264.709991,269.440002,7978600,269.440002
"2021-02-08",276.880005,282.699005,274.623993,282.170013,10065500,282.170013
"2021-02-09",280.380005,286.890015,276.51001,284.200012,8697000,284.200012
"2021-02-10",285.100006,286.079987,278.401001,283.179993,9364500,283.179993
"2021-02-11",287.329987,302.100006,281.600006,285.029999,21371100,285.029999
"2021-02-12",292.640015,299.339996,289.320007,298.369995,11882200,298.369995
"2021-02-16",306.399994,309.140015,298.179993,304.790009,13597700,304.790009
"2021-02-17",297.630005,301.5,290.559998,297.200012,9879800,297.200012
"2021-02-18",291.130005,292.970001,285.029999,290.809998,9715500,290.809998
"2021-02-19",292.119995,293.940002,285.459991,286.920013,9413800,286.920013
"2021-02-22",281.420013,285,273.290009,273.850006,13132500,273.850006
"2021-02-23",259.690002,267.25,252.559998,265,20440300,265
"2021-02-24",266.105011,268.665985,259.100006,266.070007,10840000,266.070007
"2021-02-25",262.76001,266,251.419998,253.940002,13403300,253.940002
"2021-02-26",257.450012,261.859985,253.113998,259.850006,11915200,259.850006
"2021-03-01",268.894989,274.540009,265.720001,273.630005,10558500,273.630005
"2021-03-02",275.959991,277.5,268.910004,269.190002,8484900,269.190002
"2021-03-03",265.019989,267.660004,253.25,255.059998,10841800,255.059998
"2021-03-04",251.759995,254.800003,232.270004,239.070007,18878800,239.070007
"2021-03-05",243.119995,243.748001,223.089996,239.050003,16830200,239.050003
"2021-03-08",239,241.330002,225.649994,226.089996,13340300,226.089996
"2021-03-09",240.979996,244.440002,236.039993,241.759995,12071200,241.759995
"2021-03-10",249.309998,249.960007,241.270004,242.070007,9508000,242.070007
"2021-03-11",247.119995,254.919998,246.529999,253.830002,9234200,253.830002
"2021-03-12",249.490005,251.548004,244.302994,250.350006,7609700,250.350006
"2021-03-15",251.417999,252,246.789993,249.979996,7052100,249.979996
"2021-03-16",253.419998,254.779999,247.550003,249.309998,7370400,249.309998
"2021-03-17",245.839996,254.460999,242.899994,251.470001,6340100,251.470001
"2021-03-18",246.460007,247.270004,237.800003,238.410004,9318900,238.410004
"2021-03-19",239.630005,243.149994,237.130005,241.279999,10555100,241.279999
"2021-03-22",242.029999,246.949997,240.850006,244.384995,5790200,244.384995
"2021-03-23",245.550003,246.839996,242.25,243.770004,5093200,243.770004
"2021-03-24",244.490005,244.970001,233.759995,234.270004,6097300,234.270004
"2021-03-25",232.630005,235.339996,227.520004,234.240005,8846600,234.240005
"2021-03-26",233.619003,241.309998,232.300003,241.029999,8217600,241.029999
"2021-03-29",241.580002,243.199997,233.610001,235.669998,7510900,235.669998
"2021-03-30",236.880005,238.360001,232.630005,236.539993,6242000,236.539993
"2021-03-31",238.110001,245.229996,237.270004,242.839996,7633400,242.839996
"2021-04-01",248.039993,252.649002,246.039993,247.539993,6990100,247.539993
"2021-04-05",250.509995,251.759995,245.699997,251.020004,5744400,251.020004
"2021-04-06",251.649994,255,249.5,253.190002,5580400,253.190002
"2021-04-07",253.074997,259.220001,251.070007,255.600006,7243200,255.600006
"2021-04-08",260.160004,265,258.170013,264.5,9059100,264.5
"2021-04-09",262.980011,266.940002,261.380005,266.769989,6689700,266.769989
"2021-04-12",265.390015,270.329987,262.589996,269.029999,6681200,269.029999
"2021-04-13",271.266998,276.869995,271,275.429993,7284400,275.429993
"2021-04-14",275.839996,277.859985,266.200012,267.209991,8507200,267.209991
