"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.Adjusted"
"2020-08-12",70.720001,72.040001,70.529999,71.480003,2014400,67.673752
"2020-08-13",71.080002,71.580002,70.82,71.279999,1475000,67.484406
"2020-08-14",71.279999,71.510002,70.559998,70.730003,3421100,66.963707
"2020-08-17",71.019997,71.019997,70.120003,70.199997,2141800,66.461914
"2020-08-18",70.120003,70.480003,69.739998,70,1561400,66.272568
"2020-08-19",70.260002,70.260002,69.43,69.580002,1688500,65.874931
"2020-08-20",69.309998,69.790001,68.82,69.010002,1848700,65.335289
"2020-08-21",69.129997,69.739998,68.660004,69.610001,1624200,65.903336
"2020-08-24",69.75,70.419998,69.059998,70.410004,1247300,66.660736
"2020-08-25",70.269997,70.300003,68.739998,68.970001,1724900,65.297432
"2020-08-26",68.489998,68.690002,67.610001,68.129997,1873100,64.502136
"2020-08-27",68.580002,68.910004,68.110001,68.629997,1900700,64.975517
"2020-08-28",68.580002,68.690002,67.629997,68.650002,2082500,64.994453
"2020-08-31",68.230003,69.690002,67.949997,69.470001,2078000,65.77079
"2020-09-01",69.07,69.07,68.029999,68.550003,2124400,64.899788
"2020-09-02",68.43,71.739998,68.120003,71.550003,2908300,67.740036
"2020-09-03",71.839996,72.43,70.050003,70.650002,2834000,66.887955
"2020-09-04",70.959999,71.230003,69.160004,70.019997,2518800,66.291496
"2020-09-08",69.790001,70.010002,68.400002,69.110001,2328000,65.429955
"2020-09-09",69.139999,71.349998,69.139999,70.589996,2124400,66.831154
"2020-09-10",69.949997,70.68,69.040001,69.129997,2172500,65.448891
"2020-09-11",69.25,69.349998,68.160004,68.860001,2255500,65.193275
"2020-09-14",68.43,69.900002,68.349998,69.540001,1784800,66.250771
"2020-09-15",69.860001,71.150002,69.82,70.410004,1830200,67.079628
"2020-09-16",70.629997,71.339996,70.18,70.919998,2143200,67.565491
"2020-09-17",69.860001,70.059998,68.059998,68.440002,2704500,65.202797
"2020-09-18",68.360001,68.57,66.529999,66.900002,3958200,63.735641
"2020-09-21",66.910004,67.080002,65.690002,66.639999,1776300,63.487934
"2020-09-22",66.550003,67.690002,66.209999,66.870003,1629700,63.707066
"2020-09-23",66.959999,67.139999,66.080002,66.190002,2198900,63.059223
"2020-09-24",66.099998,67.470001,65.809998,67.07,2035100,63.897614
"2020-09-25",66.699997,68.599998,66.510002,68.5,2217000,65.259972
"2020-09-28",68.860001,69.260002,68.370003,68.849998,2062300,65.593407
"2020-09-29",69.120003,69.519997,68.400002,68.650002,2066200,65.402863
"2020-09-30",69.040001,69.599998,68.709999,69.010002,3208500,65.745842
"2020-10-01",69.410004,70.410004,69.239998,70.379997,2240200,67.051048
"2020-10-02",69.889999,70.889999,69.480003,70.480003,2265300,67.146309
"2020-10-05",70.440002,71.550003,69.599998,71.470001,1581900,68.089478
"2020-10-06",71.129997,72.949997,70.970001,72.449997,2525200,69.023125
"2020-10-07",72.610001,72.809998,71.269997,72.089996,1724500,68.680153
"2020-10-08",72.43,72.730003,72.050003,72.510002,1899600,69.080292
"2020-10-09",72.989998,73.080002,72.230003,72.709999,1464500,69.270821
"2020-10-12",73.169998,74.410004,72.879997,73.620003,2274300,70.137787
"2020-10-13",73.389999,73.449997,72.489998,73,2608900,69.547104
"2020-10-14",73.349998,73.349998,72.059998,72.349998,1722700,68.927849
"2020-10-15",71.839996,72.919998,71.75,72.199997,2039700,68.784943
"2020-10-16",72.269997,73.540001,71.849998,73.129997,2701400,69.670959
"2020-10-19",72.889999,73.339996,71.459999,71.690002,4013300,68.299072
"2020-10-20",72.040001,72.169998,71.150002,71.529999,1876600,68.146645
"2020-10-21",71.529999,72.080002,71.099998,71.529999,1842800,68.146645
"2020-10-22",71.550003,72,71.059998,71.410004,2035200,68.032326
"2020-10-23",71.919998,71.940002,71.139999,71.470001,1646700,68.089478
"2020-10-26",70.669998,71.769997,70.379997,71.690002,1695100,68.299072
"2020-10-27",71.970001,73.120003,71.459999,72.330002,2564800,68.908806
"2020-10-28",71.559998,72.489998,70.160004,70.260002,2679500,66.936714
"2020-10-29",69.970001,71.519997,68.900002,70.739998,3221400,67.394012
"2020-10-30",70.18,70.949997,69.309998,70.029999,2393900,66.717598
"2020-11-02",71.050003,72.5,70.25,71.779999,2674100,68.384811
"2020-11-03",72.209999,74.050003,72.209999,72.980003,2471600,69.528076
"2020-11-04",73.879997,74.610001,72.580002,72.720001,2283700,69.280365
"2020-11-05",73.760002,74.870003,73.269997,73.730003,2011700,70.242592
"2020-11-06",74.239998,74.400002,73.169998,73.309998,1454600,69.842453
"2020-11-09",75.379997,76.440002,73.32,73.43,2840300,69.956779
"2020-11-10",73.129997,74.07,72.900002,73.730003,2364600,70.242592
"2020-11-11",74.349998,75.639999,73.580002,74.690002,2086000,71.157173
"2020-11-12",74.080002,74.580002,73.160004,73.760002,2104500,70.271179
"2020-11-13",74.120003,74.489998,73.699997,74.080002,1217600,70.576035
"2020-11-16",74.300003,74.800003,73.540001,74.709999,1960200,71.176231
"2020-11-17",74.400002,74.769997,72.519997,72.629997,2317300,69.194618
"2020-11-18",73.139999,73.169998,70.459999,70.5,2198900,67.165367
"2020-11-19",70.480003,70.589996,68.5,69.349998,3894200,66.069748
"2020-11-20",69.300003,70.010002,69.010002,69.309998,2362900,66.031639
"2020-11-23",69.68,69.68,67.800003,68.360001,4370200,65.126595
"2020-11-24",68.610001,68.949997,67.389999,68.139999,4927500,64.916985
"2020-11-25",68.18,68.699997,67.389999,68.110001,4447600,64.888405
"2020-11-27",68.32,68.330002,67.18,67.620003,1949900,64.421593
"2020-11-30",67.610001,67.970001,67.010002,67.360001,6760400,64.173889
"2020-12-01",67.620003,69.18,67.599998,68.410004,3937000,65.174225
"2020-12-02",68.18,68.860001,67.330002,68.68,3627000,65.43145
"2020-12-03",68.309998,68.580002,67.019997,67.309998,2216500,64.126244
"2020-12-04",67.169998,67.540001,65.410004,65.75,2265500,62.64003
"2020-12-07",65.779999,66.860001,65.610001,66.610001,2167000,63.459366
"2020-12-08",66.260002,66.690002,65.790001,66.040001,1967000,62.916313
"2020-12-09",66.010002,66.260002,65.089996,65.559998,2076400,62.459023
"2020-12-10",65.709999,65.889999,64.849998,65.18,2045200,62.096996
"2020-12-11",64.830002,65.230003,64.440002,65,2213000,61.925514
"2020-12-14",65.25,66.449997,65.019997,65.040001,2355600,61.963619
"2020-12-15",65.470001,66.360001,64.790001,66.019997,1977400,62.897266
"2020-12-16",66.169998,66.900002,65.480003,65.589996,1991600,62.48761
"2020-12-17",66,67.449997,65.830002,67.010002,2959800,63.840443
"2020-12-18",67.309998,67.510002,65.889999,66.099998,5993500,62.973476
"2020-12-21",65.230003,65.57,64.330002,65.389999,2900900,62.297066
"2020-12-22",64.870003,65.110001,64.449997,64.830002,1799600,62.172398
"2020-12-23",65.160004,65.57,64.269997,64.309998,1153200,61.67371
"2020-12-24",64.379997,64.75,64.040001,64.629997,598400,61.980591
"2020-12-28",64.879997,65.43,64.760002,65.32,1799800,62.642303
"2020-12-29",65.5,65.769997,65.029999,65.419998,1761400,62.738209
"2020-12-30",65.519997,65.849998,65.389999,65.650002,1296400,62.958778
"2020-12-31",65.75,66.82,65.389999,66.669998,1743300,63.936962
"2021-01-04",66.540001,66.879997,65.120003,65.660004,3197100,62.968369
"2021-01-05",65.599998,65.93,64.5,65.019997,1976800,62.354603
"2021-01-06",64.580002,67.010002,64.580002,66.459999,2667000,63.735573
"2021-01-07",66.800003,66.809998,64.93,65.160004,2630400,62.488873
"2021-01-08",65.059998,65.93,64.889999,65.760002,2221500,63.06427
"2021-01-11",65.68,65.860001,63.919998,64.400002,2100400,61.760021
"2021-01-12",64.389999,64.459999,63.18,63.400002,2765100,60.801022
"2021-01-13",63.549999,65.110001,63.189999,65.010002,2656300,62.34502
"2021-01-14",64.830002,64.959999,63.41,63.560001,1750100,60.95446
"2021-01-15",63.41,65.050003,63.040001,64.959999,3811600,62.297058
"2021-01-19",65.239998,65.330002,64.269997,64.709999,2518500,62.057316
"2021-01-20",64.5,65.639999,64.309998,65.43,2668200,62.747795
"2021-01-21",64.970001,65.480003,64.68,65.110001,1805500,62.44091
"2021-01-22",65.019997,65.18,64.410004,64.760002,1719700,62.105267
"2021-01-25",64.599998,66.540001,64.25,66.5,2481600,63.773945
"2021-01-26",66.199997,66.260002,65.010002,65.809998,2263200,63.112221
"2021-01-27",65.370003,66.18,63.75,63.82,3344200,61.203796
"2021-01-28",63.18,65.440002,61.990002,63.639999,2995600,61.031174
"2021-01-29",63.18,64.599998,62.919998,63.990002,2540500,61.366833
"2021-02-01",64.150002,64.93,63.349998,63.939999,2715400,61.318874
"2021-02-02",63.880001,65.160004,63.610001,64.199997,2002400,61.568214
"2021-02-03",64.089996,64.190002,63.110001,63.18,1982600,60.590038
"2021-02-04",63.080002,63.799999,62.73,63.59,2543600,60.983227
"2021-02-05",63.790001,63.939999,63.299999,63.439999,1567700,60.839375
"2021-02-08",63.419998,63.549999,62.16,62.25,1745400,59.698154
"2021-02-09",62.610001,62.73,61.490002,62.119999,1576900,59.573486
"2021-02-10",62.209999,62.599998,61.57,62.279999,1688300,59.726929
"2021-02-11",62.09,62.5,61.490002,61.57,1642800,59.046036
"2021-02-12",61.490002,61.759998,61,61.540001,2574100,59.017265
"2021-02-16",61.330002,61.639999,60.490002,60.509998,2154300,58.02948
"2021-02-17",60.450001,61.25,60.380001,60.900002,2477200,58.4035
"2021-02-18",60.82,62.43,60.799999,62.299999,3363300,59.746105
"2021-02-19",62.490002,62.700001,61.970001,62.07,4121700,59.525536
"2021-02-22",62.650002,62.650002,59.639999,60.43,3200100,57.952763
"2021-02-23",60.439999,62.150002,60.439999,61.93,3310100,59.391277
"2021-02-24",61.630001,61.66,60.110001,60.209999,2545300,57.741787
"2021-02-25",59.779999,60.529999,59.43,59.84,2761500,57.386944
"2021-02-26",59.98,60.66,58.5,58.59,3744100,56.188194
"2021-03-01",59.169998,60.299999,59.040001,59.150002,4751800,56.725239
"2021-03-02",59.040001,59.419998,58.200001,58.98,3241300,56.562206
"2021-03-03",58.830002,58.900002,57.23,58.029999,2798700,55.65115
"2021-03-04",57.869999,59.689999,57.790001,58.919998,5175800,56.504665
"2021-03-05",59.09,61.509998,59.029999,61.349998,4728100,58.835049
"2021-03-08",61.369999,62.639999,61.029999,61.959999,5027400,59.420044
"2021-03-09",62.34,62.610001,61.810001,62.150002,4960400,59.602257
"2021-03-10",62.240002,62.740002,61.860001,62.18,3530800,59.631027
"2021-03-11",61.82,62.889999,61.82,61.860001,2833700,59.324142
"2021-03-12",61.369999,62.599998,61.139999,62.080002,3190200,59.979202
"2021-03-15",62.32,63.470001,62.32,63.07,5296300,60.935699
"2021-03-16",62.98,63.630001,62.860001,63.41,3053300,61.264194
"2021-03-17",63.34,63.400002,62.549999,62.689999,3416600,60.568554
"2021-03-18",62.299999,62.75,61.709999,62.400002,3462600,60.288376
"2021-03-19",62.23,63.380001,61.860001,62.990002,9200400,60.858406
"2021-03-22",62.860001,64.089996,62.84,63.75,3547300,61.59269
