"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume","TGT.Adjusted"
"2020-08-20",154.929993,156.100006,151.720001,152.240005,12046000,148.302917
"2020-08-21",152.330002,155.610001,152.130005,153.630005,7061400,149.656998
"2020-08-24",154.5,154.619995,152.630005,153.240005,4355300,149.277084
"2020-08-25",154.149994,154.279999,152.360001,152.850006,2984400,148.897156
"2020-08-26",152.75,153.570007,152.089996,152.710007,3061600,148.760788
"2020-08-27",152.660004,152.75,149.669998,150.309998,3773100,146.422836
"2020-08-28",150.309998,151.669998,149.600006,150.850006,2835600,146.948868
"2020-08-31",151.139999,151.910004,150.320007,151.210007,3025600,147.299576
"2020-09-01",150.610001,151.770004,150.119995,150.550003,3603500,146.656631
"2020-09-02",150.5,150.869995,148.419998,149.839996,4128200,145.964996
"2020-09-03",149.470001,149.979996,145.410004,146.029999,4135300,142.253525
"2020-09-04",146.690002,148.550003,143.690002,147.229996,4742100,143.42247
"2020-09-08",146.679993,146.789993,143.380005,144,3503200,140.276016
"2020-09-09",144.759995,148.600006,144.759995,147.550003,3279300,143.734222
"2020-09-10",147.600006,148.339996,145.309998,146.039993,2828100,142.26326
"2020-09-11",146.860001,147.960007,146.179993,147.649994,2356400,143.831635
"2020-09-14",148.550003,150.389999,147.839996,148.440002,2706900,144.601227
"2020-09-15",148.110001,149.839996,147.360001,149.070007,2206200,145.21492
"2020-09-16",149.339996,149.729996,147.910004,147.990005,2072500,144.162857
"2020-09-17",147.389999,148.770004,146.550003,147.610001,2391200,143.792664
"2020-09-18",147.720001,149.520004,147.259995,148.820007,3614800,144.97139
"2020-09-21",148.690002,149.990005,146.449997,149.860001,3360000,145.984482
"2020-09-22",151.149994,154.440002,150.929993,154.080002,4334500,150.095352
"2020-09-23",153.880005,155.199997,150.369995,151.009995,2801300,147.104736
"2020-09-24",151.619995,153.559998,150.100006,152,3223100,148.069153
"2020-09-25",151.860001,155.160004,151.75,154.350006,2743300,150.358368
"2020-09-28",154.949997,157.710007,154.649994,156.460007,3627600,152.413818
"2020-09-29",156.75,158.429993,155.869995,156.940002,2784200,152.881393
"2020-09-30",157.449997,159.149994,156.5,157.419998,2806000,153.348969
"2020-10-01",158.410004,160.889999,158.100006,158.600006,3866000,154.498489
"2020-10-02",156.970001,159.990005,156.160004,159.100006,1978700,154.985519
"2020-10-05",159.990005,162.309998,159.990005,161.490005,2268600,157.313721
"2020-10-06",161.470001,161.979996,157.610001,158.410004,2932600,154.31337
"2020-10-07",160.059998,161.610001,159.610001,160.679993,2927000,156.524658
"2020-10-08",162.600006,163.320007,161.389999,161.860001,2189200,157.674164
"2020-10-09",162.199997,164.809998,162.100006,163.710007,2582700,159.476334
"2020-10-12",164.300003,165.490005,163.619995,164.570007,2436300,160.314056
"2020-10-13",164.570007,166.679993,164.149994,165.639999,2015200,161.356415
"2020-10-14",165.979996,166.160004,162.600006,163.970001,2284700,159.729584
"2020-10-15",161.839996,165.460007,161.119995,165.460007,1859000,161.181061
"2020-10-16",165.910004,167.25,164.360001,164.919998,5047900,160.655029
"2020-10-19",166.210007,166.960007,163.820007,164.050003,2322500,159.807526
"2020-10-20",164.949997,167.419998,163.820007,164.869995,2698500,160.606323
"2020-10-21",165.75,166.199997,162.949997,163.289993,3033500,159.067169
"2020-10-22",163.070007,163.380005,159.339996,159.600006,3647400,155.472595
"2020-10-23",160.389999,160.389999,158.809998,160.229996,1816800,156.086319
"2020-10-26",158.839996,159.389999,156.300003,157.970001,2310600,153.88475
"2020-10-27",158.070007,158.880005,156.679993,157.029999,2406100,152.969055
"2020-10-28",154.910004,157.270004,154.110001,155.210007,2655700,151.196136
"2020-10-29",155.240005,156.089996,153.369995,154.25,2157700,150.260971
"2020-10-30",153.320007,154.139999,150.800003,152.220001,3694100,148.283463
"2020-11-02",154,155.119995,152.800003,154.389999,2674300,150.397339
"2020-11-03",156.320007,158.710007,155.429993,156.729996,2545400,152.676834
"2020-11-04",157.220001,159.490005,155.25,156.619995,3156600,152.569656
"2020-11-05",159.740005,159.869995,156.539993,158.630005,3114900,154.527679
"2020-11-06",158.649994,161.899994,158.529999,161.5,3498000,157.323456
"2020-11-09",163.149994,163.160004,154.75,154.910004,5092800,150.903885
"2020-11-10",157.039993,159.059998,156.559998,158.070007,3577900,153.982162
"2020-11-11",159.449997,162.570007,158.75,159.690002,3336500,155.560272
"2020-11-12",159.669998,160.990005,158.639999,159.529999,2708500,155.404404
"2020-11-13",160.990005,163.449997,160.600006,162.880005,2765800,158.667755
"2020-11-16",165,165.990005,163.350006,165.179993,5035600,160.908295
"2020-11-17",164,164.710007,160.509995,163.039993,6299900,159.480164
"2020-11-18",165.940002,172.119995,164.550003,166.850006,13092300,163.206985
"2020-11-19",168.710007,173.440002,167.899994,171.369995,6834900,167.628265
"2020-11-20",172.220001,174.410004,171.449997,172.309998,6652900,168.547745
"2020-11-23",174.25,179.020004,173.589996,177.559998,5755700,173.683151
"2020-11-24",179.759995,179.839996,177.100006,177.860001,4688400,173.976578
"2020-11-25",177.729996,180.479996,177.350006,179.820007,3780700,175.893814
"2020-11-27",180.809998,181.110001,178.949997,179.770004,2371900,175.844894
"2020-11-30",178.25,180.070007,176.240005,179.529999,8010000,175.610123
"2020-12-01",179.809998,181.169998,177.100006,179.050003,5034900,175.14061
"2020-12-02",178.020004,178.210007,175.470001,176.410004,3109300,172.558243
"2020-12-03",176.470001,176.470001,173.779999,174.919998,4214600,171.100769
"2020-12-04",174.380005,175.160004,173.229996,175.029999,2935700,171.208405
"2020-12-07",174.270004,174.949997,171.410004,172.910004,3430800,169.134674
"2020-12-08",172.5,173.779999,171.740005,172.720001,2682200,168.948807
"2020-12-09",173.350006,174.919998,172.410004,174.070007,2853800,170.269348
"2020-12-10",173.589996,174.240005,172.070007,172.399994,2643700,168.635773
"2020-12-11",171.5,172.75,171.070007,171.710007,2676500,167.960892
"2020-12-14",172.960007,172.960007,170.169998,170.990005,4016400,167.256592
"2020-12-15",170.649994,172.779999,170.649994,171.410004,3487900,167.667419
"2020-12-16",172.009995,172.990005,170.710007,171.690002,2193700,167.941299
"2020-12-17",172,172.279999,170.289993,171.240005,3495300,167.501144
"2020-12-18",171.179993,172.179993,168.970001,170.419998,6715800,166.69902
"2020-12-21",169.630005,173.059998,168.940002,171.759995,4077400,168.009766
"2020-12-22",172.399994,173.110001,171.460007,172.350006,3103200,168.586899
"2020-12-23",172.009995,176.330002,171.889999,174.910004,4753000,171.091003
"2020-12-24",175.979996,176.509995,174.669998,175.190002,1941200,171.364868
"2020-12-28",177.110001,177.460007,174.889999,176.389999,2442000,172.538696
"2020-12-29",177.110001,177.770004,174.460007,175.039993,2359700,171.218155
"2020-12-30",175.699997,176.059998,172.820007,173.880005,1935200,170.083511
"2020-12-31",174.410004,176.669998,174.100006,176.529999,2571300,172.675644
"2021-01-04",176.509995,178.089996,174.119995,177.630005,3463100,173.751602
"2021-01-05",176.800003,181.970001,176.429993,180.369995,4843300,176.431778
"2021-01-06",180.330002,189.470001,180.110001,188.919998,5610100,184.795105
"2021-01-07",189.210007,192.350006,189.169998,191.100006,4226700,186.92749
"2021-01-08",191.580002,193.880005,190.809998,193.600006,3321500,189.37294
"2021-01-11",193.039993,199.5,192.190002,195.279999,7219100,191.016251
"2021-01-12",196.169998,199.289993,195.649994,199.100006,3866700,194.752838
"2021-01-13",198.520004,199.960007,195.279999,196.820007,4098200,192.522644
"2021-01-14",196.990005,199.399994,196.899994,198.009995,3321200,193.686615
"2021-01-15",197.649994,198.850006,194.009995,194.800003,4289900,190.546722
"2021-01-19",194.419998,194.75,187.199997,188.160004,5347800,184.051682
"2021-01-20",188.5,188.699997,184.539993,188.300003,3443200,184.188644
"2021-01-21",190.100006,194.089996,189,191.270004,4585100,187.093796
"2021-01-22",190.899994,192.380005,189.479996,191.910004,3257100,187.719833
"2021-01-25",191.559998,193.110001,189.229996,190.149994,3423900,185.998245
"2021-01-26",190.110001,190.559998,186.669998,187.699997,3463600,183.60173
"2021-01-27",187.610001,187.699997,176.820007,178.279999,6985900,174.387421
"2021-01-28",177.929993,185.419998,177.759995,183.580002,3965200,179.571686
"2021-01-29",182.119995,183.5,180.259995,181.169998,3612300,177.214325
"2021-02-01",182.179993,185,179.679993,183.570007,2637300,179.56192
"2021-02-02",185.5,189.039993,185.179993,185.589996,2920500,181.537811
