"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
"2020-07-01",297.410004,304.920013,297.019989,302.579987,1653400,298.630035
"2020-07-02",304.850006,307.779999,303.109985,305.299988,1228500,301.314545
"2020-07-06",308,314.140015,308,309.649994,1161800,305.607727
"2020-07-07",309.179993,314.730011,307.190002,307.929993,1133100,303.910217
"2020-07-08",310.540009,312.070007,307.769989,310.380005,774500,306.328217
"2020-07-09",309.720001,311,303.950012,307.910004,1027500,304.410309
"2020-07-10",307.779999,308.640015,303,307.549988,762400,304.054321
"2020-07-13",309,311.230011,296.980011,297.640015,1383100,294.257019
"2020-07-14",294.570007,294.709991,280.98999,285.369995,3106100,282.126465
"2020-07-15",288.029999,290.880005,284.769989,289.970001,1526100,286.674164
"2020-07-16",287.929993,288.410004,281.190002,285.700012,1128500,282.452667
"2020-07-17",287.929993,290.420013,284.589996,289.269989,896300,285.982117
"2020-07-20",289.5,300.410004,289.01001,298.720001,1019900,295.324707
"2020-07-21",299.420013,300.709991,296.850006,297.880005,1042300,294.494293
"2020-07-22",300.160004,300.160004,294.220001,296.440002,1145100,293.070679
"2020-07-23",295.940002,298.880005,290.200012,291.549988,1266100,288.236206
"2020-07-24",290.450012,291.109985,286.350006,288.679993,1193300,285.398834
"2020-07-27",290.470001,297.429993,290.459991,296.149994,1227800,292.783936
"2020-07-28",292.279999,300.670013,292.209991,296.799988,1050300,293.426514
"2020-07-29",298.869995,305.220001,298.019989,302.179993,1115500,298.745392
"2020-07-30",297.100006,305.049988,295.049988,303.940002,867300,300.485382
"2020-07-31",304.769989,306.48999,298.869995,306.369995,1015500,302.887756
"2020-08-03",309.839996,313.450012,308.970001,311.700012,1248300,308.157227
"2020-08-04",310.809998,312.380005,307.23999,310.640015,1200900,307.109192
"2020-08-05",311.26001,312.720001,308.640015,310.950012,863000,307.41571
"2020-08-06",310.359985,312.420013,307.869995,312.230011,716700,308.681183
"2020-08-07",311.390015,312.429993,306.220001,309.429993,752000,305.912964
"2020-08-10",308.100006,308.75,301.01001,304.179993,569000,300.722626
"2020-08-11",303.630005,305.149994,298.470001,299.200012,828300,295.799255
"2020-08-12",299.929993,305.600006,299.880005,304.75,813900,301.286163
"2020-08-13",305.25,310.709991,305.25,306.709991,760800,303.223907
"2020-08-14",307.549988,308.73999,304.820007,305.540009,596000,302.067261
"2020-08-17",307.839996,310.019989,306.829987,308.01001,714900,304.509155
"2020-08-18",310,311,306.579987,308.899994,755800,305.389038
"2020-08-19",308.670013,313.950012,305.859985,310.549988,990900,307.020233
"2020-08-20",310,320.649994,309.940002,320.059998,1083500,316.42215
"2020-08-21",319.859985,322.600006,318.399994,322.230011,1174500,318.567535
"2020-08-24",325.269989,334.149994,324.630005,333.119995,2088000,329.33371
"2020-08-25",332.5,337.369995,329.950012,336.420013,1718400,332.596222
"2020-08-26",356.859985,360,338.070007,342.339996,3108600,338.448975
"2020-08-27",341.839996,349.51001,339.059998,345,1880500,341.078705
"2020-08-28",346.730011,347.380005,343.839996,346.109985,1189400,342.176086
"2020-08-31",345.890015,346.23999,342.100006,345.390015,1070800,341.464325
"2020-09-01",344.920013,349.329987,343.559998,347.179993,1074500,343.233917
"2020-09-02",348.670013,355.670013,347.470001,354.179993,1438000,350.154358
"2020-09-03",353.109985,353.109985,336.660004,339.630005,1570100,335.769745
"2020-09-04",337.76001,340.529999,324.609985,333.109985,1219500,329.323822
"2020-09-08",320.790009,329.359985,319.649994,320.820007,1578500,317.173523
"2020-09-09",324.399994,331.309998,319.73999,328.209991,1303200,324.479553
"2020-09-10",329.579987,332.660004,317.070007,320.390015,1254100,316.748444
"2020-09-11",323.820007,325.350006,311.410004,315,955200,311.419739
"2020-09-14",320.170013,321.25,315.769989,318.309998,888800,314.692047
"2020-09-15",321.380005,324.149994,319.380005,322.470001,1111600,318.804779
"2020-09-16",324.859985,326.230011,312.609985,313.380005,1668800,309.818054
"2020-09-17",304.910004,308.399994,301.339996,307.230011,1818200,303.738037
"2020-09-18",307.700012,312.950012,296.769989,300.130005,2284400,296.718719
"2020-09-21",296.290009,308.019989,295.369995,307.700012,1594200,304.202728
"2020-09-22",309.809998,318.119995,306.700012,317.279999,2099900,313.673767
"2020-09-23",315.399994,315.980011,303.059998,304.929993,1412100,301.464142
"2020-09-24",304.670013,312.630005,301.940002,308.589996,1216900,305.08255
