"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2020-08-11",165.429993,167.369995,161.910004,164.5,981200,162.020798
"2020-08-12",165.130005,168.279999,165.130005,166.860001,389900,164.34523
"2020-08-13",165.490005,167.589996,165.490005,166.740005,386400,164.227066
"2020-08-14",166.119995,167.100006,163.929993,164.740005,321000,162.257187
"2020-08-17",165.889999,166.539993,164.320007,164.369995,366100,161.892761
"2020-08-18",164.470001,166.600006,164.020004,164.800003,709600,162.316284
"2020-08-19",165.100006,165.199997,161.259995,161.820007,523100,159.381195
"2020-08-20",160.699997,162.029999,159.800003,161.460007,598700,159.026657
"2020-08-21",160.610001,161,158.289993,159.330002,730800,156.928726
"2020-08-24",159.509995,159.820007,157.220001,159.380005,1183000,157.363144
"2020-08-25",160.080002,161.199997,159.119995,160.179993,558200,158.152985
"2020-08-26",159.660004,162.399994,159.369995,161.270004,1112200,159.229218
"2020-08-27",162.199997,167.050003,161.660004,166.190002,713700,164.08699
"2020-08-28",166.25,169.039993,165.020004,168.369995,709500,166.23938
"2020-08-31",168.210007,168.839996,165.639999,168.270004,676100,166.14064
"2020-09-01",167.429993,169.25,166.490005,168.690002,623100,166.555328
"2020-09-02",169.639999,174.720001,169.020004,174.130005,515500,171.926483
"2020-09-03",173.25,174.169998,167.339996,168.850006,531500,166.713318
"2020-09-04",170.539993,171.529999,165.600006,166.389999,769600,164.284424
"2020-09-08",164.869995,166.339996,160.320007,163.820007,1308900,161.746964
"2020-09-09",166.5,169.910004,164.880005,167.699997,989200,165.577866
"2020-09-10",167.440002,169.350006,161.350006,161.690002,1129100,159.643906
"2020-09-11",162.380005,162.919998,160.279999,162.550003,915200,160.493057
"2020-09-14",164.440002,165.429993,163.240005,163.320007,823300,161.253326
"2020-09-15",164.449997,164.589996,159.520004,160.229996,562800,158.202377
"2020-09-16",160.720001,161.369995,158.75,159.119995,647800,157.10643
"2020-09-17",157.380005,159.350006,155.539993,159.160004,970000,157.145935
"2020-09-18",158.139999,159.119995,154.399994,155.919998,1019700,153.94693
"2020-09-21",154.070007,155.160004,152.210007,155.100006,817800,153.137329
"2020-09-22",155.520004,157.419998,155.320007,156.089996,622000,154.114761
"2020-09-23",156.339996,156.529999,151,152.160004,581100,150.234512
"2020-09-24",151.880005,153.570007,150.529999,151.940002,466000,150.017303
"2020-09-25",150.910004,156.860001,150.910004,156.410004,729900,154.43074
"2020-09-28",158.679993,159.429993,157.479996,158.110001,462900,156.109222
"2020-09-29",158.600006,161.179993,157.610001,157.839996,374500,155.842621
"2020-09-30",158.259995,159.190002,156.110001,156.899994,534100,154.91452
"2020-10-01",157.570007,158.940002,157.020004,158.009995,588900,156.010483
"2020-10-02",156.699997,160.710007,155.789993,158.960007,481300,156.948471
"2020-10-05",159.229996,160.360001,158.240005,159.869995,394900,157.846954
"2020-10-06",161.190002,161.460007,156.699997,157.270004,732400,155.279861
"2020-10-07",159.029999,161.470001,158.25,161.070007,624200,159.031769
"2020-10-08",162.440002,165.559998,161.789993,161.789993,407100,159.74263
"2020-10-09",163.210007,165.339996,161.690002,164.279999,319700,162.201126
"2020-10-12",165.289993,166.419998,164.119995,164.559998,293400,162.477585
"2020-10-13",163.149994,165.440002,163.110001,164.889999,425900,162.803421
"2020-10-14",165.490005,166.610001,163.910004,164.169998,367600,162.092529
"2020-10-15",163.410004,163.600006,160.389999,162.380005,533900,160.32518
"2020-10-16",163.330002,164,161.470001,163.339996,606100,161.273026
"2020-10-19",163.350006,164.160004,157.880005,158.580002,496800,156.573273
"2020-10-20",159.490005,161.110001,158.729996,159.710007,566500,157.688995
"2020-10-21",160.139999,163.199997,159.889999,162.350006,798700,160.295578
"2020-10-22",158.149994,162.300003,153.589996,155.899994,2602000,153.927185
"2020-10-23",157.360001,157.360001,149.779999,152.949997,1289600,151.014511
"2020-10-26",151.429993,152.059998,149.110001,150.910004,1124000,149.00032
