"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2020-09-17",119.029999,121.339996,118.370003,119.489998,689000,119.043541
"2020-09-18",119.32,120.279999,117.57,118.199997,1162100,117.758354
"2020-09-21",116.589996,118.470001,114.75,118.25,774500,117.808167
"2020-09-22",117.93,120.110001,117.339996,119.949997,665900,119.501816
"2020-09-23",119.660004,120.489998,117.480003,117.580002,367400,117.140663
"2020-09-24",117.18,118.360001,116.269997,117.959999,646800,117.519241
"2020-09-25",117.269997,120.620003,116.760002,119.800003,593000,119.352371
"2020-09-28",120.610001,122.449997,120.610001,121.889999,590500,121.434555
"2020-09-29",121.889999,124.660004,121.889999,123.260002,1266800,122.799446
"2020-09-30",123.650002,126.099998,123.650002,125.510002,1304400,125.041031
"2020-10-01",127.5,128.979996,123.660004,124.860001,1149600,124.393471
"2020-10-02",123.18,125.139999,122.410004,124.559998,627100,124.094582
"2020-10-05",125.620003,129.800003,125.150002,129.710007,893300,129.225342
"2020-10-06",129.570007,129.850006,124.82,126.550003,1117400,126.077148
"2020-10-07",127.300003,129.289993,127.300003,128.240005,707500,127.760841
"2020-10-08",128.509995,129.149994,126.68,127.610001,577300,127.133194
"2020-10-09",128.860001,129.800003,128,129.679993,482200,129.19545
"2020-10-12",134.050003,134.389999,127.709999,128.330002,1334000,127.85051
"2020-10-13",127.800003,128.880005,124.330002,124.669998,1240900,124.20417
"2020-10-14",124.57,125.279999,121.110001,122.050003,1449500,121.593964
"2020-10-15",120.660004,124.110001,119.940002,123.330002,1003900,122.93969
"2020-10-16",124.18,125.699997,123.690002,124.019997,576800,123.627502
"2020-10-19",123.790001,125.150002,122,122.300003,1159400,121.912949
"2020-10-20",123.099998,124.669998,122.5,123.349998,656600,122.959633
"2020-10-21",123.650002,124.839996,123.25,123.379997,548300,122.989532
"2020-10-22",124.099998,125.959999,123.010002,125.199997,846700,124.80378
"2020-10-23",125.580002,125.580002,122.82,124.449997,558000,124.056129
"2020-10-26",123.029999,124.629997,122.169998,124.07,814000,123.677345
"2020-10-27",124,128.240005,123.5,127.080002,1013000,126.677826
"2020-10-28",124.639999,125.910004,123.370003,124.400002,1123200,124.006302
"2020-10-29",126.910004,132.509995,124.400002,128.789993,1547000,128.382416
"2020-10-30",127.940002,129.559998,125.610001,129.550003,827200,129.140015
"2020-11-02",130.190002,133.940002,130.190002,132.639999,1505100,132.2202
"2020-11-03",133.990005,135.490005,132.520004,133.149994,1031400,132.728607
"2020-11-04",134.570007,136.339996,133.270004,135.039993,1080200,134.61264
"2020-11-05",137.210007,139.779999,136.520004,138.410004,827100,137.97197
"2020-11-06",138.75,142.649994,137.850006,141.300003,820700,140.852829
"2020-11-09",136.5,136.5,123.019997,128.089996,3100200,127.684631
"2020-11-10",127.730003,129.179993,123.660004,125.529999,1650000,125.132721
"2020-11-11",127.470001,130.729996,127,129.070007,1155000,128.66153
"2020-11-12",129.210007,131.889999,129.149994,130.639999,634500,130.226563
"2020-11-13",132.029999,132.679993,130.850006,132.119995,698400,131.701859
"2020-11-16",132.279999,134.330002,131.139999,133.320007,832500,132.898071
"2020-11-17",132.75,134,132.039993,133,1516600,132.579102
"2020-11-18",133,133.119995,127.459999,128.669998,938100,128.262802
"2020-11-19",128.75,131.300003,128.089996,130.809998,767400,130.396011
"2020-11-20",131,131.199997,129.869995,130.190002,1015200,129.777985
"2020-11-23",130.149994,130.449997,125.760002,127.82,896600,127.415482
"2020-11-24",128.630005,128.839996,126,127.07,1341500,126.667854
"2020-11-25",126.75,127.779999,126.599998,127.5,1268200,127.096489
"2020-11-27",127.959999,129.320007,127.620003,129.259995,283800,128.850906
"2020-11-30",129.610001,133.190002,129.449997,133,1220500,132.579102
"2020-12-01",132.889999,137.449997,131.940002,137.199997,1009800,136.765793
"2020-12-02",137.929993,139.399994,135.75,138.580002,993200,138.141434
"2020-12-03",139.059998,139.320007,137.619995,138.020004,699500,137.583206
"2020-12-04",138.429993,141.880005,138.300003,141.779999,750300,141.331314
"2020-12-07",141.5,144.169998,141.5,143.889999,904200,143.434631
"2020-12-08",143.5,148.389999,143.449997,147.910004,1196600,147.44191
"2020-12-09",147.889999,147.889999,142.949997,143.910004,886300,143.454559
"2020-12-10",143.460007,146.669998,143.089996,145.910004,800800,145.448273
"2020-12-11",145.800003,146.649994,144.360001,146.070007,639100,145.607712
"2020-12-14",146.5,149.949997,145.279999,145.320007,561000,144.860092
"2020-12-15",146.089996,147.800003,145.080002,145.199997,841600,144.740463
"2020-12-16",145,145.339996,140.399994,140.800003,1089200,140.354401
"2020-12-17",141.529999,143.600006,141.070007,143.419998,928200,142.966095
"2020-12-18",143.160004,143.550003,140.770004,142.699997,1484800,142.248383
"2020-12-21",141.039993,141.410004,137.399994,140.619995,831500,140.174973
"2020-12-22",140.440002,141.559998,138.990005,139.860001,528400,139.417389
"2020-12-23",139.979996,140.389999,137.580002,139.320007,375100,138.879105
"2020-12-24",139.210007,140.110001,138.639999,139.710007,174100,139.267838
"2020-12-28",140.960007,141.580002,139.119995,140.710007,520600,140.264709
"2020-12-29",141.779999,142.820007,139.470001,139.830002,500200,139.387466
"2020-12-30",140.589996,141.089996,139.490005,140.580002,326900,140.135086
"2020-12-31",140.929993,143.619995,139.990005,143.5,553600,143.045868
"2021-01-04",144.130005,147.509995,142.479996,145.509995,943400,145.0495
"2021-01-05",145.800003,152.520004,145,151.899994,1355200,151.41925
"2021-01-06",150.360001,158,150.179993,156.369995,1490400,155.875107
"2021-01-07",160.580002,162.160004,158.75,160.529999,1087700,160.021957
"2021-01-08",160.550003,162.399994,157.600006,159.759995,1006500,159.254395
"2021-01-11",158.899994,162.699997,157.479996,159.25,1316400,158.746002
"2021-01-12",158.800003,159.320007,150.830002,151.979996,1389400,151.499039
"2021-01-13",151.940002,153.860001,151.009995,151.520004,1111200,151.040482
"2021-01-14",152.179993,152.779999,148.039993,148.130005,859500,147.661209
"2021-01-15",147.460007,149.490005,146.029999,148.520004,824900,148.049973
"2021-01-19",150.470001,151.279999,147.410004,149.289993,723300,148.81752
"2021-01-20",150.089996,152.070007,149.720001,151.259995,616900,150.781281
"2021-01-21",150.949997,151.869995,148.570007,150.589996,425200,150.182907
"2021-01-22",151.039993,152.270004,149.589996,151.910004,683400,151.499359
"2021-01-25",152.729996,153.699997,149.410004,151.050003,662700,150.641663
"2021-01-26",151.100006,151.100006,146.029999,146.240005,558900,145.844696
"2021-01-27",143.630005,144.929993,140.270004,141.729996,855700,141.346863
"2021-01-28",143.990005,147.639999,143.809998,144.740005,645100,144.34874
"2021-01-29",143.940002,149.580002,143.509995,147.070007,1153100,146.67244
"2021-02-01",148.240005,153.990005,147.789993,151.929993,1463200,151.519287
"2021-02-02",153.350006,156.600006,150.839996,151.130005,1176300,150.721451
"2021-02-03",148.910004,151.5,139.660004,139.720001,2685100,139.342285
