"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2020-07-01",235.520004,256.230011,232.580002,255.119995,6575800,240.153976
"2020-07-02",252.869995,261.459991,252.869995,258.23999,3338000,243.090927
"2020-07-06",260.029999,264.970001,253.899994,256.25,3460400,241.217682
"2020-07-07",253.600006,258.910004,252.089996,253.149994,2365900,238.299545
"2020-07-08",253.149994,253.979996,249.25,251.589996,1993700,236.831039
"2020-07-09",250.25,253.830002,248.839996,251.660004,1739600,236.896942
"2020-07-10",250.649994,251.570007,247.070007,249.039993,1326100,234.430634
"2020-07-13",249.830002,255.429993,249.279999,250.039993,2528100,235.371994
"2020-07-14",242.759995,253.789993,240.479996,253.089996,2368300,238.243057
"2020-07-15",254.570007,254.570007,250.770004,253.309998,1650100,238.450134
"2020-07-16",252.059998,255.289993,249.919998,255.199997,1530900,240.229279
"2020-07-17",256.700012,259.950012,254.759995,258.459991,2044800,243.298019
"2020-07-20",260.079987,262.820007,258.320007,260.950012,1497400,245.641953
"2020-07-21",258.619995,260.029999,257.279999,257.910004,1821600,242.780289
"2020-07-22",259.790009,260,255.800003,256.980011,1598100,241.904861
"2020-07-23",259.540009,260,251.600006,252.240005,2532000,237.442917
"2020-07-24",251.259995,251.830002,245.5,247.979996,2187900,233.4328
"2020-07-27",247.300003,255.100006,247.029999,253.649994,2155700,238.770218
"2020-07-28",254.460007,258.399994,253.770004,255.270004,2266600,240.295181
"2020-07-29",250.399994,252.850006,245.740005,248.850006,3286700,234.251785
"2020-07-30",246.399994,247.820007,245.199997,246.139999,1967400,231.70076
"2020-07-31",245.630005,246.100006,239.389999,244.669998,2830100,230.317001
"2020-08-03",244.850006,249.020004,244.529999,247.360001,1853900,232.849182
"2020-08-04",245.970001,246.169998,241.339996,243.589996,1912100,229.300339
"2020-08-05",243.910004,245.410004,240.800003,241.470001,1736400,227.304718
"2020-08-06",240.850006,242.199997,239.110001,241.550003,1747000,227.380035
"2020-08-07",243.580002,243.619995,238.570007,240.690002,1352300,226.57045
"2020-08-10",240.259995,240.669998,236.210007,238.169998,1533200,224.198303
"2020-08-11",238.179993,238.899994,234.360001,234.649994,2296200,220.884811
"2020-08-12",234.690002,243,234.690002,241.720001,2325500,227.540024
"2020-08-13",241.309998,242.770004,239.610001,240.460007,1362800,226.353958
"2020-08-14",239.210007,240.059998,238.619995,239.710007,1225000,227.159454
"2020-08-17",240.210007,244.740005,240.210007,243.009995,1697500,230.286667
"2020-08-18",243.520004,244.309998,240.020004,241.5,1123800,228.855743
"2020-08-19",241.020004,243.729996,238.5,240.490005,1900500,227.898621
"2020-08-20",240.130005,240.690002,237.300003,238.729996,1172800,226.230774
"2020-08-21",238.880005,238.880005,235.509995,237.639999,1959900,225.19783
"2020-08-24",237.729996,238.440002,233.559998,235.570007,1565300,223.236221
"2020-08-25",242.899994,249.960007,240.800003,248.220001,6392100,235.223892
"2020-08-26",248.330002,251.380005,245.759995,250.179993,3125000,237.081268
"2020-08-27",252.240005,256.910004,250.410004,252.809998,3928300,239.573593
"2020-08-28",253.399994,254.139999,247.789993,253.119995,12838400,239.86734
"2020-08-31",252.929993,256.049988,250.100006,253.320007,4053900,240.056885
"2020-09-01",250.050003,252.039993,248.679993,250.860001,2869000,237.725662
"2020-09-02",251.220001,258.799988,251.220001,258.119995,2871600,244.60556
"2020-09-03",259.290009,260.059998,246.350006,247.910004,3137700,234.930115
"2020-09-04",251.330002,252.270004,244.580002,248.399994,2910200,235.39447
"2020-09-08",246.229996,246.990005,239.529999,241.179993,3358600,228.552475
