"","WELL.Open","WELL.High","WELL.Low","WELL.Close","WELL.Volume","WELL.Adjusted"
"2020-09-25",51.689999,53.310001,51.41,53.259998,2539500,50.31897
"2020-09-28",54.799999,54.939999,53.959999,54.389999,2402900,51.386574
"2020-09-29",54.029999,54.630001,53.32,54.5,2048800,51.490498
"2020-09-30",55.169998,56.240002,53.93,55.09,3399200,52.04792
"2020-10-01",55.220001,56.450001,54.310001,56.419998,4048400,53.304478
"2020-10-02",55.400002,58.189999,54.91,57.939999,2569000,54.740536
"2020-10-05",58.200001,58.57,56.57,57.470001,3177700,54.296497
"2020-10-06",57.869999,57.950001,56.27,56.66,3443800,53.531219
"2020-10-07",56.990002,57.23,55.630001,56.099998,2755000,53.002144
"2020-10-08",56.610001,57.5,56.259998,57.220001,3500900,54.060299
"2020-10-09",57.66,57.66,55.830002,56.310001,1411800,53.20055
"2020-10-12",56.439999,56.439999,55.259998,55.869999,1492200,52.784843
"2020-10-13",55.23,55.380001,53.48,54.259998,2126600,51.263748
"2020-10-14",54.310001,54.700001,53.619999,53.869999,1948000,50.89529
"2020-10-15",53.34,55.52,53.240002,55.049999,2292000,52.010124
"2020-10-16",54.02,55.360001,53.34,54.279999,2602100,51.282642
"2020-10-19",54.740002,54.740002,52.48,52.580002,2135900,49.676529
"2020-10-20",53.490002,54.310001,53.18,54.09,1741900,51.103142
"2020-10-21",53.709999,54.419998,53.09,53.709999,2102900,50.744125
"2020-10-22",53.580002,55.490002,53.419998,55.25,4269200,52.199078
"2020-10-23",55.669998,56.549999,55.330002,56.259998,1352800,53.153309
"2020-10-26",55.580002,55.790001,54.689999,55.700001,2227100,52.624237
"2020-10-27",55.720001,56.040001,53.970001,54.029999,1881000,51.046448
"2020-10-28",53.009998,53.68,52.119999,52.259998,3046400,49.374187
"2020-10-29",52.279999,55.52,51.66,54.630001,3347300,51.613323
"2020-10-30",54.25,54.68,52.57,53.77,1816100,50.800808
"2020-11-02",54.099998,56.799999,53.48,56.740002,2075200,53.606804
"2020-11-03",57.639999,59.529999,57,59.009998,2988600,55.751453
"2020-11-04",58.779999,58.779999,56.919998,56.990002,2150800,53.842999
"2020-11-05",57.5,57.700001,56.189999,56.849998,2682500,53.710732
"2020-11-06",57.380001,57.990002,54.830002,55.5,1895700,52.435276
"2020-11-09",60.950001,72.239998,60.639999,66.660004,7776800,63.678917
"2020-11-10",67.129997,69.360001,65.860001,67.839996,5828200,64.806129
"2020-11-11",67.540001,67.540001,64.849998,65.519997,2745700,62.58989
"2020-11-12",65.309998,65.980003,62.700001,63.580002,2700200,60.736652
"2020-11-13",62.810001,65.93,62.810001,65.57,2881600,62.637661
"2020-11-16",67.650002,68.239998,65.379997,66.419998,2664100,63.449642
"2020-11-17",65.379997,66.660004,64.269997,65.949997,3328000,63.000668
"2020-11-18",65.959999,66.879997,63.77,63.830002,2352800,60.975475
"2020-11-19",63.439999,65.360001,62.369999,65.199997,2916900,62.284203
"2020-11-20",64.93,65.050003,63.68,64.510002,2015000,61.625069
"2020-11-23",65.07,65.800003,63.41,63.68,1926000,60.83218
"2020-11-24",64.980003,65.949997,64.559998,65.470001,3082600,62.542133
"2020-11-25",64.879997,65.580002,64.449997,65.260002,1862800,62.341526
"2020-11-27",65.25,65.260002,64.010002,64.540001,703400,61.653717
"2020-11-30",64.949997,64.959999,62.959999,62.98,3714400,60.163486
"2020-12-01",64.080002,64.510002,63.27,63.490002,1961800,60.650677
"2020-12-02",62.639999,63.810001,62.369999,62.48,2062200,59.685841
"2020-12-03",61.52,64.190002,61.52,63.189999,2719600,60.364094
"2020-12-04",64,64.610001,63.580002,64.199997,2386200,61.328922
"2020-12-07",64.459999,66.5,64.459999,65.720001,3066300,62.780952
"2020-12-08",65.290001,66.540001,64.779999,64.949997,3414900,62.045387
"2020-12-09",65.239998,65.639999,64.550003,65.019997,3098400,62.112251
"2020-12-10",64.300003,65.529999,63.68,64.029999,1951400,61.166531
"2020-12-11",63.669998,64.440002,63.09,64.25,2120900,61.37669
"2020-12-14",65.32,65.449997,63.200001,63.240002,3389900,60.411858
"2020-12-15",63.669998,65.900002,62.869999,65.870003,2409200,62.924244
"2020-12-16",66,67.089996,65.599998,66.489998,3326400,63.516514
"2020-12-17",66.900002,67.120003,64.769997,65.949997,3185100,63.000668
"2020-12-18",66.080002,66.43,63.040001,64.019997,5336200,61.156971
"2020-12-21",63.169998,63.93,62.049999,62.650002,4141100,59.84824
"2020-12-22",62.619999,63.049999,61.849998,62.669998,3636400,59.867348
"2020-12-23",62.5,63.43,61.82,62.360001,1564700,59.571213
"2020-12-24",62.68,63.599998,62.32,63.52,547500,60.67934
"2020-12-28",63.540001,63.630001,62.549999,62.970001,4210400,60.153931
"2020-12-29",63.580002,63.75,62.599998,63.18,1364400,60.354534
"2020-12-30",63.23,64.580002,63.139999,63.799999,1195200,60.946812
"2020-12-31",63.549999,64.739998,62.709999,64.620003,1424900,61.730148
"2021-01-04",64.639999,64.699997,61.5,61.599998,2235500,58.8452
"2021-01-05",61.799999,62.66,61.599998,61.959999,1986500,59.189095
"2021-01-06",63.240002,64.970001,62.740002,64.580002,2458200,61.69194
"2021-01-07",64.360001,64.470001,62.389999,63.299999,1962700,60.46917
"2021-01-08",62.040001,63.02,61.41,62.68,1941000,59.876904
"2021-01-11",62.360001,62.5,61.07,61.18,1748200,58.443977
"2021-01-12",61.48,61.73,60.709999,61.09,2285700,58.358009
"2021-01-13",61.439999,63.869999,61.439999,63.810001,1596900,60.956371
"2021-01-14",64.019997,64.589996,63.380001,63.560001,1319700,60.717548
"2021-01-15",63.43,64.660004,62.82,64.25,2649000,61.37669
"2021-01-19",63.959999,64.099998,60.599998,61,2995100,58.272034
"2021-01-20",60.849998,62.470001,60.48,62.130001,3442000,59.351501
"2021-01-21",61.560001,62.240002,60.799999,61.849998,2244500,59.084015
"2021-01-22",61.369999,63.27,61.209999,63.07,2111300,60.249462
"2021-01-25",62.540001,63.75,61.470001,62.560001,2182000,59.762272
"2021-01-26",62.48,63.290001,61.240002,61.790001,2218700,59.026703
"2021-01-27",61.48,61.669998,59.380001,59.790001,2102500,57.116138
"2021-01-28",59.830002,63.209999,59.75,61.779999,2087200,59.017147
"2021-01-29",61.169998,61.82,59.450001,60.599998,2746500,57.889915
"2021-02-01",60.990002,62.540001,59.860001,62.509998,2166800,59.714504
"2021-02-02",62.810001,63.049999,61.860001,62.169998,2541100,59.389702
"2021-02-03",61.25,62.360001,60.150002,62.09,2284800,59.31329
"2021-02-04",62.549999,64.07,62.099998,63.91,2368000,61.051895
"2021-02-05",64.019997,64.940002,63.799999,64.019997,1977400,61.156971
"2021-02-08",63.700001,63.939999,62.950001,63.209999,1481300,60.383198
"2021-02-09",64,64,62.470001,63.23,2133800,60.402306
"2021-02-10",63.209999,66.199997,62.73,64.93,2625100,62.026279
"2021-02-11",65.010002,66.849998,64.489998,66.43,2900200,63.459198
"2021-02-12",66.389999,67.599998,66.099998,67.510002,2629400,64.490898
"2021-02-16",67.589996,68,66.349998,67.169998,3703100,64.1661
"2021-02-17",66.75,67.610001,65.650002,67.290001,1623500,64.280731
"2021-02-18",67.529999,68.360001,66.940002,68.169998,2414000,65.121376
"2021-02-19",68.290001,68.870003,67.43,68.389999,2864100,65.921432
"2021-02-22",68,71.449997,68,69.889999,3172400,67.367279
"2021-02-23",70.599998,71.129997,69.589996,70.599998,2830800,68.051651
"2021-02-24",70.959999,73.709999,70.940002,73.599998,3675000,70.943359
"2021-02-25",73.290001,74.129997,69.919998,70.279999,2754600,67.743202
"2021-02-26",70.43,70.610001,67.870003,67.900002,3739800,65.449104
"2021-03-01",69.190002,70.690002,68.459999,68.480003,2651800,66.008186
"2021-03-02",68.620003,68.93,67.410004,68.620003,2594700,66.143127
"2021-03-03",68.059998,69.599998,67.949997,69.019997,2741000,66.528687
"2021-03-04",69.309998,70.389999,68.230003,69.730003,2523600,67.213058
"2021-03-05",70.040001,70.760002,68.459999,70.260002,2322400,67.72393
"2021-03-08",71.010002,73.300003,69.959999,72.230003,2032900,69.622818
"2021-03-09",72.400002,73.209999,71.709999,72.760002,2687400,70.13369
"2021-03-10",72.68,74.190002,71.580002,73.970001,2077900,71.300018
"2021-03-11",73.690002,76,73.139999,73.370003,2531600,70.721672
"2021-03-12",73.559998,74.139999,72.760002,74.120003,2342500,71.444595
"2021-03-15",74.68,75.099998,73.400002,74.550003,1947200,71.859085
"2021-03-16",74.230003,74.279999,72.209999,72.910004,1954900,70.278275
"2021-03-17",73.110001,74.290001,72.610001,73.690002,1514400,71.030113
"2021-03-18",73.239998,73.489998,71.5,71.849998,1605200,69.256531
"2021-03-19",71.610001,72.620003,70.5,70.720001,3552400,68.16732
"2021-03-22",70.879997,71.529999,70.169998,71,1410900,68.43721
"2021-03-23",70.800003,71.610001,70.32,70.989998,2425300,68.427574
"2021-03-24",70.910004,72.239998,70.599998,71.18,2830100,68.610718
"2021-03-25",71.059998,71.68,69.290001,71.160004,1685700,68.591446
"2021-03-26",71.660004,73.529999,71.410004,73.389999,2233700,70.740944
"2021-03-29",72.849998,73,71.32,71.68,1546100,69.092674
"2021-03-30",72.379997,74.040001,71.959999,72.93,1865300,70.297554
"2021-03-31",72.300003,72.779999,71.339996,71.629997,2828800,69.044472
"2021-04-01",72.029999,73.360001,71.339996,73.25,2178700,70.606003
"2021-04-05",73.540001,73.809998,71.870003,72.800003,2175900,70.172241
"2021-04-06",72.800003,74.309998,72.669998,74.160004,2586500,71.483154
"2021-04-07",74.099998,75.449997,74.099998,75.199997,3416400,72.485611
"2021-04-08",75.279999,76.18,75,75.620003,2059500,72.890465
"2021-04-09",75.459999,76.099998,74.93,75.110001,1779200,72.398857
"2021-04-12",75.790001,75.790001,74.489998,75.389999,1894200,72.668762
"2021-04-13",75.029999,76.190002,74.830002,75.790001,1677800,73.054314
"2021-04-14",75.940002,76.410004,75.010002,75.089996,1358300,72.379578
"2021-04-15",75.540001,76.610001,75.110001,76.25,1888300,73.497719
"2021-04-16",76.800003,76.870003,75.620003,75.690002,1190800,72.957932
"2021-04-19",75.68,75.690002,74.769997,74.879997,1492400,72.177155
"2021-04-20",74.879997,76.389999,74.68,76.120003,1837200,73.372398
"2021-04-21",76.029999,76.769997,75.82,76.360001,1424300,73.603737
"2021-04-22",76.580002,76.82,75.580002,75.629997,1862100,72.900085
"2021-04-23",76.099998,76.18,75.059998,75.440002,1553000,72.716957
"2021-04-26",76,76.650002,75.709999,75.889999,1026500,73.150703
"2021-04-27",75.989998,76.699997,75.660004,76.470001,1715000,73.709778
"2021-04-28",76.239998,76.68,75.330002,75.519997,2318300,72.794052
"2021-04-29",75,77.540001,74.699997,76.080002,1814000,73.333855
"2021-04-30",75.57,75.580002,74.699997,75.029999,2734300,72.321747
"2021-05-03",75.5,77.010002,75.110001,76.489998,2119300,73.72905
"2021-05-04",76.589996,77.059998,74.220001,74.910004,1432100,72.206093
"2021-05-05",74.910004,74.910004,72.199997,72.650002,1738400,70.027664
"2021-05-06",72.809998,73.620003,72.709999,73.510002,1322600,70.856628
"2021-05-07",73.629997,75.099998,73.300003,74.699997,1831100,72.003647
"2021-05-10",74.699997,76.150002,74.169998,74.309998,2556900,72.217468
"2021-05-11",73.870003,73.870003,72.209999,73.089996,1708200,71.031815
"2021-05-12",72.949997,73.160004,70.739998,71.040001,1995800,69.039551
"2021-05-13",71,73.18,71,72.080002,1874300,70.050262
"2021-05-14",72.580002,73.620003,72.559998,73.220001,1142400,71.158165
"2021-05-17",73.169998,73.610001,72.589996,73.120003,1970600,71.060974
"2021-05-18",73.089996,74,72.470001,73.129997,1200400,71.070702
"2021-05-19",72.379997,73.07,71.339996,72.82,1832900,70.769424
"2021-05-20",72.540001,73.769997,72.269997,73.440002,1712700,71.371971
"2021-05-21",73.639999,74.470001,72.860001,73.279999,1219600,71.216469
"2021-05-24",74,75.349998,73.690002,74.660004,1384800,72.557617
"2021-05-25",74.300003,75.160004,74.040001,74.830002,1168800,72.722824
"2021-05-26",74.879997,75.510002,74.440002,74.989998,1024500,72.878311
"2021-05-27",75.489998,75.489998,74.099998,74.099998,1649700,72.013374
"2021-05-28",74.669998,75.349998,74.349998,74.769997,1552300,72.66452
"2021-06-01",75.029999,76.790001,74.589996,76.699997,1687300,74.540154
"2021-06-02",77,77.919998,76.410004,77.82,2103300,75.628639
"2021-06-03",77.800003,77.889999,76.440002,76.709999,1644900,74.549881
"2021-06-04",76.910004,76.910004,75.599998,76.449997,1535100,74.297203
"2021-06-07",76.68,77.470001,76.220001,76.870003,1266300,74.705376
"2021-06-08",77.330002,78.800003,77,78.150002,2177000,75.949333
"2021-06-09",78.57,79.370003,78.309998,78.839996,1563900,76.619896
"2021-06-10",78.82,79.410004,78.190002,79.139999,2016000,76.911461
"2021-06-11",79.32,79.68,78.559998,79.68,1253500,77.436249
"2021-06-14",80.209999,81.360001,79.769997,81.209999,1787500,78.923164
"2021-06-15",82.129997,82.389999,81.110001,81.160004,2742400,78.87458
"2021-06-16",81.040001,82.25,80.660004,80.800003,2150100,78.524712
"2021-06-17",80.709999,81.239998,80.129997,80.550003,2149700,78.281754
"2021-06-18",80.449997,80.599998,78.480003,78.510002,5532200,76.299202
"2021-06-21",78.739998,80.699997,78.349998,80.580002,1818200,78.310905
"2021-06-22",81.07,83.18,80.93,82.220001,3915900,79.904724
"2021-06-23",82.209999,83.809998,81.800003,83.470001,2698200,81.11953
"2021-06-24",83.650002,83.830002,82.290001,83.459999,2259400,81.109802
"2021-06-25",83.800003,84.019997,83.370003,84.019997,2230000,81.654037
"2021-06-28",84.019997,84.019997,82.339996,82.959999,2535700,80.623886
"2021-06-29",83,83.830002,82.669998,83.410004,1657400,81.061218
"2021-06-30",83.580002,84.230003,82.720001,83.099998,4388000,80.759941
"2021-07-01",83.410004,84.57,82.82,83.730003,2249000,81.3722
"2021-07-02",84,84.970001,83.730003,84.919998,2208800,82.528694
"2021-07-06",84.610001,85.300003,83.209999,85.139999,2390400,82.742493
"2021-07-07",84.949997,85.230003,83.959999,84.870003,2448900,82.48011
"2021-07-08",84.050003,85.419998,83.620003,84.889999,2435900,82.499542
"2021-07-09",85.389999,86.489998,84.919998,86.43,1844900,83.996178
"2021-07-12",85.970001,87.790001,85.970001,87.529999,1806700,85.065201
"2021-07-13",87.550003,87.959999,86.389999,86.970001,2904000,84.520966
"2021-07-14",86.68,88.82,86.559998,88.199997,2672300,85.716331
"2021-07-15",87.910004,88.690002,87.660004,88.599998,2088200,86.10508
"2021-07-16",89.099998,89.800003,88.940002,89.68,2041300,87.154663
"2021-07-19",88.489998,88.489998,84.099998,84.43,3044300,82.05249
"2021-07-20",84.93,88.419998,84.309998,88.019997,2259700,85.541397
"2021-07-21",88.099998,89.419998,87.760002,87.989998,1591600,85.512245
"2021-07-22",87.860001,87.900002,86.699997,87.349998,1303600,84.890274
"2021-07-23",88.080002,88.389999,87.089996,87.760002,1104200,85.288727
"2021-07-26",87.260002,88.279999,86.269997,87.599998,1582300,85.133224
"2021-07-27",87.309998,88.580002,86.739998,88.269997,1629600,85.784355
"2021-07-28",88.489998,88.489998,86.949997,87.389999,986800,84.929146
"2021-07-29",87.410004,88.629997,87.410004,87.730003,1218200,85.259575
"2021-07-30",88.580002,89.5,86.790001,86.860001,2386000,84.41407
"2021-08-02",87.379997,89.18,86.18,86.269997,1246000,83.840675
"2021-08-03",86.889999,87.220001,86.120003,87.110001,1656400,84.657021
"2021-08-04",86.949997,87.25,84.959999,85.099998,1892000,82.703629
"2021-08-05",85.650002,86.599998,85.330002,86.580002,1246600,84.14196
"2021-08-06",86.769997,87.309998,84.910004,85.18,2090900,82.78138
"2021-08-09",85.110001,85.650002,84.470001,85.559998,1687100,83.150673
"2021-08-10",85.5,85.93,84.93,85.040001,3813100,82.645325
"2021-08-11",84.93,84.93,83.809998,83.949997,1975000,82.175468
"2021-08-12",84.169998,84.169998,83.300003,83.739998,1262900,81.96991
"2021-08-13",83.739998,85.18,83.519997,85.110001,2437600,83.310944
"2021-08-16",84.769997,85.800003,84.529999,85.260002,1576700,83.457771
"2021-08-17",84.68,85.839996,84.279999,85.589996,1469300,83.7808
"2021-08-18",85.449997,85.470001,84.089996,84.300003,1882200,82.518066
"2021-08-19",83.860001,84.970001,83.019997,84.080002,1999900,82.302711
"2021-08-20",83.809998,84.739998,82.660004,84.220001,1853000,82.439758
"2021-08-23",84.720001,84.980003,83.459999,84.18,1071400,82.400604
"2021-08-24",84.199997,84.629997,83.389999,84.480003,1312000,82.694267
"2021-08-25",84.529999,85.730003,84,84.889999,1544500,83.095596
"2021-08-26",85.300003,85.730003,84.459999,84.669998,1426000,82.880249
"2021-08-27",85.18,86.519997,85,85.639999,2041900,83.829742
"2021-08-30",85.550003,86.139999,85.089996,85.760002,1565900,83.947212
"2021-08-31",85.559998,87.660004,85.419998,87.529999,3051300,85.679794
"2021-09-01",87.919998,88.980003,87.25,88.18,2581000,86.316048
"2021-09-02",88.480003,88.660004,86.879997,87.75,2130200,85.895142
"2021-09-03",87.410004,87.410004,85.690002,86.75,2245700,84.916275
"2021-09-07",86.620003,86.699997,84.269997,85.089996,2076100,83.291359
"2021-09-08",84.769997,86.510002,84.489998,86,1443400,84.182137
"2021-09-09",85.510002,87.690002,85.260002,86.110001,2941700,84.28981
"2021-09-10",86.389999,87.639999,85.400002,86.68,2231800,84.847755
"2021-09-13",87.629997,88.790001,87.209999,88.220001,2403800,86.355202
"2021-09-14",88.760002,88.830002,86.5,87.540001,1632700,85.689583
"2021-09-15",87.57,87.57,86.709999,86.879997,1714500,85.043526
"2021-09-16",86.879997,88.139999,86.419998,87.809998,1533400,85.953865
"2021-09-17",87.099998,87.330002,85.589996,85.830002,3531800,84.015724
"2021-09-20",85.040001,86.860001,84.510002,85.75,1960700,83.937416
"2021-09-21",86.32,87.650002,85.900002,85.940002,1417600,84.123405
"2021-09-22",86.639999,86.779999,85.290001,85.440002,1657000,83.633972
"2021-09-23",85.75,86.849998,85.529999,85.739998,1638400,83.927628
"2021-09-24",85.239998,85.669998,82.620003,83.300003,1918800,81.539207
"2021-09-27",83.529999,85.139999,82.769997,82.790001,1733700,81.039986
"2021-09-28",82.230003,83.489998,81.599998,83.099998,2203900,81.34343
"2021-09-29",83.309998,84.230003,83.25,83.790001,1702700,82.018852
"2021-09-30",84.379997,84.379997,82.169998,82.400002,2809100,80.658226
"2021-10-01",83.099998,84.279999,82.440002,83.849998,1213000,82.077576
"2021-10-04",83.440002,84.449997,83.190002,83.730003,1269800,81.960114
"2021-10-05",83.830002,83.830002,81.709999,81.739998,1569700,80.012177
"2021-10-06",81.110001,83.410004,80.010002,83.199997,2083200,81.441315
"2021-10-07",83.800003,84.360001,82.709999,82.93,1027400,81.177025
"2021-10-08",82.870003,83.339996,82.5,82.690002,766300,80.942101
"2021-10-11",82.220001,83.360001,81.709999,82.839996,761000,81.088928
"2021-10-12",82.790001,84.169998,82.480003,83.290001,1343100,81.529411
"2021-10-13",82.910004,83.440002,82.290001,83.290001,1109800,81.529411
"2021-10-14",83.959999,84.559998,83.669998,83.949997,1729300,82.175468
"2021-10-15",84.699997,84.849998,83.720001,84.110001,1472400,82.332085
"2021-10-18",83.540001,84.110001,82.93,83.360001,1765600,81.597931
"2021-10-19",83.790001,84.269997,83.370003,84.07,1170400,82.292923
"2021-10-20",84.07,85.190002,83.910004,84.580002,1454700,82.792152
"2021-10-21",84.800003,85.059998,82.970001,83.150002,1553600,81.392372
"2021-10-22",83.230003,83.940002,80.830002,81.040001,2352700,79.326981
"2021-10-25",81.239998,82.089996,79.739998,80.980003,2843100,79.268242
"2021-10-26",80.959999,81.309998,80.400002,80.43,2415300,78.729866
"2021-10-27",80.790001,82.690002,80.410004,82.300003,2057700,80.560349
"2021-10-28",82.300003,82.830002,81.75,82.730003,1165700,80.981262
"2021-10-29",82.220001,82.440002,79.519997,80.400002,3692500,78.7005
"2021-11-01",80.370003,82.589996,79.919998,82.449997,1626600,80.707161
"2021-11-02",82.940002,82.989998,81.360001,81.889999,1866400,80.159012
"2021-11-03",81.980003,83.309998,81.75,82.82,1631000,81.069351
"2021-11-04",82.959999,83.160004,79.709999,80.470001,3057000,78.769028
"2021-11-05",82.940002,86.029999,81.190002,84.599998,2718100,82.811722
"2021-11-08",84.459999,85.870003,83.980003,84.760002,2375100,82.968338
"2021-11-09",85.080002,86.239998,84.160004,85.389999,2060000,83.58503
"2021-11-10",85.540001,87.639999,85.540001,87.010002,3049500,85.170792
"2021-11-11",86.779999,87.080002,85.040001,85.230003,1868000,83.428413
"2021-11-12",85.150002,85.910004,84.720001,85.550003,1212100,83.741646
"2021-11-15",85.519997,85.519997,83.290001,84.230003,1436300,83.041664
"2021-11-16",84.290001,84.5,82.919998,84,1994700,82.814903
"2021-11-17",83.639999,86.510002,82.93,86.220001,2343900,85.003578
"2021-11-18",86.239998,86.650002,85.209999,86.150002,1483200,84.934578
"2021-11-19",86.089996,86.790001,83.849998,84.190002,2115100,83.002228
"2021-11-22",83.639999,85,83.25,84.010002,1618100,82.82476
"2021-11-23",84.720001,86.480003,84.379997,85.779999,1567100,84.569794
"2021-11-24",85.870003,87.269997,85.870003,87.07,1512900,85.841591
"2021-11-26",84.93,85.25,81.779999,81.919998,1879400,80.764244
"2021-11-29",82.339996,83.68,81.980003,82.040001,2684600,80.882561
"2021-11-30",81.470001,81.839996,79.209999,79.620003,4177800,78.496696
"2021-12-01",80.629997,82.150002,79.260002,79.360001,2148400,78.240364
"2021-12-02",80.059998,82.769997,79.790001,82.080002,2401000,80.921997
"2021-12-03",82.230003,82.559998,79.949997,80.400002,2880000,79.265701
"2021-12-06",81.269997,83.940002,81.269997,83.040001,1823100,81.868446
"2021-12-07",83.989998,85.349998,83.529999,84.779999,2301700,83.5839
"2021-12-08",85.059998,86.160004,84.5,85.699997,2421100,84.490921
"2021-12-09",85.110001,85.459999,84.139999,84.150002,1772800,82.962791
"2021-12-10",84.709999,84.93,82.269997,82.709999,2019800,81.543106
"2021-12-13",82.190002,84.050003,81.739998,83.440002,2079500,82.26281
"2021-12-14",83.440002,83.989998,81.239998,82.190002,2311000,81.030441
"2021-12-15",82.400002,83.470001,81.860001,82.949997,2486100,81.779716
"2021-12-16",83,84.470001,82.18,83.099998,2426700,81.927597
"2021-12-17",83.099998,84.449997,81.940002,83.199997,7156500,82.026184
"2021-12-20",80.269997,81.639999,80.029999,80.330002,2786000,79.196686
"2021-12-21",81.199997,83.370003,80.839996,82.639999,1474100,81.474098
"2021-12-22",82.949997,83.370003,82.089996,82.959999,1952500,81.789574
"2021-12-23",83.25,83.580002,81.93,82.790001,1228400,81.621971
"2021-12-27",82.650002,84.080002,81.739998,84.040001,1381200,82.85434
"2021-12-28",83.769997,84.849998,83.610001,84.730003,1224800,83.534607
"2021-12-29",84.699997,85.330002,83.339996,85.110001,1219600,83.909241
"2021-12-30",84.93,86.349998,84.93,85.900002,1380000,84.688103
"2021-12-31",85.720001,86.690002,85.580002,85.769997,1301100,84.559929
"2022-01-03",86.160004,87.120003,84.410004,85.559998,2170200,84.35289
"2022-01-04",85.790001,88.68,85.720001,88.139999,2885300,86.8965
"2022-01-05",88.669998,89.57,86.82,86.980003,1770100,85.752869
"2022-01-06",87.68,88.25,86.940002,87.629997,1297300,86.393684
"2022-01-07",87.610001,89.43,86.790001,87.830002,2817400,86.590874
