"","WELL.Open","WELL.High","WELL.Low","WELL.Close","WELL.Volume","WELL.Adjusted"
"2020-07-01",52.189999,54.099998,51.669998,53.639999,2569200,50.133247
"2020-07-02",54.889999,55.25,52.380001,52.630001,1855200,49.189285
"2020-07-06",54.310001,54.330002,52.060001,52.310001,1447200,48.890205
"2020-07-07",51.470001,51.470001,49.880001,49.950001,2267600,46.684494
"2020-07-08",50.02,50.450001,49.290001,50.029999,2562200,46.759262
"2020-07-09",49.740002,49.900002,48.040001,49.200001,2291300,45.983521
"2020-07-10",49.049999,50.599998,48.990002,50.549999,2452900,47.245266
"2020-07-13",50.75,51.080002,49.68,50.02,2069500,46.749908
"2020-07-14",50.099998,50.98,49.73,49.939999,1973500,46.675137
"2020-07-15",51.529999,51.689999,50.18,51.040001,2060600,47.703228
"2020-07-16",50.470001,51.119999,49.529999,49.880001,2147000,46.619072
"2020-07-17",50.099998,51.299999,49.630001,50.990002,2188400,47.656502
"2020-07-20",50.48,50.950001,49.09,49.299999,2455400,46.076977
"2020-07-21",49.990002,50.470001,49.389999,49.48,1646700,46.245213
"2020-07-22",49.240002,52.860001,48.900002,52.330002,3988900,48.908897
"2020-07-23",51.68,52.470001,51.389999,51.939999,2079500,48.544392
"2020-07-24",52.220001,52.709999,51.139999,51.419998,2221400,48.058388
"2020-07-27",51.169998,51.310001,50.130001,51.009998,1544500,47.675194
"2020-07-28",51.009998,53.540001,51,53.139999,2217700,49.665939
"2020-07-29",53.779999,54.73,53.259998,54.689999,2861000,51.114605
"2020-07-30",53.490002,54.849998,53.209999,54.52,2112500,50.955723
"2020-07-31",54.32,54.5,52.73,53.560001,4884800,50.058483
"2020-08-03",52.73,53.279999,51.91,52.869999,2379600,49.413589
"2020-08-04",52.880001,54.169998,52.880001,53.290001,2809400,49.806133
"2020-08-05",53.900002,54.029999,52.669998,53.150002,2163400,49.675289
"2020-08-06",53.240002,57.189999,52.689999,56.41,3515700,52.72216
"2020-08-07",56.029999,57.84,55.619999,57.18,3360900,53.441818
"2020-08-10",57.099998,57.970001,56.32,57.439999,2421000,53.684822
"2020-08-11",58.279999,58.580002,56.330002,56.630001,2887800,52.927784
"2020-08-12",56.779999,57.099998,56,56.91,1806100,53.189472
"2020-08-13",56.580002,57.580002,55.639999,55.990002,1795700,52.32962
"2020-08-14",56.02,57.759998,55.599998,56.75,2100900,53.03994
"2020-08-17",56.549999,56.549999,55.470001,55.98,1977400,52.888771
"2020-08-18",55.849998,55.849998,54.529999,54.939999,2288500,51.9062
"2020-08-19",55.150002,55.349998,53.790001,53.950001,2433300,50.970863
"2020-08-20",53.32,55.720001,53.049999,55.080002,2201500,52.038467
"2020-08-21",55.360001,56.23,54.610001,56.130001,3258900,53.030491
"2020-08-24",55.84,57.439999,55.310001,57.419998,2052100,54.249252
"2020-08-25",57.27,57.599998,56.450001,57.59,3790100,54.409866
"2020-08-26",57.330002,57.57,55.279999,55.849998,2350300,52.765953
"2020-08-27",55.599998,58.02,55.599998,57.919998,2786500,54.721645
"2020-08-28",58.02,59.470001,57.139999,59.450001,2425300,56.16716
"2020-08-31",58.970001,59.23,57.439999,57.52,2627800,54.343727
"2020-09-01",57,58.27,56.509998,58.130001,1386900,54.920055
"2020-09-02",58.139999,60.099998,57.450001,60.009998,2724100,56.696232
"2020-09-03",60.150002,61.5,59.400002,60.450001,2828400,57.111931
"2020-09-04",60.580002,61.380001,59.450001,61.119999,3447500,57.744938
"2020-09-08",60.759998,61.799999,59.990002,60.049999,3370500,56.734028
"2020-09-09",60.529999,61.73,59.77,60.889999,2326200,57.527637
"2020-09-10",60.330002,61.360001,59.830002,59.860001,1787900,56.554516
"2020-09-11",59.849998,60.299999,58.220001,58.869999,2518100,55.619186
"2020-09-14",59.5,60.419998,59.41,60.119999,2796300,56.800156
"2020-09-15",59.869999,61.439999,59.869999,60.709999,4107900,57.357578
"2020-09-16",60.950001,61.419998,59.75,59.869999,4158100,56.563961
"2020-09-17",59.130001,59.889999,57.419998,57.779999,4270500,54.589375
"2020-09-18",57.16,57.810001,56.34,56.450001,4996800,53.332817
"2020-09-21",55.07,55.459999,53.650002,54.189999,5014900,51.197617
"2020-09-22",54.150002,55.709999,54.060001,54.709999,3804900,51.6889
"2020-09-23",54.349998,54.84,51.860001,51.959999,2726900,49.090755
"2020-09-24",51.66,53.16,51.220001,51.869999,2733700,49.005722
