"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"2020-10-09",29.700001,29.77,28.93,29.049999,3762900,25.017752
"2020-10-12",29.02,29.299999,28.719999,29.17,2916000,25.121098
"2020-10-13",28.76,29.57,28.559999,29.450001,3796500,25.362234
"2020-10-14",29.48,30.65,29.43,29.950001,4564200,25.792833
"2020-10-15",28.559999,29.84,28.49,29.82,5486300,25.680876
"2020-10-16",29.83,29.93,28.889999,28.9,3849900,24.888575
"2020-10-19",29.049999,29.49,28.24,28.290001,3966700,24.363245
"2020-10-20",28.799999,29.379999,28.48,28.92,3753600,24.905798
"2020-10-21",28.629999,28.860001,28.370001,28.43,3035200,24.483812
"2020-10-22",28.6,30.799999,28.57,30.67,5228700,26.412891
"2020-10-23",31,31.030001,30.08,30.549999,5381500,26.309549
"2020-10-26",30.129999,30.17,29.1,29.51,5358200,25.413904
"2020-10-27",29.459999,29.950001,29.25,29.32,4699500,25.250277
"2020-10-28",30.34,30.620001,28.129999,29.09,8053700,25.052204
"2020-10-29",28.9,30.530001,28.01,30.4,6073000,26.18037
"2020-10-30",29.4,29.74,28.26,29,5618600,25.767206
"2020-11-02",29.15,29.559999,28.6,29.23,4531100,25.971567
"2020-11-03",29.59,29.950001,28.870001,28.92,4369900,25.696125
"2020-11-04",29,29.459999,28.139999,28.6,6195600,25.411797
"2020-11-05",28.59,29.1,28.26,28.540001,4462700,25.358486
"2020-11-06",28.42,29.280001,26.76,26.889999,5948400,23.892418
"2020-11-09",29.75,31.959999,29.5,31.35,10360900,27.85524
"2020-11-10",31.91,32.650002,31.01,32.540001,6096500,28.912584
"2020-11-11",33,33.150002,31.809999,32.119999,4145200,28.539402
"2020-11-12",31.49,32,30.15,30.77,4237400,27.339895
"2020-11-13",31.370001,31.93,30.85,31.66,3616600,28.130682
"2020-11-16",32.720001,33.34,31.969999,32.349998,4764700,28.743765
"2020-11-17",31.91,33.32,31.719999,33.310001,3777600,29.596752
"2020-11-18",33.23,34.189999,32.299999,32.310001,4443100,28.708221
"2020-11-19",31.92,33.439999,31.620001,33.299999,3363600,29.58786
"2020-11-20",33.18,33.529999,32.669998,32.959999,2743400,29.285765
"2020-11-23",33.509998,35.220001,33.439999,35.18,3369100,31.258289
"2020-11-24",36.91,37.889999,36.34,37.66,5659300,33.461826
"2020-11-25",37.299999,38.439999,36.599998,37.540001,4082700,33.355202
"2020-11-27",37.18,37.700001,36.82,37.23,1554300,33.079758
"2020-11-30",36.810001,37.209999,35.599998,35.869999,5533100,31.871365
"2020-12-01",37,37.189999,36.080002,36.470001,3278500,32.404488
"2020-12-02",36.130001,37.950001,36.099998,37.470001,3113000,33.293011
"2020-12-03",37.549999,39.07,37.169998,38.490002,3526800,34.199306
"2020-12-04",39.470001,40.709999,39.43,40.630001,3932000,36.100746
"2020-12-07",40.16,40.610001,39.220001,40.310001,4464400,35.816418
"2020-12-08",39.93,41.560001,39.810001,40.790001,3292300,36.242912
"2020-12-09",41.459999,41.939999,39.650002,40.220001,3292900,35.73645
"2020-12-10",40.330002,41.950001,40.259998,41.75,4082400,37.095894
"2020-12-11",41.080002,41.66,40.740002,41.57,2691900,36.935959
"2020-12-14",42,42.16,39.93,40.139999,4106900,35.665367
"2020-12-15",40.610001,41.459999,39.93,41.310001,3601600,36.704941
"2020-12-16",41.299999,41.380001,40.299999,40.650002,3013300,36.118515
"2020-12-17",41.009998,41.23,40.080002,40.73,3289300,36.189598
"2020-12-18",40.68,40.91,39.630001,39.869999,7019800,35.425472
"2020-12-21",38.369999,39.810001,38.029999,39.389999,3845900,34.99897
"2020-12-22",39.419998,39.950001,38.599998,38.630001,2767200,34.3237
"2020-12-23",39,39.580002,38.470001,38.799999,2321600,34.474751
"2020-12-24",38.82,38.849998,37.900002,38.799999,1344100,34.474751
"2020-12-28",38.880001,39.259998,38.009998,38.41,2945700,34.128223
"2020-12-29",38.650002,38.740002,37.669998,38.130001,2752400,33.879436
"2020-12-30",38.02,38.740002,37.950001,38.119999,2462900,33.870552
"2020-12-31",37.91,38.470001,37.66,38.380001,2191000,34.101563
"2021-01-04",39,39.110001,37.389999,37.5,3516300,33.31966
"2021-01-05",37.849998,40.400002,37.830002,39.380001,3416700,34.990093
"2021-01-06",40,40.48,39.130001,39.830002,3329000,35.389923
"2021-01-07",40.490002,40.830002,39.799999,40.700001,2952000,36.162945
"2021-01-08",41.049999,41.099998,39.57,39.93,3470400,35.478775
"2021-01-11",39.080002,41.380001,38.66,41.23,2948300,36.633862
"2021-01-12",41.720001,43.619999,41.439999,43.509998,3423700,38.659695
"2021-01-13",43.400002,44.439999,43.049999,43.709999,2668200,38.837402
"2021-01-14",44.110001,45.709999,44.02,44.759998,3518000,39.770348
"2021-01-15",44.5,44.709999,43.02,44.169998,2775300,39.24612
"2021-01-19",44.459999,44.540001,43.700001,44.110001,2708500,39.192806
"2021-01-20",44.48,44.650002,43.439999,44.009998,2470300,39.103958
"2021-01-21",44,44.18,42.220001,42.869999,2924100,38.091042
"2021-01-22",41.779999,42.959999,41.43,42.84,2903600,38.064384
"2021-01-25",42.57,42.689999,41.330002,42.23,3294000,37.522377
"2021-01-26",42.689999,44.209999,42.029999,42.119999,3676800,37.424648
"2021-01-27",42,42,40.450001,40.549999,4027100,36.029667
"2021-01-28",40.93,42.290001,40.709999,42.110001,3516000,37.41576
"2021-01-29",40.610001,41.299999,39.330002,39.830002,3867900,36.193558
"2021-02-01",40.360001,40.75,38.900002,40.02,2786700,36.366211
"2021-02-02",41.040001,41.599998,40.450001,41.209999,2514300,37.447567
"2021-02-03",41.389999,42.849998,41.279999,42.48,2872700,38.601612
"2021-02-04",42.700001,42.939999,42.080002,42.459999,1864300,38.583439
"2021-02-05",43.400002,43.73,42.709999,42.84,2628300,38.928745
"2021-02-08",43.049999,43.799999,42.84,43.43,2564200,39.464882
"2021-02-09",43.400002,43.549999,42.650002,43.360001,2037600,39.401272
"2021-02-10",43.810001,44.77,43.599998,44.75,3132700,40.664368
"2021-02-11",44.610001,45.200001,43.540001,44.279999,2727500,40.237274
"2021-02-12",44.169998,45.259998,44.02,45.110001,3049600,40.991501
"2021-02-16",46,46.66,45.810001,45.950001,2879400,41.754807
"2021-02-17",46.150002,46.349998,45.060001,45.990002,1987100,41.791164
"2021-02-18",45.639999,45.720001,44.450001,44.860001,2349000,40.764324
"2021-02-19",44.919998,45.990002,44.790001,45.82,2050400,41.636677
"2021-02-22",45.93,46.900002,45.82,46.099998,2757500,41.891113
"2021-02-23",45.5,45.880001,42.549999,45.619999,5428000,41.454933
"2021-02-24",46.09,47.130001,44.919998,46.709999,3087700,42.445415
"2021-02-25",47.099998,47.189999,45.099998,45.400002,2840400,41.25502
"2021-02-26",45.150002,45.599998,43.419998,44.290001,4410200,40.246365
"2021-03-01",45.509998,47.990002,45.330002,47.470001,4078200,43.136032
"2021-03-02",47.299999,47.630001,46.73,46.889999,2787800,42.608986
"2021-03-03",47.349998,49.400002,47.290001,47.77,2832500,43.408642
"2021-03-04",48.09,49.490002,47.34,48.25,3347200,43.844814
"2021-03-05",49.5,49.790001,47.32,49.57,3065900,45.044304
"2021-03-08",50,51.220001,49.299999,49.540001,3562900,45.01704
"2021-03-09",49.48,50.720001,48.419998,48.639999,3111500,44.199215
"2021-03-10",49,51.099998,48.700001,50.950001,2717800,46.298313
"2021-03-11",50.950001,51.66,50.349998,50.400002,2282700,45.798531
"2021-03-12",51.060001,51.599998,50.400002,51.599998,3151300,46.888966
"2021-03-15",51.599998,51.91,50.200001,51.290001,2529900,46.607277
"2021-03-16",50.57,50.709999,49.389999,49.540001,2502900,45.01704
"2021-03-17",49.099998,50.52,48.720001,50.32,2014800,45.72583
"2021-03-18",50.07,50.220001,47.970001,48.200001,2491700,43.799385
"2021-03-19",48.34,49.720001,47.830002,48.459999,8491900,44.035645
"2021-03-22",49.09,49.299999,48.310001,48.490002,3175300,44.062912
"2021-03-23",47.5,48.509998,47.009998,47.450001,3606800,43.117859
"2021-03-24",48.25,49.5,48.200001,48.740002,3065200,44.290085
"2021-03-25",47.650002,49.900002,47.349998,49.689999,2662600,45.153347
"2021-03-26",50.380001,51.240002,49.919998,51.18,2718800,46.507317
"2021-03-29",50.900002,51.09,49.740002,50.57,2333300,45.953007
"2021-03-30",50,50.5,49.75,50.259998,1950600,45.67131
"2021-03-31",50.259998,50.82,50.029999,50.66,2326500,46.034786
"2021-04-01",50.82,51.360001,49.849998,51.349998,2525400,46.661793
"2021-04-05",51.349998,51.450001,50.599998,51.029999,2189000,46.371006
"2021-04-06",51.310001,52.110001,51.189999,51.259998,2962900,46.580006
"2021-04-07",51.630001,51.900002,50.869999,51.139999,2495000,46.470966
"2021-04-08",50.799999,50.799999,49.709999,50.459999,3479300,45.853054
"2021-04-09",50.130001,51.110001,50.040001,50.919998,2011800,46.271049
"2021-04-12",51.099998,51.490002,50.639999,50.91,2091500,46.261967
"2021-04-13",50.849998,51.369999,50.220001,51.09,2621100,46.425529
"2021-04-14",51.450001,52.380001,51.310001,51.509998,3085000,46.807178
"2021-04-15",51.889999,52.529999,51.209999,52.389999,2520300,47.606838
"2021-04-16",52.75,52.77,51.400002,51.599998,2257100,46.888966
"2021-04-19",51.849998,52.18,51.049999,51.779999,2470800,47.052536
"2021-04-20",51.66,51.75,49.970001,50.630001,2665800,46.00753
"2021-04-21",50.189999,52.299999,49.93,52.16,2524900,47.397839
"2021-04-22",52.220001,52.299999,51.02,51.040001,3364400,46.380093
"2021-04-23",50.419998,50.669998,49.669998,50.599998,4133200,46.838291
"2021-04-26",50.41,50.759998,50.209999,50.459999,2641300,46.708706
"2021-04-27",50.509998,51.040001,50.369999,50.880001,2752300,47.097485
"2021-04-28",51.189999,52.5,51.040001,52.130001,4328600,48.254555
"2021-04-29",52.639999,53.669998,51.849998,52.599998,2918900,48.68961
"2021-04-30",52.029999,53.34,51.779999,52.34,2695500,48.44894
"2021-05-03",52.889999,53,52.16,52.720001,2526300,48.80069
"2021-05-04",52.970001,53.060001,52.080002,52.580002,2206200,48.671097
"2021-05-05",53.060001,53.959999,52.669998,53.150002,2548200,49.198723
"2021-05-06",53.27,53.549999,52.330002,53.41,2497600,49.439392
"2021-05-07",52.82,53.759998,52.650002,53.380001,2973800,49.411629
"2021-05-10",53.93,54.779999,53.790001,53.959999,3625000,49.948505
"2021-05-11",53,53.439999,51.91,53.27,2556200,49.309799
"2021-05-12",53.419998,54.57,52.380001,52.560001,3413600,48.652584
"2021-05-13",52.119999,53.48,51.639999,52.779999,2195200,48.856228
"2021-05-14",53.75,54.509998,53.529999,54.349998,2286000,50.309509
"2021-05-17",54.209999,55.060001,53.77,55.009998,2336900,50.920444
"2021-05-18",54.830002,55.099998,53.959999,53.98,2004300,49.967018
"2021-05-19",52.900002,53.23,52.099998,52.860001,3147100,48.930283
"2021-05-20",52.560001,53.919998,52.139999,53.689999,2236400,49.698578
"2021-05-21",54.080002,54.470001,53.209999,53.259998,3390800,49.300545
"2021-05-24",53.869999,54.400002,53.27,54.139999,2611200,50.115124
"2021-05-25",54.099998,54.400002,52.59,52.66,2212800,48.745152
"2021-05-26",52.889999,52.950001,51.779999,52.509998,4200400,48.6063
"2021-05-27",53,53.459999,52.380001,52.799999,3534500,48.874741
"2021-05-28",53.25,53.25,52.450001,52.740002,3098600,48.81921
"2021-06-01",53.66,54.119999,53.43,53.77,2260500,49.772633
"2021-06-02",53.990002,54.709999,53.66,54.25,2093200,50.216946
"2021-06-03",53.990002,54.540001,53.610001,53.720001,2608400,49.726349
"2021-06-04",54.049999,54.310001,53.34,53.950001,2323200,49.939251
"2021-06-07",54.009998,55.459999,54,55.169998,3535900,51.06855
"2021-06-08",55.040001,56.09,54.740002,55.779999,4537700,51.633202
"2021-06-09",55.950001,56.18,54.82,54.84,2205000,50.763084
"2021-06-10",55.5,55.740002,54.07,54.779999,3056900,50.707542
"2021-06-11",55.049999,55.27,54.779999,55.060001,2735400,50.966732
"2021-06-14",55.700001,56.189999,54.869999,55.439999,3533300,51.318478
"2021-06-15",55.740002,56.150002,55.200001,55.98,3494500,51.818333
"2021-06-16",56,57.189999,55.779999,57.02,3380100,52.781021
"2021-06-17",56.900002,57.220001,53.380001,54.16,4597600,50.133636
"2021-06-18",53.43,54.099998,53,53.02,6967700,49.078388
"2021-06-21",53.59,55.73,53.450001,55.59,2859900,51.457329
"2021-06-22",55.41,55.540001,54.700001,55.470001,2079600,51.346249
"2021-06-23",55.869999,56.110001,55.220001,55.23,1340300,51.124092
"2021-06-24",55.419998,55.93,54.880001,55.889999,2632800,51.735023
"2021-06-25",56.169998,56.549999,55.66,56.549999,2754700,52.345959
"2021-06-28",56.279999,56.290001,54.630001,55.439999,2567900,51.318478
"2021-06-29",55.700001,55.950001,55.16,55.18,1920600,51.077812
"2021-06-30",55.299999,56.419998,55.25,55.639999,2524700,51.503613
"2021-07-01",56.5,57.049999,55.889999,56.93,2369400,52.697708
"2021-07-02",56.599998,57.5,56.490002,57.389999,1718400,53.123512
"2021-07-06",57.360001,57.389999,55.959999,56.490002,2471000,52.290424
"2021-07-07",56.369999,56.779999,55.34,55.439999,2191500,51.318478
"2021-07-08",54.5,56.110001,54.220001,55.380001,2250400,51.262939
"2021-07-09",56.16,57.549999,55.610001,57.52,2668300,53.243851
"2021-07-12",56.810001,57.43,56.540001,56.919998,1690500,52.68845
"2021-07-13",56.560001,56.860001,55.860001,55.919998,1995400,51.762794
"2021-07-14",56.18,56.560001,54.540001,54.880001,2144700,50.800114
"2021-07-15",54.25,54.810001,53.900002,54.470001,2497900,50.420593
"2021-07-16",54.880001,54.98,53.23,53.310001,1882400,49.346828
"2021-07-19",51.650002,51.959999,49.75,50.200001,5003600,46.468033
"2021-07-20",50.580002,52.84,50.25,52.380001,3405700,48.48597
"2021-07-21",53.400002,54.450001,53.16,53.459999,2716500,49.485676
"2021-07-22",53.439999,53.490002,52.52,53.09,1666200,49.143185
"2021-07-23",52.869999,53.060001,52.060001,52.950001,2178500,49.013588
"2021-07-26",53.009998,54.110001,53,53.830002,2443700,49.828175
"2021-07-27",53.259998,53.349998,52.220001,52.919998,2274500,48.985817
"2021-07-28",53,53.830002,52.32,53.34,1930500,49.374603
"2021-07-29",53.860001,54.27,53.5,53.799999,2022600,49.8004
"2021-07-30",53.380001,53.950001,51.66,51.970001,2838800,48.957283
"2021-08-02",52.049999,53.259998,51.259998,51.349998,1864300,48.373226
"2021-08-03",51.259998,51.639999,50.119999,51.43,2759500,48.448586
"2021-08-04",50.650002,53.080002,50.349998,51.720001,4506500,48.721779
"2021-08-05",52.049999,52.919998,51.75,52.209999,2313900,49.183372
"2021-08-06",52.759998,52.939999,52.150002,52.560001,1606700,49.513081
"2021-08-09",52.040001,52.290001,51.490002,51.75,1963200,48.750034
"2021-08-10",52.029999,52.810001,51.860001,52.700001,1676200,49.644966
"2021-08-11",52.779999,52.98,52.16,52.830002,1460400,49.767433
"2021-08-12",52.990002,53.389999,52.59,53.369999,1719700,50.276123
"2021-08-13",53.330002,53.490002,52.389999,52.450001,1244200,49.409458
"2021-08-16",51.950001,52.599998,51.52,51.75,1976000,48.750034
"2021-08-17",51.25,52.080002,50.419998,51.279999,2137300,48.307281
"2021-08-18",51,51.720001,50.43,50.560001,1961600,47.629021
"2021-08-19",49.830002,50.34,48.509998,49.27,3274100,46.413803
"2021-08-20",48.959999,50.439999,48.799999,50.43,2129900,47.506557
"2021-08-23",51.5,52.110001,51.169998,51.98,2374800,48.966702
"2021-08-24",52.259998,53.169998,52.139999,52.959999,2220800,49.889889
"2021-08-25",52.900002,54.02,52.669998,53.459999,1738900,50.360905
"2021-08-26",53.369999,53.580002,52.52,52.549999,1490400,49.503662
"2021-08-27",53.110001,54.240002,53,53.84,1726300,50.718876
"2021-08-30",53.939999,54.049999,53.02,53.040001,1578900,49.965256
"2021-08-31",52.799999,53.099998,52.360001,52.52,2946100,49.475399
"2021-09-01",52.509998,52.68,52.040001,52.080002,1643800,49.060909
"2021-09-02",52.48,53.419998,52.439999,53.290001,1557100,50.20076
"2021-09-03",53.349998,53.689999,52.84,53.169998,1207500,50.087719
"2021-09-07",52.84,53.470001,52.32,52.470001,1983300,49.428299
"2021-09-08",52.700001,53.279999,52.169998,52.360001,1454900,49.32468
"2021-09-09",52.150002,53.080002,51.700001,52.400002,1545700,49.362358
"2021-09-10",53.09,53.200001,52.400002,52.490002,1560300,49.44714
"2021-09-13",53.189999,54,53.029999,53.41,2243600,50.313805
"2021-09-14",53.889999,53.889999,52.689999,53.049999,1748000,49.974674
"2021-09-15",53.310001,55.73,53.240002,55.709999,3784700,52.480476
"2021-09-16",55.709999,56.07,55,55.57,2389800,52.348591
"2021-09-17",55.389999,55.950001,54.93,55.169998,4598700,51.971775
"2021-09-20",53.669998,53.669998,52.110001,52.990002,4309100,49.918152
"2021-09-21",53.799999,54.080002,52.849998,53.310001,2838500,50.219604
"2021-09-22",54.049999,55.389999,54.049999,54.849998,2257700,51.670326
"2021-09-23",55.900002,57.669998,55.43,57.459999,3559000,54.129028
"2021-09-24",57.110001,57.740002,56.82,57.470001,3197700,54.138451
"2021-09-27",58.380001,59.669998,58.150002,58.900002,3343400,55.485554
"2021-09-28",59.450001,59.779999,58.060001,58.279999,2713300,54.901489
"2021-09-29",58.580002,59.459999,57.900002,58.810001,2228100,55.400768
"2021-09-30",59.02,59.02,57.93,57.990002,2663300,54.628304
"2021-10-01",58.310001,59.700001,57.779999,59.450001,2052400,56.003666
"2021-10-04",60.07,61.48,59.799999,60.060001,3036500,56.578304
"2021-10-05",61.09,61.580002,59.880001,60.220001,2351200,56.729031
"2021-10-06",59.57,60.259998,58.529999,60.099998,2414400,56.615982
"2021-10-07",60.200001,61.189999,60.18,60.75,1924600,57.228306
"2021-10-08",61.18,61.91,60.939999,61.630001,1455400,58.057293
"2021-10-11",62.32,62.779999,61.619999,61.900002,1885500,58.311638
"2021-10-12",62,63.509998,61.619999,62.950001,2165700,59.30077
"2021-10-13",62.27,63.419998,61.779999,63.27,2036300,59.602219
"2021-10-14",64.099998,64.769997,63.759998,64.550003,1924400,60.808018
"2021-10-15",65,65.690002,64.949997,65.120003,1960600,61.344975
"2021-10-18",65.510002,66.290001,64.690002,65.190002,2919600,61.410915
"2021-10-19",65.449997,65.769997,64.830002,65.139999,1748100,61.363815
"2021-10-20",65.040001,65.919998,64.739998,65.129997,1702400,61.354397
"2021-10-21",64.800003,65.239998,63.599998,64.309998,3054700,60.581928
"2021-10-22",64.309998,64.919998,63.619999,64.809998,2285000,61.052944
"2021-10-25",65.389999,65.989998,65.190002,65.870003,1771900,62.051495
"2021-10-26",66,66.779999,65.790001,65.849998,2060600,62.032654
"2021-10-27",65.449997,65.93,64.970001,65.209999,1975300,61.429756
"2021-10-28",65.050003,65.760002,64.879997,65.5,1744100,61.702942
"2021-10-29",64.550003,64.709999,63.279999,63.619999,2444400,60.799839
"2021-11-01",64,64.389999,63.5,64.139999,1637700,61.296787
"2021-11-02",64,64.550003,63.630001,64.07,3198000,61.229889
"2021-11-03",63.900002,65.660004,63.279999,63.919998,3246500,61.08654
"2021-11-04",64.709999,64.970001,62.630001,63.439999,2554100,60.627819
"2021-11-05",64.290001,64.75,63.889999,64.720001,1851200,61.851078
"2021-11-08",65.290001,65.5,64.599998,64.879997,2158100,62.003983
"2021-11-09",64.870003,64.879997,63.75,64.669998,2397500,61.803291
"2021-11-10",64.32,64.839996,62.040001,62.860001,2670400,60.073528
"2021-11-11",62.75,63.529999,62.619999,63.349998,2068400,60.541805
"2021-11-12",62.91,63.349998,62.5,63.09,1718700,60.293331
"2021-11-15",63.099998,63.610001,62.27,63.360001,2334500,60.551361
"2021-11-16",63.599998,63.810001,62.57,63.16,2006000,60.360229
"2021-11-17",62.799999,64.07,62.740002,63.5,2088400,60.685158
"2021-11-18",63.5,64,62.619999,63.549999,1785300,60.732937
"2021-11-19",62.450001,62.889999,61.209999,61.380001,2983700,58.65913
"2021-11-22",61.400002,62.950001,61.299999,61.939999,3019500,59.194305
"2021-11-23",62.93,64.220001,62.77,64.010002,2375400,61.17255
"2021-11-24",63.700001,64.910004,63.52,64.809998,2372700,61.93708
"2021-11-26",62.049999,63.029999,60.810001,62.470001,1911600,59.700817
"2021-11-29",63.720001,63.860001,62.200001,62.459999,2118900,59.691257
"2021-11-30",61.169998,61.619999,59.580002,59.84,4330200,57.187397
"2021-12-01",61.5,61.790001,58.630001,58.650002,2856100,56.050152
"2021-12-02",58.73,60.91,57.700001,60.689999,3848000,57.999718
"2021-12-03",61.380001,61.720001,59.52,60.009998,2423700,57.349861
"2021-12-06",60.959999,61.630001,59.68,60.889999,2168700,58.190853
"2021-12-07",61.939999,63.369999,61.75,62.68,3298700,59.901508
"2021-12-08",63,63.169998,62.349998,62.360001,2056300,59.595688
"2021-12-09",61.82,62.18,61.400002,61.73,1471300,58.993614
"2021-12-10",62.279999,62.419998,61.080002,62,1662900,59.251648
"2021-12-13",61.470001,61.59,59.860001,60.200001,2050600,57.531437
"2021-12-14",59.830002,60.82,59.040001,59.369999,2727600,56.738232
"2021-12-15",59.349998,59.970001,57.98,59.560001,2410000,56.919811
"2021-12-16",59.209999,60.150002,58.139999,58.310001,2954000,55.725224
"2021-12-17",58.130001,58.450001,56.830002,57.849998,5655300,55.28561
"2021-12-20",56.610001,57.360001,55.650002,56.529999,2770400,54.024124
"2021-12-21",57.25,58.240002,57.25,57.91,2457600,55.342953
"2021-12-22",57.889999,58.07,57.02,57.779999,1471400,55.218712
"2021-12-23",58.189999,58.599998,58.009998,58.02,1739400,55.448074
"2021-12-27",58.119999,59.470001,57.77,59.41,1485700,56.776463
"2021-12-28",59.400002,59.75,58.849998,59.400002,1194700,56.766903
"2021-12-29",58.939999,59.200001,58.389999,58.77,1358400,56.164829
"2021-12-30",58.75,59.049999,58.439999,58.48,1397500,55.88768
"2021-12-31",58.380001,59.130001,58.25,58.759998,1202600,56.15527
"2022-01-03",58.959999,60.080002,58.790001,59.990002,2471500,57.330753
"2022-01-04",60.650002,61.75,60.450001,61.400002,2813800,58.678246
"2022-01-05",62.049999,62.299999,60.540001,60.639999,2102200,57.951935
"2022-01-06",62.200001,62.349998,60.68,61.650002,2449500,58.917164
"2022-01-07",61.650002,62.560001,61.400002,62.459999,2242800,59.691257
"2022-01-10",61.73,62.279999,59.759998,60.779999,3083000,58.085724
"2022-01-11",61.18,62.549999,60.400002,62.48,3134700,59.710369
"2022-01-12",62.939999,63.549999,62.349998,62.5,2538400,59.729485
"2022-01-13",62.5,63.049999,61.43,61.650002,2334800,58.917164
"2022-01-14",61.900002,62.77,61.540001,62.610001,2879700,59.834606
"2022-01-18",63,63.099998,60.619999,61.419998,2839700,58.697357
"2022-01-19",61.900002,62,60.189999,60.209999,3220900,57.540997
