"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"2020-07-01",33.279999,34.009998,32.119999,32.18,3741800,26.821016
"2020-07-02",32.990002,33.470001,32,32.150002,3518700,26.796013
"2020-07-06",32.950001,33.060001,27.879999,28.290001,15253000,23.578821
"2020-07-07",27.75,28.75,27.040001,27.58,9019700,22.987059
"2020-07-08",27.49,27.93,26.66,27.360001,7265100,22.803698
"2020-07-09",27.5,27.5,25.84,26.15,6424300,21.795202
"2020-07-10",26.049999,26.9,25.639999,26.719999,6004100,22.270271
"2020-07-13",27.15,27.49,26.280001,26.59,6702000,22.161928
"2020-07-14",26.370001,27.299999,26.18,27.219999,5843100,22.68701
"2020-07-15",28.15,29.110001,28.040001,28.83,6842500,24.028894
"2020-07-16",28.52,29.17,27.91,28.85,3999800,24.045563
"2020-07-17",28.98,29.4,28.379999,28.67,3515900,23.895538
"2020-07-20",28.620001,29.190001,28.18,28.25,2953500,23.545481
"2020-07-21",28.82,30.370001,28.76,29.98,5350900,24.987385
"2020-07-22",28.790001,29.559999,28.370001,29.5,4153800,24.587318
"2020-07-23",29.940001,29.940001,28.379999,28.959999,6662200,24.137245
"2020-07-24",29.049999,29.33,28.6,28.719999,3267200,23.937212
"2020-07-27",28.66,28.870001,27.76,28.02,6858000,23.353788
"2020-07-28",28,28.57,27.799999,28.059999,5688000,23.387125
"2020-07-29",27.49,29.76,26.700001,29.719999,10764700,24.770681
"2020-07-30",28.950001,29.48,28.57,29.040001,5774500,24.203926
"2020-07-31",28.950001,28.950001,27.049999,27.91,7236200,24.03599
"2020-08-03",27.709999,28.43,27.530001,28.120001,3838200,24.216841
"2020-08-04",28.030001,29.43,27.99,29.190001,4397000,25.138321
"2020-08-05",30.01,31.360001,29.290001,30.49,8123600,26.257877
"2020-08-06",30.27,30.469999,29.040001,29.110001,5669800,25.069426
"2020-08-07",28.76,29.559999,28.6,29.469999,3068900,25.379456
"2020-08-10",29.690001,30.73,29.65,30.219999,3871100,26.025352
"2020-08-11",30.99,31.209999,30.02,30.030001,5251900,25.861727
"2020-08-12",30.65,31.08,29.690001,29.940001,5877300,25.784222
"2020-08-13",29.76,29.969999,28.58,28.809999,4313200,24.811068
"2020-08-14",28.82,29.950001,28.59,29.49,3175500,25.396683
"2020-08-17",29.48,29.68,28.91,28.98,3152700,24.95747
"2020-08-18",28.98,29.129999,27.969999,28.08,5420700,24.182392
"2020-08-19",28.08,28.549999,27.74,27.860001,2736400,23.992929
"2020-08-20",27.5,27.85,27.24,27.549999,2963900,23.725964
"2020-08-21",27.35,27.35,26.48,26.879999,3851200,23.148958
"2020-08-24",27,27.49,26.58,27.26,3545000,23.476213
"2020-08-25",27.6,27.860001,26.51,27.26,4236900,23.476213
"2020-08-26",27.23,27.34,26.459999,26.559999,4181000,22.873375
"2020-08-27",26.620001,27.17,26.58,27.040001,3168600,23.286753
"2020-08-28",27.629999,28.26,27.25,28.08,3353100,24.182392
"2020-08-31",28.02,28.049999,27.27,27.48,3497100,23.665678
"2020-09-01",27.25,27.52,26.860001,27.15,3243400,23.381483
"2020-09-02",27.030001,27.67,26.9,27.309999,3003100,23.519274
"2020-09-03",27.299999,27.85,26.57,26.91,3941100,23.174795
"2020-09-04",27.120001,27.49,26.120001,26.76,3426100,23.045618
"2020-09-08",26.34,26.49,25.530001,26.15,4448600,22.520287
"2020-09-09",26.43,26.719999,26.129999,26.48,2850100,22.80448
"2020-09-10",26.639999,26.84,26.01,26.030001,3190800,22.416941
"2020-09-11",26.139999,26.549999,25.870001,26.34,3256800,22.683914
"2020-09-14",26.58,27.620001,26.34,27.299999,4100000,23.51066
"2020-09-15",27.35,27.639999,26.059999,26.290001,5131200,22.640852
"2020-09-16",26.52,28.459999,26.459999,28.07,4638000,24.173779
"2020-09-17",27.4,28.32,27.01,28.030001,4414200,24.139336
"2020-09-18",27.77,27.870001,27.17,27.540001,8246000,23.71735
"2020-09-21",26.42,26.940001,25.790001,26.440001,5262900,22.770033
"2020-09-22",26.790001,27.370001,25.58,25.67,4608600,22.106911
"2020-09-23",25.75,26.16,24.52,24.540001,4809000,21.133762
"2020-09-24",24.65,24.99,23.280001,24.48,5503600,21.082088
"2020-09-25",24.139999,25.08,24.110001,25.01,3508000,21.538523
"2020-09-28",25.48,26.26,25.27,26.01,3967100,22.399719
"2020-09-29",26.620001,26.9,26.219999,26.67,5829400,22.968105
"2020-09-30",26.610001,27.27,25.889999,25.98,5967900,22.373884
"2020-10-01",25.75,26.18,25.139999,25.27,3733000,21.762432
"2020-10-02",24.629999,26.74,24.559999,26.530001,4413500,22.84754
"2020-10-05",27.51,27.99,26.99,27.610001,3806600,23.777632
"2020-10-06",28.200001,28.440001,26.559999,27.059999,4789600,23.303972
"2020-10-07",27.18,27.950001,26.99,27.809999,3377800,23.949871
"2020-10-08",28.08,29.440001,27.68,29.41,4541800,25.327785
