"","UDR.Open","UDR.High","UDR.Low","UDR.Close","UDR.Volume","UDR.Adjusted"
"2020-07-01",37.41,38.950001,37.209999,38.889999,1678000,36.15921
"2020-07-02",39.549999,39.82,38.490002,38.57,1207600,35.861679
"2020-07-06",39.52,39.52,38.040001,38.130001,1172900,35.452579
"2020-07-07",37.630001,37.82,36.860001,36.900002,1430300,34.308949
"2020-07-08",36.91,37.48,36.41,36.529999,1921500,33.96492
"2020-07-09",36,36.290001,35.48,35.98,1129000,33.78651
"2020-07-10",35.93,36.560001,35.810001,36.18,888000,33.974319
"2020-07-13",36.439999,36.700001,35.900002,36.16,1702800,33.955532
"2020-07-14",36.139999,36.75,35.810001,36.59,1353000,34.359318
"2020-07-15",37.029999,37.459999,36.810001,37.099998,2133100,34.838234
"2020-07-16",36.869999,37.18,36.419998,36.759998,1365700,34.518955
"2020-07-17",36.66,36.779999,36.310001,36.48,1450300,34.256027
"2020-07-20",36.25,36.380001,35.470001,35.759998,1756400,33.579918
"2020-07-21",35.84,36.220001,35.459999,35.52,1413000,33.354549
"2020-07-22",35.290001,36.509998,35.209999,36.470001,1474400,34.246635
"2020-07-23",36.27,36.630001,35.27,35.650002,1635600,33.476631
"2020-07-24",35.779999,35.869999,35.25,35.490002,1529200,33.326385
"2020-07-27",35.02,35.330002,34.48,35.299999,1849300,33.147964
"2020-07-28",35.220001,36.220001,35,35.880001,1530500,33.692608
"2020-07-29",35.970001,36.220001,35,35.25,2848100,33.101009
"2020-07-30",34.77,36.169998,34.689999,36.099998,2204000,33.899193
"2020-07-31",35.93,36.259998,35.279999,36.200001,1639000,33.993099
"2020-08-03",35.73,35.77,34.939999,35.119999,1530600,32.978931
"2020-08-04",34.790001,35.48,34.59,35.18,1374700,33.035278
"2020-08-05",35.400002,35.630001,34.990002,35.52,1215200,33.354549
"2020-08-06",35.240002,35.740002,34.990002,35.490002,911500,33.326385
"2020-08-07",35.279999,35.889999,35.189999,35.889999,892500,33.702
"2020-08-10",35.939999,36.259998,35.639999,35.970001,754400,33.777115
"2020-08-11",36.330002,36.509998,35.599998,35.790001,1400800,33.608097
"2020-08-12",35.970001,36.060001,35.540001,35.889999,902700,33.702
"2020-08-13",35.68,36.009998,34.59,34.709999,1816900,32.593933
"2020-08-14",34.639999,35.48,34.52,35.02,2593600,32.885033
"2020-08-17",35.009998,35.18,34.66,35.049999,1666500,32.913204
"2020-08-18",35.279999,35.279999,34.509998,35.18,1336200,33.035278
"2020-08-19",35.18,35.400002,33.869999,34.18,1857800,32.096249
"2020-08-20",34.029999,34.73,33.950001,34.400002,1002600,32.302837
"2020-08-21",34.52,34.619999,33.630001,34.080002,1362900,32.002342
"2020-08-24",34.080002,34.529999,33.5,34.529999,1227700,32.424911
"2020-08-25",34.529999,34.799999,34.150002,34.619999,1255300,32.509418
"2020-08-26",34.52,34.549999,33.650002,33.790001,1398900,31.730021
"2020-08-27",34,35.09,33.75,34.93,1763900,32.800518
"2020-08-28",35,35.110001,34.380001,35.09,1292700,32.950771
"2020-08-31",34.939999,34.939999,34.439999,34.810001,1944900,32.68784
"2020-09-01",34.560001,34.709999,34.16,34.599998,1740200,32.490635
"2020-09-02",34.549999,35.209999,34.240002,35.169998,2377200,33.025879
"2020-09-03",35.549999,36.07,34.959999,35.139999,2948600,32.997719
"2020-09-04",35.279999,35.740002,34.619999,35.310001,2098800,33.15736
"2020-09-08",35.150002,35.389999,34.200001,34.619999,2105100,32.509418
"2020-09-09",34.720001,35.16,34.150002,34.450001,1896600,32.349785
"2020-09-10",34.57,34.75,33.889999,34.200001,2459900,32.115032
"2020-09-11",34.080002,34.23,33.450001,33.66,2490900,31.607948
"2020-09-14",33.900002,35.43,33.900002,35.189999,2750000,33.044666
"2020-09-15",35,35.389999,34.66,34.799999,1779900,32.678444
"2020-09-16",34.939999,35.369999,34.73,34.959999,1811900,32.828693
"2020-09-17",34.77,35.119999,34.470001,34.759998,2004500,32.640884
"2020-09-18",34.52,34.75,33.860001,33.900002,3526100,31.833317
"2020-09-21",33.330002,33.459999,32.009998,32.150002,2959400,30.190002
"2020-09-22",32.189999,33.099998,32.16,32.849998,2247800,30.847324
"2020-09-23",32.880001,33.18,31.959999,32,2137700,30.049145
"2020-09-24",31.870001,32.27,31.620001,31.84,2192500,29.898901
"2020-09-25",31.77,32.43,31.620001,32.41,2399700,30.434153
"2020-09-28",33.009998,33.380001,32.59,33,1576200,30.98818
"2020-09-29",32.860001,33.049999,32.130001,32.32,1434900,30.34964
"2020-09-30",32.610001,32.849998,32.18,32.610001,3112200,30.621964
"2020-10-01",32.610001,33.810001,32.560001,33.799999,2846500,31.739408
"2020-10-02",33.34,34.900002,32.860001,34.740002,2583700,32.622108
"2020-10-05",34.970001,35.130001,34.200001,35.110001,2060900,32.969547
"2020-10-06",35.279999,35.669998,34.779999,35.060001,2076100,32.922596
"2020-10-07",35.169998,35.509998,34.630001,35.209999,2699300,33.06345
"2020-10-08",35.009998,35.790001,34.889999,35.740002,2689500,33.907825
"2020-10-09",35.970001,35.970001,35.23,35.470001,1325300,33.651669
"2020-10-12",35.43,35.59,34.919998,35.540001,1928400,33.718082
"2020-10-13",35.040001,35.490002,34.240002,34.419998,1715600,32.655495
"2020-10-14",34.400002,34.5,33.759998,33.860001,1300100,32.124199
"2020-10-15",33.580002,34.240002,33.52,33.810001,1182700,32.076763
"2020-10-16",33.650002,33.740002,33.009998,33.009998,2053200,31.317776
"2020-10-19",33.130001,33.220001,32.130001,32.139999,2180800,30.492374
"2020-10-20",32.470001,32.66,32.18,32.32,1493200,30.663149
"2020-10-21",32.32,32.650002,32.07,32.419998,1517100,30.75802
"2020-10-22",32.439999,32.869999,32.32,32.779999,1660500,31.099567
"2020-10-23",33.049999,33.259998,32.66,32.790001,1223000,31.109056
"2020-10-26",32.5,32.66,31.65,31.950001,1949000,30.312119
"2020-10-27",31.860001,32.279999,31.08,31.09,2082000,29.496204
"2020-10-28",30.41,30.709999,29.440001,29.6,3155200,28.082586
"2020-10-29",29.6,30.51,29.34,29.92,3451700,28.386185
"2020-10-30",29.700001,31.549999,29.700001,31.24,3768200,29.638514
"2020-11-02",31.6,32.830002,31.35,32.790001,2943800,31.109056
"2020-11-03",33.09,34.810001,33.060001,34.57,2955100,32.797806
"2020-11-04",34.419998,34.669998,33.59,34.23,3472100,32.475235
"2020-11-05",34.34,34.52,33.830002,33.849998,2788200,32.114708
"2020-11-06",33.790001,34.5,33.400002,33.52,1673800,31.80163
"2020-11-09",36.669998,41.299999,36.639999,38.150002,3542300,36.194283
"2020-11-10",38.299999,40.34,38.240002,39.919998,4248100,37.873547
"2020-11-11",39.93,40.23,38.400002,38.68,2679600,36.697109
"2020-11-12",38.389999,38.68,37.459999,38.119999,1752100,36.165817
"2020-11-13",38.32,39.009998,38.290001,38.869999,1745800,36.877365
"2020-11-16",40.279999,40.639999,39.299999,40.27,2107800,38.205601
"2020-11-17",39.790001,40.48,39.41,40.279999,1376300,38.215088
"2020-11-18",40.310001,40.439999,38.610001,38.619999,1942200,36.640186
"2020-11-19",38.23,38.869999,37.689999,38.799999,1998800,36.810959
"2020-11-20",39.049999,39.380001,38.639999,39.23,1812100,37.218914
"2020-11-23",39.610001,40.029999,39.209999,39.669998,2266500,37.636356
"2020-11-24",40.369999,40.599998,39.939999,40.139999,2087700,38.082256
"2020-11-25",40.02,40.07,39.34,39.759998,2189000,37.721745
"2020-11-27",39.759998,39.759998,38.619999,39.220001,879300,37.209423
"2020-11-30",39.18,39.41,38.23,38.470001,7764100,36.497875
"2020-12-01",39.169998,39.439999,38.529999,38.630001,2008000,36.649673
"2020-12-02",38.740002,40.029999,38.599998,39.380001,2147200,37.361229
"2020-12-03",39.400002,40.279999,39.209999,40,1460600,37.94944
"2020-12-04",40.299999,40.860001,40.130001,40.68,1790400,38.594578
"2020-12-07",40.689999,41.07,40.290001,40.610001,2711400,38.528175
"2020-12-08",40.220001,40.810001,40.169998,40.18,1717300,38.120209
"2020-12-09",40.099998,40.470001,39.310001,39.619999,3112800,37.588921
"2020-12-10",39.240002,39.720001,38.32,38.330002,2662900,36.365055
"2020-12-11",38.049999,38.43,37.82,38.139999,1673200,36.184788
"2020-12-14",38.66,38.860001,37.509998,37.59,1391800,35.662987
"2020-12-15",37.740002,38.400002,37.130001,38.389999,2039100,36.421974
"2020-12-16",38.560001,38.790001,37.869999,37.990002,2251000,36.042484
"2020-12-17",38.18,38.41,37.689999,38.389999,1698200,36.421974
"2020-12-18",38.299999,38.439999,36.669998,37.009998,5491800,35.11272
"2020-12-21",36.369999,37.130001,36.110001,36.939999,2167300,35.046307
"2020-12-22",37.080002,37.439999,36.689999,37.369999,1135700,35.454262
"2020-12-23",37.599998,37.950001,37,37.029999,1257600,35.131691
"2020-12-24",37.139999,37.369999,36.849998,37.32,326600,35.406826
"2020-12-28",37.400002,38.09,37.400002,38.02,841900,36.070946
"2020-12-29",38.049999,38.349998,37.400002,37.470001,1126500,35.549137
"2020-12-30",37.529999,38.060001,37.509998,37.970001,904600,36.023506
"2020-12-31",37.950001,38.5,37.490002,38.43,1255500,36.459923
"2021-01-04",38.43,38.669998,36.84,36.849998,2152100,34.960915
"2021-01-05",37,37.299999,36.73,36.790001,1826700,34.904003
"2021-01-06",37.209999,38.330002,36.869999,38.16,2765900,36.20377
"2021-01-07",38.130001,38.16,37.25,37.560001,1860200,35.634529
"2021-01-08",37.23,37.439999,36.970001,37.380001,879100,35.80695
"2021-01-11",37.380001,37.52,36.77,37.049999,1485600,35.490837
"2021-01-12",37,37.709999,36.75,37.529999,2524600,35.950638
"2021-01-13",37.549999,38.279999,37.34,38.25,1291600,36.640343
"2021-01-14",38.459999,38.98,38.139999,38.73,2074900,37.10014
"2021-01-15",38.669998,39.52,38.560001,39.419998,1972200,37.761101
"2021-01-19",39.639999,39.639999,38.470001,38.68,1902700,37.052246
"2021-01-20",38.380001,39.599998,38.110001,39.470001,2074900,37.809002
"2021-01-21",39.150002,39.549999,38.790001,39.27,1117200,37.617413
"2021-01-22",39.09,39.380001,38.959999,39.110001,1201300,37.464149
"2021-01-25",38.98,39.349998,38.599998,39.009998,1546700,37.368351
"2021-01-26",39.099998,39.459999,38.779999,39.209999,1453400,37.559933
"2021-01-27",38.950001,39.389999,37.93,38.16,1390400,36.554127
"2021-01-28",38.25,39.509998,38.080002,38.919998,1798300,37.282143
"2021-01-29",38.639999,39.130001,37.990002,38.450001,1152400,36.831924
"2021-02-01",38.610001,38.830002,37.849998,38.759998,1533500,37.128872
"2021-02-02",38.860001,39.150002,38.59,38.860001,1291500,37.22467
"2021-02-03",38.5,39.450001,38.290001,39.279999,1399500,37.626991
"2021-02-04",39.23,40.240002,38.919998,39.740002,1553700,38.067635
"2021-02-05",39.98,40.110001,39.540001,40.07,1000200,38.383743
"2021-02-08",40.23,41.060001,39.860001,40.959999,1608500,39.236298
"2021-02-09",41.16,41.259998,40.720001,41.169998,1300900,39.437454
"2021-02-10",39.48,41.889999,39.209999,41.73,1743100,39.973888
"2021-02-11",42,43.389999,41.540001,43.32,2279800,41.496979
"2021-02-12",43.290001,43.470001,42.610001,42.709999,1899300,40.912647
"2021-02-16",42.709999,42.860001,42.049999,42.5,1338200,40.711487
"2021-02-17",42.509998,42.540001,41.889999,42.299999,1423000,40.519901
"2021-02-18",42.18,42.57,41.860001,41.959999,1809000,40.194214
"2021-02-19",42.099998,42.41,41.799999,42.220001,2797200,40.443275
"2021-02-22",42.290001,42.75,42.049999,42.439999,1484400,40.654011
"2021-02-23",42.77,43.689999,42.599998,43.48,2042000,41.650242
"2021-02-24",43.43,43.689999,43.099998,43.43,2016300,41.602356
"2021-02-25",43.400002,43.66,42.139999,42.380001,1619000,40.596535
"2021-02-26",42.369999,42.52,41.150002,41.169998,2572600,39.437454
"2021-03-01",41.830002,42.639999,41.75,42.09,1958800,40.318745
"2021-03-02",41.91,42.439999,41.630001,42.110001,1961400,40.337898
"2021-03-03",42.25,43.27,42.080002,42.689999,1725600,40.89349
"2021-03-04",42.810001,43.209999,41.740002,42.34,2444900,40.55822
"2021-03-05",42.5,42.939999,41.689999,42.549999,2311100,40.759377
