"","BR.Open","BR.High","BR.Low","BR.Close","BR.Volume","BR.Adjusted"
"2020-09-02",139.729996,143.740005,139.490005,143.130005,434400,138.589508
"2020-09-03",142.389999,142.509995,137.279999,138.309998,510100,133.922394
"2020-09-04",138.970001,138.970001,133.529999,135.410004,402800,131.11438
"2020-09-08",133.669998,135.460007,132.009995,132.339996,583200,128.141739
"2020-09-09",133.949997,137.570007,133.369995,136.380005,463500,132.053619
"2020-09-10",136.949997,138.169998,133.520004,133.880005,447500,129.632904
"2020-09-11",134.919998,135.600006,133.270004,134.429993,317100,130.165451
"2020-09-14",135.190002,136.889999,135.190002,136.029999,407300,132.280533
"2020-09-15",136.630005,137.330002,135.050003,135.630005,504700,131.891541
"2020-09-16",136.509995,137.639999,135,135.059998,492200,131.337234
"2020-09-17",133.929993,133.929993,131.919998,133.479996,592300,129.800797
"2020-09-18",133.410004,133.979996,131.169998,131.509995,906800,127.885101
"2020-09-21",130.130005,131.270004,128.529999,130.910004,575500,127.301643
"2020-09-22",131.479996,132.089996,129.970001,132.039993,377100,128.400482
"2020-09-23",131.990005,132.229996,128.639999,128.880005,315000,125.327599
"2020-09-24",128.610001,128.940002,126.989998,127.849998,591100,124.325981
"2020-09-25",127.209999,130.570007,126.769997,130.399994,399200,126.805687
"2020-09-28",131.800003,133.289993,131.380005,132,528700,128.361603
"2020-09-29",132.100006,133.139999,131.360001,131.720001,224200,128.089325
"2020-09-30",131.919998,132.850006,130.850006,132,789900,128.361603
"2020-10-01",133.410004,135.399994,132.600006,133.940002,737100,130.248154
"2020-10-02",131.699997,133.880005,131.229996,133.410004,496700,129.732758
"2020-10-05",134.220001,136.419998,133.460007,136.309998,505200,132.552795
"2020-10-06",136.199997,138.679993,135.559998,135.75,540200,132.008224
"2020-10-07",136.589996,137.820007,135.320007,137.509995,417600,133.719711
"2020-10-08",138.720001,139.910004,137.809998,139.050003,301000,135.2173
"2020-10-09",139.729996,141.419998,139.190002,140.839996,271700,136.957916
"2020-10-12",142.149994,143.199997,140.979996,142.649994,445500,138.718048
"2020-10-13",142.600006,143.789993,141.220001,142.080002,480500,138.163757
"2020-10-14",142.039993,142.75,141.460007,141.699997,307000,137.794235
