"","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"2020-07-01",184.949997,186.440002,183.720001,184.660004,2193800,176.451279
"2020-07-02",187,187,182.860001,183.520004,2690200,175.361969
"2020-07-06",186,188.720001,184.139999,188.5,3171500,180.120575
"2020-07-07",187.369995,187.850006,185.25,185.820007,2399600,177.559708
"2020-07-08",185.5,187.229996,184.75,185.850006,2776400,177.588379
"2020-07-09",186.220001,186.589996,182.619995,184.330002,2333500,176.135925
"2020-07-10",183.779999,185.440002,183.009995,184.880005,2714100,176.661499
"2020-07-13",185.600006,188.949997,184.710007,184.919998,3221600,176.699722
"2020-07-14",185.089996,190.839996,184.729996,190.720001,4138600,182.241898
"2020-07-15",193.899994,194,189.880005,191.770004,3735400,183.245209
"2020-07-16",191.119995,192.759995,190.149994,190.919998,2111100,182.432999
"2020-07-17",191.339996,191.899994,190.130005,191.479996,1972600,182.968094
"2020-07-20",190.899994,192.770004,190.369995,191.610001,2157100,183.092331
"2020-07-21",192.330002,194.899994,192,192.979996,3505400,184.401413
"2020-07-22",193.210007,199.649994,193.050003,198.619995,3484400,189.790695
"2020-07-23",198.460007,199.270004,196.009995,197.550003,2702200,188.768265
"2020-07-24",196.889999,198.910004,195.729996,198.720001,2199900,189.886261
"2020-07-27",199.039993,202.520004,198.710007,201.25,4541700,192.303787
"2020-07-28",198.600006,199.889999,195.5,196.240005,6051000,187.51651
"2020-07-29",196.300003,198.460007,195.710007,196.210007,3342900,187.487839
"2020-07-30",195,196.399994,192.919998,195.410004,2705700,186.723404
"2020-07-31",194.149994,194.679993,191.639999,194.279999,3194700,185.643661
"2020-08-03",194.330002,195.600006,193.589996,194.399994,3143500,185.758301
"2020-08-04",194.949997,199.699997,194.339996,199.360001,3699900,190.497803
"2020-08-05",200,200.5,197.910004,199.259995,2259600,190.402267
"2020-08-06",198.779999,203.600006,198.369995,203.179993,3158900,194.147995
"2020-08-07",203.360001,205.160004,203.289993,204.600006,2980000,195.504868
"2020-08-10",204.350006,205.160004,202.539993,204.119995,2783600,195.046204
"2020-08-11",205,207.419998,204.25,205,2478400,195.8871
"2020-08-12",206.860001,207.399994,205.380005,206.020004,2167100,196.861771
"2020-08-13",205.960007,207.25,205.350006,206.490005,1795000,197.310852
"2020-08-14",205.949997,207.330002,205.199997,207.029999,2060200,197.826843
"2020-08-17",206.940002,209.5,206.850006,208.669998,2619000,199.393951
"2020-08-18",209.259995,210.429993,207.229996,210.320007,2921500,200.970612
"2020-08-19",210.220001,211.169998,208.639999,209.509995,2711100,200.196625
"2020-08-20",208.119995,210.990005,208.100006,209.880005,2084900,200.550171
"2020-08-21",209.960007,212.190002,209.259995,211.570007,3484800,202.165039
"2020-08-24",212.259995,213.5,210.929993,212.619995,2463900,203.168381
"2020-08-25",213.960007,214.190002,212.220001,212.649994,2302400,203.197021
"2020-08-26",212.089996,214.419998,211.600006,213.759995,2316700,204.257675
"2020-08-27",214.339996,216.100006,212.100006,212.190002,3226800,202.757477
"2020-08-28",212.820007,216.710007,211.770004,214.910004,3212500,205.356583
"2020-08-31",213.520004,214.990005,212.809998,213.520004,2900900,205.222015
"2020-09-01",210.839996,213.610001,210.580002,212.690002,2926700,204.424271
"2020-09-02",213.25,217.130005,212.690002,216.229996,4092000,207.826691
