"","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"2020-07-01",94.889999,95.709999,93.029999,93.260002,18755700,87.311943
"2020-07-02",94.739998,94.959999,91.93,92.660004,27845600,87.595543
"2020-07-06",94.43,95.199997,93.480003,95,18625300,89.80764
"2020-07-07",93.82,94.099998,92,92.32,25757200,87.274132
"2020-07-08",92.290001,93.339996,91.800003,93.300003,18762200,88.200577
"2020-07-09",93.519997,94.120003,90.779999,91.279999,25600800,86.29097
"2020-07-10",92,96.839996,91.870003,96.269997,28954200,91.008224
"2020-07-13",98.730003,99.269997,96.230003,97.650002,32079200,92.31282
"2020-07-14",98.370003,99.949997,96.639999,98.209999,42731700,92.842201
"2020-07-15",100.889999,101.290001,98.650002,99.730003,22508400,94.279129
"2020-07-16",98.779999,101.220001,98.550003,100.010002,16886900,94.543816
"2020-07-17",100,100.080002,98.139999,98.160004,16137700,92.794937
"2020-07-20",97.43,98.389999,97.260002,97.300003,14458100,91.981941
"2020-07-21",97.709999,100.050003,97.639999,99.410004,17798100,93.976624
"2020-07-22",99.650002,100.129997,97.529999,98.690002,14271200,93.295975
"2020-07-23",98.5,99.349998,97.970001,98.980003,12870200,93.570114
"2020-07-24",99.599998,99.800003,97.940002,98.279999,12744200,92.908371
"2020-07-27",97.510002,97.629997,96.169998,96.900002,11959100,91.603813
"2020-07-28",96.5,97.889999,96.5,97.32,11754300,92.000847
"2020-07-29",97.07,99.709999,97,99.68,12743500,94.23185
"2020-07-30",97.540001,97.739998,96.050003,97.019997,14834800,91.717232
"2020-07-31",96.480003,96.93,95.25,96.639999,14535000,91.358002
"2020-08-03",97.019997,97.57,95.849998,96.099998,12962800,90.847519
"2020-08-04",95.910004,95.949997,95.029999,95.550003,13366200,90.327583
"2020-08-05",95.870003,98.470001,95.720001,97.209999,15260900,91.896866
"2020-08-06",97.580002,98.099998,96.540001,97.239998,10482100,91.925209
"2020-08-07",96.93,99.489998,96.559998,99.379997,14743700,93.94825
"2020-08-10",100.110001,102.040001,100.029999,100.639999,14989900,95.139389
"2020-08-11",103.860001,106.160004,103.510002,103.82,31518600,98.145576
"2020-08-12",106.160004,106.43,101.709999,102.940002,19240800,97.313683
"2020-08-13",102,103.360001,101.639999,102.370003,13598600,96.774834
"2020-08-14",101.5,103.309998,101.419998,102.410004,12134400,96.812653
"2020-08-17",101.5,102,99.529999,99.709999,14988000,94.260208
"2020-08-18",99.910004,99.910004,98.120003,98.32,13246500,92.946198
"2020-08-19",98.919998,100.589996,98.339996,98.550003,13533000,93.163612
"2020-08-20",97.260002,98.029999,96.800003,97.370003,13672600,92.048111
"2020-08-21",97.269997,98.57,96.940002,97.32,12228300,92.000847
"2020-08-24",98.449997,100.209999,97.419998,100.059998,17898300,94.591087
