"","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"2020-08-25",101.269997,101.980003,99.800003,100.5,13648900,95.007042
"2020-08-26",99.940002,100.269997,99.050003,99.089996,12052400,93.674088
"2020-08-27",99,102.650002,99,102.349998,22163900,96.755928
"2020-08-28",103.139999,103.25,101.809998,102.769997,13756700,97.152969
"2020-08-31",102.120003,102.18,100.019997,100.190002,14219400,94.713982
"2020-09-01",99.550003,100.870003,99.040001,100.139999,11595600,94.666718
"2020-09-02",99.949997,101.940002,99.559998,101.650002,14475700,96.094177
"2020-09-03",103.32,104.989998,100.639999,101.330002,23281200,95.791679
"2020-09-04",104.050003,105.209999,101.370003,103.519997,26325500,97.861977
"2020-09-08",102.980003,103.57,99.480003,99.919998,22108600,94.458733
"2020-09-09",100.800003,101.690002,99.559998,100.870003,13434000,95.356812
"2020-09-10",101.400002,102.419998,99.639999,99.830002,15922800,94.373657
"2020-09-11",99.970001,101.360001,99.589996,101.07,13784300,95.545883
"2020-09-14",101.510002,103.459999,101.370003,102.470001,19017400,96.86937
"2020-09-15",102.730003,102.849998,99.139999,99.279999,23683000,93.853714
"2020-09-16",99.43,101.129997,98.760002,99.699997,19270600,94.250763
"2020-09-17",98.699997,99.339996,97.709999,98.559998,18290100,93.173073
"2020-09-18",97.889999,99.489998,97.440002,98.349998,20121600,92.974548
"2020-09-21",95.199997,96.050003,93.82,95.309998,28378800,90.100693
"2020-09-22",94.959999,95.660004,93.669998,94.269997,19257000,89.117546
"2020-09-23",94.779999,95.349998,92.660004,92.739998,19952700,87.671173
"2020-09-24",92.32,94.300003,91.379997,92.660004,18366500,87.595543
"2020-09-25",92.050003,93.720001,91.870003,93.470001,13293100,88.361275
"2020-09-28",95.059998,96.93,94.349998,96.160004,20894100,90.904243
"2020-09-29",96.029999,96.029999,94.330002,95.349998,12848200,90.138512
"2020-09-30",95.349998,97.199997,95.260002,96.269997,16400600,91.008224
"2020-10-01",97.120003,97.769997,96.029999,96.970001,15778700,91.669983
"2020-10-02",95.25,98.589996,95.089996,97.889999,15149600,92.539696
"2020-10-05",98.32,99.25,97.529999,99.040001,13871900,94.495628
"2020-10-06",100.07,100.860001,97.510002,98.019997,19220400,93.52243
"2020-10-07",98.959999,100.349998,98.669998,99.730003,16358500,95.153976
"2020-10-08",100.510002,101.919998,99.900002,101.779999,15659000,97.109909
"2020-10-09",102,102.110001,100.110001,101.199997,13689100,96.556519
"2020-10-12",101.099998,103,100.849998,102.440002,16058000,97.739624
"2020-10-13",103,103.220001,100.260002,100.779999,21697300,96.155792
"2020-10-14",101.029999,101.93,100.099998,100.220001,15204100,95.62149
"2020-10-15",99.099998,101.779999,99.040001,101.720001,17171200,97.05265
"2020-10-16",101.410004,102.330002,100.720001,101.510002,13275000,96.852295
"2020-10-19",101.599998,101.870003,99.559998,99.800003,11725700,95.220757
"2020-10-20",100.309998,101.769997,100.120003,100.370003,11257100,95.764618
"2020-10-21",100.360001,100.989998,99.330002,99.370003,10730500,94.810486
"2020-10-22",99.32,103.239998,99.309998,102.879997,14837200,98.159424
"2020-10-23",103.5,104.449997,102.93,103.809998,15087600,99.046761
"2020-10-26",102.650002,102.699997,100.25,101.239998,12410700,96.594681
"2020-10-27",100.510002,100.919998,99.160004,99.330002,10391700,94.772316
"2020-10-28",97.5,98.300003,96.07,96.540001,16389500,92.110344
"2020-10-29",96.120003,97.980003,95.239998,97.169998,14208800,92.711441
"2020-10-30",97.910004,98.419998,96.230003,98.040001,15194500,93.541519
"2020-11-02",99.389999,100.879997,97.860001,100.25,15011600,95.650108
"2020-11-03",103.019997,104.739998,102.690002,103.410004,17482600,98.665123
"2020-11-04",101,102.07,98.93,100.25,18886500,95.650108
"2020-11-05",101.059998,105.099998,101,104.349998,17837400,99.561981
"2020-11-06",105.029999,105.099998,102.389999,102.959999,12552800,98.235756
"2020-11-09",113.160004,118.900002,110.349998,116.900002,47792400,111.536133
"2020-11-10",117.349998,117.449997,114.690002,116.519997,20539300,111.173569
"2020-11-11",116.889999,116.959999,113.959999,114.779999,14443400,109.513428
"2020-11-12",112.529999,113.959999,112.059998,113.370003,22063000,108.168114
"2020-11-13",114.699997,114.860001,113.57,114.080002,11847900,108.845528
"2020-11-16",117.790001,118.610001,115.730003,117.300003,19858600,111.917786
"2020-11-17",115.389999,116.440002,114.580002,116.110001,14553200,110.782379
"2020-11-18",117.339996,118.610001,115.199997,115.25,12571200,109.961838
"2020-11-19",114.18,115.82,113.559998,115.559998,10202500,110.257614
"2020-11-20",114.43,115.650002,114.089996,114.57,12718900,109.313065
"2020-11-23",116.050003,118.169998,115.57,117.870003,13209200,112.461647
"2020-11-24",120.07,123.5,119.709999,123.32,20121600,117.66156
"2020-11-25",121.370003,122.379997,120.470001,122.029999,11715600,116.430756
"2020-11-27",122,122.349998,121.080002,121.220001,5983600,115.657921
"2020-11-30",120,120.720001,117.769997,117.879997,14411800,112.471161
"2020-12-01",120.339996,121.580002,119.629997,119.739998,12668900,114.245827
"2020-12-02",119.699997,122.309998,119.269997,122.040001,10811300,116.4403
"2020-12-03",121.849998,121.889999,120.360001,121.239998,12904400,115.676994
"2020-12-04",122.480003,123.290001,121.690002,122.339996,13583700,116.726532
"2020-12-07",121.150002,122.169998,120.209999,121.879997,9724300,116.287636
"2020-12-08",121.040001,122.330002,120.760002,122,9592100,116.40213
"2020-12-09",123.169998,123.300003,120.440002,121.050003,13073900,115.495728
"2020-12-10",119.989998,120.779999,119.559998,120.269997,13668400,114.751503
"2020-12-11",118.940002,120.019997,118.370003,119.559998,9981600,114.074074
"2020-12-14",121.339996,121.419998,118.110001,118.300003,12112400,112.871902
"2020-12-15",119.290001,120.900002,118.620003,120.32,12590200,114.799217
"2020-12-16",120.300003,121.080002,119.860001,120.669998,11169400,115.133156
"2020-12-17",121.260002,121.449997,119.580002,119.669998,11618000,114.179047
"2020-12-18",119.139999,119.879997,118.269997,119.080002,28954800,113.616112
"2020-12-21",123.169998,125,121.089996,123.550003,28323600,117.88102
"2020-12-22",123.389999,123.519997,121.610001,121.669998,11788200,116.087265
"2020-12-23",122.779999,126.519997,122.349998,125.07,14973200,119.331268
"2020-12-24",125.089996,125.550003,123.57,124.519997,4164900,118.806496
"2020-12-28",125.82,126.650002,124.790001,125.339996,8072600,119.588875
"2020-12-29",126.199997,126.279999,124.889999,125.010002,8389200,119.274025
"2020-12-30",125.489998,125.849998,124.900002,125.360001,7398000,119.607956
"2020-12-31",125.089996,127.330002,124.82,127.07,8580200,121.23951
"2021-01-04",127.5,127.860001,124.779999,125.870003,16819900,120.094559
"2021-01-05",124.989998,126.300003,123.769997,125.650002,13731200,120.748039
"2021-01-06",129.880005,132.770004,127.879997,131.550003,24909100,126.417862
"2021-01-07",135.690002,138.190002,134.919998,135.869995,21940400,130.569305
"2021-01-08",135.970001,136.350006,134.119995,136.020004,12035100,130.713486
"2021-01-11",134.580002,138.199997,134.110001,138.050003,15937900,132.664276
"2021-01-12",139.440002,141.660004,138.830002,140.220001,18033500,134.749619
"2021-01-13",138.589996,140.789993,138.100006,140.350006,14816800,134.874527
"2021-01-14",140.490005,142.75,140,141.169998,18565600,135.662537
"2021-01-15",137.429993,141.649994,137.009995,138.639999,27881000,133.231232
"2021-01-19",139.860001,140.699997,137.820007,138.039993,19843800,132.654633
"2021-01-20",137.820007,138.169998,135.440002,135.970001,16028800,130.665436
"2021-01-21",135.690002,136.160004,134.320007,134.830002,13411700,129.569885
"2021-01-22",132.690002,134.399994,132.199997,133.789993,12933200,128.57045
"2021-01-25",132.139999,133.169998,130.059998,132.119995,14212800,126.965607
"2021-01-26",132.75,133.169998,131.339996,131.580002,11307800,126.446678
"2021-01-27",129.589996,129.850006,127.349998,127.860001,17603900,122.871811
"2021-01-28",129.899994,132.169998,128.990005,130.110001,13761800,125.034027
"2021-01-29",131.190002,131.720001,128.190002,128.669998,14808100,123.650215
"2021-02-01",129.399994,130.070007,128.479996,129.619995,11080700,124.563141
"2021-02-02",131.940002,134.389999,131.220001,133.610001,12253600,128.397491
"2021-02-03",133.649994,135.759995,133.509995,135.139999,10600800,129.867798
"2021-02-04",135.470001,138.660004,135.470001,138.25,12419500,132.856476
"2021-02-05",139.389999,139.490005,137.380005,137.979996,10051300,132.596985
"2021-02-08",138.199997,140.300003,138.179993,140.139999,10136400,134.67276
"2021-02-09",139.429993,139.979996,138.539993,139.580002,8614800,134.134583
"2021-02-10",140,140.869995,139.039993,139.660004,10323200,134.211456
"2021-02-11",139.660004,140.550003,138.220001,139.270004,9201000,133.83667
"2021-02-12",139.050003,141.610001,139,141.25,8324600,135.739426
"2021-02-16",143.550003,145.320007,142.399994,144.649994,12130600,139.00679
"2021-02-17",143.949997,145.380005,143.119995,145.100006,10810100,139.43924
"2021-02-18",144,145.789993,143.399994,145.589996,10587800,139.91011
"2021-02-19",145.860001,148.839996,145.860001,148.020004,11969800,142.245316
"2021-02-22",146.869995,150.190002,146.789993,149.410004,11488400,143.581085
"2021-02-23",151.509995,152.309998,149.589996,150.610001,16234400,144.734268
"2021-02-24",150.110001,153.759995,150.110001,153.259995,15061400,147.280869
"2021-02-25",154.270004,154.899994,150.589996,151.179993,18127700,145.282013
"2021-02-26",150.300003,150.869995,146.509995,147.169998,19829200,141.428482
"2021-03-01",149.520004,151.380005,148.479996,150.5,14845500,144.628555
"2021-03-02",150.080002,151.779999,149.839996,150.009995,14221700,144.157669
"2021-03-03",151.229996,154.979996,150.820007,152.910004,14324100,146.944534
"2021-03-04",152.610001,154.380005,148.619995,150.559998,20093900,144.686234
"2021-03-05",153.220001,153.490005,147.970001,150.910004,18465100,145.022568
"2021-03-08",152.470001,155.460007,150.75,152.910004,17133300,146.944534
"2021-03-09",151.5,154.25,149.820007,151.830002,16238800,145.906677
"2021-03-10",151.910004,156.160004,151.509995,155.130005,14342200,149.077927
"2021-03-11",154.110001,156.149994,153.360001,154.320007,11771500,148.29953
"2021-03-12",156.860001,157.630005,155.070007,156.149994,12849500,150.058121
"2021-03-15",156.350006,156.919998,153.960007,155.369995,12101100,149.308548
"2021-03-16",154.089996,154.600006,152.190002,153.509995,12805600,147.521118
"2021-03-17",155.339996,156.880005,153.050003,155.089996,13952400,149.039474
"2021-03-18",157.600006,161.690002,157.110001,157.649994,21898500,151.499603
"2021-03-19",155.509995,155.940002,151.190002,155.139999,54418800,149.08754
"2021-03-22",152.800003,153.970001,150.610001,150.970001,19944800,145.080231
"2021-03-23",150.330002,152.119995,148.960007,149.460007,17076300,143.629135
"2021-03-24",150,153.179993,149.860001,150.619995,13079800,144.743851
"2021-03-25",150,152.970001,149.330002,152.550003,15608300,146.598587
"2021-03-26",154.300003,155.449997,152.550003,155.089996,16754400,149.039474
"2021-03-29",152.119995,153.729996,151.039993,152.679993,17570300,146.723511
"2021-03-30",154.460007,155.869995,153.880005,154.479996,13184300,148.453293
"2021-03-31",153.279999,154.490005,152.119995,152.229996,16736700,146.291046
"2021-04-01",151.899994,153.789993,151.550003,153.710007,16561500,147.713333
"2021-04-05",154.399994,154.940002,152.600006,153.619995,13508000,148.496323
"2021-04-06",152.789993,154.279999,151.860001,152.539993,13071600,147.452316
"2021-04-07",153.100006,155.229996,152.649994,154.929993,16903500,149.762619
"2021-04-08",154,155.509995,152.309998,155.119995,12335500,149.946274
"2021-04-09",155.809998,157.039993,154.970001,156.279999,12122400,151.067612
"2021-04-12",155.580002,157.25,155.570007,155.949997,12273400,150.748611
"2021-04-13",154.75,155.199997,152.429993,154.089996,16113600,148.950653
"2021-04-14",151.470001,153.830002,150.929993,151.210007,19939600,146.166718
"2021-04-15",151.25,152.199997,149.320007,152.169998,17694100,147.094681
"2021-04-16",153.869995,154.509995,152.690002,153.300003,13773400,148.186996
"2021-04-19",153.419998,153.880005,152.220001,152.649994,11900200,147.558655
"2021-04-20",151.740005,151.75,148.649994,149.270004,13716700,144.291412
"2021-04-21",147.789993,150.610001,146.789993,150.539993,12236700,145.519028
"2021-04-22",150.229996,150.300003,147.259995,147.369995,15256100,142.454773
"2021-04-23",147.179993,151.130005,146.690002,150.190002,14041900,145.18071
"2021-04-26",150.779999,152.460007,150.380005,150.559998,10799100,145.538361
"2021-04-27",150.5,151.570007,150.110001,151.25,12821200,146.205368
"2021-04-28",152.429993,152.889999,151.399994,152.229996,8943700,147.152664
"2021-04-29",153.539993,155.279999,153.199997,155.190002,12976900,150.013962
"2021-04-30",154.100006,154.490005,153.009995,153.809998,11705100,148.679977
"2021-05-03",154.850006,155.479996,153.130005,153.360001,11801100,148.24498
"2021-05-04",152.869995,155.639999,152.139999,155.479996,12977700,150.294266
"2021-05-05",156,158.279999,154.630005,157.520004,10506700,152.266235
"2021-05-06",158.070007,160.820007,157.160004,160.690002,13542400,155.330521
"2021-05-07",157.220001,161.5,157.020004,161.240005,14257800,155.862167
"2021-05-10",161.5,163.729996,161.119995,161.220001,14014300,155.842834
"2021-05-11",161.080002,162.389999,158.039993,158.539993,15451700,153.252213
"2021-05-12",159.610001,160.779999,157.029999,157.449997,14381700,152.198563
"2021-05-13",158.179993,162.449997,157.679993,161.5,15395000,156.11351
"2021-05-14",162.389999,164.449997,161.990005,164.009995,10584000,158.539764
"2021-05-17",163.369995,164.850006,163.029999,164.669998,9886800,159.177765
"2021-05-18",164.679993,165.5,162.240005,162.350006,11098100,156.935135
"2021-05-19",161,161.179993,158.639999,161.110001,13278900,155.736511
"2021-05-20",160.830002,161.860001,159.520004,160.830002,10426000,155.465851
"2021-05-21",161.339996,163.220001,160.940002,162.660004,10249000,157.234818
"2021-05-24",163.360001,164.229996,162.119995,163.539993,9440300,158.085449
"2021-05-25",163.850006,165.699997,161.559998,161.850006,12609100,156.451828
"2021-05-26",163.570007,163.740005,161.309998,161.830002,13058300,156.432495
"2021-05-27",163.949997,164.75,162.570007,164.350006,15707500,158.868454
"2021-05-28",164.679993,164.940002,163.259995,164.240005,10291300,158.762115
"2021-06-01",165.869995,166.910004,165.479996,166.050003,9445400,160.511749
"2021-06-02",167.259995,167.440002,165.529999,166.059998,10498600,160.521393
"2021-06-03",165.410004,167.25,164.660004,166.169998,13354400,160.627731
"2021-06-04",166.210007,166.669998,165.029999,166.440002,8510800,160.888718
"2021-06-07",167,167.100006,165.139999,165.660004,7267200,160.13475
"2021-06-08",164.490005,165.759995,163.160004,165,10370700,159.496765
"2021-06-09",164.139999,164.220001,162.279999,162.940002,12377400,157.505463
"2021-06-10",164.360001,165.240005,160.309998,160.399994,12119400,155.050186
"2021-06-11",160.429993,161.199997,159.059998,160.289993,13683800,154.943848
"2021-06-14",160.149994,160.330002,156.660004,157.570007,19917900,152.314575
"2021-06-15",156.699997,156.919998,154.130005,155.179993,24485500,150.004272
"2021-06-16",154.729996,157.619995,153.110001,156.270004,25321200,151.057922
"2021-06-17",157.100006,157.460007,151.25,151.759995,29722400,146.698364
"2021-06-18",149.300003,149.699997,147.559998,147.919998,43595700,142.98642
"2021-06-21",149.080002,151.199997,149.020004,150.429993,18664800,145.412704
"2021-06-22",150.600006,150.970001,148.660004,150.210007,14251200,145.200058
"2021-06-23",150.199997,152.039993,150.089996,151.119995,12733300,146.079697
"2021-06-24",151.919998,153.119995,151.220001,152.509995,13733200,147.423325
"2021-06-25",152.589996,154.5,151.669998,154.050003,15484900,148.911987
"2021-06-28",153.699997,154.479996,152.119995,154.330002,14125800,149.182648
"2021-06-29",155,156.309998,153.610001,154.139999,14528700,148.998978
"2021-06-30",153.75,156.080002,153.710007,155.539993,12531000,150.352264
"2021-07-01",156.259995,157.139999,155.419998,157.080002,10479400,151.840912
"2021-07-02",155.949997,156.320007,155.119995,156.029999,11424000,151.695084
"2021-07-06",155.779999,155.779999,152.350006,153.410004,15083400,149.147888
"2021-07-07",152.009995,154.279999,151.550003,153.589996,12271800,149.322861
"2021-07-08",151.610001,152.529999,150.039993,150.940002,17834600,146.74649
"2021-07-09",153.050003,156.149994,152.580002,155.770004,13694500,151.442307
"2021-07-12",154.350006,159.160004,153.940002,158,19940400,153.610336
"2021-07-13",156.050003,157.389999,153.5,155.649994,22671700,151.325638
"2021-07-14",155.949997,157.279999,152.949997,155.119995,14622800,150.810349
"2021-07-15",153.899994,156.529999,153.699997,155.460007,11539300,151.14093
"2021-07-16",155.960007,156.279999,151.020004,151.910004,14002700,147.689545
"2021-07-19",148.550003,149.820007,145.710007,146.970001,22172900,142.886795
"2021-07-20",146.520004,151.119995,146.330002,149.710007,15385200,145.550659
"2021-07-21",152.050003,153.649994,151.360001,152.860001,12356700,148.613144
"2021-07-22",152.880005,153.440002,149.970001,150.929993,9913300,146.736771
"2021-07-23",151.479996,152.839996,150.25,150.639999,9666100,146.454819
"2021-07-26",150.190002,151.960007,150.169998,151.649994,8208000,147.436752
"2021-07-27",150.399994,152.490005,149.800003,151.449997,11218700,147.242325
"2021-07-28",152.289993,152.770004,150.880005,151.699997,9217300,147.485367
"2021-07-29",153.139999,153.869995,151.910004,153,9063500,148.749268
"2021-07-30",152.580002,153.669998,151.199997,151.779999,9805200,147.563141
"2021-08-02",152.029999,154.449997,151.070007,151.169998,10203200,146.970108
"2021-08-03",151.949997,153.320007,149.520004,152.889999,10394800,148.642319
"2021-08-04",151.25,153.369995,150.910004,151.240005,10155000,147.038177
"2021-08-05",152.279999,153.690002,152.009995,153.149994,9151500,148.895081
"2021-08-06",155.190002,157.820007,155.110001,157.5,13328800,153.124222
"2021-08-09",157.520004,158.550003,155.899994,157.330002,9516900,152.958969
"2021-08-10",156.740005,159.979996,156.309998,159.259995,8667000,154.835342
"2021-08-11",160,161.5,159.080002,161.160004,9156500,156.682556
"2021-08-12",161.880005,162.369995,160.550003,161.789993,8844200,157.295029
"2021-08-13",161.789993,162.160004,159.570007,159.979996,8980900,155.535324
"2021-08-16",158.940002,159.029999,156.779999,158.929993,8755800,154.514496
"2021-08-17",157.570007,158.860001,155.270004,157.009995,9347200,152.647842
"2021-08-18",156.309998,158.009995,155.339996,155.580002,8065500,151.257599
"2021-08-19",153.160004,155.559998,153.009995,154.279999,9517700,149.993698
"2021-08-20",154.350006,154.899994,153.160004,154.720001,6974100,150.421478
"2021-08-23",155.330002,157.089996,155.240005,156.699997,7934600,152.346481
"2021-08-24",157,158.550003,156.869995,157.669998,7670900,153.28952
"2021-08-25",158.509995,161.779999,157.800003,160.919998,11335000,156.449219
"2021-08-26",162.259995,163.830002,161.149994,161.75,11027500,157.256165
"2021-08-27",161.75,163.160004,161.259995,163.050003,8780200,158.52005
"2021-08-30",163.210007,163.490005,159.880005,160.440002,7937600,155.982559
"2021-08-31",160.440002,161.369995,159.350006,159.949997,12340800,155.506165
"2021-09-01",160.220001,160.759995,158.970001,159.720001,8729900,155.282578
"2021-09-02",160.020004,161.610001,159.429993,160.460007,8813300,156.002014
"2021-09-03",160.389999,160.889999,159.149994,159.490005,7959700,155.058945
"2021-09-07",159.990005,161.380005,158.960007,159.210007,9285600,154.786743
"2021-09-08",158.889999,159.580002,158.039993,158.5,7852700,154.096451
"2021-09-09",158.270004,160.830002,158.080002,159.190002,7904300,154.767288
"2021-09-10",160.559998,160.720001,157.220001,157.360001,8311600,152.988129
"2021-09-13",158.529999,160.050003,158.070007,159.860001,10052800,155.418671
"2021-09-14",160.449997,161.339996,156.259995,157.070007,11685600,152.706177
"2021-09-15",156.720001,158.690002,156.470001,158.160004,11691500,153.765915
"2021-09-16",159.410004,160.850006,157.220001,158.089996,10880900,153.697845
"2021-09-17",157.380005,159.009995,157,157.679993,25581600,153.299225
"2021-09-20",153.889999,154.559998,150.490005,152.960007,15819900,148.710373
"2021-09-21",153.529999,154.550003,152.580002,152.979996,8999900,148.729828
"2021-09-22",155.199997,157.25,155.100006,155.910004,11236200,151.578415
"2021-09-23",158,161.710007,157.669998,161.179993,12336100,156.701981
"2021-09-24",161.440002,163.589996,160.820007,163.039993,10102400,158.5103
"2021-09-27",165,167.399994,164.610001,166.979996,13220900,162.340866
"2021-09-28",167.699997,169.300003,165.660004,166.080002,13387900,161.465866
"2021-09-29",166.210007,166.899994,165.039993,165.949997,7777100,161.339478
"2021-09-30",166.919998,166.990005,162.789993,163.690002,13161200,159.142258
"2021-10-01",164,168.300003,163.600006,167.130005,11285000,162.486694
"2021-10-04",166.970001,170.440002,165.729996,166.949997,14120000,162.311691
"2021-10-05",167.210007,170.139999,166.669998,168.660004,12292900,164.96228
"2021-10-06",167.990005,169.100006,166,169.020004,8692600,165.314392
"2021-10-07",171.199997,171.509995,169.539993,170.089996,10195400,166.360916
"2021-10-08",170.020004,171.339996,169.300003,170.220001,8190100,166.488068
"2021-10-11",170.800003,171.289993,166.460007,166.639999,12154700,162.986557
"2021-10-12",165.75,166.690002,164.770004,165.360001,13032600,161.734619
"2021-10-13",164.070007,165.410004,160.600006,161,22753500,157.47023
"2021-10-14",161.75,164.009995,160.059998,163.470001,15176800,159.886063
"2021-10-15",165.350006,167.169998,164.139999,166.610001,14267400,162.957214
"2021-10-18",166.479996,168.610001,165.910004,166.550003,12672900,162.898544
"2021-10-19",167.399994,168.649994,166.580002,168.570007,8053900,164.874268
"2021-10-20",168.300003,170.869995,167.460007,170.839996,8185600,167.094467
"2021-10-21",170.759995,171.330002,168.679993,169.5,8415200,165.783859
"2021-10-22",170.029999,172.089996,169.699997,171.779999,8817900,168.01387
"2021-10-25",172.710007,172.960007,170.479996,170.940002,10159200,167.192291
"2021-10-26",171,172.490005,170.539993,171.399994,8015100,167.642197
"2021-10-27",170.320007,170.699997,167.339996,167.830002,9847000,164.150467
"2021-10-28",168.300003,170.509995,167.960007,170.360001,7212900,166.625
"2021-10-29",171.179993,172.240005,169.389999,169.889999,8140100,166.165314
"2021-11-01",172.039993,172.330002,169.009995,169.800003,7435500,166.077271
"2021-11-02",169.800003,171.690002,168.919998,170.470001,7173800,166.73259
"2021-11-03",170.130005,171.130005,169.149994,170.529999,8402700,166.791275
"2021-11-04",170,170.199997,166.490005,168.289993,9574200,164.600388
"2021-11-05",168.899994,170.089996,167.410004,168.050003,7975600,164.365662
"2021-11-08",169.050003,170.919998,168.740005,169.059998,6413700,165.3535
"2021-11-09",167.350006,168.470001,166.600006,167.779999,7990300,164.101563
"2021-11-10",167.449997,168.949997,167.089996,167.619995,6999200,163.945068
"2021-11-11",167.520004,168.679993,166.899994,167.610001,5815300,163.935303
"2021-11-12",167.649994,167.740005,165.720001,166.860001,8113400,163.201721
"2021-11-15",167.210007,167.789993,166,166.559998,6492500,162.908325
"2021-11-16",167.059998,167.070007,165.119995,165.360001,9706100,161.734619
"2021-11-17",165.210007,165.559998,163.389999,164.470001,9909600,160.864151
"2021-11-18",164.389999,164.850006,162.559998,163.050003,8122500,159.475281
"2021-11-19",161.300003,162.110001,159.449997,160.919998,12193600,157.391968
"2021-11-22",164.160004,165.979996,162.990005,164.350006,14549900,160.74678
"2021-11-23",165.5,168.559998,165.369995,168.279999,12354400,164.590607
"2021-11-24",168.460007,169.440002,166.440002,166.960007,9629800,163.299545
"2021-11-26",162.139999,162.649994,158.820007,161.929993,13619300,158.379822
"2021-11-29",163.309998,164.779999,159.820007,161.229996,12104400,157.69516
"2021-11-30",159.160004,160.630005,158.289993,158.830002,18922600,155.347794
"2021-12-01",161,163.270004,157.800003,157.889999,12253400,154.428391
"2021-12-02",159.830002,163.25,158.800003,161.210007,12969900,157.675629
"2021-12-03",161.5,161.830002,157.190002,158.289993,12681800,154.819626
"2021-12-06",161.009995,162.610001,159.460007,160.160004,11186500,156.648636
"2021-12-07",161.880005,163.389999,161.160004,162.570007,9851600,159.005814
"2021-12-08",162.660004,163.270004,160.169998,160.710007,11705700,157.186569
"2021-12-09",159.649994,160.929993,158.649994,160.460007,11189600,156.942062
"2021-12-10",161.320007,161.699997,159.130005,159.820007,10405400,156.316101
"2021-12-13",159.5,159.789993,157.279999,157.919998,12069000,154.457733
"2021-12-14",157.449997,160.889999,157.300003,159.130005,12563600,155.64122
"2021-12-15",159.850006,159.850006,157.350006,157.940002,14014200,154.477295
"2021-12-16",160.389999,161.820007,158.699997,160.410004,19542800,156.893158
"2021-12-17",159.320007,159.380005,155.179993,156.759995,28082000,153.323166
"2021-12-20",154.509995,154.699997,151.839996,153.940002,15148000,150.565002
"2021-12-21",155.410004,157.179993,155.089996,156.089996,11291300,152.667847
"2021-12-22",155.75,157.059998,155.240005,156.699997,7273000,153.264496
"2021-12-23",157.610001,159.119995,157.210007,157.259995,8055200,153.81221
"2021-12-27",157.600006,158.199997,156.339996,158.160004,6188100,154.69249
"2021-12-28",158.199997,160.149994,158.080002,158.639999,6342300,155.161957
"2021-12-29",158.850006,159.630005,158.149994,158.559998,6398900,155.08371
"2021-12-30",159.110001,160.240005,158.369995,158.479996,6948200,155.005463
"2021-12-31",158.449997,159.289993,157.960007,158.350006,5805900,154.878326
"2022-01-03",159.860001,162.639999,159.509995,161.699997,13120900,158.154861
"2022-01-04",164.309998,168.580002,164.229996,167.830002,20195800,164.150467
