"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2021-11-08",100.459999,101.800003,99.970001,100.07,7332000,97.605812
"2021-11-09",99.459999,100.309998,98.279999,99.709999,8756900,97.254677
"2021-11-10",98.739998,99.620003,97.720001,97.769997,9191500,95.36245
"2021-11-11",98.040001,99.309998,97.470001,98.879997,6249600,96.445114
"2021-11-12",99.209999,99.889999,98.050003,99.849998,7270300,97.391235
"2021-11-15",100.029999,100.800003,99.959999,100.209999,5652200,97.742363
"2021-11-16",100,101.559998,99.510002,100.690002,6448500,98.210548
"2021-11-17",100.510002,100.629997,97.349998,97.68,9670700,95.274673
"2021-11-18",97.93,98.260002,96.489998,97.68,6850200,95.274673
"2021-11-19",96.220001,97.879997,94.949997,96.910004,9923400,94.523628
"2021-11-22",98.290001,100.529999,97.82,99.32,10430400,96.874283
"2021-11-23",100.309998,102.129997,100.18,101.860001,8559200,99.351738
"2021-11-24",101.839996,102.230003,100.110001,101.120003,7146400,98.629959
"2021-11-26",98.050003,98.160004,95.870003,97.93,11738200,95.518517
"2021-11-29",99.040001,99.599998,95.959999,97.230003,13793400,94.835762
"2021-11-30",96.43,96.5,93.879997,94.82,20586200,92.485092
"2021-12-01",96.980003,98.610001,95.260002,95.260002,11708200,92.914261
"2021-12-02",96,99.75,95.300003,98.860001,10685800,96.425621
"2021-12-03",100.040001,100.870003,96.849998,98.209999,9811800,95.791618
"2021-12-06",100,100.709999,98.800003,99.269997,9624500,96.825516
"2021-12-07",100.370003,103.110001,100.339996,102.5,10674400,99.975975
"2021-12-08",102.660004,103.160004,101.230003,101.25,9089700,98.756752
"2021-12-09",100.769997,101.82,100.25,100.580002,7749600,98.103264
"2021-12-10",100.940002,101.260002,98.379997,98.43,10429000,96.006203
"2021-12-13",98.150002,98.199997,96.800003,97.169998,10057100,94.777222
"2021-12-14",96.75,99.440002,96.57,98.82,11105900,96.386597
"2021-12-15",99.120003,99.830002,97.129997,99.43,7055000,96.981575
"2021-12-16",101.290001,101.419998,99.660004,100.300003,7889900,97.830154
"2021-12-17",99.470001,99.519997,96.809998,97.129997,20851400,94.738205
"2021-12-20",95.610001,95.889999,94.209999,95.370003,11931400,93.021553
"2021-12-21",96.18,98.510002,96.07,97.769997,8235100,95.36245
"2021-12-22",97.690002,98.68,97.459999,98.300003,4798400,95.879402
"2021-12-23",99.010002,99.970001,98.769997,99.339996,4482200,96.893791
"2021-12-27",99.720001,100.529999,99.110001,100.400002,4196000,97.927696
"2021-12-28",100.599998,101,99.580002,99.970001,4269700,97.508278
"2021-12-29",100.050003,100.510002,98.690002,98.730003,6923100,96.298813
"2021-12-30",98.860001,99.970001,98.720001,98.800003,3564900,96.367096
