"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2020-09-14",160.899994,162.160004,159.029999,160.139999,3617900,153.376465
"2020-09-15",160.580002,161.770004,158.369995,161.529999,3238500,154.707748
"2020-09-16",166.800003,167.360001,159.529999,159.869995,5736800,153.117859
"2020-09-17",157.039993,160.270004,156.970001,159.75,3002200,153.00293
"2020-09-18",160.139999,163.75,159.419998,159.660004,7274000,152.916733
"2020-09-21",161.419998,162.949997,157.380005,161.059998,3894400,154.257614
"2020-09-22",160.339996,162.139999,159.570007,161.889999,3051900,155.052567
"2020-09-23",162.5,165.759995,161.339996,161.550003,3842400,154.726913
"2020-09-24",161.119995,162.570007,157.990005,160.410004,2975100,153.635056
"2020-09-25",159.270004,167,159.270004,166.119995,4399300,159.103897
"2020-09-28",169.910004,171.979996,168.490005,168.899994,4338400,161.766479
"2020-09-29",168.809998,170.470001,167.119995,168.5,3113700,161.383377
"2020-09-30",169.289993,169.669998,165.5,166.630005,5426700,159.592377
"2020-10-01",169.039993,170.800003,166.880005,167.649994,4934100,160.56926
"2020-10-02",166.660004,168.5,165.75,166.960007,4482700,159.908417
"2020-10-05",168.160004,169.960007,167.440002,169.160004,2739000,162.015503
"2020-10-06",169.279999,172.050003,168.720001,169.350006,3671400,162.19751
"2020-10-07",170.610001,175.440002,170.309998,174.990005,3847000,167.599274
"2020-10-08",175.550003,175.979996,173.449997,174.210007,2797500,166.852234
"2020-10-09",174.509995,175.380005,172.860001,174.690002,2861100,167.31192
"2020-10-12",174.860001,176.800003,174.210007,176.539993,2274000,169.083817
"2020-10-13",175.5,177.149994,174.889999,175.330002,3018000,167.924911
"2020-10-14",175.720001,175.960007,173.800003,174.380005,3156900,167.015045
"2020-10-15",172.669998,174.059998,172.009995,174.039993,3059700,166.689392
"2020-10-16",175.070007,176.190002,174.259995,174.440002,3446000,167.072495
"2020-10-19",174.759995,176.199997,171.110001,172.100006,2884600,164.831345
"2020-10-20",173.139999,177.350006,172.360001,174.880005,2784700,167.493927
"2020-10-21",176.429993,178.009995,172.649994,172.729996,4428700,165.434723
"2020-10-22",174.360001,174.720001,171.649994,172.990005,3897700,165.683731
"2020-10-23",172.419998,173.75,171.309998,171.899994,2763100,164.639771
