"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2020-08-28",213.449997,215.369995,212.580002,215.029999,677500,208.889328
"2020-08-31",214.839996,217,212.339996,212.529999,1151000,206.460678
"2020-09-01",212.429993,215.850006,210.720001,215.300003,973700,209.151581
"2020-09-02",215.059998,216.529999,213.039993,214.360001,1855100,208.238434
"2020-09-03",217.009995,217.009995,209.130005,210.589996,1485400,204.576096
"2020-09-04",212.660004,214,206.929993,209.100006,1357200,203.128647
"2020-09-08",207.880005,209.350006,205.539993,206.75,1566900,200.845749
"2020-09-09",208.729996,215.529999,208.160004,212.300003,3595500,206.237289
"2020-09-10",212.919998,215,211.779999,213.169998,1303700,207.082413
"2020-09-11",213.990005,219.130005,213.779999,217.550003,1720800,211.337341
"2020-09-14",219.539993,221.470001,218.75,220.289993,1516400,213.999084
"2020-09-15",220.5,222.979996,219.460007,222.029999,926100,215.689392
"2020-09-16",224.039993,224.990005,220.649994,220.910004,1121900,214.601395
"2020-09-17",217.729996,224.679993,215.070007,222.940002,1070300,216.57341
"2020-09-18",222.490005,224.300003,220.179993,221.029999,1770000,214.717941
"2020-09-21",217.199997,218.600006,210.820007,214.309998,1279700,208.189865
"2020-09-22",215.240005,217.190002,214.419998,216.389999,973100,210.210464
"2020-09-23",217.710007,220.330002,211.899994,213.429993,1475400,207.334991
"2020-09-24",213.179993,217.259995,211.360001,214.429993,939000,208.306412
"2020-09-25",215.110001,219.679993,214.429993,219.160004,946900,212.901352
"2020-09-28",221.910004,222.820007,219.800003,221.020004,1129900,214.708237
"2020-09-29",220.5,221.490005,215.800003,215.809998,1535900,209.647034
"2020-09-30",217.529999,219,212.850006,213.990005,1669500,207.879013
"2020-10-01",215.729996,215.839996,210.5,211.850006,1457500,205.800125
"2020-10-02",208.979996,216.009995,208.169998,212.660004,2294700,206.58699
"2020-10-05",215.509995,216.589996,214.289993,215.160004,1173300,209.01561
"2020-10-06",216.910004,218.259995,213.229996,213.520004,987700,207.422409
"2020-10-07",214.389999,218.470001,214.389999,216.860001,878500,210.667023
"2020-10-08",219.570007,220.720001,213.559998,216.389999,1584200,210.210464
"2020-10-09",219.5,219.619995,216.240005,218.389999,730200,212.153351
"2020-10-12",219.850006,221.380005,216.929993,217.229996,1265900,211.026489
"2020-10-13",217,219.210007,214.449997,214.979996,788200,208.840729
"2020-10-14",215.979996,219.179993,215.919998,217.350006,908200,211.143036
"2020-10-15",214.149994,219.770004,213.759995,219.350006,938400,213.085938
"2020-10-16",220.580002,221.380005,217.289993,218.75,866200,212.503052
"2020-10-19",218.559998,219.820007,213.380005,213.669998,1056400,207.568146
"2020-10-20",214.300003,218.869995,214.119995,215.869995,594600,209.705307
"2020-10-21",214.5,216.089996,212.509995,212.559998,1349100,206.489822
"2020-10-22",213.110001,216.589996,211.669998,213.130005,1219400,207.043549
"2020-10-23",213.5,216.270004,213.5,215.399994,801300,209.248734
"2020-10-26",212.570007,212.610001,208.919998,210.660004,1158100,204.644104
"2020-10-27",210.839996,210.839996,203.350006,203.639999,1771200,197.82457
"2020-10-28",197.429993,201.509995,196.149994,198.110001,2077700,192.452484
"2020-10-29",197.770004,208.449997,197.770004,205.619995,2082700,199.748016
"2020-10-30",204.449997,209.190002,204.449997,209.119995,2214300,203.148071
"2020-11-02",211.839996,215.139999,208.889999,215.059998,1740300,208.918427
"2020-11-03",217.820007,224.880005,217.139999,223.5,2096500,217.117432
"2020-11-04",225.419998,229.279999,220.75,220.789993,1967700,214.484818
"2020-11-05",222.669998,228.149994,222.289993,225.789993,1305900,220.279846
"2020-11-06",224.399994,225.570007,222.600006,223.160004,906000,217.714035
"2020-11-09",235.949997,243.820007,228.910004,230.419998,1842600,224.796844
"2020-11-10",231.710007,236.479996,229.339996,236.179993,1691200,230.41629
"2020-11-11",239.020004,239.020004,230.929993,233.089996,1272000,227.401688
"2020-11-12",232.210007,233.520004,228.830002,230.660004,974000,225.030991
"2020-11-13",231.039993,239.960007,231.039993,239.259995,1950100,233.421127
"2020-11-16",241.339996,247.25,240.710007,246.770004,1382300,240.747864
"2020-11-17",244.330002,245.789993,241.330002,245.639999,900200,239.645432
"2020-11-18",245.509995,247.979996,241.809998,241.869995,1240200,235.967453
"2020-11-19",240.940002,242.789993,237.75,242.100006,959500,236.191833
"2020-11-20",242.149994,243.869995,240.25,240.800003,810200,234.923523
"2020-11-23",243.330002,244.449997,239.740005,242.850006,1601500,236.923538
"2020-11-24",245.259995,245.929993,241.369995,242.520004,1241600,236.601578
"2020-11-25",242.550003,242.720001,238.460007,241.460007,1340900,235.567459
"2020-11-27",242.529999,244.020004,240.720001,242.720001,537200,236.796707
"2020-11-30",241.839996,244.490005,236.779999,237.020004,2149000,231.235825
"2020-12-01",240.399994,243.369995,238.399994,238.75,1822900,232.923569
"2020-12-02",237.880005,241,237.490005,239.669998,1180100,233.821136
"2020-12-03",241.050003,242.229996,236.600006,237.149994,1308700,231.36264
"2020-12-04",237.690002,240.380005,237.690002,240.190002,906200,234.32843
"2020-12-07",239,240.199997,237.130005,239.059998,904300,233.225983
"2020-12-08",237.389999,239.669998,237.020004,238.669998,932500,232.845535
"2020-12-09",238.460007,241.580002,238.039993,240.860001,972000,234.982086
"2020-12-10",239,240.330002,235.860001,236.5,1212100,230.72847
"2020-12-11",234.889999,237.300003,234.350006,235.25,1161200,229.508972
"2020-12-14",236.979996,237.039993,228.899994,229.25,2004900,223.65538
"2020-12-15",231.089996,232.070007,227.770004,229.800003,1205900,224.192001
"2020-12-16",230.190002,230.720001,226.690002,228.699997,1081800,223.118835
"2020-12-17",230.119995,231.009995,227.990005,230.690002,1097100,225.060287
"2020-12-18",230.75,233.029999,228.820007,232.389999,2162200,226.718781
"2020-12-21",228.240005,231.639999,226.089996,230.139999,891600,224.523682
"2020-12-22",229.759995,232.509995,229.520004,230.5,806200,224.874908
"2020-12-23",231.919998,234.199997,230.5,233.119995,1209200,227.430969
"2020-12-24",233.220001,234.940002,231.630005,234.389999,383100,228.669968
"2020-12-28",236.220001,238.470001,235.190002,236.710007,785100,230.93335
"2020-12-29",236.929993,238.369995,232.449997,233.990005,929900,228.279739
"2020-12-30",234.339996,236.940002,234,235.979996,665900,230.221176
"2020-12-31",236.449997,238.050003,234.389999,237.610001,698300,231.811401
"2021-01-04",238.309998,239.820007,231.179993,233.440002,1558300,227.743179
"2021-01-05",233,237.580002,232.830002,235.710007,1368500,229.957779
"2021-01-06",235.539993,244.550003,235.539993,243.350006,1199400,237.411331
"2021-01-07",245,250.029999,244.300003,249.850006,1350700,243.752686
"2021-01-08",250.770004,257.700012,248.779999,254.039993,1563200,247.840439
"2021-01-11",252.229996,256.700012,252,254.369995,832200,248.162369
"2021-01-12",253.839996,257.859985,252.050003,256.440002,1015300,250.18187
"2021-01-13",257.859985,258.170013,252.889999,254.479996,1029600,248.269714
"2021-01-14",254.820007,256.059998,251.880005,252.460007,690000,246.299011
"2021-01-15",250.610001,253.240005,248.100006,252.949997,1065500,246.777039
"2021-01-19",254.399994,256.459991,249.529999,249.839996,1038000,243.742935
"2021-01-20",250.949997,253.910004,247.880005,253.429993,1077000,247.2453
"2021-01-21",250.710007,251.910004,245.130005,245.360001,1148000,239.372269
"2021-01-22",245.029999,245.630005,240.679993,244.220001,1205500,238.260086
"2021-01-25",242.259995,246.479996,240.080002,245.960007,1300700,239.957642
"2021-01-26",246.889999,247.139999,237.440002,238.089996,1194900,232.279678
"2021-01-27",234.210007,241.080002,230.149994,235.639999,1708600,229.889465
"2021-01-28",239.100006,245.100006,234.389999,241.789993,1297500,235.889404
