"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"2020-07-01",233.209763,237.0439,232.936584,235.639023,1475590,229.335083
"2020-07-02",236.273178,240.078049,234.653656,239.053665,1931613,232.658356
"2020-07-06",242.360977,247.531708,241.551224,244.360977,3277438,237.823685
"2020-07-07",242.321945,246.117065,241.521957,245.248779,1872060,238.687744
"2020-07-08",245.79512,250.663422,245.102432,246.565857,2405470,239.969604
"2020-07-09",249.034149,253.99025,247.765854,252.302444,1813635,245.552704
"2020-07-10",251.726822,253.453659,248.556091,251.092682,909278,244.375305
"2020-07-13",251.0439,255.834152,249.619507,251.131714,1375755,244.4133
"2020-07-14",250.770737,257.365845,250.517075,256.975616,1295088,250.100845
"2020-07-15",258.536591,261.609741,257.668304,260.448792,1390925,253.481094
"2020-07-16",260.390259,261.834137,258.40976,258.585358,1319073,251.667542
"2020-07-17",260.224396,262.526825,257.697571,260.468292,1311180,253.500092
"2020-07-20",261.443909,261.980499,258.575623,261.317078,1028588,254.326172
"2020-07-21",263.151215,269.67804,262.439026,264.692688,1482355,257.61145
"2020-07-22",265.082916,268.058533,264.302429,266.770721,1138570,259.633881
"2020-07-23",267.414642,269.424377,265.082916,266.058533,862435,258.940735
"2020-07-24",265.89267,266.32196,262.439026,265.258545,634065,258.162201
"2020-07-27",263.668304,268.956085,262.497559,268.468292,956530,261.286102
"2020-07-28",267.853668,268.653656,265.551208,266.341461,832915,259.216156
"2020-07-29",267.043915,271.131714,267.043915,269.658539,864383,262.444489
"2020-07-30",266.673157,268.42926,263.443909,267.16098,940848,260.013763
"2020-07-31",267.385376,274.487793,266.585358,274.478058,1528788,267.135071
"2020-08-03",276.068298,277.619507,273.170746,276.760986,1245580,269.356934
"2020-08-04",276.126831,276.975616,274.634155,275.960968,849725,268.578308
"2020-08-05",273.463409,278.019501,273.463409,276.517059,1098390,269.119476
"2020-08-06",259.512207,261.414642,250.117065,253.278046,2655878,246.502213
"2020-08-07",253.853653,255.434143,248.780487,250.156097,2283700,243.463776
"2020-08-10",253.170731,253.170731,248.829269,250.487808,2564140,243.786621
"2020-08-11",252.965851,254.20488,248.731705,248.780487,1666548,242.124954
"2020-08-12",249.648773,253.219513,249.648773,250.946335,1255010,244.232864
"2020-08-13",250.653656,256.448792,250.224396,255.931702,1075738,249.084885
"2020-08-14",255.16098,255.902435,250.399994,251.873169,1154458,245.134918
"2020-08-17",252.575607,254.292679,251.707321,253.697556,1011778,246.910492
"2020-08-18",255.141464,258.439026,252.83902,257.424377,1825730,250.537598
"2020-08-19",258.536591,259.697571,254.195129,255.609756,1040068,248.77153
"2020-08-20",253.921951,255.59024,251.804871,252.614639,787405,245.856552
"2020-08-21",251.814636,253.034149,249.229263,251.434143,1195253,244.707642
"2020-08-24",252.546341,253.248779,248.185364,248.731705,926498,242.077499
"2020-08-25",249.863419,251.053665,247.970734,249.551224,1123195,242.875092
"2020-08-26",248.468292,248.878052,243.951218,247.78537,1187565,241.156464
"2020-08-27",232.702438,242.20488,226.341461,240.556091,3947173,234.12059
"2020-08-28",241.102432,241.346344,235.024384,236.878052,1962363,230.540955
"2020-08-31",237.902435,238.517075,235.931702,236.848785,2382613,230.512466
"2020-09-01",238.019516,239.873169,232.907318,234.965851,1447813,228.679901
"2020-09-02",234.712189,240.263412,234.175613,240.185364,1333833,233.759781
"2020-09-03",240,240.663422,228.370728,229.326828,1814353,223.191757
"2020-09-04",231.092682,232.351227,226.760971,228.370728,1584343,222.26123
"2020-09-08",229.024384,229.79512,224.887802,228.351227,1540165,222.994827
"2020-09-09",230.399994,233.219513,228.868286,229.824387,1437870,224.433456
"2020-09-10",229.268295,229.970734,225.658539,228.468292,2127388,223.109146
"2020-09-11",229.102432,230.965851,228.058533,230.029266,1200890,224.633514
"2020-09-14",231.131714,232.663422,230.107315,230.146347,1154868,224.747849
"2020-09-15",230.243896,230.682922,220.536591,220.63414,2542513,215.458771
"2020-09-16",220.604874,224.263412,218.74147,221.492676,2494645,216.297165
"2020-09-17",220.829269,223.59024,218.936584,222.243896,1969128,217.030762
"2020-09-18",220.643906,228.234146,220.643906,226.243896,4119270,220.936951
"2020-09-21",225.746338,225.746338,219.863419,222.868286,1250193,217.640503
"2020-09-22",222.029266,222.526825,217.317078,218.341461,1927410,213.219849
"2020-09-23",220.40976,224.117065,219.034149,220.087799,1733993,214.925232
"2020-09-24",220.487808,220.946335,214.673172,215.765854,1558308,210.704666
"2020-09-25",214.682922,219.092682,214.146347,218.614639,1530018,213.486633
"2020-09-28",220.887802,222.351227,219.229263,219.512192,1072765,214.363144
"2020-09-29",220.585373,221.443909,219.443909,219.931702,866843,214.772797
"2020-09-30",221.765854,229.824387,221.268295,227.004883,2368775,221.680084
"2020-10-01",228.692688,231.0439,223.073166,225.219513,1244555,219.936569
"2020-10-02",226.243896,229.268295,225.36586,226.985367,1033303,221.661041
"2020-10-05",228.458542,232.692688,228.41951,232.331711,1000400,226.881943
"2020-10-06",232.195129,234.458542,229.297562,229.707321,1018953,224.319138
"2020-10-07",230.507324,231.931702,228.341461,229.951218,1063028,224.557281
"2020-10-08",230.019516,231.59024,228.721954,230.448776,1035558,225.043198
"2020-10-09",231.726822,232.321945,228.702438,231.521957,1612018,226.091202
"2020-10-12",232.273178,234.63414,230.936584,232.546341,886523,227.091553
"2020-10-13",231.639023,233.892685,229.658539,230.936584,908253,225.519531
"2020-10-14",231.004883,233.034149,227.424393,227.99025,944640,222.642319
"2020-10-15",226.507324,230.712189,225.853653,229.278046,1172600,223.899918
"2020-10-16",230.058533,233.336578,228.917068,231.209763,1081478,225.786316
"2020-10-19",231.726822,234.878052,230.712189,231.59024,1149640,226.157852
"2020-10-20",232.117065,232.673172,230.243896,230.497559,851263,225.09082
"2020-10-21",232.40976,233.170731,227.356094,230.63414,1203863,225.224197
"2020-10-22",229.873169,235.531708,229.736588,235.209763,1123503,229.692505
"2020-10-23",234.965851,236.702438,233.395126,234.41951,1010035,228.920776
"2020-10-26",233.453659,236.9561,232.751221,236.097565,999478,230.559464
"2020-10-27",237.034149,239.873169,236.497559,238.282928,1022950,232.693558
"2020-10-28",234.243896,235.473175,229.619507,230.136581,1086295,224.738327
"2020-10-29",230.087799,230.975616,225.239029,226.800003,1103310,221.47998
"2020-10-30",226.692688,228.253662,222.263412,225.492676,1448428,220.203339
"2020-11-02",227.912201,231.36586,226.380493,229.063416,1062720,223.690323
"2020-11-03",230.712189,233.843903,229.209763,231.921951,1159583,226.481796
"2020-11-04",234.702438,239.229263,230.887802,231.014633,1519563,225.595764
"2020-11-05",234.146347,238.507324,226.770737,228.926834,2226095,223.556946
"2020-11-06",229.453659,235.736588,228.995117,230.848785,1367043,225.433807
"2020-11-09",240.800003,241.78537,234.039017,234.448776,1977328,228.949356
