"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2020-07-01",295.959991,303.269989,295.119995,301.170013,3801300,297.690186
"2020-07-02",304.329987,306.890015,301.309998,302.420013,3290100,298.925751
"2020-07-06",306.649994,307.320007,303.170013,305.570007,3013300,302.039368
"2020-07-07",303.190002,307.790009,299.399994,299.910004,3633100,296.444733
"2020-07-08",300.910004,301.540009,297.399994,300.149994,4115000,297.078156
"2020-07-09",299.619995,300.720001,290.559998,294.589996,5042800,291.575073
"2020-07-10",294,296.959991,291.5,295.679993,3030900,292.653931
"2020-07-13",297.859985,298.619995,290.019989,290.179993,4853700,287.210236
"2020-07-14",292,299.100006,288.649994,298.950012,4795900,295.890472
"2020-07-15",303,306.769989,301.390015,305.720001,5257300,302.591156
"2020-07-16",302.970001,303.529999,298.910004,299.350006,3312100,296.286377
"2020-07-17",301.730011,305.23999,299.410004,304.059998,3169800,300.948151
"2020-07-20",301.920013,314.98999,301.920013,311.959991,5279400,308.767334
"2020-07-21",313,314.049988,306.299988,307.600006,3562100,304.451965
"2020-07-22",308.130005,313.570007,308.130005,313.369995,3303100,310.162903
"2020-07-23",313.549988,317.23999,308.720001,309.899994,3118500,306.728394
"2020-07-24",306.480011,310.730011,304.540009,306.920013,2500300,303.778961
"2020-07-27",307.059998,310,306.019989,308.859985,2311600,305.699036
"2020-07-28",308.5,310.200012,306.029999,306.329987,2116300,303.194946
"2020-07-29",304.5,311.660004,304.119995,309.299988,3542400,306.134521
"2020-07-30",304,312.820007,303.040009,309,3941600,305.837555
"2020-07-31",310,310.089996,305.609985,308.529999,4684400,305.372437
"2020-08-03",311,313.5,309.299988,312.589996,3907800,309.390869
"2020-08-04",312.5,315.690002,311.100006,314.390015,3409200,311.172485
"2020-08-05",316.369995,329.679993,315.869995,328,5677200,324.643158
"2020-08-06",327.399994,331.220001,325.899994,330.140015,4839800,326.761292
"2020-08-07",328,328.329987,323.929993,328.019989,3662500,324.662933
"2020-08-10",327.190002,329.73999,321.859985,322.880005,3752100,319.575562
