"","EMR.Open","EMR.High","EMR.Low","EMR.Close","EMR.Volume","EMR.Adjusted"
"2020-07-01",62.09,62.330002,60.919998,61.209999,2486500,58.414597
"2020-07-02",62.240002,63.439999,61.59,61.650002,2327700,58.834507
"2020-07-06",62.880001,63.040001,61.830002,62.509998,2543800,59.65522
"2020-07-07",62.09,62.25,60.630001,60.82,2977800,58.042408
"2020-07-08",61.099998,61.34,60.52,61.09,2624600,58.300076
"2020-07-09",60.98,61.200001,59.349998,59.470001,2039700,56.754066
"2020-07-10",59.68,59.93,59.07,59.77,2331000,57.040363
"2020-07-13",60.060001,61.939999,59.880001,60.830002,3155700,58.051949
"2020-07-14",60.349998,62.27,59.830002,62.09,2889400,59.254402
"2020-07-15",63.48,63.959999,62.57,63.630001,2262600,60.724079
"2020-07-16",63.240002,64.099998,62.790001,63.139999,2493400,60.256458
"2020-07-17",63.610001,63.919998,63.209999,63.529999,2091300,60.628643
"2020-07-20",62.830002,63.380001,62.040001,62.349998,1936500,59.502537
"2020-07-21",63.110001,64.260002,63,63.790001,2509100,60.87677
"2020-07-22",63.540001,64.019997,63.18,63.959999,2143300,61.039005
"2020-07-23",63.900002,64.339996,63.630001,64.010002,1659300,61.086727
"2020-07-24",64.239998,64.330002,63.240002,63.360001,1427700,60.466408
"2020-07-27",63.16,63.610001,62.75,63.41,2496600,60.514118
"2020-07-28",63.080002,63.419998,62.189999,62.27,2341100,59.426193
"2020-07-29",62.759998,63.889999,62.419998,63.740002,2749100,60.82906
"2020-07-30",62.790001,62.93,61.650002,62.650002,2103400,59.788834
"2020-07-31",62.310001,62.32,60.779999,62.009998,3472300,59.178062
"2020-08-03",62.369999,63.650002,62.220001,62.77,2822800,59.903358
"2020-08-04",62.790001,63.619999,61.41,61.93,3501200,59.101715
"2020-08-05",63.130001,64.970001,62.790001,64.690002,3171200,61.735676
"2020-08-06",65,65.32,64.559998,65.120003,2060500,62.146042
"2020-08-07",65.339996,66.410004,64.660004,66.370003,3830900,63.338947
"2020-08-10",66.410004,68.550003,66.389999,68.169998,3431700,65.05674
"2020-08-11",69.940002,71.540001,69.910004,70.290001,5554800,67.07991
"2020-08-12",70.949997,71.910004,70.309998,71.790001,6259200,68.511414
"2020-08-13",70.639999,71.209999,69.980003,70.199997,3635500,67.46389
"2020-08-14",69.550003,70.309998,69.400002,69.730003,2018400,67.012215
"2020-08-17",69.989998,70.510002,69.040001,69.25,1435000,66.550919
"2020-08-18",68.910004,69.440002,68.290001,68.360001,2302500,65.69561
"2020-08-19",68.650002,68.860001,67.900002,68.32,3145700,65.657173
"2020-08-20",67.68,67.970001,67.410004,67.660004,2830600,65.022903
"2020-08-21",67.790001,68.040001,67.410004,67.860001,2730400,65.215103
"2020-08-24",68.230003,69.650002,67.940002,69.650002,2539100,66.935341
"2020-08-25",70.290001,70.489998,69.110001,69.779999,2094900,67.060272
"2020-08-26",69.870003,70.709999,69.040001,70.269997,2901700,67.531174
"2020-08-27",70.720001,71.190002,69.129997,69.589996,2122700,66.87767
"2020-08-28",69.610001,70.93,69.269997,70.650002,2049600,67.89637
"2020-08-31",70.5,70.589996,69.260002,69.470001,2387300,66.762352
"2020-09-01",69.459999,70.169998,69.040001,70.129997,2255600,67.396629
"2020-09-02",69.790001,70.970001,69.709999,70.699997,2880900,67.944412
"2020-09-03",70.849998,71.080002,68.18,68.739998,2243200,66.060799
"2020-09-04",69.760002,70.550003,68.650002,69.540001,2236400,66.829628
"2020-09-08",68.699997,69.040001,67.599998,67.760002,2716700,65.119003
"2020-09-09",68.580002,69.540001,68.300003,68.699997,1671800,66.022354
"2020-09-10",68.860001,69.169998,67.199997,67.510002,2226900,64.878746
"2020-09-11",67.910004,68.480003,67.489998,67.919998,2253600,65.272758
"2020-09-14",68.43,68.82,67.730003,68.190002,2684300,65.532242
"2020-09-15",68.519997,69.540001,68.339996,68.410004,2233600,65.743675
"2020-09-16",68.93,69.32,67.519997,68.68,3143600,66.003151
"2020-09-17",67.93,69.379997,67.230003,69.089996,2398200,66.397148
"2020-09-18",68.730003,69.620003,67.75,67.849998,3503600,65.205482
"2020-09-21",66.5,66.889999,64.150002,64.980003,2767600,62.44735
"2020-09-22",64.839996,65.68,64.489998,65.230003,2114200,62.687618
"2020-09-23",65.580002,66.32,63.740002,63.889999,1918600,61.399837
"2020-09-24",63.709999,65.099998,63.16,64.389999,1646100,61.880352
"2020-09-25",63.689999,64.639999,63.610001,64.330002,1847500,61.822689
"2020-09-28",65.550003,66.230003,65.190002,65.519997,1949300,62.96629
"2020-09-29",65.739998,65.949997,64.709999,65.160004,1379200,62.620342
"2020-09-30",65.620003,66.639999,65.029999,65.57,2687100,63.014355
"2020-10-01",66.230003,66.339996,64.160004,64.629997,2314800,62.110996
"2020-10-02",63.380001,66.309998,63.259998,65.540001,2090100,62.985531
"2020-10-05",66.5,67.839996,66.309998,67.589996,2295300,64.95562
"2020-10-06",67.779999,69.129997,67.169998,67.279999,2160900,64.657707
"2020-10-07",68.209999,69.07,67.870003,68.879997,1883300,66.195351
"2020-10-08",69.230003,69.580002,68.699997,69.279999,1627100,66.579758
"2020-10-09",70,71.199997,69.910004,69.949997,3006300,67.22364
"2020-10-12",70.300003,70.470001,69.209999,69.580002,1999800,66.868073
"2020-10-13",69.650002,69.980003,68.449997,68.889999,1879000,66.204971
"2020-10-14",69.080002,70.139999,69.080002,69.379997,1914100,66.675858
"2020-10-15",68.419998,69.599998,68.309998,69.580002,2020600,66.868073
"2020-10-16",70,70.800003,69.870003,70.279999,2848200,67.540771
"2020-10-19",70.330002,70.730003,69.739998,69.959999,3219500,67.233253
"2020-10-20",70.389999,71.089996,69.739998,70,1882800,67.271698
"2020-10-21",69.389999,70.32,69.089996,69.209999,2525600,66.512482
"2020-10-22",69.57,69.870003,69.209999,69.760002,1556800,67.041061
"2020-10-23",70.480003,70.900002,69.690002,70.019997,2044800,67.290909
"2020-10-26",69.18,69.18,67.050003,67.730003,2515000,65.090164
"2020-10-27",67.57,68.050003,66.839996,66.919998,3109900,64.311737
"2020-10-28",65.220001,66.150002,64.489998,64.989998,3326000,62.456963
"2020-10-29",64.529999,65.5,64.150002,64.440002,4505500,61.928406
"2020-10-30",64.410004,64.809998,63.650002,64.790001,3902900,62.264763
"2020-11-02",65.900002,68.349998,65.739998,67.959999,5200400,65.311203
"2020-11-03",68.199997,70.870003,68.07,70.400002,4692000,67.656105
"2020-11-04",68.669998,69.919998,66.5,68.150002,4053500,65.493797
"2020-11-05",69.860001,71.230003,69.169998,70.470001,2700700,67.723373
"2020-11-06",70.559998,70.699997,69.559998,70.120003,2348900,67.387024
"2020-11-09",75,77.559998,75,76.290001,6659400,73.316544
"2020-11-10",76.559998,77.910004,75.970001,77.440002,3291200,74.421715
"2020-11-11",77.18,77.400002,74.779999,74.900002,3441200,71.980721
"2020-11-12",74.419998,74.75,73.470001,74.230003,2387300,71.821068
"2020-11-13",74.610001,75.919998,74.610001,75.809998,1788800,73.349792
"2020-11-16",77.230003,78.139999,76.510002,77.989998,2742300,75.459045
"2020-11-17",77.75,77.879997,75.82,76.389999,2269800,73.910965
"2020-11-18",76.779999,78.110001,76.410004,76.889999,2559500,74.394737
"2020-11-19",76.68,77.360001,75.889999,77.239998,1563300,74.733391
"2020-11-20",77,77.050003,75.470001,75.959999,1810700,73.494926
"2020-11-23",76.620003,77.989998,76.519997,77.809998,2205800,75.284882
"2020-11-24",78.989998,80.190002,78.510002,79.949997,4222500,77.355438
"2020-11-25",79.32,79.459999,78.209999,78.260002,1658700,75.720291
"2020-11-27",78.730003,79.089996,77.839996,78.160004,664100,75.623528
"2020-11-30",78,78,75.970001,76.82,2724600,74.327011
"2020-12-01",77.949997,78.339996,75.650002,75.769997,3076700,73.311089
"2020-12-02",74.550003,76.150002,74.5,75.900002,3035300,73.436874
"2020-12-03",75.940002,76.370003,75.360001,75.480003,2582700,73.030502
"2020-12-04",75.709999,80.440002,75.580002,80.099998,5503000,77.50058
"2020-12-07",79.830002,79.970001,78.25,79.169998,4038900,76.600746
"2020-12-08",78.220001,81.480003,78.110001,81.339996,3918000,78.700325
"2020-12-09",81.370003,82,80.730003,81.599998,3746700,78.951897
"2020-12-10",81.349998,81.839996,80.639999,81.360001,2990200,78.719688
"2020-12-11",80.589996,82.650002,80.5,82.419998,3870800,79.745277
"2020-12-14",82.82,83.139999,80.32,80.410004,3428200,77.800514
"2020-12-15",82.75,82.959999,80.860001,82.440002,3103900,79.764641
"2020-12-16",81.970001,82.379997,80.589996,81.279999,1852800,78.642265
"2020-12-17",81.919998,82.190002,80.440002,81.160004,2528200,78.526184
"2020-12-18",81.110001,81.510002,80.059998,80.900002,5390200,78.274612
"2020-12-21",79.029999,81.150002,78.410004,80.57,3195300,77.955322
"2020-12-22",80.300003,80.5,79.050003,79.330002,2860600,76.755554
"2020-12-23",79.989998,80.440002,79.330002,80.019997,2551100,77.423164
"2020-12-24",80.489998,80.489998,79.540001,79.980003,456600,77.384468
"2020-12-28",80.550003,81.290001,79.849998,79.870003,1736300,77.27803
"2020-12-29",80.519997,80.559998,78.440002,79.239998,1318300,76.668488
"2020-12-30",79.669998,80.230003,79.440002,79.82,1169900,77.229668
"2020-12-31",80.120003,80.480003,79.110001,80.370003,1239800,77.761803
"2021-01-04",80.580002,80.959999,77.760002,78.010002,2227700,75.478401
"2021-01-05",78.18,79.75,78.010002,79.360001,2687600,76.784584
"2021-01-06",80.260002,83.120003,80.209999,82.029999,3791000,79.367935
"2021-01-07",82.690002,83.169998,81.400002,82.07,2435600,79.406647
"2021-01-08",82.57,82.669998,80.599998,81.82,2156900,79.164749
"2021-01-11",80.790001,83.120003,80.510002,82.620003,1749700,79.938797
"2021-01-12",82.620003,84.279999,82.519997,83.970001,2646300,81.244972
"2021-01-13",84.18,84.440002,82.43,82.639999,2189200,79.958153
"2021-01-14",82.879997,83.910004,82.620003,83.339996,1883200,80.635422
"2021-01-15",83.970001,83.970001,81.779999,82.75,2926900,80.064575
"2021-01-19",85,85.389999,83.419998,83.43,2981000,80.722511
"2021-01-20",83.599998,84.720001,83.220001,84.389999,2377900,81.651352
"2021-01-21",84.519997,84.879997,83.739998,84.260002,1796500,81.525558
"2021-01-22",83.540001,84.260002,82.290001,83.730003,2432200,81.012772
"2021-01-25",83.25,83.5,81.529999,82.480003,2137500,79.803337
"2021-01-26",82.980003,83.040001,81.669998,81.889999,2010900,79.232491
"2021-01-27",80.139999,80.879997,78.330002,79.519997,4835500,76.939392
"2021-01-28",80.449997,82.489998,79.82,81.080002,2530300,78.448776
"2021-01-29",80.639999,81.519997,78.949997,79.349998,3545400,76.77491
"2021-02-01",80.300003,81.480003,79.279999,80.82,3674900,78.197212
"2021-02-02",83.370003,84.809998,83,83.779999,4023200,81.06115
"2021-02-03",83.599998,83.730003,82.059998,83.68,3728700,80.964394
"2021-02-04",84.510002,85.129997,83.730003,84.160004,4457100,81.428818
"2021-02-05",85.040001,86.610001,84.589996,86.110001,3833100,83.315536
"2021-02-08",86.550003,87.07,85.779999,86.519997,3248500,83.712219
"2021-02-09",86.419998,86.519997,85.449997,85.900002,1565700,83.11235
"2021-02-10",86.279999,86.43,84.959999,85.059998,2540300,82.299606
"2021-02-11",85.290001,85.720001,83.639999,85.160004,1622400,82.888474
"2021-02-12",84.580002,85.580002,84.559998,85.330002,1400800,83.053947
"2021-02-16",86,86.199997,84.919998,85.07,2751300,82.800873
"2021-02-17",84.93,85.410004,84.209999,84.870003,1835400,82.606216
"2021-02-18",84.449997,84.629997,83.650002,84.379997,1334800,82.129272
"2021-02-19",84.75,86.120003,84.629997,85.449997,2461800,83.170731
"2021-02-22",85.440002,86.889999,84.330002,86.169998,2044000,83.871529
"2021-02-23",85.959999,87.160004,85.5,86.800003,2665000,84.484734
"2021-02-24",87.050003,89.099998,86.940002,88.970001,2827300,86.596848
"2021-02-25",88.470001,88.629997,86.889999,87.330002,2783000,85.000587
"2021-02-26",87.360001,87.879997,85.870003,85.900002,3235700,83.608734
"2021-03-01",87.07,89.169998,86.919998,88.440002,1844700,86.080986
"2021-03-02",88.330002,88.870003,87.449997,87.629997,2024900,85.292587
"2021-03-03",87.830002,89.529999,87.389999,88.529999,3487400,86.168579
"2021-03-04",88.459999,89.919998,86.760002,88.489998,3805000,86.129639
"2021-03-05",89.790001,91.269997,88.059998,91.040001,3299000,88.611626
"2021-03-08",92,93.379997,91.080002,92.129997,3993900,89.672554
"2021-03-09",92.650002,92.940002,89.980003,90,3371300,87.599373
"2021-03-10",90.349998,92.139999,90.080002,91.720001,3057500,89.273491
"2021-03-11",92.040001,92.75,91.019997,91.309998,2660000,88.874428
"2021-03-12",91.449997,92.25,91.129997,92.199997,2440200,89.740685
"2021-03-15",91.75,92.379997,89.639999,90.919998,2675000,88.494835
"2021-03-16",90.550003,90.75,88.540001,89.059998,3362200,86.684433
"2021-03-17",89.110001,90.690002,89,90.519997,2364900,88.105499
"2021-03-18",90.389999,91.809998,89.220001,89.459999,2301500,87.073776
"2021-03-19",88.970001,89.419998,87.260002,88.489998,10934600,86.129639
"2021-03-22",88.68,89.879997,87.790001,89.349998,2199000,86.966705
"2021-03-23",88.449997,89.720001,86.849998,87.220001,2643100,84.893517
"2021-03-24",88,89.919998,88,88.059998,2166900,85.711113
"2021-03-25",87.620003,89.440002,86.75,89.190002,2156800,86.810982
"2021-03-26",90.089996,91.699997,89.57,91.57,4093300,89.127495
"2021-03-29",91.029999,92.25,90.760002,91.230003,3267300,88.79657
"2021-03-30",91.519997,91.910004,90.650002,91.139999,2598500,88.708961
"2021-03-31",91.139999,91.650002,90.010002,90.220001,3555500,87.813499
"2021-04-01",90.169998,90.620003,89.550003,90.410004,3358500,87.998444
"2021-04-05",91.160004,92.550003,91.150002,91.610001,3658800,89.16642
"2021-04-06",91.830002,92.629997,91.129997,91.470001,2843700,89.030159
"2021-04-07",91.32,91.940002,90.580002,91.089996,2847400,88.660294
"2021-04-08",91.029999,91.209999,90.040001,91.040001,2422300,88.611626
"2021-04-09",91.470001,92.629997,90.93,91.940002,3256300,89.487625
"2021-04-12",91.900002,92.370003,91.580002,92.010002,2258600,89.555756
"2021-04-13",91.489998,91.650002,89.959999,90.629997,2728300,88.21257
"2021-04-14",90.540001,91.830002,90.480003,91.540001,2889500,89.098289
"2021-04-15",92.169998,92.300003,90.839996,91.720001,3053000,89.273491
"2021-04-16",92.690002,93.269997,91.809998,92.199997,2468700,89.740685
"2021-04-19",92.199997,92.660004,91.110001,91.790001,2532700,89.341629
"2021-04-20",91.410004,91.699997,89.910004,90.830002,2726300,88.407227
"2021-04-21",90.599998,92.25,90.43,92.110001,2373700,89.653084
"2021-04-22",92.470001,92.470001,91.419998,91.519997,2526100,89.078827
"2021-04-23",91.910004,92.879997,91.349998,92.459999,2374100,89.993752
"2021-04-26",92.769997,93.57,92.089996,92.129997,2246700,89.672554
"2021-04-27",92.290001,92.410004,91.389999,92.160004,1925700,89.701759
"2021-04-28",92.110001,92.690002,91.779999,92.080002,1449000,89.623894
"2021-04-29",92.849998,92.910004,91.879997,92.790001,1611700,90.314949
"2021-04-30",92.120003,92.449997,90.129997,90.489998,2537900,88.076302
"2021-05-03",91.669998,91.93,90.690002,90.93,2396400,88.504562
"2021-05-04",90.510002,91.269997,89.580002,91.110001,3092500,88.679764
"2021-05-05",89.769997,91.389999,89.029999,90.889999,4966300,88.46563
"2021-05-06",91.519997,93.860001,91.010002,93.720001,4282700,91.220146
"2021-05-07",93.660004,95.260002,92.610001,95.050003,3415600,92.514679
"2021-05-10",95.599998,96.900002,95.370003,95.379997,2357600,92.835861
"2021-05-11",94.5,95.650002,93.769997,95.260002,3358400,92.71907
"2021-05-12",95.190002,95.449997,93.190002,93.349998,4069900,90.860008
"2021-05-13",92.919998,95.120003,92.790001,94.709999,2292600,92.685143
"2021-05-14",95.339996,96.169998,94.959999,95.839996,1942200,93.790977
"2021-05-17",95.730003,96.050003,94.93,95.519997,2305100,93.477829
"2021-05-18",95.620003,95.889999,94.080002,94.220001,1993500,92.205612
"2021-05-19",92.650002,93.349998,91.75,93.32,2750600,91.32486
"2021-05-20",93.550003,93.769997,92.800003,93.440002,2146000,91.442299
"2021-05-21",93.980003,94.639999,92.940002,93.650002,2421900,91.647804
"2021-05-24",94.150002,94.529999,93.309998,94.010002,1872800,92.000114
"2021-05-25",94.019997,94.629997,93.260002,93.410004,1991100,91.412941
"2021-05-26",93.339996,93.75,92.610001,93.309998,1982400,91.315063
"2021-05-27",94.529999,95.660004,94.110001,95.449997,3795300,93.409325
"2021-05-28",95.739998,96,94.959999,95.690002,2555500,93.644196
"2021-06-01",96.910004,97.239998,96.279999,97.099998,2408800,95.024048
"2021-06-02",97.169998,97.580002,96.470001,97.480003,2303400,95.395927
"2021-06-03",97.309998,97.970001,96.660004,97.5,1911400,95.415497
"2021-06-04",98,98.739998,97.75,98.209999,1770100,96.110321
