"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2020-12-04",116.800003,117.669998,116.800003,117.540001,1638500,114.705513
"2020-12-07",117.540001,117.910004,116.459999,116.769997,1173500,113.954086
"2020-12-08",115.919998,117.269997,115.779999,116.75,1234700,113.934555
"2020-12-09",117.279999,117.279999,115.599998,116.580002,1611700,113.768669
"2020-12-10",116.139999,116.650002,114.709999,114.940002,1672900,112.168213
"2020-12-11",114.830002,116.160004,114.160004,115.410004,1426100,112.626869
"2020-12-14",115.970001,116.839996,114.730003,114.779999,1227700,112.01207
"2020-12-15",116.029999,116.82,115.559998,116.779999,1479400,113.963837
"2020-12-16",116.650002,117.129997,115.879997,116.080002,997200,113.280724
"2020-12-17",116.540001,118.349998,116.360001,117.510002,1890600,114.676247
"2020-12-18",117.839996,118.629997,116.919998,117.410004,3232700,114.578651
"2020-12-21",116.489998,116.709999,114.169998,116.510002,1392300,113.700348
"2020-12-22",116.790001,118.019997,115.970001,117.919998,1695200,115.076355
"2020-12-23",117.809998,118.309998,116.230003,116.25,957100,113.446625
"2020-12-24",116.459999,117.019997,116.209999,117,466100,114.178535
"2020-12-28",117.5,118.290001,116.699997,118.089996,1172200,115.242241
"2020-12-29",118.5,118.900002,116.529999,116.82,863900,114.002869
"2020-12-30",116.870003,117.459999,116.459999,116.93,735900,114.110222
"2020-12-31",116.57,118.059998,116.480003,117.93,898500,115.086105
"2021-01-04",118,118.07,114.260002,114.830002,1731000,112.060875
"2021-01-05",114.510002,115.419998,114.050003,115.209999,1336100,112.431702
"2021-01-06",115.800003,118.440002,115.209999,117.760002,1617800,114.920212
"2021-01-07",117.5,118.389999,116.879997,118.050003,1827600,115.203217
"2021-01-08",118.389999,118.949997,117.230003,118.599998,1372700,115.739952
"2021-01-11",117.599998,118.120003,116.660004,117.040001,1541600,114.217575
"2021-01-12",117.199997,117.639999,115.519997,116.400002,1477600,113.59301
"2021-01-13",116.129997,116.839996,115.610001,116.209999,1444800,113.407585
"2021-01-14",116.629997,116.760002,114.43,114.639999,1605700,111.875443
"2021-01-15",114.25,115.5,114.099998,114.720001,3799200,111.953522
"2021-01-19",115.559998,116.330002,114.779999,115.010002,1636900,112.236526
"2021-01-20",115.07,115.849998,114.830002,115.050003,1916200,112.275566
"2021-01-21",114.919998,115.199997,112.970001,114.580002,2268400,111.816895
"2021-01-22",114.440002,115.800003,113.82,115.360001,1978100,112.578087
"2021-01-25",115.360001,116.019997,113.949997,114.190002,1542500,111.436302
"2021-01-26",114.510002,114.540001,113.660004,113.949997,1709500,111.20208
"2021-01-27",113,113.230003,110.150002,110.959999,2504800,108.284195
"2021-01-28",111.5,114.459999,111.300003,112.110001,1952600,109.406464
"2021-01-29",111.709999,112.639999,110.449997,111.32,1891900,108.635506
"2021-02-01",111.889999,112.589996,111.160004,112.089996,1229600,109.38694
"2021-02-02",112.910004,113.910004,112.589996,113,1579500,110.275002
"2021-02-03",112.889999,113.290001,112.050003,112.220001,1343100,109.513794
"2021-02-04",112.18,113.5,111.879997,113.080002,1206400,110.353073
"2021-02-05",113.589996,114.599998,113.32,113.730003,1423200,110.987396
"2021-02-08",114.080002,114.75,113.650002,114.379997,1618200,111.621712
"2021-02-09",114.379997,114.769997,113.459999,113.550003,1155700,110.811745
"2021-02-10",114.25,114.419998,112.440002,113.690002,1733900,110.948349
"2021-02-11",114,114.150002,112.889999,113.220001,1289800,110.489685
"2021-02-12",112.839996,113.339996,112.370003,113.25,1123100,110.518974
"2021-02-16",112.230003,113.790001,112.120003,112.599998,2077700,109.884651
