"","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2020-07-01",61.779999,62.900002,61.23,61.610001,6860300,58.597801
"2020-07-02",62.669998,63.459999,61.619999,61.790001,8238300,58.768997
"2020-07-06",63.060001,63.830002,62.119999,63.32,6128200,60.224194
"2020-07-07",62.540001,62.830002,60.939999,61.009998,8783000,58.027138
"2020-07-08",60.880001,61.639999,60.200001,61.009998,9306900,58.027138
"2020-07-09",60.66,60.880001,58.060001,58.110001,10778900,55.268917
"2020-07-10",59.099998,60.200001,58.77,59.639999,10458000,56.724113
"2020-07-13",60.279999,60.799999,58.740002,59.349998,7440800,56.448296
"2020-07-14",59,60.560001,58.450001,60.470001,7256800,57.513538
"2020-07-15",62.349998,63.220001,62.049999,62.939999,9036900,59.862774
"2020-07-16",62.299999,62.810001,61.450001,62.369999,5684100,59.320644
"2020-07-17",62.470001,62.610001,61.709999,62.200001,10789100,59.158955
"2020-07-20",61.779999,62.029999,60.82,61.41,6688300,58.407578
"2020-07-21",62,63.48,61.830002,63.049999,7395200,59.967396
"2020-07-22",62.599998,63.73,62.169998,63.630001,5758700,60.519043
"2020-07-23",63.59,64.330002,62.880001,63.119999,6043300,60.03397
"2020-07-24",63.209999,63.970001,61.790001,62.07,6058900,59.035309
"2020-07-27",61.650002,61.849998,60.650002,61.09,10194300,58.10323
"2020-07-28",61.740002,61.82,59.75,61,13111800,58.01762
"2020-07-29",60.700001,60.990002,59.060001,59.400002,11162500,56.495853
"2020-07-30",58.619999,58.650002,57.27,57.459999,12292100,54.6507
"2020-07-31",57.360001,57.380001,56.110001,56.68,11437200,53.90884
"2020-08-03",56.470001,57.52,55.73,57.509998,8789300,54.698257
"2020-08-04",57.720001,57.91,57.119999,57.509998,7844600,54.698257
"2020-08-05",57.849998,60.049999,57.700001,60.029999,10115900,57.095043
"2020-08-06",59.5,60.41,59.299999,59.869999,5786700,56.942867
"2020-08-07",59.869999,61.290001,59.349998,61.23,6263100,58.236378
"2020-08-10",61.5,64.440002,61.360001,64.230003,10042600,61.089706
"2020-08-11",65.190002,66.150002,64.080002,64.260002,12120800,61.11824
"2020-08-12",65.129997,65.139999,63.380001,64.290001,7327000,61.146774
"2020-08-13",63.060001,64.040001,62.650002,63.299999,9452000,60.653301
"2020-08-14",62.799999,64.239998,62.59,63.639999,5124400,60.979088
"2020-08-17",63.580002,63.880001,62.68,62.77,6408400,60.145462
"2020-08-18",62.720001,63.169998,62.029999,62.099998,4727700,59.503483
"2020-08-19",62.02,62.91,61.5,61.639999,5381200,59.062714
"2020-08-20",61,61.419998,60.34,60.990002,4689200,58.439892
"2020-08-21",60.669998,61.279999,60.23,60.27,7067400,57.749992
"2020-08-24",60.400002,62.040001,60.130001,61.880001,6379800,59.292683
