"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2020-07-01",183.259995,186.619995,179.789993,180.589996,1025600,175.335648
"2020-07-02",183.809998,187.990005,181.270004,182.979996,809100,177.656113
"2020-07-06",186.710007,188.860001,184.589996,186.5,685600,181.073715
"2020-07-07",184.800003,185.779999,181.949997,182.339996,745700,177.034744
"2020-07-08",182.889999,184.039993,177.899994,179.130005,1432900,173.918167
"2020-07-09",178.929993,179.729996,174.070007,176.320007,1095800,171.189926
"2020-07-10",176.75,176.910004,174.5,175.399994,1200000,170.296677
"2020-07-13",177.690002,180.539993,175.399994,176,1464600,170.879211
"2020-07-14",176.5,183.779999,174.880005,183.660004,1119500,178.31636
"2020-07-15",188.190002,189,183.970001,186.820007,1614500,181.384415
"2020-07-16",186.220001,186.279999,182.369995,184.460007,1027600,179.093079
"2020-07-17",185.380005,186.330002,183.75,184.960007,628100,179.578522
"2020-07-20",183.669998,184.309998,180.160004,181.309998,562700,176.034698
"2020-07-21",182.600006,185.770004,182.25,183.210007,954700,177.87944
"2020-07-22",182.919998,185.550003,182.300003,184.800003,621900,179.423172
"2020-07-23",184.229996,185.789993,182.919998,184.059998,448400,178.704712
"2020-07-24",184.009995,184.899994,182.029999,182.860001,423200,177.539612
"2020-07-27",182.869995,186.119995,180.660004,185.649994,645200,180.248428
"2020-07-28",184.960007,185.809998,180.350006,180.369995,470500,175.12207
"2020-07-29",182.440002,183.580002,180.899994,183.539993,1476200,178.199814
"2020-07-30",180.5,180.830002,175.020004,180.520004,807000,175.267715
"2020-07-31",180.5,180.5,175.649994,178.919998,876300,173.714264
"2020-08-03",179.649994,183.429993,178.679993,181.889999,656100,176.597839
"2020-08-04",181.210007,182.699997,180.139999,181.259995,693100,175.986145
"2020-08-05",183.470001,186.809998,183.020004,185.610001,1033100,180.209595
"2020-08-06",186,194.720001,185.690002,193.029999,2048700,187.413712
"2020-08-07",194.990005,198.039993,192.630005,197.600006,1130700,191.850769
"2020-08-10",197.559998,204.630005,197.369995,204.470001,1093700,198.520844
"2020-08-11",207.289993,213.860001,206.770004,208.529999,1966400,202.462753
"2020-08-12",210.580002,211.259995,206.860001,209.559998,907100,203.462769
"2020-08-13",207.5,209.289993,206.580002,207.899994,603600,201.851059
"2020-08-14",206.059998,210.929993,205.869995,209.619995,552500,203.521042
"2020-08-17",209.429993,211.330002,208.460007,208.729996,614800,202.656921
"2020-08-18",208.25,209.160004,206.369995,206.720001,570400,200.705399
"2020-08-19",206.449997,208.070007,205.210007,206.110001,512700,200.113144
"2020-08-20",203.740005,206.210007,202.970001,204.869995,626200,198.909195
"2020-08-21",204.759995,207.830002,204.630005,206.320007,893600,200.317047
"2020-08-24",207.369995,210.289993,206.139999,209.770004,785600,203.666656
"2020-08-25",210.869995,211.240005,207.889999,209.529999,769400,203.43364
"2020-08-26",208.279999,210.589996,207.410004,209.779999,969800,203.676361
"2020-08-27",210.75,211.690002,207.720001,207.789993,616600,202.594101
"2020-08-28",209.110001,211.220001,208.389999,210.470001,854000,205.207092
"2020-08-31",209.360001,209.960007,205.949997,206.009995,1027500,200.858627
"2020-09-01",205,211.979996,203.570007,211.770004,996800,206.474579
"2020-09-02",212.869995,215.210007,210.660004,214.330002,1011100,208.970581
"2020-09-03",214,214.539993,204.410004,206.309998,998400,201.151138
"2020-09-04",209.070007,210.570007,204.809998,207.300003,1399100,202.116364
"2020-09-08",205.229996,207.350006,202.860001,203.110001,650100,198.031158
"2020-09-09",205,208.800003,204.800003,207.089996,702100,201.911621
"2020-09-10",207.970001,209.539993,203.520004,204.309998,624300,199.201157
"2020-09-11",205.639999,209.960007,205.110001,209.130005,865800,203.90062
"2020-09-14",211.160004,212.440002,209.419998,211.440002,988000,206.152847
"2020-09-15",212.309998,214.25,209.770004,209.929993,524100,204.680603
"2020-09-16",212.229996,217.589996,211.100006,214.330002,710100,208.970581
"2020-09-17",211.710007,215.889999,208.460007,214.070007,685800,208.717087
"2020-09-18",213.600006,215.449997,207.789993,208.410004,951000,203.198608
"2020-09-21",202.850006,204.399994,194.419998,198.990005,1110000,194.014191
"2020-09-22",198.899994,201.089996,197.350006,200.630005,557000,195.613159
"2020-09-23",200,204.009995,195.119995,195.470001,902900,190.582199
"2020-09-24",195.470001,198.970001,192.25,195.919998,593700,191.02092
"2020-09-25",193.610001,201.360001,193.399994,199.979996,575000,194.979401
"2020-09-28",203.139999,206.710007,202.449997,202.940002,529000,197.865417
"2020-09-29",203.130005,204.639999,200.429993,202.179993,398900,197.124374
"2020-09-30",203.410004,206.770004,199.889999,202.339996,961000,197.280396
"2020-10-01",203.429993,205.100006,198.809998,200.729996,744500,195.710663
"2020-10-02",198.130005,210.979996,196.979996,207.300003,941700,202.116364
"2020-10-05",210.830002,214.039993,210.130005,213.139999,829700,207.810333
"2020-10-06",213.380005,217,209.429993,209.839996,568900,204.59285
"2020-10-07",212.979996,217.839996,212.800003,217.550003,636500,212.110077
"2020-10-08",218.690002,218.770004,215.309998,217.910004,419800,212.46106
"2020-10-09",220.190002,221.160004,217.729996,218.110001,579700,212.656067
"2020-10-12",219.190002,219.5,216.630005,218.070007,656500,212.617065
"2020-10-13",216.449997,217.860001,214.399994,215.520004,458300,210.130829
"2020-10-14",216.25,219.050003,215.610001,216.020004,475600,210.618347
"2020-10-15",212.619995,222.729996,211.820007,222.660004,831300,217.092316
"2020-10-16",223.470001,226.589996,222.309998,222.860001,1465800,217.287292
"2020-10-19",222.759995,225.880005,220.759995,221.570007,813900,216.029556
"2020-10-20",222.369995,226.770004,222.369995,223.570007,690300,217.979553
"2020-10-21",223.570007,225.139999,221.789993,222.389999,620500,216.829041
"2020-10-22",223.270004,226.229996,222.740005,225.350006,522500,219.715042
"2020-10-23",227.470001,228.669998,224.259995,226.160004,587800,220.504761
"2020-10-26",222.979996,223,216.690002,218.729996,601600,213.260559
"2020-10-27",217.710007,218.660004,211.600006,211.759995,797700,206.464859
"2020-10-28",206.449997,209.279999,203.029999,203.229996,759900,198.148132
"2020-10-29",202.800003,210.389999,200.029999,207.839996,665100,202.642853
"2020-10-30",207.330002,209.649994,204.660004,208.360001,944700,203.149872
"2020-11-02",212.449997,219.139999,211.029999,218.020004,798600,212.568314
"2020-11-03",222.229996,227.679993,220.949997,226.199997,1007400,220.543777
"2020-11-04",223.460007,224.419998,216.919998,217.940002,1062800,212.490326
"2020-11-05",228.669998,239.559998,226.990005,237.979996,2165400,232.969894
"2020-11-06",236.770004,238.490005,236.110001,237.559998,1021000,232.558716
"2020-11-09",260,269.119995,251.770004,252.789993,2094300,247.468079
"2020-11-10",252.639999,262.730011,252.639999,261.160004,1669600,255.661926
"2020-11-11",262.910004,263.5,257.589996,260.769989,1542800,255.280106
"2020-11-12",260.579987,260.970001,255.070007,256.869995,2005800,251.462219
"2020-11-13",259.570007,261.76001,256.369995,258.98999,827600,253.537552
"2020-11-16",265.269989,269.799988,261.01001,267.890015,917900,262.250244
"2020-11-17",265.359985,265.48999,259.369995,263.119995,868600,257.580658
"2020-11-18",264.140015,268.170013,263.170013,265.040009,854200,259.460205
"2020-11-19",263.440002,268.98999,260.829987,268.839996,974800,263.180206
"2020-11-20",268.589996,268.709991,266.140015,267.119995,814700,261.496429
"2020-11-23",269.579987,273.440002,268.170013,271.910004,621800,266.185577
"2020-11-24",276.519989,280.290009,273.929993,279.859985,800800,273.96817
"2020-11-25",278.26001,278.269989,272.290009,274.100006,961700,268.329437
"2020-11-27",275.899994,277.359985,271.140015,272.850006,340200,267.105774
"2020-11-30",270.73999,271.25,265.299988,267.26001,924900,261.633484
"2020-12-01",271.609985,273.059998,269.179993,270.359985,890500,264.668182
"2020-12-02",268.76001,271.109985,265.700012,270.109985,825600,264.423431
"2020-12-03",269.390015,272.600006,268.420013,269.119995,1067700,263.454285
"2020-12-04",271.170013,277.049988,270.910004,275.73999,822800,269.934906
"2020-12-07",274.100006,274.579987,268.850006,271.540009,1193400,265.823364
"2020-12-08",269.059998,274.839996,269.059998,274.23999,701300,268.466522
"2020-12-09",275.179993,276.929993,272.380005,276.320007,587800,270.502777
"2020-12-10",275.059998,276.519989,272.480011,274.440002,651800,268.662323
"2020-12-11",270.829987,276.480011,270.829987,274.679993,561100,268.897247
"2020-12-14",278.109985,278.619995,270,270.089996,562300,264.40387
"2020-12-15",274.040009,277.089996,270.540009,275.790009,538400,269.983887
"2020-12-16",275.679993,276.209991,271.410004,272.809998,465300,267.06662
"2020-12-17",274.51001,274.609985,271.290009,273.299988,664100,267.546326
"2020-12-18",273.040009,275.600006,270.459991,272,1283400,266.273682
"2020-12-21",266.220001,273.140015,264.25,272.790009,609200,267.047058
"2020-12-22",272.459991,272.459991,267.089996,267.579987,891800,261.946716
"2020-12-23",269.579987,271.059998,267.679993,269.399994,1062100,263.728455
"2020-12-24",269.100006,271.079987,267.329987,269.450012,139800,263.777374
"2020-12-28",270.98999,272.140015,267.649994,267.700012,543900,262.064209
"2020-12-29",269.309998,270.73999,263,266.130005,551600,260.527283
"2020-12-30",267.459991,271.209991,267.459991,270.220001,330600,264.531158
"2020-12-31",269.5,272.75,267.970001,272.410004,458700,266.675049
"2021-01-04",273.51001,275.029999,264.200012,266.019989,615300,260.419586
"2021-01-05",265.320007,273.709991,265.320007,272.019989,621300,266.293243
"2021-01-06",274.369995,286.369995,274.190002,280.850006,861200,274.937378
"2021-01-07",284.589996,285.559998,279.709991,281.359985,856100,275.436615
"2021-01-08",281.399994,282.670013,275.980011,280.660004,1279700,274.751373
"2021-01-11",277.170013,285.440002,276.73999,284.019989,753600,278.040588
"2021-01-12",284.869995,290.209991,283.690002,287.76001,741500,281.701874
"2021-01-13",287.220001,289.109985,285.390015,286.220001,872700,280.194305
"2021-01-14",288.869995,293.799988,287.769989,291.119995,557900,284.991089
"2021-01-15",287.980011,288.5,282.329987,285.170013,870300,279.166412
"2021-01-19",288.619995,291.179993,287.420013,288.799988,982400,282.720032
"2021-01-20",290.549988,290.709991,286.190002,286.869995,851000,280.830658
"2021-01-21",287.279999,287.940002,278.679993,279.200012,821500,273.322113
"2021-01-22",275.920013,276.380005,271.679993,275.170013,1114100,269.376953
"2021-01-25",274,274.970001,265.320007,269.769989,1075400,264.090607
"2021-01-26",271.970001,272.470001,266.320007,267.040009,832700,261.418091
"2021-01-27",260.859985,262.420013,247.410004,249.919998,1454400,244.658524
"2021-01-28",256.679993,268.049988,255.789993,265.540009,1307100,259.949677
"2021-01-29",263.049988,267.609985,260.429993,264.609985,1265100,259.039215
"2021-02-01",267.769989,269.209991,263.589996,268.190002,689100,262.543884
"2021-02-02",271.51001,273.730011,267.480011,268.380005,995400,262.729889
"2021-02-03",268.51001,272.51001,267.380005,271.220001,665600,265.510071
"2021-02-04",287.850006,287.850006,268.980011,268.980011,2073800,263.317291
"2021-02-05",274.549988,281.690002,274.549988,279.470001,1529100,273.586395
"2021-02-08",281.459991,281.75,275.579987,278.640015,858000,272.773834
"2021-02-09",276.850006,278.200012,269.890015,275.660004,942600,270.711609
"2021-02-10",275.649994,276.779999,269.920013,272.929993,860900,268.030609
"2021-02-11",275.579987,276.410004,266.720001,273.019989,1262300,268.118958
"2021-02-12",272.299988,276.329987,271.769989,276.23999,925700,271.281158
"2021-02-16",278.850006,279.690002,274.209991,276.220001,908900,271.261536
"2021-02-17",274.890015,275.829987,271.649994,272.01001,628300,267.127106
"2021-02-18",270.070007,272.160004,266.26001,268.339996,866800,263.52301
"2021-02-19",271.040009,280.73999,269.380005,279.730011,1621200,274.708588
"2021-02-22",279.730011,285.589996,278.119995,282.309998,1300900,277.242218
"2021-02-23",283.559998,286.679993,276.73999,286.01001,1133200,280.875824
"2021-02-24",285.920013,297.720001,285.290009,297.070007,1535600,291.737244
"2021-02-25",296.100006,297.859985,287.790009,289.390015,1216900,284.19516
"2021-02-26",289.170013,292.170013,284.109985,286.959991,829000,281.808716
"2021-03-01",292.149994,300.790009,291.609985,297.579987,639900,292.238098
"2021-03-02",296.529999,298.540009,295.089996,295.970001,645700,290.657043
"2021-03-03",296.910004,302.899994,295.619995,296.540009,751300,291.216797
"2021-03-04",295.119995,298.529999,288.119995,293.140015,1435800,287.877808
"2021-03-05",296.26001,300.839996,288.809998,299.98999,1147600,294.604828
"2021-03-08",301.899994,302.329987,297.649994,298.809998,1301700,293.446014
"2021-03-09",299.950012,301.880005,295.459991,295.890015,1339700,290.578461
"2021-03-10",298.350006,308.320007,296.549988,306.299988,1346700,300.801575
"2021-03-11",308.220001,313.790009,305.540009,308.269989,1506300,302.736206
"2021-03-12",309.850006,313.359985,308.269989,312.559998,713600,306.949188
"2021-03-15",311.850006,315.48999,310,314.910004,737100,309.25705
"2021-03-16",313.410004,315.630005,309.600006,309.920013,794900,304.356598
"2021-03-17",310.51001,316.049988,309.670013,314.670013,705700,309.021332
"2021-03-18",314.059998,321.73999,314.059998,315.049988,870100,309.394501
"2021-03-19",313.679993,314.459991,307.070007,311.049988,1114800,305.466309
"2021-03-22",311.049988,313.640015,306.570007,310.980011,841300,305.397552
"2021-03-23",310.100006,312,303.709991,305.700012,1253500,300.212341
"2021-03-24",307.829987,313.589996,307.829987,308.329987,576000,302.795135
"2021-03-25",306.649994,315.25,302.730011,314.25,579900,308.608856
