"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2021-03-26",317.529999,318.920013,313.329987,317.589996,1068200,311.888885
"2021-03-29",318.5,320.720001,316.299988,317.179993,548500,311.486267
"2021-03-30",317.079987,320.51001,316.190002,317.329987,694800,311.633545
"2021-03-31",317,319.190002,314.339996,315.429993,688300,309.7677
"2021-04-01",317.619995,318.209991,313.679993,316.209991,963400,310.53363
"2021-04-05",319.529999,320.809998,316.829987,319.179993,926600,313.450348
"2021-04-06",319.859985,323.799988,316.070007,317.170013,798900,311.476471
"2021-04-07",316.880005,319.950012,313.850006,316.839996,610000,311.152344
"2021-04-08",315.75,318.5,313.799988,318.459991,584300,312.743286
"2021-04-09",319.730011,321.089996,315.410004,321.089996,658300,315.32608
"2021-04-12",322.440002,322.820007,319.880005,321.179993,739400,315.414429
"2021-04-13",319.709991,320.25,314.399994,315.609985,681700,309.944427
"2021-04-14",317.01001,321.429993,316.51001,317.670013,509000,311.967468
"2021-04-15",319.679993,320.25,315.25,318.339996,458600,312.625458
"2021-04-16",321.630005,323.480011,317.600006,321.109985,565200,315.345673
"2021-04-19",320,320,315.519989,317.519989,765700,311.82019
"2021-04-20",315.51001,317.339996,308.450012,312.160004,774700,306.556396
"2021-04-21",311.450012,318.470001,309.630005,317.600006,476900,311.898712
"2021-04-22",317.769989,318.820007,313.670013,313.769989,512000,308.137451
"2021-04-23",316.640015,320,315.079987,318.119995,759500,312.409363
"2021-04-26",319,321.48999,317.440002,319.130005,736300,313.401245
"2021-04-27",319.48999,321,317.329987,319.540009,760800,313.803894
"2021-04-28",319.26001,322.100006,318,318.940002,859600,313.214691
"2021-04-29",317.769989,319.73999,309.26001,313.929993,1028000,308.294556
"2021-04-30",311.600006,314.619995,309.769989,313.809998,1063700,308.176758
"2021-05-03",317,318.070007,309.549988,311.380005,845300,305.790405
"2021-05-04",311.769989,314.640015,305.480011,313.76001,1441300,308.127655
"2021-05-05",314.470001,316.859985,310.149994,315.700012,752600,310.032837
"2021-05-06",315.070007,316.459991,311.420013,316.070007,1136400,311.41217
"2021-05-07",314.779999,321.299988,310,319.26001,775500,314.555206
"2021-05-10",321.040009,324.679993,315.869995,316.320007,1024500,311.658539
"2021-05-11",311.890015,314.899994,307.600006,312.690002,834500,308.082001
"2021-05-12",312.279999,313.899994,304,304.070007,683500,299.58905
"2021-05-13",304.850006,317.309998,304.649994,316.209991,1000300,311.55011
"2021-05-14",316.769989,324.209991,316.769989,321.839996,808000,317.097168
"2021-05-17",320.950012,321.529999,314.070007,316.73999,808100,312.072296
"2021-05-18",317.75,318.140015,311.049988,311.109985,906500,306.525269
"2021-05-19",305,307.230011,301,304.970001,1111300,300.475769
"2021-05-20",306.529999,306.829987,302.720001,305.130005,984200,300.633453
"2021-05-21",307.559998,309.51001,304.589996,305.820007,631700,301.313232
"2021-05-24",307.779999,308.589996,303.5,305.869995,508200,301.362488
"2021-05-25",306.230011,309.609985,304.149994,304.630005,496900,300.140808
"2021-05-26",304.829987,306.019989,302.220001,304.950012,506800,300.456085
"2021-05-27",309.559998,311,307.76001,308.079987,1378600,303.539917
"2021-05-28",309.149994,309.559998,306.48999,308.149994,718400,303.608887
"2021-06-01",312.369995,314.640015,310.359985,313.25,666600,308.633759
"2021-06-02",314.149994,314.570007,309.709991,310.470001,561600,305.894745
"2021-06-03",308.920013,311.119995,306.089996,309.25,512500,304.692719
"2021-06-04",309.220001,310.679993,306.51001,309.040009,598800,304.485779
"2021-06-07",309.589996,310.179993,305.029999,307.380005,458000,302.85025
"2021-06-08",307.950012,312.179993,305.190002,310.980011,523700,306.397217
"2021-06-09",309.630005,309.630005,305,305.399994,617100,300.899414
"2021-06-10",308.209991,308.390015,302.130005,303.160004,719600,298.692444
"2021-06-11",305.540009,306.75,300.690002,301.980011,771400,297.529816
"2021-06-14",301.459991,301.950012,295.140015,296.910004,1119500,292.534515
"2021-06-15",298.119995,298.209991,294.019989,295.890015,1746100,291.529602
"2021-06-16",295.339996,298.480011,291.700012,295.950012,866400,291.588715
"2021-06-17",295.869995,296.980011,281.980011,285.25,1239200,281.046387
"2021-06-18",280.940002,285.809998,280.5,280.98999,1532800,276.849152
"2021-06-21",284.890015,288.929993,282.559998,288.049988,845900,283.805115
"2021-06-22",287.200012,290.649994,285.230011,289.290009,778300,285.026855
"2021-06-23",292.950012,297.890015,290.579987,295.23999,1295000,290.88913
"2021-06-24",296.429993,299.720001,294.76001,298.869995,1111600,294.465668
"2021-06-25",300.350006,303.809998,299.829987,301.73999,1395900,297.293365
"2021-06-28",300.850006,305,297.070007,303.820007,1160900,299.342743
"2021-06-29",306.220001,307.850006,302.429993,302.649994,982200,298.189941
"2021-06-30",301.130005,307.670013,301.130005,307.109985,957300,302.584229
"2021-07-01",309.779999,310,306,307.029999,996500,302.505402
"2021-07-02",307.459991,309.75,305.880005,308.269989,709100,303.727142
"2021-07-06",306.820007,307.399994,301.529999,303.920013,1176100,299.441284
"2021-07-07",303.290009,310.619995,303.290009,308.23999,879400,303.697571
"2021-07-08",303.339996,311.769989,301.209991,306.880005,1155800,302.357605
"2021-07-09",311.350006,313.609985,310.359985,311.570007,649400,306.978516
"2021-07-12",309,313.529999,308.649994,313.390015,889400,308.771729
"2021-07-13",313.380005,313.609985,309.26001,309.799988,675600,305.234558
"2021-07-14",311.730011,311.98999,304.73999,306.829987,657600,302.30835
"2021-07-15",304.75,310.529999,304.179993,306.23999,704500,301.727081
"2021-07-16",307.399994,308.119995,299.5,300,659000,295.57901
"2021-07-19",293.859985,293.859985,286.230011,289.929993,910700,285.65741
"2021-07-20",290.200012,300.290009,289.359985,299.529999,1061700,295.115906
"2021-07-21",302.029999,307.049988,300.519989,305.179993,603500,300.682617
"2021-07-22",305.940002,305.940002,301.959991,302.910004,426200,298.446136
"2021-07-23",306.149994,307.720001,303.540009,306.679993,449500,302.160553
"2021-07-26",306.910004,309.359985,305.799988,309.230011,451100,304.673004
"2021-07-27",307.390015,312.079987,305.549988,309.179993,517500,304.623718
"2021-07-28",310.130005,310.549988,305.410004,306.320007,516300,301.805878
"2021-07-29",309,310.929993,306.75,309.339996,519100,304.781342
"2021-07-30",308.380005,312.160004,308,312.029999,491300,307.431732
"2021-08-02",306,318.5,305.25,305.459991,1355900,300.958588
"2021-08-03",304.160004,310.320007,301.329987,309.429993,772400,304.870026
"2021-08-04",306.339996,310.309998,303.230011,303.350006,830900,298.879639
"2021-08-05",302.890015,305.480011,298.769989,300.230011,1172300,295.805603
"2021-08-06",293.48999,302.059998,292.850006,298.529999,1413400,294.130646
"2021-08-09",298.679993,299.730011,294.390015,297.149994,1111000,292.770996
"2021-08-10",296.890015,301.320007,295.5,298.649994,1528600,294.248871
"2021-08-11",300.619995,301.910004,294.470001,296,2338300,291.63797
"2021-08-12",295.190002,297,294.220001,294.630005,1644400,290.288147
"2021-08-13",295.630005,296.549988,290.200012,293,1191500,288.682159
"2021-08-16",291.720001,302.200012,291.26001,299,1845900,294.59375
"2021-08-17",296.890015,298.359985,293.640015,296.339996,1290100,291.972931
"2021-08-18",294.839996,296,292.700012,293.059998,985500,288.741302
"2021-08-19",291.019989,294.970001,285.769989,287.329987,744700,283.095703
"2021-08-20",286.769989,289.75,285.5,287.850006,625700,283.608093
"2021-08-23",289.880005,295.970001,288.73999,294.559998,828300,290.219177
"2021-08-24",295.119995,301.26001,295.079987,298.970001,1008000,294.564178
"2021-08-25",299.670013,305.190002,298,303.51001,845000,299.037262
"2021-08-26",303.25,305.899994,301.529999,304.01001,741600,300.549866
"2021-08-27",305.76001,308.359985,304.230011,304.529999,783000,301.063965
"2021-08-30",304.790009,304.790009,300.980011,301.549988,555700,298.117859
"2021-08-31",302.179993,302.179993,296.290009,296.670013,1452200,293.293427
"2021-09-01",296.709991,297.149994,291.26001,293.959991,751800,290.614288
"2021-09-02",295.329987,297.23999,293.679993,294.880005,811700,291.523804
"2021-09-03",293.76001,294.529999,289.25,289.910004,770400,286.610352
"2021-09-07",289.369995,293.76001,288.160004,289.899994,1225200,286.600464
"2021-09-08",289.160004,289.420013,283.140015,287.76001,1043700,284.484833
"2021-09-09",287.76001,289.440002,284.380005,288.019989,741700,284.741852
"2021-09-10",289.649994,291.049988,283.399994,284.049988,799700,280.817017
"2021-09-13",287.579987,291.269989,284.160004,289.519989,907800,286.224792
"2021-09-14",291.619995,291.700012,284.829987,285.709991,643400,282.45816
"2021-09-15",286.089996,290.570007,285.200012,290.190002,577400,286.887177
"2021-09-16",289.23999,291.410004,286.950012,289.540009,640400,286.244598
"2021-09-17",293.820007,293.859985,284.890015,287.630005,1302200,284.356323
"2021-09-20",280.98999,285.170013,279.119995,284.73999,1003600,281.499207
"2021-09-21",286.200012,286.269989,279.350006,279.470001,894900,276.289154
"2021-09-22",283.23999,287.26001,281.720001,285.399994,652900,282.151703
"2021-09-23",287.019989,293.619995,286.959991,291.100006,1032600,287.786804
"2021-09-24",291.049988,291.970001,287.700012,287.839996,644900,284.563904
"2021-09-27",288.980011,296.149994,288.410004,291.029999,707000,287.717621
"2021-09-28",290.380005,291,284.850006,285.959991,917100,282.705322
"2021-09-29",287.390015,290.549988,285.470001,288.589996,777300,285.305359
"2021-09-30",289.549988,290.140015,279.459991,279.619995,918700,276.437469
"2021-10-01",282.480011,292.779999,280.75,291.690002,1090500,288.370117
"2021-10-04",290.350006,292.309998,286.660004,288.950012,962700,285.661285
"2021-10-05",289.149994,295.589996,288.079987,291.940002,940900,288.617249
"2021-10-06",288.670013,293.950012,284.700012,293.579987,995600,290.238556
"2021-10-07",296.390015,298.23999,288.970001,289.76001,835400,286.462097
"2021-10-08",290.799988,292.390015,287.679993,290.950012,470000,287.638519
"2021-10-11",291.48999,292.829987,287.149994,287.429993,583800,284.158569
"2021-10-12",288.660004,290.160004,283.890015,284.709991,416100,281.469543
"2021-10-13",284.73999,287.790009,283,285.820007,510200,282.566925
"2021-10-14",289.049988,295.519989,288.26001,294.5,454600,291.148102
"2021-10-15",297.700012,301.649994,296.459991,297.950012,431900,294.558868
"2021-10-18",294.670013,297.209991,293.640015,295.779999,469400,292.413544
"2021-10-19",296.720001,297.5,294.190002,296.23999,359500,292.868317
"2021-10-20",296,301.209991,295.089996,300.339996,479900,296.921631
"2021-10-21",299.440002,299.470001,296.649994,299.200012,318200,295.794617
"2021-10-22",300.029999,302.549988,298.859985,299.25,325300,295.844055
"2021-10-25",298.890015,304.609985,297.859985,303.899994,738600,300.441132
"2021-10-26",304.429993,308,302.579987,304.200012,720700,300.737732
"2021-10-27",304.48999,305.540009,297.670013,297.980011,869600,294.588501
"2021-10-28",298.269989,304.459991,297.940002,301.679993,774600,298.246399
"2021-10-29",300.109985,302.709991,296.25,296.589996,713200,293.214325
"2021-11-01",297.339996,302.480011,295.970001,300.820007,613900,297.39621
"2021-11-02",302.26001,303.910004,300.910004,301.929993,1119900,298.493561
"2021-11-03",299.570007,304.359985,298.170013,304.079987,850600,300.61908
"2021-11-04",320,329.929993,318.679993,325.640015,1617600,321.933716
"2021-11-05",330.119995,330.600006,322.380005,325.75,940500,322.04245
"2021-11-08",328.839996,332.609985,326.609985,329.470001,883300,325.720123
"2021-11-09",330.290009,333,327.880005,329.570007,554300,325.81897
"2021-11-10",328.51001,328.98999,324.76001,326.790009,558000,324.083466
"2021-11-11",327.100006,328.690002,324.299988,326.899994,419300,324.192535
"2021-11-12",329.089996,334.339996,326.73999,334,920300,331.233765
"2021-11-15",334.73999,334.980011,327.799988,328.329987,689800,325.610718
"2021-11-16",330.040009,334.779999,328.859985,332.480011,790500,329.726349
"2021-11-17",330.809998,332.549988,328.079987,329.320007,446400,326.592529
"2021-11-18",329.700012,332.5,327.619995,332.299988,761900,329.547821
"2021-11-19",333.290009,334.820007,329.730011,329.75,865500,327.018951
"2021-11-22",330.940002,332.329987,326.480011,326.589996,547600,323.885132
"2021-11-23",328.299988,329.649994,325.440002,329.019989,697100,326.294983
"2021-11-24",326.910004,328.190002,324.779999,325.040009,499000,322.347961
"2021-11-26",316.059998,316.059998,307.029999,309.640015,684600,307.075531
"2021-11-29",313.559998,314.559998,304.869995,309.140015,716600,306.579651
"2021-11-30",305.670013,309.440002,299.920013,302.059998,1397800,299.558289
"2021-12-01",308.079987,309.359985,293.059998,293.100006,801200,290.672485
"2021-12-02",295.279999,307.040009,294.880005,304.929993,706200,302.40451
"2021-12-03",306.700012,307.190002,299.790009,305.399994,650400,302.870605
"2021-12-06",309.839996,314.51001,307.109985,311.660004,710300,309.078766
"2021-12-07",315.029999,319.570007,313.549988,314.459991,552700,311.855591
"2021-12-08",315.019989,317.380005,313.339996,316.230011,409100,313.610962
"2021-12-09",314.880005,320.209991,313.339996,318.320007,486500,315.683624
"2021-12-10",320.589996,322.73999,317.790009,318.929993,451000,316.288544
"2021-12-13",320,320.5,313.869995,314.100006,637000,311.498566
"2021-12-14",312.459991,317.459991,309.619995,311.399994,624500,308.820923
"2021-12-15",312.059998,316.130005,307.200012,315.109985,717800,312.500183
"2021-12-16",318.420013,318.869995,311.929993,313.140015,827300,310.546539
"2021-12-17",312.649994,312.790009,302.140015,302.609985,1554000,300.103699
"2021-12-20",297.589996,297.589996,289.769989,296.380005,824000,293.925323
"2021-12-21",300.320007,306.440002,299.109985,305.329987,623300,302.801178
"2021-12-22",304.869995,307.350006,304.100006,306.480011,426400,303.941711
"2021-12-23",307.920013,313.200012,306.809998,311.890015,633200,309.306885
"2021-12-27",312.549988,316.579987,311.859985,316.529999,375200,313.908447
"2021-12-28",316.279999,319,316.279999,317.420013,306100,314.791107
"2021-12-29",318.470001,319.920013,317.390015,318.600006,281600,315.961304
"2021-12-30",319.070007,319.959991,314.700012,315,439700,312.391113
"2021-12-31",315,319.369995,314.609985,318.119995,357300,315.485291
"2022-01-03",318.410004,322.019989,314.130005,316,880400,313.382813
"2022-01-04",319.839996,326.98999,316.470001,324.040009,712500,321.356262
"2022-01-05",325.480011,326.709991,318,318.369995,1015200,315.733185
"2022-01-06",320.5,325.820007,318.170013,324.130005,594400,321.445496
"2022-01-07",324.519989,328.230011,322.809998,323.73999,621800,321.058716
"2022-01-10",320.730011,321.869995,315.279999,317.450012,576800,314.820831
"2022-01-11",317.809998,322.049988,311.98999,321.369995,543700,318.708344
"2022-01-12",324.589996,327.25,322.890015,325.109985,529100,322.417389
"2022-01-13",325.179993,330.5,324.470001,327.790009,499500,325.075195
"2022-01-14",324.23999,327,320.269989,326.929993,775900,324.22229
