"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2020-09-18",36.830002,37.279999,36.619999,36.689999,2222800,36.395702
"2020-09-21",35.73,35.91,34.130001,34.82,1478500,34.540707
"2020-09-22",34.619999,35.310001,34.380001,34.720001,967200,34.441509
"2020-09-23",34.77,35.150002,33.509998,33.540001,801400,33.270969
"2020-09-24",33.529999,34.18,32.830002,33.540001,861800,33.270969
"2020-09-25",33.060001,33.790001,32.900002,33.68,752000,33.409851
"2020-09-28",34.459999,35.189999,34.119999,34.73,702500,34.451427
"2020-09-29",34.459999,34.700001,33.830002,34.200001,703800,33.925678
"2020-09-30",34.490002,35.060001,34.330002,34.75,1007200,34.471264
"2020-10-01",34.91,35.119999,34.369999,34.860001,808100,34.580387
"2020-10-02",34.27,35.799999,34,35.5,561100,35.215252
"2020-10-05",36.09,36.450001,35.540001,36.150002,447200,35.860035
"2020-10-06",36.549999,36.59,35.48,35.5,706100,35.215252
"2020-10-07",35.779999,36.259998,35.73,36.099998,588100,35.810432
"2020-10-08",36.48,37.060001,36.32,36.990002,465800,36.693298
"2020-10-09",37.310001,37.439999,36.669998,36.98,527300,36.68338
"2020-10-12",36.860001,37.490002,36.77,37.360001,599100,37.060329
"2020-10-13",36.91,37.259998,35.77,35.880001,621200,35.592205
"2020-10-14",35.77,36.279999,35.32,35.349998,763200,35.066444
"2020-10-15",34.799999,35.68,34.720001,35.639999,399800,35.354126
"2020-10-16",35.619999,36.209999,35.290001,35.740002,357100,35.453323
"2020-10-19",35.68,35.98,34.889999,34.939999,409800,34.659737
"2020-10-20",35.32,35.939999,35.169998,35.240002,688200,34.957336
"2020-10-21",35.240002,35.869999,35.119999,35.599998,775300,35.314445
"2020-10-22",35.459999,36.139999,35.330002,35.93,739000,35.6418
"2020-10-23",36.259998,36.560001,35.970001,36.23,545500,35.939396
"2020-10-26",35.720001,35.740002,34.889999,35.130001,706800,34.848221
"2020-10-27",34.959999,35.18,34.150002,34.150002,758500,33.87608
"2020-10-28",33.189999,33.900002,33.119999,33.259998,972300,32.993214
"2020-10-29",33.049999,34.549999,32.75,34.220001,863400,33.945515
"2020-10-30",34.169998,34.880001,34.07,34.68,907900,34.401829
"2020-11-02",36.139999,37.57,35.389999,37.330002,1242200,37.030567
"2020-11-03",38.029999,38.259998,37.560001,37.889999,813300,37.586079
"2020-11-04",36.810001,37.799999,36.25,36.41,1022500,36.11795
