"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2020-07-01",90.629997,92.519997,89.550003,90.050003,716300,83.468666
"2020-07-02",91.959999,93.260002,90.400002,91.550003,731600,84.859039
"2020-07-06",93.699997,93.739998,90.68,91.349998,1022900,84.673645
"2020-07-07",89.669998,89.669998,88.050003,88.279999,1050300,81.828018
"2020-07-08",88.279999,89.099998,87.220001,87.580002,955600,81.179184
"2020-07-09",87.059998,87.269997,84.260002,85.059998,1558900,78.843346
"2020-07-10",84.290001,87.779999,83.389999,87.389999,1693900,81.003067
"2020-07-13",88.190002,91.650002,87.43,90.220001,1484000,83.626228
"2020-07-14",90.220001,93.209999,90.050003,92.449997,1700200,85.693245
"2020-07-15",93.82,94.629997,92.059998,93.18,2344700,86.369911
"2020-07-16",92.019997,93.07,91.190002,91.279999,985400,84.608757
"2020-07-17",91.470001,93.209999,90.669998,93.07,1076500,86.267944
"2020-07-20",91.989998,92.650002,89.389999,89.529999,1342200,82.986664
"2020-07-21",89.919998,92.339996,89.919998,91.540001,1271200,84.84977
"2020-07-22",90.639999,93.290001,90.400002,93.139999,1109000,86.332825
"2020-07-23",92.5,93.290001,90.029999,91.480003,1195000,84.794151
"2020-07-24",91.410004,92.290001,89.93,90.669998,1524600,84.043343
"2020-07-27",89.510002,89.949997,86.860001,89.730003,1675300,83.17205
"2020-07-28",89.730003,91.470001,88.779999,91.129997,1579600,84.469727
"2020-07-29",91,91,87.099998,90.589996,1542500,83.969185
"2020-07-30",88.349998,88.720001,86.120003,88.269997,1428400,81.818756
"2020-07-31",88.18,89.199997,86.639999,89.089996,2039900,82.578812
"2020-08-03",88.010002,88.199997,85.879997,86.239998,986900,79.937103
"2020-08-04",86.239998,87.739998,86.120003,87.209999,1152000,80.83622
"2020-08-05",88.040001,88.379997,86.050003,86.629997,1342600,80.298599
"2020-08-06",86.190002,88.440002,86.099998,88.300003,1233000,81.84655
"2020-08-07",87.279999,90.059998,86.949997,90.040001,1085100,83.459389
"2020-08-10",90.389999,92.309998,89.989998,90.949997,1242700,84.302879
"2020-08-11",92.160004,93.120003,89.660004,89.959999,1274100,83.385239
"2020-08-12",90.690002,91.059998,88,88.169998,1311700,81.726051
