"","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume","GPN.Adjusted"
"2020-07-01",170,173.679993,169.720001,171.490005,2005500,169.536179
"2020-07-02",173.580002,175.360001,171.220001,171.460007,1516700,169.506516
"2020-07-06",174.270004,174.960007,169.850006,171.070007,1748100,169.120972
"2020-07-07",170.300003,174.410004,167.220001,167.559998,1726200,165.65094
"2020-07-08",168.199997,170.080002,166.509995,168.419998,1425000,166.501144
"2020-07-09",168.330002,169.369995,161.210007,164.160004,1985400,162.289673
"2020-07-10",162.880005,164.949997,162.089996,164.539993,1657900,162.665344
"2020-07-13",165.960007,166.389999,160.419998,160.770004,2152300,158.938293
"2020-07-14",160.619995,163.160004,158.330002,163.050003,1935800,161.192322
"2020-07-15",166.25,171.839996,165.679993,169.220001,2643000,167.292038
"2020-07-16",167.699997,168.389999,165.410004,166.550003,1246300,164.652466
"2020-07-17",167.919998,172.330002,166.880005,171.880005,1931700,169.921722
"2020-07-20",171.119995,175,169.820007,174.100006,1657500,172.11644
"2020-07-21",174.860001,176.070007,173.179993,174.050003,1190700,172.067001
"2020-07-22",173.869995,178.039993,173.309998,177.800003,1508200,175.774277
"2020-07-23",176.929993,179.470001,174.190002,174.990005,966200,172.996307
"2020-07-24",173.800003,174.059998,171.130005,172.630005,999600,170.663193
"2020-07-27",173.25,174.960007,171.580002,174.289993,1194500,172.30426
"2020-07-28",173.429993,175.660004,171.740005,171.869995,1363000,169.91185
"2020-07-29",173.580002,177.800003,173.240005,177.360001,1410300,175.339279
"2020-07-30",174.5,176.820007,172.100006,176.080002,2051400,174.073868
"2020-07-31",177.169998,178.199997,173.589996,178.020004,2797900,175.991776
"2020-08-03",181.5,185.470001,176.669998,179.039993,4521900,177.000168
"2020-08-04",179,180.419998,172.619995,174.229996,2578600,172.244949
"2020-08-05",175.399994,176.990005,173.589996,174.339996,2065600,172.353699
"2020-08-06",174.320007,177.5,173.509995,176.5,1324400,174.48909
"2020-08-07",174.970001,175.320007,172.139999,174.830002,1541200,172.838135
"2020-08-10",174.240005,175.300003,168.929993,170.259995,2160100,168.320175
"2020-08-11",171.630005,173.869995,168.820007,170.929993,1805700,168.982529
"2020-08-12",172.259995,174.460007,172.259995,173,1707800,171.028976
"2020-08-13",172.399994,174.789993,172.139999,173.399994,1107100,171.424408
"2020-08-14",172.75,174.279999,171.979996,172.5,1195000,170.534668
"2020-08-17",173.020004,174.600006,171.979996,172.270004,1557900,170.307297
"2020-08-18",172.199997,172.410004,167.339996,170.100006,2387700,168.162033
"2020-08-19",172.110001,172.110001,168.509995,169.449997,1622600,167.519394
"2020-08-20",167.869995,170.100006,167.020004,167.759995,1794300,165.848663
"2020-08-21",167.960007,168.649994,166.350006,168.179993,1977900,166.26387
"2020-08-24",169.330002,172.399994,167.520004,172.320007,2268800,170.35672
"2020-08-25",172.839996,174.570007,172.309998,173.889999,2668600,171.908813
"2020-08-26",174.169998,175.880005,172,175.179993,1874800,173.184128
"2020-08-27",175.75,176.240005,173.779999,174.630005,1740100,172.640411
"2020-08-28",174.660004,177.860001,173.600006,177.270004,1441000,175.25032
"2020-08-31",178.210007,178.210007,176.330002,176.619995,1962900,174.607712
"2020-09-01",176.839996,180.389999,175.789993,179.669998,2126100,177.622971
"2020-09-02",180.039993,185.259995,178.419998,184.850006,2165700,182.743973
"2020-09-03",184.009995,184.339996,175.75,177.240005,3336300,175.220657
"2020-09-04",176.889999,178.889999,169.580002,172.559998,2673400,170.593979
"2020-09-08",168.929993,171.979996,166.240005,167.089996,1990800,165.186295
"2020-09-09",169.130005,170.940002,165.990005,169.149994,1048900,167.418228
"2020-09-10",169.949997,173.960007,167.809998,168.190002,1297800,166.468048
"2020-09-11",169.089996,169.360001,164.570007,166.270004,1116100,164.567719
"2020-09-14",168.470001,171.919998,168.039993,170.190002,1017300,168.447586
"2020-09-15",171.5,175.490005,171.460007,173.149994,1701800,171.377274
"2020-09-16",174.850006,177.059998,174.029999,175.789993,1438600,173.990204
"2020-09-17",173.940002,181.639999,173.520004,181.479996,2548400,179.621964
"2020-09-18",182.580002,184,179.029999,179.199997,2692600,177.365326
"2020-09-21",176.160004,176.570007,171.630005,175.559998,1610600,173.762589
"2020-09-22",176.259995,180.369995,174.940002,179.860001,1361000,178.01857
"2020-09-23",179.429993,180.240005,174.160004,174.779999,1308800,172.99057
"2020-09-24",174,175.5,171.729996,172.429993,1173800,170.664642
"2020-09-25",171.710007,175.919998,170.5,175,2402300,173.208328
"2020-09-28",177.470001,180.100006,176.809998,178.559998,1558100,176.731888
"2020-09-29",179.179993,179.470001,177.160004,177.5,1012400,175.682724
"2020-09-30",178.020004,180.649994,175.550003,177.580002,1390700,175.761917
"2020-10-01",179.110001,182.600006,176.710007,179.240005,1118400,177.404938
"2020-10-02",175.929993,180.149994,175.199997,178.429993,1270400,176.603195
"2020-10-05",181.289993,181.289993,174.820007,176.520004,1239600,174.712753
"2020-10-06",176.899994,180.210007,174.520004,174.919998,1032100,173.12915
"2020-10-07",176.649994,177.669998,175.520004,176.809998,8e+05,174.999786
"2020-10-08",177.460007,181.690002,177.449997,181.550003,1006400,179.691269
"2020-10-09",182.759995,184.860001,182.259995,183.779999,1073900,181.898438
"2020-10-12",184.479996,184.940002,181.860001,183.139999,1622800,181.264969
"2020-10-13",183.110001,183.75,179.75,180.029999,877100,178.186829
"2020-10-14",180.580002,181.309998,175.75,177.190002,1239200,175.375916
"2020-10-15",175.160004,176.369995,173.330002,176.020004,2271600,174.21788
"2020-10-16",176.880005,179.940002,176.839996,177.059998,1279500,175.247238
"2020-10-19",177.259995,177.910004,171.419998,171.970001,1308100,170.209335
"2020-10-20",172.820007,176.649994,172.130005,174.300003,1296700,172.515503
"2020-10-21",174,176.389999,173.429993,174,1136200,172.218536
"2020-10-22",174.550003,176.860001,170.949997,175.919998,1197800,174.118927
"2020-10-23",177.770004,177.899994,175.809998,176.990005,1340300,175.177948
"2020-10-26",174.550003,174.550003,167.720001,168.800003,1466100,167.071823
"2020-10-27",168.75,169.600006,164.429993,164.759995,2362000,163.073166
"2020-10-28",162,163.25,158.410004,159.100006,2451300,157.47113
"2020-10-29",154,161.160004,154,156.169998,3398000,154.571106
"2020-10-30",155.330002,157.809998,153.330002,157.740005,3181100,156.125046
"2020-11-02",159.910004,162.130005,158.550003,160.360001,2756400,158.718216
"2020-11-03",162.100006,166.330002,161.259995,165.899994,2112200,164.201492
"2020-11-04",169,173.479996,168.119995,170.860001,2251400,169.110718
"2020-11-05",173.880005,176.110001,172.529999,174.240005,1371200,172.456116
"2020-11-06",173.889999,174.979996,172.25,173.880005,1109500,172.099808
"2020-11-09",189.490005,199.690002,189.300003,193.660004,4822000,191.677307
"2020-11-10",193.449997,196.020004,191.429993,193.470001,2697600,191.489212
"2020-11-11",195.059998,195.089996,186.550003,189.279999,1974200,187.342133
"2020-11-12",188.699997,188.699997,181.820007,184.429993,1877700,182.541763
"2020-11-13",185.470001,190.190002,185.470001,188.410004,1854300,186.481033
"2020-11-16",190,194.25,189.300003,189.940002,2239600,187.995361
"2020-11-17",188.789993,190.259995,185.710007,189.830002,1806500,187.88652
"2020-11-18",190.179993,192.130005,187.729996,187.919998,1253900,185.996063
"2020-11-19",187.440002,191.759995,184.5,190.550003,1339400,188.599152
"2020-11-20",191.610001,192.889999,189.139999,190.699997,1494300,188.747589
"2020-11-23",192.539993,193.669998,189.520004,192.149994,1327700,190.182739
"2020-11-24",193.830002,199.039993,192.300003,198.830002,1977300,196.794342
"2020-11-25",197.119995,198.360001,194.740005,197.009995,1306800,194.992996
"2020-11-27",198,198,195.779999,197.029999,679400,195.012787
"2020-11-30",196.029999,196.800003,191.270004,195.190002,1575200,193.191635
"2020-12-01",197.289993,198.729996,195.529999,195.979996,1356600,193.973526
"2020-12-02",195,195.789993,193.210007,195.380005,1131700,193.379669
"2020-12-03",195.289993,197.380005,193.869995,195.75,920800,193.745895
"2020-12-04",196.639999,200.089996,195.990005,200.070007,1124000,198.021667
"2020-12-07",198.880005,200.350006,198.25,199.229996,977100,197.190247
"2020-12-08",197.990005,198.699997,196.779999,198.580002,1264700,196.546906
"2020-12-09",199,199,195.350006,195.660004,1685600,193.65683
"2020-12-10",194.490005,197.029999,192.910004,194.169998,1352300,192.182083
"2020-12-11",192.350006,194.710007,191.520004,192.059998,1109200,190.093674
"2020-12-14",193.300003,196.550003,191.779999,191.880005,1213300,189.915497
"2020-12-15",192.429993,194.440002,191.320007,193.570007,1788900,191.588211
"2020-12-16",193.369995,195.479996,192.039993,194.669998,1134200,192.871231
"2020-12-17",195.350006,197.460007,195.320007,195.419998,1353400,193.614304
"2020-12-18",195.009995,197.309998,193.559998,196.330002,2580600,194.515884
"2020-12-21",203.889999,209.660004,199.990005,200.419998,3786400,198.568085
"2020-12-22",200.520004,200.779999,196.880005,197.830002,2216800,196.002029
"2020-12-23",198.759995,200.919998,196.919998,200.259995,1332900,198.409576
"2020-12-24",200.190002,205.919998,200.190002,205.550003,954100,203.650726
"2020-12-28",206.479996,209.889999,206.380005,208.979996,2014700,207.049011
"2020-12-29",210,211.119995,208.570007,209.770004,2663200,207.831711
"2020-12-30",210.729996,213.399994,210.020004,210.139999,1555100,208.198303
