"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"2020-07-01",87.419998,88.120003,86.339996,87.349998,2278900,82.494812
"2020-07-02",88.949997,89.260002,87.239998,87.449997,2489900,82.589272
"2020-07-06",89,89.730003,87.07,87.699997,2050000,82.825356
"2020-07-07",86.970001,87.529999,85.389999,85.589996,2253100,80.832649
"2020-07-08",85.57,87.220001,85.480003,87.18,2058400,82.334274
"2020-07-09",87.150002,87.150002,84.07,84.949997,2034200,80.22821
"2020-07-10",85.040001,85.720001,84.480003,84.900002,1688400,80.181
"2020-07-13",85.709999,88.330002,85.400002,85.599998,1873400,80.842094
"2020-07-14",85.599998,87.080002,84.419998,86.889999,1869400,82.060387
"2020-07-15",88.949997,88.980003,87.029999,88.419998,2010100,83.505356
"2020-07-16",88.230003,89.709999,87.849998,88.349998,1464900,83.43924
"2020-07-17",88.830002,88.830002,87.43,87.959999,1290300,83.070915
"2020-07-20",87.690002,88.980003,86.480003,88.379997,2200900,83.46756
"2020-07-21",88.839996,91.129997,88.610001,90.279999,2166000,85.261955
"2020-07-22",95.470001,99.419998,95.330002,97.360001,7995600,91.948441
"2020-07-23",97.120003,98.529999,95.980003,96.080002,2862400,90.739586
"2020-07-24",95.82,97.75,95.550003,96.989998,2134200,91.599007
"2020-07-27",96.870003,98.309998,96.339996,97.919998,2280300,92.477303
"2020-07-28",97.839996,98.790001,97.059998,97.190002,1475000,91.787888
"2020-07-29",97.610001,98.879997,97.260002,98.099998,1395600,92.647308
"2020-07-30",97.139999,100.68,96.800003,100.029999,2231800,94.470024
"2020-07-31",100.25,100.470001,98.290001,99.589996,1888000,94.054482
"2020-08-03",100.07,101.989998,99.75,100.889999,1596900,95.282219
"2020-08-04",100.589996,101.580002,99.849998,100.510002,1267700,94.92334
"2020-08-05",101.419998,102.040001,99.93,101.910004,1866700,96.245537
"2020-08-06",101.889999,102.790001,100.620003,102.75,2479600,97.038857
"2020-08-07",102.879997,103.720001,101.910004,102.900002,1781500,97.180504
"2020-08-10",103.760002,105.43,102.900002,104.220001,1981700,98.427132
"2020-08-11",105,105.589996,103.720001,104.120003,1489500,98.332695
"2020-08-12",104.559998,105.540001,104.099998,104.980003,1217300,99.14489
"2020-08-13",105.580002,108.440002,105.5,107.900002,2281100,101.902588
"2020-08-14",108.339996,110.32,108,109.489998,2552100,103.404221
"2020-08-17",110.989998,111.389999,109.879997,110.790001,2260900,104.631958
"2020-08-18",111.889999,112.150002,110.330002,110.519997,2216000,104.376961
"2020-08-19",110.660004,113.669998,110.660004,111.959999,3060500,105.736923
"2020-08-20",111.419998,112.07,110.440002,111.699997,2109600,105.491371
"2020-08-21",112,114.449997,111.949997,114,3811400,107.663528
"2020-08-24",118.300003,119.480003,114.800003,117.370003,5434600,110.846222
"2020-08-25",113.5,113.860001,108.599998,112.639999,10462400,106.37912
"2020-08-26",113.410004,114.190002,111.580002,112.309998,4124400,106.067459
"2020-08-27",112.550003,112.550003,110.230003,111.220001,2760500,105.038055
"2020-08-28",111.68,111.699997,110.110001,111.230003,2366200,105.047508
"2020-08-31",111.489998,112.169998,109.849998,110.910004,2509200,104.745293
"2020-09-01",110.989998,114.43,110.730003,113.5,2364400,107.191322
"2020-09-02",113.940002,114.199997,111.68,114.019997,2508300,107.682426
"2020-09-03",114,114,107.849998,108.699997,2452000,102.658119
"2020-09-04",109.489998,110.440002,104.32,106.309998,2543700,100.400978
"2020-09-08",104.300003,106.82,102.830002,105.260002,2911300,99.409325
"2020-09-09",106.279999,109.269997,105.18,108.849998,2245400,102.799789
"2020-09-10",109.110001,110,107.099998,107.379997,2177600,101.411484
"2020-09-11",108.57,109.07,106.169998,107.110001,1353800,101.156509
"2020-09-14",108.349998,109.129997,106.699997,107.699997,2573200,102.238686
"2020-09-15",108.540001,109.389999,107.419998,107.959999,1550900,102.485497
"2020-09-16",108.989998,109.129997,106.800003,107.080002,1727900,101.650131
"2020-09-17",106,107.019997,104.559998,105.629997,1729700,100.273659
"2020-09-18",105.419998,107.379997,104.639999,105.580002,2262700,100.226181
"2020-09-21",104.040001,105.970001,103.489998,105.970001,2130900,100.59642
"2020-09-22",106.410004,108.25,105.910004,107.629997,1678300,102.172241
"2020-09-23",108.07,109.779999,106.389999,106.489998,1920300,101.09005
"2020-09-24",106.120003,106.860001,104.110001,104.769997,2526700,99.457253
"2020-09-25",105.099998,106.639999,104.25,105.970001,1917000,100.59642
"2020-09-28",107.25,108.57,106.650002,108.440002,1508200,102.941154
"2020-09-29",109.940002,111.220001,108.839996,110.080002,2377900,104.498009
"2020-09-30",109.5,112.410004,109.5,111.290001,2187000,105.646652
"2020-10-01",112.690002,114.720001,111.860001,114.089996,3631200,108.304657
"2020-10-02",111.040001,113.459999,111.010002,112.419998,1930300,106.719337
"2020-10-05",112.57,116.739998,112.57,116.07,2006000,110.184258
"2020-10-06",115.980003,116.43,112.25,112.449997,2395400,106.747818
"2020-10-07",114,115.440002,113.760002,114.489998,1552500,108.684372
"2020-10-08",115.129997,115.650002,113.910004,114.919998,1523300,109.092567
"2020-10-09",115.370003,118.25,115.110001,116.589996,2824100,110.677887
"2020-10-12",117.870003,118.699997,116.860001,118.330002,1333700,112.329666
"2020-10-13",118.120003,119.150002,117.209999,118.209999,1231400,112.215752
"2020-10-14",118.93,119.900002,117.389999,118.440002,1640800,112.434074
"2020-10-15",117.43,120.739998,116.900002,120.559998,1624200,114.446571
"2020-10-16",120.889999,121.099998,119.309998,119.349998,1855300,113.297928
"2020-10-19",120.120003,123.220001,119.709999,120.830002,2259700,114.702888
"2020-10-20",121.290001,123.669998,120.779999,120.889999,1725500,114.75985
"2020-10-21",121.449997,121.779999,118.550003,118.690002,1772000,112.67141
"2020-10-22",118.980003,119.620003,115.769997,117.459999,1977700,111.503777
"2020-10-23",115.5,118.25,115.209999,118.209999,1858600,112.215752
"2020-10-26",117.139999,117.18,112.879997,114.360001,1377000,108.560982
"2020-10-27",115.010002,116.120003,113.300003,113.580002,2143700,107.820518
"2020-10-28",111.5,114.300003,110.349998,111.110001,2264000,105.475769
"2020-10-29",112.279999,113.949997,111.5,112.279999,2107000,106.586456
"2020-10-30",111.559998,112.650002,109.599998,111.550003,1897000,105.893463
