"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"2020-08-31",294.769989,297.160004,292.690002,294.640015,543900,290.495453
"2020-09-01",294,297.040009,292.820007,296.070007,425600,291.905304
"2020-09-02",297.670013,305.959991,297.670013,304.48999,568000,300.206909
"2020-09-03",302.420013,302.420013,288.799988,291.25,696300,287.153137
"2020-09-04",292.529999,292.670013,277.480011,282.470001,601500,278.496613
"2020-09-08",277.970001,281.890015,274.23999,278.700012,1030800,274.779663
"2020-09-09",283.880005,290.160004,282.48999,288.410004,642100,284.353088
"2020-09-10",287.429993,290.899994,281.869995,283.779999,674100,279.788177
"2020-09-11",283.950012,287.829987,282.130005,284.940002,609000,280.931885
"2020-09-14",289.279999,292.220001,286.880005,288.679993,644300,284.619263
"2020-09-15",289.540009,293,286.76001,286.950012,682300,282.913574
"2020-09-16",287,290.070007,285.670013,286.820007,624100,282.785461
"2020-09-17",282.959991,285.51001,279.679993,282.709991,495300,278.733246
"2020-09-18",280.899994,284.809998,278.600006,280.820007,864800,276.869904
"2020-09-21",277.040009,280.420013,274.799988,280.040009,917000,276.10083
"2020-09-22",279.850006,282,274.519989,279.130005,520200,275.203644
"2020-09-23",279.519989,281.109985,273.429993,273.660004,432500,269.810547
"2020-09-24",273.390015,278.859985,272.609985,275.51001,471200,271.634521
"2020-09-25",273.779999,281.359985,273.109985,280.48999,515200,276.544464
"2020-09-28",283.660004,286.5,282.649994,285.160004,556900,281.148804
"2020-09-29",285.529999,288.290009,282.940002,285.730011,378100,281.710754
"2020-09-30",286.880005,292.630005,286,289.850006,680300,285.772827
"2020-10-01",294.079987,298.179993,290.429993,293.5,655300,289.37149
"2020-10-02",289.880005,296.399994,287.679993,293.959991,453900,289.824982
"2020-10-05",295.880005,297.929993,292.079987,295.179993,333700,291.027893
"2020-10-06",296.350006,296.769989,286.019989,287.940002,680200,283.889709
"2020-10-07",288.859985,291.220001,287.190002,288.25,463300,284.195313
"2020-10-08",289.220001,294.029999,289.220001,292.140015,343800,288.030609
"2020-10-09",293.790009,295.190002,292.649994,294.730011,384400,290.584229
"2020-10-12",296.899994,297.140015,292.779999,293.329987,498800,289.203857
"2020-10-13",293.980011,296.5,290.839996,293.410004,385300,289.282745
"2020-10-14",294.130005,296.170013,289.899994,290.109985,479400,286.029205
"2020-10-15",288.279999,290.73999,284.390015,290.480011,613000,286.393982
"2020-10-16",291.480011,296.049988,288.98999,289.059998,510400,284.993927
"2020-10-19",289.670013,293.070007,283.380005,284.529999,629600,280.527649
"2020-10-20",284.980011,288.649994,282.589996,285.390015,475900,281.375549
"2020-10-21",284.899994,287.26001,277.01001,277.160004,479400,273.261292
"2020-10-22",277.130005,278.290009,271.200012,272.720001,968500,268.88382
"2020-10-23",273.369995,274.779999,270.190002,271.880005,737400,268.055603
"2020-10-26",269.279999,270.920013,266.350006,269,719400,265.216095
"2020-10-27",270.100006,272.329987,265.200012,266.190002,608200,262.445587
"2020-10-28",261.459991,263.709991,257.950012,261.859985,895000,258.176514
"2020-10-29",261.209991,266,253.169998,263,1233300,259.300507
"2020-10-30",261.26001,268.339996,259.450012,262.899994,1152200,259.201935
"2020-11-02",266.549988,273.48999,263.619995,265.929993,921400,262.189301
"2020-11-03",269.380005,273.559998,268.440002,269.179993,708300,265.393585
"2020-11-04",272.630005,288.390015,272.630005,285.609985,895500,281.592438
"2020-11-05",290.440002,293.73999,287.450012,291.059998,671200,286.96579
