"","EXPD.Open","EXPD.High","EXPD.Low","EXPD.Close","EXPD.Volume","EXPD.Adjusted"
"2020-07-01",76.699997,77.779999,75.099998,76.190002,1310900,74.593964
"2020-07-02",76.699997,77.529999,76.309998,77.150002,830600,75.533859
"2020-07-06",77.949997,78.410004,76.790001,77.239998,888200,75.621971
"2020-07-07",75.699997,77.580002,75.150002,77.220001,1234900,75.602386
"2020-07-08",77.059998,77.800003,76.089996,76.459999,779600,74.858299
"2020-07-09",76.68,77.290001,75.910004,77.040001,728800,75.426163
"2020-07-10",77.32,77.93,76.010002,77.580002,622500,75.954849
"2020-07-13",78.290001,78.580002,77.059998,77.230003,801100,75.612175
"2020-07-14",77.440002,78.360001,76.730003,78.120003,888600,76.483536
"2020-07-15",79.019997,80.029999,78.239998,79.830002,970500,78.157715
"2020-07-16",79.889999,80.190002,79.029999,79.139999,748100,77.48217
"2020-07-17",79.57,79.989998,79.330002,79.629997,1371600,77.961899
"2020-07-20",79.379997,80.010002,78.93,79.419998,679100,77.756302
"2020-07-21",79.589996,80.480003,79.230003,79.860001,910100,78.187088
"2020-07-22",79.959999,80.139999,79.339996,79.510002,560200,77.844414
"2020-07-23",79.870003,80.5,79.489998,80.389999,931800,78.705978
"2020-07-24",80.339996,80.790001,80.029999,80.190002,576800,78.510178
"2020-07-27",80.110001,81.169998,79.690002,81.080002,897300,79.381538
"2020-07-28",81.050003,81.129997,79.410004,79.449997,612700,77.785675
"2020-07-29",81.5,83.940002,80.989998,83.82,1366900,82.06414
"2020-07-30",83.5,83.790001,82.080002,83.019997,921200,81.280891
"2020-07-31",82.870003,84.900002,82.650002,84.510002,2044600,82.739677
"2020-08-03",84.349998,85.879997,84.309998,85.830002,2019700,84.032028
"2020-08-04",86,87.650002,84.209999,86.839996,1803800,85.020866
"2020-08-05",81.690002,85.980003,81.510002,84.089996,2043800,82.328468
"2020-08-06",84.540001,85.07,83.970001,84.529999,1154800,82.759254
"2020-08-07",84.690002,85.709999,84.5,85.449997,1169300,83.659981
"2020-08-10",84.989998,86.029999,84.690002,85.190002,1283000,83.405426
"2020-08-11",85.559998,86.669998,85.190002,85.690002,1397600,83.894974
"2020-08-12",86.519997,87,85.959999,86.150002,995100,84.345329
"2020-08-13",85.940002,86.199997,85.139999,85.980003,1194700,84.178886
"2020-08-14",86.18,87.139999,85.309998,86.099998,676100,84.296364
"2020-08-17",86.269997,86.980003,86.120003,86.5,736000,84.687988
"2020-08-18",86.459999,87.160004,86.260002,86.839996,1075900,85.020866
"2020-08-19",86.980003,87.739998,86.839996,87.169998,642700,85.343956
"2020-08-20",86.510002,87.18,86.32,86.860001,906100,85.040443
"2020-08-21",86.739998,86.949997,86.059998,86.290001,1232600,84.482399
"2020-08-24",86.910004,87.25,86.419998,87.139999,845600,85.314583
"2020-08-25",87.449997,87.639999,86.900002,87.440002,621600,85.608307
"2020-08-26",87.040001,87.620003,86.709999,87.550003,848700,85.716003
"2020-08-27",87.830002,88.129997,87.260002,87.5,1068400,85.667046
"2020-08-28",88.040001,88.970001,87.470001,88.879997,699700,87.018135
"2020-08-31",88.830002,89.120003,88,88.389999,900900,86.538399
"2020-09-01",88.739998,89.75,87.760002,89.68,778000,87.801376
"2020-09-02",89.580002,91.220001,89.580002,90.769997,1284800,88.868538
"2020-09-03",90.889999,91,87.93,88.550003,970600,86.695053
"2020-09-04",89,89.400002,86.709999,87.800003,866300,85.960762
"2020-09-08",87.68,87.93,86.230003,86.459999,1463100,84.648827
"2020-09-09",87.669998,90.199997,87.239998,89.550003,1011600,87.674103
"2020-09-10",89.519997,89.82,88.540001,88.610001,1096300,86.753799
"2020-09-11",88.93,90.639999,88.93,90.360001,1569800,88.467133
"2020-09-14",90.800003,91.849998,90.690002,91.209999,1339500,89.299324
"2020-09-15",91.25,93.580002,91.029999,93.300003,1372300,91.345551
"2020-09-16",95.120003,95.120003,91.300003,91.519997,1112500,89.602837
"2020-09-17",90.699997,92.790001,90.360001,92.379997,1176100,90.444824
"2020-09-18",93.660004,93.790001,90.690002,91.32,2407500,89.407021
"2020-09-21",89.970001,90.360001,87.300003,88.330002,1008700,86.47966
"2020-09-22",88.68,89.779999,88.440002,89.160004,1142500,87.292267
"2020-09-23",89.669998,90.699997,88.650002,88.739998,1017100,86.881065
"2020-09-24",88.389999,90.089996,87.75,89.360001,907800,87.488091
"2020-09-25",88.870003,90.699997,88.309998,90.32,629600,88.427971
"2020-09-28",91.459999,92.190002,90.970001,91.370003,742600,89.455978
"2020-09-29",91.489998,92.120003,90.900002,91.629997,690200,89.710533
"2020-09-30",91.760002,92.190002,89.949997,90.519997,1181100,88.623772
"2020-10-01",91.120003,91.470001,88.860001,89.290001,1080100,87.41954
"2020-10-02",88.529999,90.099998,88.309998,89.650002,841000,87.772011
"2020-10-05",90.230003,91.190002,90.230003,91.089996,822300,89.181831
"2020-10-06",91.300003,91.360001,89.199997,89.32,808900,87.448921
"2020-10-07",90.330002,91.419998,89.93,90.739998,865700,88.839172
"2020-10-08",91.050003,91.82,90.360001,91.660004,962900,89.739899
"2020-10-09",92.07,92.599998,91.75,92.459999,670100,90.52314
"2020-10-12",92.839996,93.400002,92.43,93.260002,824900,91.306389
"2020-10-13",93.199997,94.080002,92.010002,92.870003,1004300,90.924561
"2020-10-14",93.199997,94.440002,92.919998,93.75,721600,91.786125
"2020-10-15",93.529999,93.959999,92.669998,93.860001,516100,91.893814
"2020-10-16",93.910004,93.959999,92.82,93.290001,1391800,91.335762
"2020-10-19",93.68,93.900002,92.25,92.559998,965800,90.62104
"2020-10-20",93.309998,94.900002,92.900002,93.730003,794200,91.766533
"2020-10-21",93.860001,95.290001,93.489998,93.779999,863800,91.815491
"2020-10-22",94.160004,94.559998,93.279999,94.269997,736200,92.295219
"2020-10-23",94.389999,95.379997,93.959999,95.199997,532600,93.205742
"2020-10-26",94.529999,94.879997,93.339996,94.269997,1153400,92.295219
"2020-10-27",94.589996,95.050003,94.169998,94.279999,939600,92.305016
"2020-10-28",92.809998,93.419998,89.150002,89.190002,1422700,87.32164
"2020-10-29",89.199997,90.43,88.239998,89.410004,1206300,87.537033
"2020-10-30",88.68,89.75,86.910004,88.370003,1782900,86.518814
"2020-11-02",89.690002,90.110001,87.940002,88.620003,1751800,86.76358
"2020-11-03",89.160004,91.739998,85.010002,86.889999,2276400,85.069817
"2020-11-04",88.010002,89.489998,86.5,86.93,1723200,85.108986
"2020-11-05",87.940002,88.970001,86.870003,87.410004,1490200,85.578934
"2020-11-06",87.709999,88.699997,86.830002,88.32,931200,86.469872
"2020-11-09",92.550003,93,87.239998,87.309998,1818200,85.481018
"2020-11-10",87.110001,88.940002,86.75,88.279999,1276300,86.430702
"2020-11-11",88.949997,89.589996,87.709999,88.610001,813700,86.753799
"2020-11-12",88.860001,89.330002,87.239998,87.769997,1088500,85.931381
"2020-11-13",88.720001,90.160004,86.699997,89.190002,1172000,87.32164
"2020-11-16",90.349998,91.160004,89.07,90.269997,1045100,88.379013
"2020-11-17",89.739998,90.110001,88.800003,89.900002,847300,88.016762
"2020-11-18",89.919998,91.93,89.57,90.150002,1108900,88.261528
"2020-11-19",89.989998,90.5,89.099998,90.279999,949300,88.388802
"2020-11-20",90.25,90.720001,88.860001,88.989998,1200200,87.125832
"2020-11-23",89.330002,89.730003,88.470001,88.779999,1393700,86.920227
"2020-11-24",89.620003,91.629997,89.129997,90.339996,1159700,88.44754
"2020-11-25",90.379997,90.620003,88.889999,90.300003,773100,88.408394
"2020-11-27",89.699997,90.050003,88.849998,88.959999,1031900,87.096458
"2020-11-30",88.620003,89.470001,88.059998,89.370003,2782500,88.012337
"2020-12-01",89.330002,91.5,88.989998,89.75,1354000,88.386559
"2020-12-02",89.669998,90.120003,87.949997,88.639999,930900,87.293419
"2020-12-03",88.629997,89.75,88.199997,88.699997,926300,87.352509
"2020-12-04",88.860001,90.629997,88.760002,90.059998,944500,88.691841
