"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2020-07-01",12.47,12.86,12.19,12.37,5153400,12.153158
"2020-07-02",12.75,13.35,12.71,12.85,4938000,12.624744
"2020-07-06",13.13,13.35,12.82,13.14,3686000,12.90966
"2020-07-07",12.93,13.14,12.76,12.87,3389700,12.644393
"2020-07-08",12.76,12.82,11.91,12.11,5703500,11.897716
"2020-07-09",12.11,12.14,11.51,11.68,4208100,11.475255
"2020-07-10",11.63,12.3,11.61,12.3,3666100,12.084385
"2020-07-13",12.75,13.27,12.58,12.95,5069600,12.722992
"2020-07-14",12.89,13.19,12.54,13.1,3294500,12.870363
"2020-07-15",13.65,13.89,13.35,13.41,6747900,13.174927
"2020-07-16",13.3,13.61,13.16,13.2,3545000,12.96861
"2020-07-17",13.28,13.67,13.22,13.41,3818300,13.174927
"2020-07-20",13.35,13.48,12.84,12.85,3639100,12.624744
"2020-07-21",13.01,13.33,12.99,13.27,3148200,13.037383
"2020-07-22",13.15,13.49,13.07,13.41,2792000,13.174927
"2020-07-23",13.34,13.74,13.1,13.54,2942600,13.302649
"2020-07-24",13.58,13.88,13.43,13.67,2812500,13.430369
"2020-07-27",13.68,14.08,13.6,14,2666900,13.754585
"2020-07-28",13.84,14,13.47,13.5,2090100,13.263349
"2020-07-29",13.55,14.04,13.55,13.98,2685100,13.734935
"2020-07-30",13.6,13.67,13.32,13.5,3046200,13.263349
"2020-07-31",13.46,13.55,13.3,13.47,2506300,13.233876
"2020-08-03",13.39,13.97,13.22,13.68,4419800,13.440196
"2020-08-04",14.92,15.88,14.88,15.53,13703700,15.257765
"2020-08-05",15.99,16.67,15.82,16.309999,9646900,16.02409
"2020-08-06",16.290001,16.4,15.85,16.139999,4537800,15.857073
"2020-08-07",16,17.219999,15.99,17.190001,8039300,16.888666
"2020-08-10",17.459999,18.57,17.459999,18.4,9951400,18.077456
"2020-08-11",18.790001,18.889999,17.610001,17.639999,6319400,17.330778
"2020-08-12",18.01,18.15,17.360001,17.41,5023200,17.104811
"2020-08-13",17.290001,17.700001,17.059999,17.459999,4939600,17.153931
"2020-08-14",17.360001,18.1,17.190001,17.83,4312900,17.517445
"2020-08-17",18.09,18.35,17.75,17.85,4091800,17.537096
"2020-08-18",17.889999,18.450001,17.809999,18.280001,3805600,17.959558
"2020-08-19",18.290001,18.4,17.879999,17.93,3102200,17.615696
"2020-08-20",17.620001,17.879999,17.41,17.809999,2384100,17.497795
"2020-08-21",17.690001,17.719999,17.4,17.49,3072800,17.183405
"2020-08-24",17.799999,18.67,17.73,18.5,3877000,18.175703
"2020-08-25",18.610001,18.700001,18.049999,18.34,3678000,18.018505
"2020-08-26",18.200001,18.629999,18.200001,18.469999,3582000,18.146227
"2020-08-27",18.49,18.59,18.24,18.42,3017800,18.097107
"2020-08-28",18.360001,19.030001,18.27,18.91,3670700,18.578516
"2020-08-31",18.889999,18.889999,18.219999,18.23,3348300,17.910433
"2020-09-01",18.16,18.700001,17.940001,18.700001,3879800,18.372196
"2020-09-02",18.41,18.91,18.33,18.889999,3874300,18.608622
"2020-09-03",18.950001,19.030001,18.24,18.48,3469000,18.204727
"2020-09-04",18.67,18.780001,18.139999,18.530001,3852700,18.253986
"2020-09-08",17.879999,17.92,17.219999,17.49,4636100,17.229475
"2020-09-09",17.620001,18.09,17.48,17.969999,3551300,17.702322
"2020-09-10",18.049999,18.219999,17.67,17.719999,2722200,17.456047
"2020-09-11",17.950001,18.440001,17.690001,18.309999,3549300,18.037262
"2020-09-14",18.440001,18.450001,17.879999,18.129999,3329100,17.859941
"2020-09-15",18.15,18.27,17.799999,18.030001,3664000,17.761431
"2020-09-16",18.09,18.43,17.74,18.1,4477700,17.830387
"2020-09-17",18.059999,19.43,17.83,19.26,8280700,18.97311
"2020-09-18",19.370001,20.030001,19.07,19.26,18798500,18.97311
"2020-09-21",18.809999,18.809999,17.190001,17.809999,7586100,17.544704
"2020-09-22",17.76,18.120001,17.549999,18.049999,4216200,17.781132
"2020-09-23",18.370001,19.27,18.15,18.26,7171900,17.988007
"2020-09-24",18.26,19.18,17.74,18.82,5953000,18.539663
"2020-09-25",18.549999,18.76,18.07,18.59,4086800,18.313089
"2020-09-28",18.870001,19.290001,18.450001,18.469999,4104400,18.19488
"2020-09-29",18.370001,18.629999,17.889999,17.98,2439400,17.712173
"2020-09-30",18.049999,18.639999,18,18.27,3800000,17.997858
"2020-10-01",18.35,18.469999,17.709999,17.790001,3581500,17.525007
"2020-10-02",17.35,18.58,17.299999,18.309999,3507200,18.037262
"2020-10-05",18.559999,19.450001,18.469999,19.280001,7047000,18.992813
"2020-10-06",19.5,19.73,18.77,18.83,3457800,18.549515
"2020-10-07",19.190001,19.870001,19.190001,19.74,6102300,19.445961
"2020-10-08",19.83,20.200001,19.290001,19.719999,3830400,19.426258
"2020-10-09",19.92,20.07,19.389999,19.709999,2996300,19.416403
"2020-10-12",19.74,19.75,19.23,19.34,2315400,19.051918
"2020-10-13",19.309999,19.440001,18.93,19.280001,2980300,18.992813
"2020-10-14",19.51,19.77,19.23,19.309999,3612100,19.022366
"2020-10-15",19,19.59,18.719999,19.49,3568900,19.199682
"2020-10-16",19.620001,19.68,19.129999,19.139999,3190000,18.854897
"2020-10-19",19.219999,19.469999,18.98,19.07,4306700,18.785938
"2020-10-20",19.190001,19.4,18.719999,18.84,3902800,18.559366
"2020-10-21",18.6,19.200001,18.51,18.91,3733700,18.628325
"2020-10-22",18.549999,18.76,18.26,18.709999,4184700,18.431301
"2020-10-23",18.92,19.17,18.66,18.700001,3157100,18.421448
"2020-10-26",18.41,18.610001,17.969999,18.15,3936000,17.879646
"2020-10-27",18.139999,18.639999,18.01,18.35,3617400,18.076666
"2020-10-28",17.85,18.299999,17.75,18.07,3851100,17.800833
"2020-10-29",17.870001,18.549999,17.860001,18.299999,3890700,18.027409
"2020-10-30",18.18,18.540001,17.9,18.5,4930300,18.224432
"2020-11-02",18.690001,19.6,18.450001,19.559999,5404800,19.268642
"2020-11-03",17.950001,18.129999,16.530001,17.190001,14483000,16.933945
"2020-11-04",17.35,17.370001,16.01,16.75,8883900,16.5005
"2020-11-05",16.9,17.33,16.73,17.17,8219300,16.914244
"2020-11-06",17.33,17.59,16.66,16.889999,4318700,16.638411
"2020-11-09",17.75,18.48,17,17,7867000,16.746773
"2020-11-10",17.139999,17.75,16.860001,17.620001,4805500,17.357538
"2020-11-11",17.700001,17.860001,17.48,17.65,4275400,17.387091
"2020-11-12",17.51,17.73,17.1,17.360001,3661600,17.101412
"2020-11-13",17.57,18.08,17.52,18.02,2746600,17.751579
"2020-11-16",18.48,18.809999,18.17,18.780001,4179800,18.500261
"2020-11-17",18.67,19,18.27,18.959999,3595000,18.677578
"2020-11-18",19.110001,19.77,18.83,19.190001,4556900,18.904154
"2020-11-19",18.969999,19.610001,18.719999,19.58,3470500,19.288343
"2020-11-20",19.559999,19.67,19.41,19.610001,3137400,19.317896
"2020-11-23",19.9,20.76,19.799999,20.540001,4288600,20.234043
"2020-11-24",20.950001,23.190001,20.780001,23.18,13236000,22.834721
"2020-11-25",22.15,22.860001,21.65,22.57,6405300,22.233807
"2020-11-27",22.74,23.18,22.549999,22.68,2839000,22.342167
"2020-11-30",22.629999,22.65,21.780001,21.959999,6196000,21.632891
"2020-12-01",22.4,22.5,21.549999,21.76,5356100,21.435871
"2020-12-02",21.540001,21.76,21.01,21.24,7002500,20.971806
"2020-12-03",21.360001,21.74,21.08,21.23,5763600,20.961929
"2020-12-04",21.469999,22.85,21.469999,22.780001,8090800,22.492361
"2020-12-07",22.67,22.67,21.860001,22.049999,3901600,21.771578
"2020-12-08",22.049999,22.74,22.02,22.379999,4477400,22.097414
"2020-12-09",22.68,22.950001,21.870001,22.41,4009700,22.127033
"2020-12-10",22.08,22.52,22.01,22.25,3176900,21.969051
"2020-12-11",22,22.360001,21.870001,22.23,5847900,21.949305
"2020-12-14",22.790001,23.700001,22.65,22.68,7084500,22.393623
"2020-12-15",23.030001,23.26,22.700001,23.110001,8238700,22.818193
"2020-12-16",23.370001,23.370001,22.280001,22.620001,3525600,22.334383
"2020-12-17",22.889999,23.280001,22.639999,23.1,7225300,22.808321
"2020-12-18",23.09,23.469999,22.690001,23.389999,10717200,23.094658
"2020-12-21",22.799999,23.299999,22.59,23.139999,3673400,22.847815
"2020-12-22",23.23,23.280001,21.860001,21.870001,6804200,21.593851
"2020-12-23",22.040001,22.26,21.83,22.09,3981400,21.811071
"2020-12-24",22.040001,22.200001,21.82,21.959999,1071600,21.682714
"2020-12-28",22.09,22.34,21.49,21.610001,2550000,21.337133
"2020-12-29",21.780001,22.1,21.4,21.68,2714000,21.406252
"2020-12-30",21.709999,22.370001,21.620001,22.16,2851900,21.880188
"2020-12-31",22.35,23.4,22.049999,23.01,5487000,22.719458
"2021-01-04",23.35,24.02,23.219999,23.67,6245500,23.371122
"2021-01-05",23.799999,24.610001,23.74,24.549999,5992500,24.240011
"2021-01-06",25,26.110001,24.9,26.049999,9969700,25.721069
"2021-01-07",27.35,27.9,26.76,26.91,9087900,26.57021
"2021-01-08",27.01,27.25,26.139999,26.809999,6009300,26.471474
"2021-01-11",26.309999,27.17,26.02,26.77,5741600,26.43198
"2021-01-12",26.879999,28.65,26.51,28.459999,7362500,28.100639
"2021-01-13",28.969999,29.32,27.91,28.1,4789800,27.745188
"2021-01-14",28.290001,29.33,28.26,28.9,4889600,28.535084
"2021-01-15",28.540001,28.85,28.09,28.639999,4727100,28.278366
"2021-01-19",28.959999,29.110001,28.08,28.709999,3618700,28.347483
"2021-01-20",28.969999,29.34,28.25,28.5,3627300,28.140135
"2021-01-21",28.68,28.82,28.18,28.41,3105700,28.05127
"2021-01-22",27.809999,28.450001,27.16,28.33,3395100,27.972282
"2021-01-25",28.75,28.77,27.58,28.67,3887200,28.307987
"2021-01-26",28.959999,29.280001,27.379999,27.379999,5295900,27.034273
"2021-01-27",26.65,26.99,25.629999,26.690001,6190300,26.352991
"2021-01-28",27.17,27.41,26.389999,27.209999,3471300,26.866425
"2021-01-29",27.17,27.309999,25.83,25.959999,3963900,25.632204
"2021-02-01",26.299999,27.24,26.1,26.860001,5443800,26.520842
"2021-02-02",27.209999,27.59,26.5,27.27,3204000,26.925667
"2021-02-03",27.32,28.08,27.26,27.610001,4256100,27.261374
"2021-02-04",27.58,27.9,27.200001,27.450001,3713400,27.103394
"2021-02-05",27.74,27.940001,27.190001,27.65,4063700,27.300867
"2021-02-08",28.25,29.290001,28.049999,29.09,4987300,28.722687
"2021-02-09",29.1,29.16,27.969999,27.98,4306400,27.626698
"2021-02-10",28.27,28.4,26.77,27.889999,5735000,27.537838
"2021-02-11",27.959999,28.18,27.49,27.85,4696000,27.498343
"2021-02-12",27.780001,29.370001,27.629999,29.27,6058100,28.900414
"2021-02-16",29.809999,31.049999,29.780001,30.65,8086200,30.262987
"2021-02-17",30.200001,30.9,29.35,30.43,5680400,30.045765
"2021-02-18",30.27,30.959999,27.23,27.65,12438700,27.300867
"2021-02-19",28.639999,29.59,27.969999,29.08,9118200,28.712811
"2021-02-22",29.120001,30.879999,29.049999,29.700001,8698700,29.324984
"2021-02-23",29.780001,29.780001,27.889999,29.530001,6331400,29.157129
"2021-02-24",29.549999,33.23,29.540001,32.119999,11943000,31.714422
"2021-02-25",32.110001,32.580002,30.559999,30.780001,9821600,30.391346
"2021-02-26",30.469999,30.799999,28.4,29.4,7288900,29.02877
"2021-03-01",30.370001,31.049999,30.24,30.709999,4676700,30.322229
"2021-03-02",30.879999,32.209999,30.870001,31.23,6141700,30.835663
"2021-03-03",31.43,32.77,31.43,31.559999,6430200,31.211468
"2021-03-04",31.370001,31.559999,28.280001,29.57,8056200,29.243444
"2021-03-05",30.110001,30.299999,28.049999,30.07,6580200,29.737923
"2021-03-08",30.200001,31.219999,30.01,30.700001,4713100,30.360964
"2021-03-09",30.99,31.24,30.02,30.780001,4711900,30.440083
"2021-03-10",31.07,33.060001,30.93,33.060001,8459600,32.694901
"2021-03-11",33.610001,34.110001,33.099998,33.450001,6716700,33.080597
"2021-03-12",33.5,33.990002,32.599998,33.200001,4255500,32.833355
"2021-03-15",34.130001,34.57,33.52,34.240002,6042600,33.861874
"2021-03-16",33.990002,34.240002,32.950001,33.029999,4413100,32.66523
"2021-03-17",32.869999,33.959999,32.630001,33.880001,4400700,33.505848
"2021-03-18",33.880001,35.200001,33.299999,33.48,8274900,33.110268
"2021-03-19",33.470001,33.59,32.32,33.310001,8081800,32.942139
"2021-03-22",33.400002,33.439999,32.09,32.349998,6452000,31.992743
"2021-03-23",31.75,32.130001,30.049999,30.559999,7422000,30.222511
"2021-03-24",30.98,31.25,30.200001,30.209999,6596500,29.876377
"2021-03-25",29.65,31,29.1,30.77,7152000,30.430191
"2021-03-26",31.219999,31.540001,30.360001,31.15,6088500,30.805996
"2021-03-29",31.24,32.990002,31.08,31.299999,8419400,30.954338
"2021-03-30",31.030001,31.5,30.43,31.34,3826500,30.993896
"2021-03-31",31.309999,32.18,30.6,31.610001,7395600,31.260918
"2021-04-01",31.959999,32.240002,30.73,31.26,4908500,30.914782
"2021-04-05",32.369999,32.439999,30.98,31.08,5342200,30.736769
"2021-04-06",31.08,31.68,30.65,30.959999,7185800,30.618092
"2021-04-07",30.93,31.120001,30.299999,30.799999,3707700,30.459858
"2021-04-08",30.799999,31.07,30.110001,31.040001,5461400,30.69721
"2021-04-09",30.99,31.59,30.83,31.469999,4602300,31.122461
"2021-04-12",31.85,32.189999,31.43,31.77,5209100,31.419149
"2021-04-13",32.25,32.59,31.370001,32.25,4680500,31.893847
"2021-04-14",32.439999,33.880001,32.259998,33.330002,5337900,32.961926
"2021-04-15",33.52,33.59,32.68,33.130001,3543500,32.76413
"2021-04-16",33.66,34.07,33.169998,33.459999,3611100,33.090481
"2021-04-19",33.529999,33.619999,32.259998,32.73,4442500,32.368546
"2021-04-20",32.560001,32.709999,31.469999,32.209999,4392000,31.85429
"2021-04-21",32.099998,33.419998,31.540001,33.380001,3573600,33.011368
"2021-04-22",33.380001,33.84,32.880001,33.060001,3831600,32.694901
"2021-04-23",33.349998,34.029999,32.91,33.950001,3218300,33.575077
"2021-04-26",34.099998,35.27,34,34.779999,4674400,34.395908
"2021-04-27",34.52,36.040001,34.52,35.549999,9011400,35.157402
"2021-04-28",35.389999,36.25,35.330002,36.16,6084300,35.76067
"2021-04-29",36.549999,36.790001,35.529999,36.299999,6251700,35.89912
