"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2020-07-01",86.669998,90.5,86.330002,86.620003,5708200,86.460915
"2020-07-02",89.699997,90.230003,86.260002,87.800003,3877400,87.638748
"2020-07-06",89.660004,90.339996,87.120003,89.830002,3138200,89.665016
"2020-07-07",88.629997,88.980003,87.080002,87.43,2993900,87.269424
"2020-07-08",87.290001,90.029999,86.489998,89.989998,3407600,89.824715
"2020-07-09",90.220001,90.279999,86,86.25,5263500,86.091591
"2020-07-10",85.860001,88.610001,85.5,88.510002,3246400,88.347443
"2020-07-13",89.07,90.540001,87.309998,87.5,3955100,87.339294
"2020-07-14",87,87.730003,86,87.120003,3063500,86.959991
"2020-07-15",90.230003,94.75,90.160004,94.029999,6761400,93.8573
"2020-07-16",92.129997,93.43,90.760002,93.110001,2483900,92.938988
"2020-07-17",93.029999,93.099998,90.099998,91.480003,2329700,91.311989
"2020-07-20",90.639999,91.629997,87.57,88.480003,3052400,88.317497
"2020-07-21",89.669998,91.5,88.5,89.959999,2442400,89.794777
"2020-07-22",89.07,90.959999,88.809998,90.809998,1741100,90.643211
"2020-07-23",89.910004,90.199997,87.919998,88.970001,2564100,88.806595
"2020-07-24",88.889999,88.889999,86.57,87.5,2369500,87.339294
"2020-07-27",86.110001,87.139999,85.199997,86.269997,2675800,86.111549
"2020-07-28",86.309998,87.879997,85.959999,86.550003,2105000,86.391037
"2020-07-29",87.080002,88.18,86,87.139999,1653700,86.97995
"2020-07-30",85.459999,86.110001,84.540001,85.510002,2794700,85.352951
"2020-07-31",84.529999,84.610001,82.059998,83.830002,3922500,83.676033
"2020-08-03",83.260002,84.190002,81.300003,83.519997,3360500,83.3666
"2020-08-04",83.419998,86.269997,82.620003,86.099998,2981200,85.941864
"2020-08-05",87.720001,87.93,85.879997,87.269997,2198700,87.109711
"2020-08-06",86.459999,91.220001,85.949997,90.389999,3763800,90.223984
"2020-08-07",90.230003,94.050003,88.620003,93.779999,4949800,93.607758
"2020-08-10",94.25,98.129997,93.300003,97.129997,5863800,96.951599
"2020-08-11",101.18,101.620003,96.870003,97.010002,5372200,96.831825
"2020-08-12",99.209999,99.650002,95.389999,96.029999,3830200,95.853622
"2020-08-13",95.93,98.5,95.540001,96.5,2158500,96.322762
"2020-08-14",97.25,97.669998,95.959999,96.010002,3407000,95.833664
"2020-08-17",97.220001,97.5,95.160004,95.720001,2096000,95.544197
"2020-08-18",95.519997,95.839996,93.43,94.440002,1718100,94.266548
"2020-08-19",94.910004,95.839996,93.669998,94,1536900,93.827354
"2020-08-20",92.459999,95.629997,92.07,94.019997,2240200,93.847313
"2020-08-21",93.809998,97.029999,93.5,95.269997,2069200,95.095016
"2020-08-24",96.010002,98.57,95,97.889999,2791700,97.710213
"2020-08-25",98.830002,100.379997,97.519997,98.769997,2302700,98.588593
"2020-08-26",98.339996,98.57,96.330002,97.379997,2158300,97.201141
