"","CFG.Open","CFG.High","CFG.Low","CFG.Close","CFG.Volume","CFG.Adjusted"
"2020-07-01",25.23,25.23,24.01,24.23,4898200,22.289631
"2020-07-02",25.01,25.139999,23.639999,23.76,6692300,21.857269
"2020-07-06",24.4,24.93,23.92,24.27,3902600,22.326429
"2020-07-07",23.879999,23.93,23.389999,23.5,3938900,21.618092
"2020-07-08",23.41,23.77,23.030001,23.66,4074800,21.76528
"2020-07-09",23.379999,23.65,22.530001,22.73,4102700,20.909754
"2020-07-10",22.73,24.18,22.709999,24.18,4605200,22.243639
"2020-07-13",24.67,24.889999,23.754999,24.370001,4819300,22.418423
"2020-07-14",24.17,24.35,23.540001,23.889999,3860900,21.976858
"2020-07-15",24.75,25.52,24.360001,25.450001,3893600,23.411932
"2020-07-16",25.1,26.030001,24.85,25.450001,5141900,23.411932
"2020-07-17",26.67,27.424,25.120001,25.15,6493100,23.13596
"2020-07-20",25.040001,25.32,24.6,24.67,5049100,22.694397
"2020-07-21",24.809999,25.67,24.655001,25.549999,4945100,23.503923
"2020-07-22",25.120001,25.690001,24.959999,25.51,4927100,23.467127
"2020-07-23",25.34,26.215,25.25,26.049999,5753900,23.963882
"2020-07-24",26.139999,26.35,25.540001,25.58,5731100,23.531523
"2020-07-27",25.35,25.49,24.725,24.860001,4854800,22.869181
"2020-07-28",24.290001,24.704,24.08,24.18,3813100,22.598154
"2020-07-29",24.209999,25.370001,23.924999,25.35,4775700,23.691612
"2020-07-30",24.48,25,24.030001,24.780001,4269200,23.158899
"2020-07-31",24.540001,24.84,24.065001,24.809999,6109500,23.186939
"2020-08-03",24.799999,24.889999,24.139999,24.23,5454900,22.644882
"2020-08-04",24.200001,24.42,24.02,24.209999,3720400,22.626186
"2020-08-05",24.540001,24.91,24.355,24.870001,4020400,23.243011
"2020-08-06",24.639999,24.995001,24.549999,24.76,3520900,23.140209
"2020-08-07",24.459999,25.440001,24.325001,25.43,4235700,23.766378
"2020-08-10",25.620001,26.325001,25.6,25.879999,3715100,24.186937
"2020-08-11",26.809999,27.57,26.559999,26.65,4731800,24.906565
"2020-08-12",27.370001,27.370001,25.818001,26.49,3258700,24.757034
"2020-08-13",26.09,26.219999,25.610001,25.690001,3139600,24.009369
"2020-08-14",25.41,26.190001,25.299999,25.9,1935500,24.205633
"2020-08-17",25.68,25.83,25.389999,25.440001,2104500,23.775723
"2020-08-18",25.379999,25.440001,24.645,24.76,2545500,23.140209
"2020-08-19",24.709999,25.299999,24.58,24.799999,3777300,23.177593
"2020-08-20",24.440001,24.549999,24.09,24.299999,2685300,22.7103
"2020-08-21",24.299999,24.6,24.15,24.190001,3166300,22.607498
"2020-08-24",24.299999,25.23,24.15,25.23,2856700,23.57946
"2020-08-25",25.709999,25.889999,25.1,25.540001,4333700,23.869181
"2020-08-26",25.459999,25.705,25.280001,25.360001,7896100,23.700958
"2020-08-27",25.42,26.23,25.200001,26.01,4418300,24.308432
"2020-08-28",26.26,26.34,25.98,26.290001,3175100,24.57012
"2020-08-31",26.16,26.190001,25.82,25.870001,6579500,24.177595
"2020-09-01",25.59,26.51,25.530001,26.17,6890500,24.457966
"2020-09-02",26.110001,26.99,25.9,26.790001,5926500,25.037407
"2020-09-03",27,28.030001,26.51,26.76,6917100,25.009373
"2020-09-04",27.459999,27.790001,26.58,27.360001,5626600,25.570118
"2020-09-08",26.780001,27.059999,26.219999,26.620001,10854100,24.878529
"2020-09-09",26.83,27.41,26.49,27.129999,8606000,25.355164
"2020-09-10",27.42,28.069,26.52,26.719999,15213700,24.971987
"2020-09-11",26.700001,27.16,26.35,27.110001,7692100,25.336473
"2020-09-14",27.41,28.1,27.280001,27.99,14720200,26.158905
"2020-09-15",27.959999,28,26.68,26.690001,6309800,24.943949
"2020-09-16",26.76,28.18,26.584999,27.620001,7296500,25.81311
"2020-09-17",27.07,27.82,26.915001,27.49,7721500,25.691612
"2020-09-18",27.110001,27.51,26.975,27.16,8947200,25.383202
"2020-09-21",26.309999,26.719999,25.67,25.83,4990100,24.140207
"2020-09-22",25.790001,25.879999,24.299999,24.51,8540800,22.906565
"2020-09-23",24.719999,25.362,23.92,23.950001,4782300,22.3832
"2020-09-24",23.950001,24.530001,23.459999,23.83,3597300,22.271048
"2020-09-25",23.58,24.514999,23.540001,24.43,3455200,22.831797
"2020-09-28",24.959999,25.540001,24.91,25.34,4067700,23.682262
"2020-09-29",25.219999,25.360001,24.49,24.780001,2884500,23.158899
"2020-09-30",24.92,25.719999,24.9,25.280001,4933100,23.626192
"2020-10-01",25.459999,25.709999,25.139999,25.43,3432300,23.766378
"2020-10-02",24.9,26.360001,24.799999,26.209999,3348800,24.495346
"2020-10-05",26.52,27.5,26.450001,27.48,4596800,25.682266
"2020-10-06",28,28.48,27.02,27.129999,4766500,25.355164
"2020-10-07",27.629999,28.459999,27.59,28.120001,2964800,26.280399
"2020-10-08",28.41,28.629999,27.959999,28.559999,2483200,26.691614
"2020-10-09",28.75,28.870001,27.870001,27.959999,4148800,26.130861
"2020-10-12",28,28.51,27.82,28.469999,3358300,26.607502
"2020-10-13",28.440001,28.5,27.57,28.02,5851600,26.186941
"2020-10-14",28.18,28.559999,27.540001,27.58,5018900,25.775724
"2020-10-15",27.24,28.055,27.15,27.9,9333000,26.074793
"2020-10-16",27,27.07,26.07,26.610001,9017300,24.869183
"2020-10-19",26.92,27.075001,26.5,26.639999,4454600,24.897223
"2020-10-20",27.110001,28.040001,26.99,27.620001,5146400,25.81311
"2020-10-21",27.41,27.639999,27.190001,27.549999,5051300,25.747686
"2020-10-22",27.639999,28.98,27.42,28.860001,4310700,26.971992
"2020-10-23",29.1,29.370001,28.43,29.129999,4393900,27.224323
"2020-10-26",28.799999,28.91,27.99,28.360001,4478600,26.5047
"2020-10-27",27.75,28.07,26.639999,26.66,3508400,25.263327
"2020-10-28",26.030001,26.518999,25.809999,25.879999,3804600,24.524187
"2020-10-29",25.799999,26.959999,25.41,26.709999,4503200,25.310707
"2020-10-30",26.639999,27.26,26.309999,27.25,3404200,25.822418
"2020-11-02",27.610001,28.07,27.08,28.030001,3771000,26.561558
"2020-11-03",28.690001,29.219999,28.51,29.01,3596300,27.490213
"2020-11-04",27.98,28.01,26.440001,26.719999,5861300,25.320183
"2020-11-05",26.92,29.235001,26.91,28.91,8868500,27.395452
"2020-11-06",29.09,29.34,27.49,27.709999,4255900,26.258318
"2020-11-09",30.6,32.970001,30.530001,32.330002,10508300,30.636286
"2020-11-10",32.459999,32.974998,31.870001,32.799999,5545000,31.081663
"2020-11-11",32.900002,32.900002,31.42,31.68,4024400,30.020338
"2020-11-12",30.83,31.299999,30.09,30.68,4376800,29.072723
"2020-11-13",31.16,32,31.07,31.75,3499700,30.086668
"2020-11-16",33.25,33.970001,32.540001,33.040001,3892300,31.30909
"2020-11-17",32.439999,33.07,31.745001,33.07,3363800,31.337515
"2020-11-18",33.16,33.599998,32.5,32.509998,2744800,30.806852
"2020-11-19",32.07,32.869999,31.77,32.810001,2878400,31.091141
"2020-11-20",32.389999,32.577,31.834999,32.279999,3816800,30.588902
"2020-11-23",33,33.41,32.689999,33.25,2417000,31.508085
"2020-11-24",34.130001,35.195,34.099998,35.060001,3895200,33.223263
"2020-11-25",34.419998,34.830002,34.009998,34.700001,2792400,32.882126
"2020-11-27",34.549999,34.764999,33.869999,34.139999,1556600,32.35146
"2020-11-30",33.900002,34.27,32.584999,32.66,5330400,30.948996
"2020-12-01",33.709999,34.075001,33.43,33.619999,3875000,31.858704
"2020-12-02",33.459999,34.630001,33.330002,34.360001,3683200,32.55994
"2020-12-03",34.360001,34.924999,33.904999,34.59,3679000,32.777889
"2020-12-04",35.07,35.560001,34.814999,35.43,3605800,33.573883
"2020-12-07",35.09,35.41,34.580002,35.310001,3950500,33.460171
"2020-12-08",34.93,35.790001,34.849998,35.59,3466500,33.725498
"2020-12-09",36.040001,36.549999,35.689999,35.810001,3330700,33.933971
"2020-12-10",35.25,36.130001,35.09,36,3055700,34.114017
"2020-12-11",35.400002,35.68,34.955002,35.369999,2481000,33.517021
"2020-12-14",36.169998,36.34,34.57,34.619999,3481700,32.806316
"2020-12-15",35.200001,35.5,34.619999,35.290001,2862000,33.441216
"2020-12-16",35.389999,35.48,34.93,35.380001,2612100,33.526501
"2020-12-17",35.150002,35.312,34.52,34.779999,3559900,32.957935
"2020-12-18",34.779999,34.970001,33.884998,34.209999,7189500,32.417793
"2020-12-21",34.490002,34.990002,33.869999,34.759998,4625400,32.938984
"2020-12-22",35,35.150002,34.240002,34.240002,2904500,32.446224
"2020-12-23",34.610001,35.57,34.57,35.360001,2426700,33.507545
"2020-12-24",35.5,35.5,34.59,35.119999,1333700,33.280121
"2020-12-28",35.549999,35.740002,35.09,35.110001,2458400,33.270645
"2020-12-29",35.150002,35.27,34.689999,34.880001,1930600,33.052696
"2020-12-30",34.970001,35.450001,34.900002,35.400002,2060200,33.545448
"2020-12-31",35.32,35.810001,34.959999,35.759998,1829800,33.886593
"2021-01-04",36.02,36.200001,34.919998,35.52,3483500,33.659168
"2021-01-05",35.529999,36.68,35.41,36.290001,3095400,34.388828
"2021-01-06",37.540001,39.470001,37.450001,38.810001,6295000,36.776806
"2021-01-07",39.5,40.66,39.369999,40.169998,4488700,38.065563
"2021-01-08",40.09,40.150002,38.720001,39.560001,3406300,37.487518
"2021-01-11",39.009998,40.040001,38.654999,39.830002,3771200,37.743374
"2021-01-12",39.880001,40.84,39.5,40.299999,2974600,38.188744
"2021-01-13",40.09,40.57,39.740002,40.25,2567700,38.141365
"2021-01-14",40.689999,41.669998,40.41,41.450001,2721300,39.278503
"2021-01-15",40.459999,40.950001,39.990002,40.630001,4120100,38.501465
"2021-01-19",40.959999,41.119999,40.41,40.830002,4498800,38.690987
"2021-01-20",40.66,41.580002,39.459999,40.09,3991500,37.98975
"2021-01-21",40.009998,40.27,38.470001,38.919998,4310300,36.881042
"2021-01-22",38.310001,38.849998,37.950001,38.389999,3734600,36.378811
"2021-01-25",38,38.110001,36.66,38.049999,5470000,36.056622
"2021-01-26",38.540001,38.700001,37.009998,37.049999,4672600,35.109009
"2021-01-27",36.32,36.669998,35.09,35.209999,5949700,33.365406
"2021-01-28",36.110001,37.639999,35.771,37.209999,5126000,35.260624
"2021-01-29",37.080002,37.709999,36.005001,36.439999,6484600,34.530968
"2021-02-01",36.810001,37.25,36.310001,37.209999,4597800,35.260624
"2021-02-02",37.450001,38.77,37.450001,38.009998,3749500,36.40023
"2021-02-03",38.009998,38.889999,37.869999,38.790001,3663100,37.147202
"2021-02-04",39.389999,40.345001,39.224998,39.919998,5027200,38.229336
"2021-02-05",40.400002,40.869999,39.785,39.939999,2618600,38.248493
"2021-02-08",40.110001,40.75,39.990002,40.48,2908800,38.765625
"2021-02-09",40.299999,40.779999,39.807999,40.59,2634200,38.870964
"2021-02-10",40.619999,41.169998,40.310001,40.369999,2877100,38.660282
"2021-02-11",40.299999,40.689999,39.259998,39.970001,2953900,38.277225
"2021-02-12",40.41,40.84,40,40.52,2030600,38.803932
"2021-02-16",41.240002,42.389999,41.060001,42.029999,6023100,40.249973
"2021-02-17",41.82,42.560001,41.220001,41.830002,3695500,40.058449
"2021-02-18",41.299999,41.509998,40.41,40.900002,4410900,39.167843
"2021-02-19",41.279999,42.790001,41.139999,42.509998,3646000,40.709652
"2021-02-22",42.419998,43.755001,42.299999,43.240002,4506500,41.408737
"2021-02-23",44,44.560001,43.310001,44.450001,6150900,42.56749
"2021-02-24",45,46.560001,44.77,46.380001,5381600,44.41576
"2021-02-25",46.959999,46.970001,44.055,44.200001,6851100,42.328083
"2021-02-26",43.830002,44.48,42.855,43.439999,6546800,41.600266
"2021-03-01",44.490002,45.009998,44,44.299999,9339800,42.423843
"2021-03-02",44.330002,45.200001,43.93,44.459999,10253900,42.577068
"2021-03-03",44.990002,46.02,44.389999,44.610001,8511300,42.720718
"2021-03-04",44.360001,45.18,42.759998,43.68,8775500,41.830105
"2021-03-05",44.889999,45.18,42.439999,44.299999,8907900,42.423843
"2021-03-08",45.07,46.599998,44.490002,45.869999,6604500,43.927349
"2021-03-09",44.73,45.060001,43.709999,44.060001,6564500,42.194008
"2021-03-10",44.130001,44.830002,43.77,44.619999,8124800,42.730293
"2021-03-11",44.220001,44.889999,43.889999,44.630001,6119400,42.739864
"2021-03-12",45.619999,46,45.09,45.48,5954700,43.553867
"2021-03-15",45.459999,45.68,44.040001,44.939999,4590400,43.036736
"2021-03-16",44.470001,44.5,43.380001,43.939999,5040700,42.079086
"2021-03-17",44.48,45.09,44,44.68,6945800,42.787746
"2021-03-18",45.779999,47.560001,45.240002,45.380001,9444200,43.458111
"2021-03-19",44.630001,45.599998,43.709999,44.540001,16992700,42.653683
"2021-03-22",44.419998,44.439999,42.919998,43.439999,6599400,41.600266
"2021-03-23",43.029999,43.610001,42.119999,42.27,7080900,40.479816
"2021-03-24",43.110001,43.669998,42.220001,42.240002,5461600,40.451084
"2021-03-25",42.080002,44.345001,41.790001,44.099998,6425400,42.232311
"2021-03-26",44.799999,45.41,44.310001,45.009998,6272100,43.103771
"2021-03-29",44.200001,44.25,42.860001,43.369999,9337300,41.533226
"2021-03-30",43.98,45.099998,43.915001,44.779999,5613300,42.883514
"2021-03-31",44.509998,45,44.029999,44.150002,6865300,42.280197
"2021-04-01",44.099998,44.939999,43.970001,44.939999,5785800,43.036736
