"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2020-10-30",90.970001,92.089996,90.110001,91.900002,2205600,85.841919
"2020-11-02",93.089996,94.660004,92.580002,94.400002,1913700,88.177116
"2020-11-03",94.68,96.18,94.160004,94.470001,2678700,88.242508
"2020-11-04",94.010002,97.540001,94.010002,95.860001,2979400,89.540878
"2020-11-05",96.82,98.040001,96.019997,97.290001,2268500,90.876602
"2020-11-06",97.910004,98.480003,96.529999,97.910004,1976800,91.455742
"2020-11-09",99.82,100.339996,90.370003,90.389999,5748500,84.43145
"2020-11-10",90.82,93.370003,88.669998,92.650002,4402500,86.54248
"2020-11-11",93.199997,94.18,92.089996,92.720001,2612700,86.607864
"2020-11-12",93.089996,94.830002,92.330002,94.68,2740300,88.438644
"2020-11-13",95,95.959999,94.529999,95.660004,2018900,89.354065
