"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"2020-10-19",41.82,42,40.970001,41.220001,1312500,38.573318
"2020-10-20",42.75,44.82,42.380001,43.209999,2665900,40.435547
"2020-10-21",43.16,43.959999,42.209999,42.41,1657800,39.686909
"2020-10-22",42.549999,45.240002,42.43,45.119999,1371000,42.222904
"2020-10-23",45.790001,46.549999,45.310001,46.389999,1645300,43.411358
"2020-10-26",45.700001,45.700001,44.34,45.34,1333200,42.428783
"2020-10-27",44.93,45.27,43.34,43.369999,1127800,40.585266
"2020-10-28",42.290001,43.259998,42,42.169998,1463200,39.462318
"2020-10-29",41.959999,44.18,41.34,43.950001,1360200,41.128033
"2020-10-30",43.560001,45.560001,43.560001,45.509998,1830800,42.58786
"2020-11-02",46.189999,47.310001,44.82,47.209999,1687600,44.178711
"2020-11-03",48.099998,49.48,47.880001,48.810001,1614500,45.675976
"2020-11-04",46.919998,47.220001,43.029999,43.639999,4164600,40.837936
"2020-11-05",43.869999,46.889999,43.869999,46.470001,2340500,43.486221
"2020-11-06",46.959999,47.209999,44.27,44.950001,1462300,42.063816
"2020-11-09",50.810001,55.48,50.810001,53.93,3242900,50.467232
"2020-11-10",54.470001,54.77,52.310001,53.049999,2547700,49.64373
"2020-11-11",52.919998,52.93,49.580002,50.16,2666100,46.939293
"2020-11-12",49.130001,49.630001,47.049999,48.240002,2287900,45.142574
"2020-11-13",48.950001,50.73,48.950001,50.48,1477700,47.238743
"2020-11-16",53.650002,54.57,51.490002,52.240002,2310500,48.885742
"2020-11-17",51.369999,52.07,50.169998,52.009998,1269300,48.670506
"2020-11-18",52.25,53.009998,50.709999,50.849998,1925900,47.584984
"2020-11-19",49.849998,50.98,49.52,50.93,1449900,47.659851
"2020-11-20",50.25,50.73,49.23,50.439999,1523200,47.201317
"2020-11-23",51.490002,52.32,50.880001,51.950001,1439400,48.614361
"2020-11-24",53.5,54.77,53.209999,54.59,1536300,51.084854
"2020-11-25",53.759998,53.759998,52.619999,53.299999,1734700,49.877682
"2020-11-27",52.759998,53.209999,51.349998,51.490002,1632400,48.183895
"2020-11-30",51.029999,51.68,49.009998,49.200001,11423300,46.040932
"2020-12-01",50.919998,51.73,50.490002,51.16,1973400,47.875088
"2020-12-02",50.849998,52.279999,50.5,52.02,1606900,48.679867
"2020-12-03",52.200001,53.41,51.630001,52.77,1784200,49.381706
"2020-12-04",53.68,54.369999,53.119999,54.169998,1750100,50.691818
"2020-12-07",53.73,54.099998,52.77,53.200001,1616300,49.784103
"2020-12-08",52.77,53.849998,52.27,52.630001,1336500,49.250702
"2020-12-09",53.470001,53.66,52.119999,52.419998,1371700,49.054173
"2020-12-10",51.66,53.25,51.5,53.060001,1733200,49.653091
"2020-12-11",52.09,52.98,51.830002,52.689999,1923800,49.306843
"2020-12-14",53.029999,53.360001,51.029999,51.82,1972400,49.12672
"2020-12-15",52.389999,53.150002,51.43,52.950001,1355700,50.19799
"2020-12-16",53.110001,53.27,52.380001,53.009998,1482900,50.254868
"2020-12-17",53.75,53.75,52.43,52.77,1943500,50.027344
"2020-12-18",52.709999,52.950001,51.810001,52.630001,4936100,49.894623
"2020-12-21",52.700001,54.560001,52.290001,53.939999,1952700,51.136536
"2020-12-22",54.169998,54.740002,53.900002,54.150002,1339700,51.335625
"2020-12-23",54.68,56.43,54.68,56.060001,857000,53.146351
"2020-12-24",56.5,56.560001,55.119999,55.900002,379500,52.994671
"2020-12-28",56.529999,56.970001,55.720001,56.200001,845200,53.279072
"2020-12-29",56.310001,56.450001,55.040001,55.220001,1002400,52.35001
"2020-12-30",55.25,56.369999,55.25,55.740002,837300,52.842983
"2020-12-31",55.549999,56.23,55.080002,55.860001,768800,52.956741
"2021-01-04",56.66,56.810001,54.779999,55.5,1405300,52.615456
"2021-01-05",55.630001,57.32,55.139999,56.799999,1501600,53.847889
"2021-01-06",59.619999,62.509998,59.43,61.439999,2540000,58.246731
"2021-01-07",62.650002,64.110001,62.27,62.34,2052000,59.099949
"2021-01-08",63.16,63.16,60.240002,61.380001,1343200,58.189854
"2021-01-11",60.419998,62.619999,59.799999,62.57,856100,59.318005
"2021-01-12",63.07,63.900002,62.669998,63.540001,1250700,60.237587
"2021-01-13",62.549999,64.220001,62.16,63.68,1771500,60.370312
"2021-01-14",65.089996,66.080002,64.25,65.879997,1168600,62.455967
"2021-01-15",64.269997,65.360001,63.240002,63.779999,1647900,60.465115
"2021-01-19",63.75,64.970001,62.720001,63.900002,1399600,60.578876
"2021-01-20",63.900002,64.550003,63.040001,63.119999,1152800,59.839417
"2021-01-21",63.060001,63.75,62.02,62.060001,1229200,58.834511
"2021-01-22",61.099998,62.400002,60.77,62.16,1103400,58.929314
"2021-01-25",61.18,61.610001,59.66,61.360001,1154300,58.170887
"2021-01-26",62.060001,62.48,60.029999,60.119999,916900,56.995342
"2021-01-27",58.73,58.869999,55.869999,56.799999,2655500,53.847889
"2021-01-28",58.009998,59.27,57.16,58.950001,1402500,55.886147
"2021-01-29",58.779999,59.5,56.689999,57.200001,1747600,54.2271
"2021-02-01",57.720001,58.389999,56.720001,58.169998,1204600,55.146679
"2021-02-02",59.139999,60.419998,58.779999,60.040001,1099500,56.919498
"2021-02-03",59.84,61.169998,59.779999,61.080002,1089700,57.905445
"2021-02-04",61.5,63.68,61.5,63.419998,1098500,60.123817
"2021-02-05",64,64.730003,62.220001,62.639999,949600,59.384365
"2021-02-08",62.689999,63.259998,62.32,63.200001,797600,59.91526
"2021-02-09",62.619999,63.16,62.060001,62.860001,741000,59.592934
"2021-02-10",63.32,64.169998,62.439999,63.040001,1129200,59.763577
"2021-02-11",63.32,63.349998,60.91,61.490002,842300,58.294136
"2021-02-12",61.369999,62.599998,61.299999,62.310001,915600,59.071514
"2021-02-16",63.110001,66.190002,62.98,65.910004,1332900,62.484417
"2021-02-17",65.870003,66.75,64.629997,64.830002,1562600,61.460541
"2021-02-18",63.970001,64.610001,63.23,64.260002,1507500,60.92017
"2021-02-19",64.760002,67.029999,64.589996,66.709999,1017800,63.242828
"2021-02-22",66.730003,69.260002,66.690002,68.139999,1700600,64.598503
"2021-02-23",68.769997,69.75,68.199997,69.589996,1694600,65.973137
"2021-02-24",70,72.860001,69.75,72.07,1603000,68.324249
"2021-02-25",73.269997,73.730003,69.489998,69.580002,991900,65.963661
"2021-02-26",68.870003,69.709999,67.330002,68.099998,1369100,64.560585
"2021-03-01",69.839996,71.07,69,70.339996,1032900,66.684158
"2021-03-02",69.949997,71,69.669998,69.949997,1348000,66.314438
"2021-03-03",71.080002,72.25,69.629997,69.879997,1090800,66.248077
"2021-03-04",69.669998,70.879997,66.779999,68.370003,1921200,64.816544
"2021-03-05",69.779999,70.580002,66.849998,69.879997,1356600,66.248077
"2021-03-08",71.150002,73.620003,70.57,72.169998,1381000,68.419044
"2021-03-09",70.449997,71.93,68.160004,69.529999,1944700,65.91626
"2021-03-10",69.32,70.790001,68.620003,70.660004,1522900,66.987541
"2021-03-11",69.989998,71.550003,69.870003,70.5,1095100,66.835846
"2021-03-12",72.040001,72.730003,70.629997,71.099998,1530300,68.061134
"2021-03-15",70.75,71.089996,68.519997,70.18,1445800,67.180466
"2021-03-16",69.029999,69.349998,67.650002,68.449997,1303500,65.524399
"2021-03-17",69.339996,70.379997,68.18,69.080002,1349800,66.12748
"2021-03-18",70.510002,73.540001,70.089996,70.629997,1943100,67.611237
"2021-03-19",69.32,71.279999,68.550003,69.349998,6758400,66.385933
"2021-03-22",69,69.239998,67.089996,67.879997,1266000,64.978775
"2021-03-23",67.169998,68.18,66.389999,66.839996,1714300,63.983212
"2021-03-24",68.010002,68.980003,66.730003,66.739998,1485500,63.887493
"2021-03-25",66.68,70.489998,65.660004,69.970001,1430900,66.979446
"2021-03-26",71.029999,72.050003,69.82,70.970001,1398800,67.936699
"2021-03-29",69.360001,69.980003,67.75,68.620003,1231400,65.687141
"2021-03-30",70.540001,72.68,69.57,72.150002,2048000,69.066269
"2021-03-31",72.029999,72.760002,70.900002,71.739998,1609300,68.673782
"2021-04-01",71.449997,72.43,70.82,71.739998,1306500,68.673782
"2021-04-05",72.940002,73.43,71.629997,72.440002,1575400,69.343864
"2021-04-06",71.900002,72.639999,71.129997,71.510002,968200,68.453621
