"","EVRG.Open","EVRG.High","EVRG.Low","EVRG.Close","EVRG.Volume","EVRG.Adjusted"
"2020-07-01",59.25,61.310001,59.200001,61.009998,1507600,56.762455
"2020-07-02",61.700001,62.029999,61.23,61.459999,1273900,57.181118
"2020-07-06",62.130001,62.560001,60.98,61.459999,1498100,57.181118
"2020-07-07",60.799999,61.150002,60.27,60.84,1522100,56.604286
"2020-07-08",60.68,61.549999,60.41,61.380001,1170200,57.106693
"2020-07-09",61.110001,61.18,59.540001,60.869999,1705000,56.632195
"2020-07-10",60.759998,62.110001,60.689999,61.98,1314800,57.664917
"2020-07-13",62.040001,62.700001,61.02,61.599998,1901700,57.311378
"2020-07-14",61.57,62.75,61.41,62.369999,2700200,58.027763
"2020-07-15",63,63.240002,61.09,61.23,2684500,56.967133
"2020-07-16",61.029999,61.91,61,61.41,1871100,57.134598
"2020-07-17",61.919998,63.369999,61.869999,63.220001,1197100,58.818592
"2020-07-20",62.869999,62.990002,62.43,62.66,1752100,58.297573
"2020-07-21",62.939999,63.790001,62.41,62.990002,1895800,58.604599
"2020-07-22",62.950001,64.32,62.200001,64.099998,1418800,59.637321
"2020-07-23",63.880001,65.309998,63.880001,64.370003,1948600,59.888527
"2020-07-24",64.5,64.860001,63.450001,64.059998,1815500,59.600109
"2020-07-27",64.169998,64.18,63.049999,63.98,1361100,59.525673
"2020-07-28",63.880001,65.43,63.779999,64.739998,2405700,60.232761
"2020-07-29",64.809998,65.269997,63.959999,64.330002,1228900,59.851315
"2020-07-30",63.799999,64.470001,63.27,64.470001,1595300,59.981564
"2020-07-31",64.330002,64.900002,63.700001,64.830002,2000500,60.316505
"2020-08-03",64.620003,64.650002,62.490002,62.68,1990000,58.316189
"2020-08-04",62.450001,65.389999,54.07,55.400002,10402100,51.543022
"2020-08-05",56,56.029999,53.330002,53.529999,5810200,49.803211
"2020-08-06",53.119999,55,53.119999,54.75,4525200,50.938274
"2020-08-07",54.450001,55.169998,54.400002,55.16,3222900,51.319729
"2020-08-10",55.380001,55.43,53.939999,54.060001,5464100,50.296314
"2020-08-11",54.220001,54.509998,53.209999,53.389999,3127600,49.672966
"2020-08-12",53.650002,53.939999,53.02,53.040001,2374100,49.347328
"2020-08-13",52.830002,53.150002,52.169998,52.66,3066700,48.993778
"2020-08-14",52.709999,53.66,52.509998,53.57,1422800,49.840424
"2020-08-17",53.639999,53.84,52.799999,53.220001,1350400,49.514797
"2020-08-18",53.25,53.32,52.400002,52.540001,1383600,48.882133
"2020-08-19",52.130001,52.130001,51.43,51.509998,2514600,48.38895
"2020-08-20",51.5,51.720001,50.52,50.779999,1096000,47.703178
"2020-08-21",50.830002,51.459999,49.810001,50.41,3652500,47.355602
