"","EVRG.Open","EVRG.High","EVRG.Low","EVRG.Close","EVRG.Volume","EVRG.Adjusted"
"2020-08-24",50.709999,50.810001,50.049999,50.740002,2826300,47.665615
"2020-08-25",50.869999,51.389999,50.540001,51.209999,1102200,48.107124
"2020-08-26",50.990002,50.990002,50.290001,50.52,1589600,47.458935
"2020-08-27",50.799999,53.040001,50.799999,52.919998,4047900,49.713512
"2020-08-28",52.650002,53.099998,51.82,52.98,2246500,49.769882
"2020-08-31",52.939999,53.27,52.639999,53.220001,1743800,49.995338
"2020-09-01",53.009998,53.16,52.09,52.66,1589600,49.469265
"2020-09-02",52.509998,53.59,52.32,53.27,2044400,50.042305
"2020-09-03",53.419998,53.66,51.93,52.439999,2831100,49.262596
"2020-09-04",52.5,52.709999,51.16,51.869999,1890900,48.727135
"2020-09-08",51.759998,52.290001,50.799999,52.110001,1424000,48.952591
"2020-09-09",52.389999,53.490002,52.209999,52.700001,1423800,49.506844
"2020-09-10",52.419998,52.810001,51.740002,52.060001,1193000,48.905617
"2020-09-11",51.990002,52.400002,51.580002,51.939999,1104700,48.792892
"2020-09-14",52.169998,53.02,52.099998,52.790001,1198700,49.591389
"2020-09-15",53.060001,53.790001,52.27,52.369999,782600,49.196842
"2020-09-16",52.32,53.220001,52.150002,52.630001,907200,49.441086
"2020-09-17",52.580002,52.580002,51.630001,52.200001,1088000,49.037144
"2020-09-18",51.919998,52.07,50.73,50.939999,2589700,47.853485
"2020-09-21",50.380001,51.02,49.459999,50.009998,1749700,46.979832
"2020-09-22",50.259998,50.650002,49.919998,50.470001,1073800,47.411964
"2020-09-23",50.34,50.549999,49.099998,49.119999,2349800,46.143761
"2020-09-24",49.099998,49.790001,48.610001,49.18,1164700,46.20013
"2020-09-25",48.919998,50.310001,48.779999,50.290001,1255300,47.242867
"2020-09-28",50.43,50.549999,49.73,50.34,1357200,47.289837
"2020-09-29",50.52,51.009998,49.990002,50.150002,3308700,47.111351
"2020-09-30",50.610001,50.98,49.790001,50.82,2288400,47.740757
"2020-10-01",50.869999,51.43,50.299999,50.82,1712000,47.740757
"2020-10-02",50.529999,52.450001,50.189999,51.98,1636800,48.830475
"2020-10-05",51.91,52.630001,51.52,52.529999,1744900,49.347149
"2020-10-06",52.490002,53.810001,52.279999,52.41,1712100,49.234421
"2020-10-07",52.759998,53.099998,52.09,52.450001,1614900,49.271992
"2020-10-08",52.610001,53.380001,52.610001,53.360001,749400,50.126858
"2020-10-09",53.419998,53.540001,52.380001,52.93,1121200,49.722912
"2020-10-12",53.040001,53.75,52.639999,53.439999,1185500,50.202003
"2020-10-13",52.959999,53.049999,52.09,52.919998,1236400,49.713512
"2020-10-14",53,53.919998,52.849998,53.450001,1607700,50.211403
"2020-10-15",53.57,54.810001,53.02,54.419998,1908000,51.122627
"2020-10-16",54.360001,55.110001,53.950001,54.919998,1698100,51.592331
"2020-10-19",54.709999,55.060001,54.439999,54.599998,1716700,51.291721
"2020-10-20",54.919998,55.639999,54.720001,55.52,1718300,52.155975
"2020-10-21",55.259998,56.360001,55.23,55.889999,2603700,52.503555
"2020-10-22",55.75,56.709999,55.389999,56.580002,1779200,53.151749
"2020-10-23",56.880001,57.130001,55.849998,56.369999,718500,52.954472
"2020-10-26",55.889999,56.169998,55.41,55.689999,1432800,52.31567
"2020-10-27",55.740002,57.200001,55.349998,56.389999,2051100,52.973267
"2020-10-28",55.68,56.279999,55.119999,55.369999,2228300,52.015064
"2020-10-29",55.040001,56,54.16,55.330002,1384500,51.977489
"2020-10-30",55.080002,55.310001,54.41,55.200001,1453600,51.85537
"2020-11-02",56.009998,56.360001,55.169998,56.310001,1339500,52.898113
"2020-11-03",56.959999,57.369999,56.450001,56.98,1109900,53.527512
"2020-11-04",56.84,57.849998,55.48,55.77,1566900,52.390831
"2020-11-05",56.619999,57.849998,54.639999,55.189999,2621100,51.845966
"2020-11-06",55.299999,56.049999,54.240002,55.040001,1329200,51.705063
"2020-11-09",56.849998,62.529999,56.799999,57.990002,3588000,54.476315
"2020-11-10",57.970001,59.82,57.57,58.59,5778300,55.039959
"2020-11-11",58.580002,58.68,56.700001,57.299999,2789400,53.828121
"2020-11-12",56.880001,56.880001,55.029999,55.720001,2614700,52.343864
"2020-11-13",55.540001,57.23,55.540001,57.110001,1826000,53.649639
"2020-11-16",57.950001,58.02,56.650002,57.630001,1640500,54.13813
"2020-11-17",57.130001,57.490002,56.509998,56.57,1469600,53.142357
"2020-11-18",56.939999,56.959999,55,55.009998,1663500,51.67688
"2020-11-19",54.459999,54.619999,53.27,53.689999,3115800,50.932194
"2020-11-20",53.650002,54.919998,53.290001,54.509998,2572100,51.710079
"2020-11-23",54.630001,55.32,54.060001,54.970001,4098800,52.146458
"2020-11-24",55.799999,56.18,55.32,55.799999,3014400,52.933819
"2020-11-25",55.73,56.310001,55.150002,56.18,2121100,53.2943
"2020-11-27",56.349998,56.360001,55.099998,55.77,1145100,52.905361
"2020-11-30",55.509998,55.880001,55,55.41,4262600,52.563854
"2020-12-01",56.119999,56.75,55.48,55.560001,1640900,52.70615
"2020-12-02",55.130001,56.119999,54.889999,56.099998,1322100,53.21841
"2020-12-03",55.77,56.049999,55.25,55.5,1644300,52.649235
"2020-12-04",55.459999,55.619999,54.709999,54.919998,834400,52.099022
"2020-12-07",54.889999,55.360001,54.669998,55.119999,750700,52.288746
"2020-12-08",55.59,55.84,55.09,55.459999,2659500,52.611286
"2020-12-09",55.290001,55.639999,55.16,55.5,1479400,52.649235
"2020-12-10",55.43,55.580002,55.060001,55.099998,2315500,52.269772
"2020-12-11",55,55.349998,54.66,55.130001,1176400,52.298237
"2020-12-14",55.790001,56.299999,54.41,54.41,1194600,51.615215
"2020-12-15",54.650002,55.299999,54.209999,54.66,1708000,51.852379
"2020-12-16",54.860001,55.369999,53.5,53.669998,1776600,50.913227
"2020-12-17",53.990002,54.5,53.57,54.040001,1742300,51.264225
"2020-12-18",54,54.25,53.150002,53.349998,2240200,50.609665
"2020-12-21",52.93,53.349998,51.880001,52.779999,5221400,50.068943
"2020-12-22",52.799999,53,52.310001,52.650002,3137900,49.945621
"2020-12-23",52.98,53.540001,52.75,52.779999,4648400,50.068943
"2020-12-24",52.919998,53.610001,52.029999,53.43,1141400,50.685555
"2020-12-28",53.869999,54.060001,53.360001,53.830002,3255400,51.065014
"2020-12-29",53.959999,54.349998,53.66,53.959999,2917400,51.188328
"2020-12-30",53.889999,54.450001,53.630001,54.07,4072500,51.292683
"2020-12-31",54.09,55.560001,53.959999,55.509998,4683500,52.65871
"2021-01-04",55.360001,55.639999,53.540001,53.75,1564900,50.98912
"2021-01-05",53.790001,54.09,53.23,53.639999,1294900,50.884769
"2021-01-06",54.169998,54.93,53.68,54.720001,2703400,51.909302
"2021-01-07",54.689999,54.869999,53.110001,53.23,2520600,50.495827
"2021-01-08",52.900002,53.220001,52.290001,53,1889400,50.277645
"2021-01-11",52.740002,53.18,52.130001,52.439999,1872000,49.746407
"2021-01-12",52.439999,53.07,52.18,52.889999,1655800,50.17329
"2021-01-13",53.060001,54.470001,52.990002,54.259998,1200800,51.472923
"2021-01-14",54.400002,54.400002,53.16,53.310001,1002400,50.57172
"2021-01-15",53.049999,54.529999,52.84,54.299999,1732800,51.510868
"2021-01-19",54.580002,54.580002,53.279999,53.380001,1409200,50.638123
"2021-01-20",53.16,54.07,53,53.889999,1062900,51.121929
"2021-01-21",53.540001,53.720001,53.23,53.580002,1703000,50.82785
"2021-01-22",53.299999,54.400002,53.099998,53.799999,2569300,51.036545
"2021-01-25",53.5,54.369999,53.150002,54.259998,2803900,51.472923
"2021-01-26",54.349998,54.41,53.09,53.540001,1670800,50.789909
"2021-01-27",53.349998,53.959999,52.400002,52.720001,1926000,50.012024
"2021-01-28",53.09,54.900002,52.84,53.84,1880800,51.074493
"2021-01-29",53.470001,54.540001,53.240002,53.73,4334700,50.970146
"2021-02-01",53.900002,54.25,53.200001,53.740002,1367300,50.979633
"2021-02-02",53.919998,55.189999,53.700001,53.869999,1801400,51.102955
"2021-02-03",53.610001,54.16,53.400002,53.639999,1448200,50.884769
"2021-02-04",53.540001,55.029999,53.130001,55,1641300,52.174911
"2021-02-05",55.209999,55.380001,54.68,54.889999,1992600,52.070568
"2021-02-08",54.830002,55.099998,54.02,54.220001,1199100,51.434978
"2021-02-09",54.299999,54.720001,53.759998,54.700001,610900,51.89032
"2021-02-10",55.279999,55.470001,54.950001,55.34,1000500,52.497448
"2021-02-11",55.099998,55.360001,54.610001,54.720001,907800,51.909302
"2021-02-12",54.610001,55.029999,54.240002,54.43,799600,51.634193
"2021-02-16",54.5,54.700001,54.139999,54.419998,1390800,51.624702
"2021-02-17",54.73,54.970001,54.380001,54.799999,1118800,51.985184
"2021-02-18",54.959999,55.599998,54.75,55.220001,1524500,52.383614
"2021-02-19",55.299999,55.48,54.139999,54.23,1327800,51.444466
"2021-02-22",54.200001,54.349998,51.919998,52.41,2429600,49.717953
"2021-02-23",53.099998,54.450001,52.970001,54.349998,2360900,51.558296
"2021-02-24",54.25,54.73,53.950001,54.549999,1746900,51.748032
"2021-02-25",54.439999,55.560001,53.48,53.689999,3145400,50.932194
"2021-02-26",54.830002,55.439999,53.43,53.630001,3491400,50.875282
"2021-03-01",54.169998,54.709999,53.799999,53.959999,2358100,51.188328
"2021-03-02",53.849998,53.990002,53.02,53.610001,1585900,50.856308
"2021-03-03",53.400002,53.889999,52.869999,53.709999,1566400,50.951176
"2021-03-04",54.5,55.599998,54,54.82,2585700,52.004158
"2021-03-05",54.59,55.59,54.380001,55.349998,1833900,53.02441
"2021-03-08",55.450001,56.700001,55.110001,56.27,2171400,53.905758
"2021-03-09",56.07,56.709999,55.970001,56.540001,2632400,54.164413
"2021-03-10",56.700001,57.16,56.369999,56.950001,2297700,54.557182
"2021-03-11",56.689999,57.34,56.52,56.759998,1315100,54.375164
"2021-03-12",57.299999,57.799999,56.93,57.68,1185800,55.256516
"2021-03-15",57.91,59.240002,57.880001,59.189999,2042800,56.703068
"2021-03-16",58.700001,59.810001,58.529999,59.610001,1505100,57.105423
"2021-03-17",59.759998,59.759998,58.349998,58.380001,1090100,55.927101
"2021-03-18",58.459999,59.080002,58.400002,58.639999,3262400,56.176174
"2021-03-19",58.919998,59.68,58.189999,59.540001,2500700,57.038364
"2021-03-22",59.299999,59.889999,58.349998,58.630001,1935800,56.166595
"2021-03-23",58.650002,59.029999,58.189999,58.889999,2669700,56.415668
"2021-03-24",58.720001,59.419998,58.610001,59.040001,1029800,56.559372
"2021-03-25",59.34,60.23,58.709999,59.830002,2428800,57.316177
"2021-03-26",59.639999,59.77,58.970001,59.139999,1418200,56.655167
"2021-03-29",59.150002,60.549999,59.049999,60.16,2440900,57.632313
"2021-03-30",59.700001,60,58.91,59.369999,1097300,56.875504
"2021-03-31",59.48,59.740002,59.029999,59.529999,1208600,57.028782
"2021-04-01",59.549999,59.98,58.970001,59.93,1203700,57.41198
"2021-04-05",60.049999,60.900002,59.799999,60.630001,899100,58.082565
"2021-04-06",60.360001,61.18,59.959999,61.16,1500800,58.590294
"2021-04-07",61.25,61.43,60.5,61.259998,2033100,58.686092
"2021-04-08",61.470001,61.599998,60.740002,60.900002,1321000,58.341221
"2021-04-09",61.119999,61.360001,60.599998,60.66,1362000,58.111305
"2021-04-12",60.810001,61.209999,60.639999,60.93,925200,58.369957
"2021-04-13",60.48,61.41,60.299999,61.119999,914800,58.551975
"2021-04-14",61.16,61.259998,60.630001,61.07,891300,58.504078
"2021-04-15",61.259998,62.200001,61.259998,62.16,1110900,59.548283
"2021-04-16",62.299999,63.41,62.259998,63.290001,1600000,60.630806
"2021-04-19",63.900002,64.169998,62.959999,63.240002,1979500,60.582901
"2021-04-20",63.599998,64.919998,63.5,64.809998,1685700,62.086937
"2021-04-21",64.889999,65.260002,64.379997,64.610001,1223500,61.895336
"2021-04-22",64.660004,64.889999,64.099998,64.220001,708000,61.521729
"2021-04-23",64.379997,64.379997,63.439999,63.48,1118000,60.81282
"2021-04-26",63.599998,63.720001,63.099998,63.529999,581800,60.860718
"2021-04-27",63.150002,63.470001,62.619999,62.900002,798500,60.257191
"2021-04-28",63.060001,63.27,62.619999,63.259998,1281000,60.602062
"2021-04-29",63.290001,63.810001,63.110001,63.43,1126600,60.764919
"2021-04-30",63.700001,63.970001,63.049999,63.970001,1193400,61.282234
"2021-05-03",64,64.510002,63.77,64.059998,959200,61.368446
"2021-05-04",64.230003,64.389999,63.509998,64.25,1356400,61.550461
"2021-05-05",64.050003,64.25,62.77,63.529999,1365200,60.860718
"2021-05-06",63.849998,64,62.41,63.700001,1272300,61.023575
"2021-05-07",63.799999,64.279999,63.549999,63.82,958700,61.138531
"2021-05-10",63.830002,65,63.830002,64.040001,1129500,61.349289
"2021-05-11",64.040001,64.190002,61.59,62.450001,2222200,59.826099
"2021-05-12",62.66,62.66,61.389999,61.509998,1003600,58.925587
"2021-05-13",61.450001,63.09,61.419998,62.830002,1739200,60.190132
"2021-05-14",62.700001,63.439999,62.52,62.669998,1251100,60.036846
"2021-05-17",62.599998,62.759998,61.900002,62.119999,1613400,59.50996
"2021-05-18",62.049999,62.830002,61.900002,62.290001,1364600,59.672821
"2021-05-19",62.290001,62.779999,61.91,62.759998,1385800,60.12307
"2021-05-20",62.169998,62.5,61.799999,61.900002,1200200,59.809052
"2021-05-21",61.889999,62.610001,61.880001,62.529999,954400,60.41777
"2021-05-24",62.66,62.849998,62.189999,62.630001,837700,60.514389
"2021-05-25",62.509998,62.619999,61.27,61.43,1308500,59.354923
"2021-05-26",61.470001,61.580002,61.07,61.380001,1139400,59.306614
"2021-05-27",61.580002,61.790001,61.27,61.310001,1599800,59.238979
"2021-05-28",61.810001,62.16,61.57,61.990002,1115400,59.896011
"2021-06-01",61.990002,62.040001,61.450001,61.470001,547100,59.393578
"2021-06-02",61.5,62.09,61.139999,61.799999,675900,59.712421
"2021-06-03",61.700001,62.779999,61.52,62.509998,780300,60.398438
"2021-06-04",62.849998,62.880001,62.400002,62.720001,644900,60.601349
"2021-06-07",62.880001,63,62.439999,62.68,789500,60.562698
"2021-06-08",62.849998,62.849998,62.099998,62.59,1202700,60.475739
"2021-06-09",62.950001,63.509998,62.650002,63.360001,1196900,61.21973
"2021-06-10",63.360001,64.220001,63.049999,64.010002,658300,61.847778
"2021-06-11",63.779999,64.220001,63.529999,64.190002,923700,62.021694
"2021-06-14",64.360001,64.419998,63.759998,63.919998,903100,61.760811
"2021-06-15",64.040001,64.900002,63.790001,64.519997,951900,62.340546
"2021-06-16",65.32,65.639999,64.099998,64.220001,2309700,62.050686
"2021-06-17",64.18,64.93,64.129997,64.480003,1126500,62.301903
"2021-06-18",64.220001,64.220001,62.5,62.540001,1990500,60.427425
"2021-06-21",62.59,63.779999,62.27,63.709999,1305300,61.557907
"2021-06-22",62.259998,63.09,61.810001,61.880001,2212800,59.789722
"2021-06-23",61.880001,61.880001,60.900002,61.080002,1662000,59.016747
"2021-06-24",61,61.689999,60.810001,61.380001,1091400,59.306614
"2021-06-25",61.240002,61.799999,61.139999,61.66,1485700,59.577152
"2021-06-28",61.889999,62.25,61.52,61.720001,991700,59.635132
"2021-06-29",61.709999,62.09,60.369999,60.639999,1047400,58.59161
"2021-06-30",60.59,60.790001,60.110001,60.43,797800,58.388706
"2021-07-01",60.669998,61.73,60.459999,61.389999,669700,59.316273
"2021-07-02",61.389999,61.720001,61.119999,61.580002,519900,59.499859
"2021-07-06",61.34,61.790001,60.790001,61.709999,878800,59.625465
"2021-07-07",61.889999,61.889999,61.080002,61.82,895000,59.73175
"2021-07-08",61.560001,62.080002,60.77,61.810001,830100,59.722092
"2021-07-09",61.860001,62.009998,60.950001,61.790001,1384800,59.702763
"2021-07-12",61.669998,62.080002,61.459999,61.900002,939900,59.809052
"2021-07-13",61.75,62.150002,61.240002,61.490002,627400,59.412895
"2021-07-14",61.57,62.779999,61.099998,62.310001,1041800,60.205204
"2021-07-15",62.02,63.419998,62.02,63.23,1148800,61.094124
"2021-07-16",63.419998,64.800003,63.119999,64.559998,1651600,62.379196
"2021-07-19",64.190002,64.720001,63.400002,64.110001,2679000,61.944397
"2021-07-20",64.410004,64.739998,63.700001,64,2488400,61.838116
"2021-07-21",64,64.43,63.73,63.91,1302300,61.751152
"2021-07-22",63.98,64.309998,63.380001,64.139999,1322500,61.973381
"2021-07-23",64.139999,65.089996,63.860001,65.080002,1342800,62.88163
"2021-07-26",64.940002,65.260002,64.449997,65.150002,1695100,62.949268
"2021-07-27",65.110001,66.529999,64.82,66.300003,1202800,64.060425
"2021-07-28",66.300003,66.300003,64.970001,65.209999,1054700,63.007236
"2021-07-29",65.230003,65.779999,65.169998,65.360001,1085100,63.152172
"2021-07-30",65.230003,65.870003,65.019997,65.220001,2449500,63.016903
"2021-08-02",65.650002,66.169998,65.120003,65.809998,922500,63.586964
"2021-08-03",65.919998,66.449997,65.620003,66.379997,877700,64.137718
"2021-08-04",66.080002,66.339996,65.5,66.239998,1249400,64.002441
"2021-08-05",66.870003,67.089996,66.120003,67.050003,1180800,64.78508
"2021-08-06",67.010002,67.300003,66.660004,66.720001,886600,64.466232
"2021-08-09",66.720001,67.059998,66.410004,66.739998,850000,64.48555
"2021-08-10",66.669998,67.139999,66.400002,66.919998,686600,64.659477
"2021-08-11",67.019997,67.830002,66.870003,67.550003,1185200,65.268196
"2021-08-12",67.580002,67.699997,67.230003,67.410004,1016000,65.132927
"2021-08-13",67.419998,68.139999,67.379997,68.099998,905500,65.799614
"2021-08-16",68.230003,69,68.110001,68.800003,1153200,66.475975
"2021-08-17",68.75,69.059998,68.379997,68.970001,1392700,66.640236
"2021-08-18",68.910004,69.199997,68.43,68.870003,2106400,66.543602
"2021-08-19",68.370003,68.93,68.209999,68.599998,1897600,66.801651
"2021-08-20",68.400002,69.290001,68.199997,69.260002,1475500,67.444359
"2021-08-23",69.239998,69.32,68.519997,68.910004,1577800,67.103531
"2021-08-24",68.910004,68.93,67.970001,68.480003,1669800,66.684807
"2021-08-25",68.410004,69.080002,68.18,68.860001,1143800,67.05484
"2021-08-26",68.879997,69.139999,68.68,69.110001,1651900,67.298294
"2021-08-27",69.18,69.449997,68.25,68.309998,1448100,66.519257
"2021-08-30",68.150002,68.610001,67.839996,67.910004,936400,66.129745
"2021-08-31",67.900002,68.629997,67.839996,68.449997,1827200,66.655586
"2021-09-01",68.57,68.82,68.129997,68.620003,947600,66.821136
"2021-09-02",68.730003,69.18,68.620003,68.949997,1018300,67.142479
"2021-09-03",68.919998,69.089996,68.269997,68.5,903800,66.704285
"2021-09-07",68.379997,68.449997,67.110001,67.230003,1310400,65.467583
"2021-09-08",67.220001,68.660004,67.099998,68.410004,1070100,66.616646
"2021-09-09",68.389999,68.550003,67.809998,68.190002,777100,66.402405
"2021-09-10",68.160004,68.160004,66.610001,66.690002,912400,64.941727
"2021-09-13",67.290001,67.580002,66.489998,66.580002,944600,64.834618
"2021-09-14",66.809998,67,65.599998,65.760002,1013600,64.036118
"2021-09-15",64.610001,65.610001,64.160004,64.779999,2230500,63.081795
"2021-09-16",64.75,65.160004,64.440002,64.550003,1257700,62.857834
"2021-09-17",64.099998,65.160004,63.900002,64.199997,3392600,62.517002
"2021-09-20",64.169998,65.470001,63.580002,64.260002,1738900,62.575436
"2021-09-21",64.290001,64.669998,63.68,63.869999,1661800,62.195652
"2021-09-22",64.110001,64.239998,62.57,62.830002,1532700,61.182922
"2021-09-23",63.080002,64.169998,62.84,63.32,1610000,61.660072
"2021-09-24",64.290001,64.660004,63.119999,63.150002,1398900,61.49453
"2021-09-27",63.389999,64.400002,62.959999,63.09,1418100,61.436104
"2021-09-28",63.029999,63.34,62.380001,62.529999,1461500,60.890785
"2021-09-29",62.509998,63.549999,62.360001,63.16,966700,61.504272
"2021-09-30",63.700001,64.010002,62.189999,62.200001,1850200,60.569435
"2021-10-01",62.209999,62.689999,61.52,61.799999,1911500,60.17992
"2021-10-04",61.709999,62.84,61.639999,62.619999,783000,60.978424
"2021-10-05",63.110001,63.110001,62.509998,62.880001,1173200,61.231613
"2021-10-06",62.689999,63.490002,62.310001,63.43,893800,61.767189
"2021-10-07",63.630001,63.93,62.66,62.720001,1473300,61.075806
"2021-10-08",62.560001,62.830002,61.970001,62.009998,1085700,60.384415
"2021-10-11",61.810001,62.200001,61.200001,61.959999,1869100,60.335724
"2021-10-12",62.040001,62.470001,61.810001,62.099998,922500,60.472054
"2021-10-13",62.049999,62.849998,61.509998,62.700001,889800,61.056328
"2021-10-14",62.91,63.740002,62.700001,63.639999,882800,61.971684
"2021-10-15",63.650002,63.900002,63.200001,63.310001,1063500,61.650341
"2021-10-18",62.799999,63.310001,62.509998,63.049999,1324400,61.397152
"2021-10-19",63.439999,63.740002,63.110001,63.639999,643500,61.971684
"2021-10-20",63.799999,64.790001,63.799999,64.349998,955400,62.663071
"2021-10-21",64.290001,64.470001,64.010002,64.089996,673300,62.409882
"2021-10-22",64.120003,64.82,64.019997,64.639999,689600,62.945469
"2021-10-25",64.550003,64.889999,64.029999,64.230003,715800,62.546223
"2021-10-26",64.209999,64.949997,64.080002,64.379997,747900,62.692284
"2021-10-27",64.400002,64.650002,63.57,63.77,948900,62.098278
"2021-10-28",63.77,64.199997,63.689999,64.18,777400,62.497532
"2021-10-29",64.129997,64.540001,63.299999,63.75,1369900,62.078804
"2021-11-01",63.75,64.25,63.529999,63.959999,798500,62.283298
"2021-11-02",63.880001,63.93,63.139999,63.91,1186800,62.234608
"2021-11-03",63.900002,64.669998,63.509998,63.82,1257600,62.146965
"2021-11-04",63.82,64.269997,62.32,63.720001,1535000,62.049587
"2021-11-05",63.91,64.959999,63.84,64.879997,1049100,63.179173
"2021-11-08",64.879997,64.93,63.240002,63.720001,787200,62.049587
"2021-11-09",63.740002,64.279999,63.740002,64.120003,724800,62.439106
"2021-11-10",64.480003,64.970001,64.300003,64.690002,747800,62.99416
"2021-11-11",64.639999,64.830002,63.93,64.610001,1251000,62.91626
"2021-11-12",64.959999,65.330002,64.419998,64.5,752100,62.809139
"2021-11-15",64.989998,65.639999,64.669998,65.599998,842200,63.880306
"2021-11-16",65.68,66,65.239998,65.379997,975100,63.666065
"2021-11-17",65.43,65.93,65.050003,65.699997,1119700,63.977676
"2021-11-18",64.970001,65.230003,63.889999,65.07,2134900,63.921692
"2021-11-19",65.25,66.07,65.019997,65.610001,3651100,64.452164
"2021-11-22",65.68,66.849998,65.059998,66.459999,1642200,65.287163
"2021-11-23",66.330002,67.800003,65.970001,66.199997,1678600,65.031746
"2021-11-24",66.379997,66.449997,65.18,65.529999,1360500,64.373566
"2021-11-26",65.040001,65.419998,64.410004,64.510002,573700,63.371574
"2021-11-29",64.690002,65.440002,64,65.260002,876300,64.108337
"2021-11-30",65.010002,65.449997,63.130001,63.299999,1874500,62.182926
"2021-12-01",63.849998,65.050003,63.099998,63.139999,1212000,62.025745
"2021-12-02",63.279999,64.379997,63.150002,63.720001,1007200,62.595512
"2021-12-03",64.199997,64.919998,63.650002,64.889999,702300,63.744862
"2021-12-06",65.57,66.980003,65.269997,66.760002,1459200,65.581871
"2021-12-07",66.43,67.099998,66.43,66.669998,912500,65.493454
"2021-12-08",67.040001,67.410004,66.5,66.919998,609800,65.739044
"2021-12-09",66.980003,66.980003,66.199997,66.440002,613700,65.267509
"2021-12-10",66.949997,67.199997,66.440002,66.940002,493500,65.75869
"2021-12-13",66.860001,67.980003,66.75,67.580002,910600,66.387398
"2021-12-14",67.720001,68.129997,66.93,67.18,1611100,65.994453
"2021-12-15",67.32,67.970001,66.93,67.830002,1041900,66.632988
"2021-12-16",67.860001,68.690002,67.519997,68.129997,1285000,66.927689
"2021-12-17",68.040001,68.550003,66.730003,66.889999,2215400,65.709564
"2021-12-20",66.809998,67.029999,65.699997,66.910004,1294400,65.729225
"2021-12-21",67.290001,67.599998,65.970001,66.279999,1264500,65.110336
"2021-12-22",66.300003,66.709999,66.050003,66.629997,1105300,65.454163
"2021-12-23",66.639999,67.260002,66.57,66.75,526700,65.572044
"2021-12-27",66.790001,67.5,66.419998,67.480003,711500,66.289169
"2021-12-28",67.559998,68.379997,67.480003,68.339996,572900,67.133972
"2021-12-29",68.389999,68.699997,67.959999,68.510002,502100,67.300987
"2021-12-30",68.68,68.699997,68.150002,68.43,513300,67.222397
"2021-12-31",68.339996,68.860001,68.110001,68.610001,485900,67.399216
"2022-01-03",68.589996,68.690002,67.43,68.160004,1028100,66.957161
"2022-01-04",68.160004,68.860001,67.959999,67.980003,1014500,66.780342
"2022-01-05",68.010002,68.360001,67.43,67.510002,1224400,66.318634
"2022-01-06",67.349998,67.889999,67.040001,67.25,1324900,66.063217
"2022-01-07",67.110001,67.849998,66.690002,67.550003,1004700,66.357925
"2022-01-10",67.68,67.940002,66.510002,66.82,1780100,65.640808
"2022-01-11",66.800003,66.959999,65.870003,66.360001,1682000,65.188927
"2022-01-12",66.190002,66.900002,65.949997,66.669998,1236600,65.493454
"2022-01-13",66,66.919998,65.989998,66.739998,1315400,65.56221
