"","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2020-11-02",135.130005,137.559998,134.050003,137.550003,1112900,134.013245
"2020-11-03",138.820007,142.369995,137.839996,141.259995,1228700,137.627823
"2020-11-04",140.460007,140.460007,135.110001,137.279999,1442800,133.750183
"2020-11-05",140,143.479996,139.929993,141.119995,965000,137.49144
"2020-11-06",141.339996,145.139999,140.639999,144.320007,1173000,140.609177
"2020-11-09",150.229996,153.720001,145.600006,145.669998,1448100,141.924469
"2020-11-10",144.869995,147.899994,143.270004,143.580002,2066600,139.888199
"2020-11-11",141.779999,143.410004,139.690002,142.960007,2039100,139.284149
"2020-11-12",141.380005,144.100006,140.460007,143.389999,1449100,139.703064
"2020-11-13",146.589996,149.160004,145.800003,147.990005,1037200,144.184814
"2020-11-16",152.449997,152.940002,147.149994,152.440002,1861300,148.52037
"2020-11-17",150.960007,152.490005,146.860001,148.789993,1444300,144.964218
"2020-11-18",148.550003,148.899994,144.149994,144.440002,2014700,140.726089
"2020-11-19",144.050003,147.429993,142.699997,146.789993,1106200,143.015625
"2020-11-20",145.539993,146.539993,143.779999,144.199997,1115000,140.492233
"2020-11-23",145.169998,147.529999,144.940002,145.919998,704600,142.168015
"2020-11-24",146.520004,148.070007,145.240005,147.070007,1751600,143.288437
"2020-11-25",146.740005,147.020004,143.759995,144.970001,1308900,141.242432
"2020-11-27",146.279999,146.649994,143.320007,143.5,905900,139.810242
"2020-11-30",143.210007,146.320007,141.740005,146.240005,2777800,142.479797
"2020-12-01",147.080002,148.259995,145.199997,145.699997,1919100,141.953705
"2020-12-02",144.119995,145.649994,143.380005,144.339996,1348600,140.628632
"2020-12-03",144.259995,144.289993,141.539993,141.720001,1733800,138.584885
"2020-12-04",141.570007,143.279999,141.229996,141.850006,1305500,138.712006
"2020-12-07",141.830002,142.699997,140.160004,141.119995,1076400,137.998154
"2020-12-08",141.589996,142.110001,139.809998,139.960007,1065000,136.863831
"2020-12-09",141.339996,142.259995,139.830002,141.050003,1267900,137.929688
"2020-12-10",139.809998,141.279999,138.529999,139.220001,995300,136.140213
"2020-12-11",138.300003,140,137.389999,139.940002,1096200,136.844254
"2020-12-14",140.850006,141.699997,137.080002,137.710007,1803500,134.663589
"2020-12-15",139.490005,140.639999,138.410004,140.380005,1497100,137.274506
"2020-12-16",141.25,141.880005,138.389999,138.570007,1109600,135.504578
"2020-12-17",139.199997,141.679993,138.759995,140.970001,1644300,137.851471
"2020-12-18",141.919998,143.009995,139.729996,141.059998,2150400,137.939468
"2020-12-21",139.330002,143.399994,139.199997,142.149994,1243000,139.005356
"2020-12-22",142.350006,144.179993,141.059998,143,1073100,139.836563
"2020-12-23",142.960007,144.149994,142.089996,142.5,857900,139.347626
"2020-12-24",142.960007,144.320007,142.960007,143.660004,292000,140.481949
"2020-12-28",144.800003,145.679993,144.110001,144.199997,615500,141.01001
"2020-12-29",145.5,146.580002,141.5,142.899994,666500,139.73877
"2020-12-30",142.899994,145.570007,142.899994,144.830002,658600,141.626068
"2020-12-31",144.75,145.339996,143.800003,145.160004,738800,141.948807
"2021-01-04",144.089996,146.229996,142.690002,143.979996,1262000,140.794876
"2021-01-05",144.050003,146.240005,143.910004,145.850006,1134400,142.62352
"2021-01-06",147.449997,152.259995,147.449997,149.839996,3425100,146.525238
"2021-01-07",153.710007,154.429993,150.410004,153.720001,1734100,150.319427
"2021-01-08",153.720001,154.300003,149.940002,152.580002,1062000,149.204636
"2021-01-11",150.160004,153.5,150.089996,152.25,860500,148.881927
"2021-01-12",152.259995,152.789993,150.149994,151.940002,1024100,148.578796
"2021-01-13",151.289993,151.820007,149.570007,150.949997,1067000,147.610687
"2021-01-14",150.990005,152.559998,150.259995,150.75,731500,147.415115
"2021-01-15",150.75,150.75,147.050003,149.509995,1252400,146.20256
"2021-01-19",150.160004,155.309998,150.160004,153.490005,1701300,150.094513
"2021-01-20",153.520004,155.789993,152.669998,155.240005,1136200,151.805801
"2021-01-21",155.690002,156.270004,153.729996,154.440002,952900,151.023483
"2021-01-22",153.5,154.429993,151,152.669998,1091300,149.292648
"2021-01-25",152.509995,153.009995,147.360001,150.919998,1021800,147.58136
"2021-01-26",151.649994,151.649994,147.509995,147.889999,1468600,144.618378
