"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2020-11-24",201.029999,205.779999,200.100006,200.220001,740000,191.63945
"2020-11-25",199.539993,201.830002,197.029999,200.119995,522700,191.543716
"2020-11-27",199.990005,201.25,198.220001,200.960007,182000,192.347733
"2020-11-30",199.559998,199.800003,192.589996,194.610001,710000,186.269867
"2020-12-01",196.399994,198.350006,192.589996,193.800003,746900,185.494568
"2020-12-02",193.75,193.929993,183.5,183.779999,992100,175.903992
"2020-12-03",186.259995,187.850006,183.449997,186.889999,1043100,178.880707
"2020-12-04",186.940002,188.330002,183,184.070007,697000,176.181564
"2020-12-07",184.070007,189.25,183.130005,188.850006,780800,180.756714
"2020-12-08",187.520004,189.639999,184.259995,185.149994,551600,177.215286
"2020-12-09",187.070007,188.779999,184.679993,185.039993,721100,177.109985
"2020-12-10",183.960007,184.720001,181.089996,182.410004,638300,174.592697
"2020-12-11",182.910004,185.449997,182.330002,183.929993,604500,176.047546
"2020-12-14",186.300003,187.5,183.919998,184.029999,661300,176.143265
"2020-12-15",184.970001,189.429993,183.770004,188.630005,6e+05,180.546143
"2020-12-16",189.389999,191.589996,186.470001,187.089996,561300,179.072144
"2020-12-17",189,190.75,186.720001,190.75,648600,182.575302
"2020-12-18",190.910004,191.669998,186.449997,188.369995,1392400,180.297272
"2020-12-21",185.320007,187.449997,182.949997,186.619995,500900,178.622299
"2020-12-22",186,188.759995,185.399994,187.789993,453900,179.742142
"2020-12-23",188.649994,191.089996,187.600006,189.550003,434500,181.426712
"2020-12-24",190.130005,193.410004,188.610001,193.199997,302600,184.920303
"2020-12-28",193.869995,194,185.119995,185.190002,571800,177.253571
"2020-12-29",185.199997,186.330002,181.300003,183.199997,399200,175.348831
"2020-12-30",184.149994,185.830002,183.690002,184.389999,373100,176.487854
"2020-12-31",183.929993,183.929993,180.259995,180.490005,535000,172.75499
"2021-01-04",182.479996,182.690002,175.369995,176.899994,886800,169.318832
"2021-01-05",176.759995,179.029999,171.330002,178.729996,1009500,171.070404
"2021-01-06",179,181.979996,175.449997,178.619995,916100,170.965118
"2021-01-07",178.130005,183.279999,176.660004,182.470001,615500,174.650146
"2021-01-08",182.639999,183.580002,176.279999,179.539993,816300,171.845718
"2021-01-11",177.639999,182,177.440002,180.179993,671900,172.458282
"2021-01-12",181.550003,184.669998,179.970001,184.279999,1055700,176.382553
"2021-01-13",186.009995,194.929993,185.160004,191.970001,1147900,183.742996
"2021-01-14",191.320007,194.229996,189.600006,192.869995,1038200,184.604431
"2021-01-15",192.229996,195.229996,190.610001,194.539993,732400,186.202866
"2021-01-19",195,201.550003,194.679993,198.710007,654700,190.194153
"2021-01-20",199.570007,203.089996,194.869995,195.710007,869600,187.322723
"2021-01-21",196.009995,197.520004,194.550003,195.050003,628300,186.69101
"2021-01-22",193.5,198.320007,191.539993,198.210007,599500,189.715591
"2021-01-25",199.570007,210.779999,199.570007,203.020004,1150100,194.319458
"2021-01-26",203.029999,208.199997,201.190002,206.419998,756700,197.573715
"2021-01-27",204.960007,214.679993,204,212.399994,1765100,203.297455
"2021-01-28",206.270004,206.270004,191.240005,194.600006,2464600,186.260284
"2021-01-29",194.600006,195.179993,184.839996,185.089996,1511500,177.157822
"2021-02-01",186.029999,188.080002,180.440002,186.559998,975400,178.564835
"2021-02-02",187.169998,190.880005,184.149994,190.110001,919800,181.962708
"2021-02-03",190.380005,193.539993,187.130005,191.100006,695400,182.910278
"2021-02-04",190.690002,192.270004,186.610001,187.899994,812300,179.847427
"2021-02-05",189.149994,194.449997,186.509995,193.570007,981300,185.274429
"2021-02-08",195.029999,200.880005,193.880005,200.429993,756700,191.840439
"2021-02-09",200.419998,201.75,198.630005,199.300003,543400,190.758881
"2021-02-10",200.5,201.919998,195.690002,197.630005,495600,189.160446
"2021-02-11",197.429993,198.770004,194.220001,196.600006,450100,188.174576
"2021-02-12",195.169998,200.360001,195.089996,199.929993,464000,191.361862
"2021-02-16",201.369995,201.5,194.910004,196.210007,602300,187.8013
"2021-02-17",195.229996,195.710007,193.5,193.970001,473400,185.657288
"2021-02-18",194.009995,195.130005,189.279999,190.919998,597300,182.738007
"2021-02-19",190.929993,197.580002,190.929993,195.339996,616400,186.968567
"2021-02-22",194.929993,195.330002,191.259995,192.690002,649000,184.432144
"2021-02-23",192.600006,193.350006,186,192.809998,598600,184.546997
"2021-02-24",192.809998,195.100006,190.720001,193.520004,575200,185.226563
"2021-02-25",190.970001,194.220001,185.889999,188.119995,598100,181.228592
"2021-02-26",189.690002,192.869995,187.009995,190.080002,665800,183.116821
"2021-03-01",193.240005,198.190002,192.660004,197.699997,681000,190.457657
"2021-03-02",198.380005,200.300003,194,194.020004,554300,186.912476
"2021-03-03",194.050003,196.289993,190.009995,190.979996,539400,183.983841
"2021-03-04",190.360001,194,183.75,186.720001,666800,179.879868
"2021-03-05",188.490005,196.220001,184.929993,195.25,732100,188.097412
"2021-03-08",195.860001,205.990005,195.029999,201.990005,964000,194.590515
"2021-03-09",203.690002,206.089996,198.839996,198.839996,635000,191.555893
"2021-03-10",200.759995,206.130005,198,204.690002,626000,197.191605
"2021-03-11",205.940002,208.869995,204.539993,205.600006,480800,198.068268
"2021-03-12",205.169998,208.710007,204.059998,207.839996,437800,200.226196
"2021-03-15",208.940002,212.990005,206.830002,212.919998,552100,205.120117
"2021-03-16",213.100006,215.380005,211.820007,212.169998,554800,204.397583
"2021-03-17",210.740005,216.410004,210.419998,216.279999,516200,208.35701
"2021-03-18",216.279999,221.490005,214.020004,215.229996,637400,207.345474
"2021-03-19",215.639999,220.800003,215.330002,218.460007,1628300,210.457169
"2021-03-22",218.300003,222.820007,215.199997,221.550003,657600,213.43396
"2021-03-23",218.690002,222,212.460007,213.789993,464500,205.958237
"2021-03-24",215.229996,217.720001,211.059998,211.059998,475100,203.328232
"2021-03-25",211.039993,216.449997,208.399994,216.119995,436800,208.202881
"2021-03-26",218.259995,223.309998,215.529999,223.089996,328300,214.917542
"2021-03-29",224.029999,225.5,216.839996,216.850006,478800,208.906158
"2021-03-30",215.539993,220.460007,215,220.240005,566100,212.171951
"2021-03-31",221.110001,222.470001,218.259995,220.350006,494900,212.277924
"2021-04-01",221.009995,225.669998,219.710007,225.300003,728000,217.046585
"2021-04-05",227.600006,234.169998,224.850006,233.509995,881700,224.955826
"2021-04-06",234.710007,236.899994,232.009995,234.369995,711700,225.784317
"2021-04-07",233.039993,234.979996,229.020004,230.369995,508300,221.930878
"2021-04-08",231.050003,235.429993,228.929993,233.949997,669200,225.379715
"2021-04-09",234.75,237.229996,233.440002,236.990005,368100,228.308365
"2021-04-12",237.729996,238.240005,235.059998,237.520004,439900,228.818954
"2021-04-13",236.679993,237.149994,231.100006,233.699997,497200,225.13887
"2021-04-14",232.369995,233.830002,231.410004,231.970001,430300,223.47226
"2021-04-15",233.490005,233.490005,229.080002,230.889999,606800,222.431808
"2021-04-16",232.729996,236.830002,232.520004,234.809998,567500,226.208191
"2021-04-19",236.789993,238.160004,233.259995,235.270004,542100,226.651367
"2021-04-20",239.240005,240.5,232.839996,236.449997,810000,227.788116
"2021-04-21",232.389999,236.850006,231.330002,234.699997,1283000,226.102234
"2021-04-22",239.399994,246.240005,229.460007,233.190002,1751900,224.647552
