"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2020-08-19",150.869995,152.660004,149.979996,150.300003,262600,143.854691
"2020-08-20",148.600006,149.75,148.119995,148.869995,335500,142.485992
"2020-08-21",148.979996,149.619995,147.169998,147.899994,273200,141.557587
"2020-08-24",147.839996,149.979996,147.490005,149.259995,297200,142.859253
"2020-08-25",149.979996,149.979996,146.330002,147.830002,258100,141.490601
"2020-08-26",147.830002,148.25,146.880005,147.210007,174600,140.897186
"2020-08-27",148.179993,149.649994,147.330002,147.619995,212000,141.289627
"2020-08-28",147.960007,150.820007,147.149994,150.339996,279900,143.892944
"2020-08-31",150.100006,150.220001,148.089996,148.270004,376100,141.911743
"2020-09-01",147.270004,151.380005,146.639999,151.330002,296500,144.8405
"2020-09-02",151.369995,155.610001,151.369995,155.160004,368100,148.506287
"2020-09-03",155.639999,156.309998,150.149994,151.300003,296100,144.811798
"2020-09-04",153.919998,155.160004,150.419998,151.220001,327100,144.735229
"2020-09-08",151.199997,151.679993,147.570007,147.669998,379400,141.337463
"2020-09-09",148.770004,151.570007,148.600006,150.449997,226500,143.998245
"2020-09-10",150.369995,151.669998,147.25,147.710007,212300,141.375732
"2020-09-11",148.089996,148.880005,146.059998,147.820007,273800,141.481049
"2020-09-14",149.699997,153.309998,148.960007,152.830002,291200,146.276199
"2020-09-15",152.669998,154.070007,152.100006,152.960007,235200,146.40062
"2020-09-16",150.850006,151.240005,146.339996,149.089996,556700,142.696564
"2020-09-17",147.149994,150.520004,146.149994,148.710007,340900,142.33287
"2020-09-18",148.380005,151.210007,147.429993,147.529999,442200,141.203461
"2020-09-21",144.119995,144.990005,139.25,140.919998,282500,134.876923
"2020-09-22",140.770004,144.770004,140.770004,144.490005,365400,138.293839
"2020-09-23",144.800003,146.259995,140.690002,141.089996,397000,135.039627
"2020-09-24",140.820007,143.270004,138.940002,141.389999,260800,135.326752
"2020-09-25",140.070007,143.110001,140.070007,142.039993,255600,135.948883
"2020-09-28",144.669998,147.570007,143.270004,146.710007,333700,140.418625
"2020-09-29",147.210007,147.699997,144.410004,145.399994,239600,139.16478
"2020-09-30",146.449997,148.990005,145.699997,147.130005,630700,140.820633
"2020-10-01",147.820007,150,144.110001,145.119995,535000,138.89682
"2020-10-02",142.149994,148.75,142.149994,148.119995,589500,141.768173
"2020-10-05",149.889999,152.050003,149.070007,151.630005,305700,145.127655
"2020-10-06",152.580002,161.470001,151.970001,156.050003,860500,149.358093
"2020-10-07",157.990005,161.309998,157.559998,158.399994,399400,151.60733
"2020-10-08",158.300003,159.199997,156.839996,158.389999,278600,151.597763
"2020-10-09",159.149994,160.229996,156.779999,157.210007,269000,150.468353
"2020-10-12",157.990005,159.729996,157.169998,157.759995,259200,150.994766
"2020-10-13",157.199997,158.600006,154.619995,155.470001,280600,148.802994
"2020-10-14",156.100006,157.550003,154.770004,156.830002,251800,150.10466
"2020-10-15",154.429993,159.820007,153.470001,157.970001,337700,151.19577
"2020-10-16",158.860001,161.350006,158.330002,159.160004,417600,152.334732
"2020-10-19",155.910004,158.919998,154.770004,155.960007,659400,149.271957
"2020-10-20",156.389999,158.110001,153.869995,154.929993,445700,148.286148
"2020-10-21",154.889999,156.839996,154.009995,155.270004,636200,148.611557
"2020-10-22",167.449997,169.990005,162.130005,169.449997,1902600,162.183456
"2020-10-23",170.919998,171.889999,168.080002,169.389999,657500,162.126038
"2020-10-26",167.710007,168.75,163.539993,164.25,548000,157.206482
"2020-10-27",163.279999,163.589996,157.539993,158.419998,601300,151.62648
"2020-10-28",155.699997,156.570007,153.350006,154.679993,560600,148.046844
"2020-10-29",153.910004,157.100006,153.399994,155.910004,529500,149.224136
"2020-10-30",155.889999,158.160004,153.270004,157.529999,443700,150.774628
"2020-11-02",159.649994,164.220001,159.070007,163.809998,423600,156.785324
"2020-11-03",165.600006,166.600006,162.199997,163.919998,596500,156.89061
"2020-11-04",161.300003,161.300003,156.729996,157.630005,465900,150.870361
"2020-11-05",159.089996,163.440002,158.550003,161.710007,419100,154.775391
"2020-11-06",163.059998,164.360001,160.759995,162.649994,326100,155.675079
"2020-11-09",170.300003,178.660004,167.889999,168.259995,804000,161.044495
"2020-11-10",168.309998,173.720001,167.619995,172.669998,422600,165.265381
"2020-11-11",173.210007,173.210007,168.529999,170.179993,400400,162.882156
"2020-11-12",168.789993,170.119995,165.509995,167.419998,389400,160.240555
"2020-11-13",168.25,172.25,168.100006,171.320007,316600,163.973312
"2020-11-16",175.160004,175.160004,172.529999,174.610001,424300,167.122192
"2020-11-17",172.770004,173.910004,169.690002,172.580002,414100,165.17926
"2020-11-18",173.259995,175.479996,171.029999,171.210007,408600,163.867996
"2020-11-19",169.539993,172.089996,167.649994,171.720001,312400,165.545456
"2020-11-20",171.580002,174.100006,170.949997,172.919998,415400,166.702286
"2020-11-23",174.279999,176.410004,173.520004,176.029999,407600,169.700455
"2020-11-24",178.5,180.699997,177.009995,179.059998,355600,172.621506
"2020-11-25",178.119995,178.119995,174.860001,174.960007,355400,168.66893
"2020-11-27",175.570007,177,174.190002,177,196300,170.635574
"2020-11-30",175.690002,176.910004,174.809998,175.850006,430900,169.526932
"2020-12-01",178.100006,178.410004,174.490005,175.789993,408600,169.469086
"2020-12-02",174.509995,176.380005,173.610001,176.020004,473400,169.690826
"2020-12-03",176.020004,180.259995,175.759995,177.449997,767100,171.069382
"2020-12-04",177.839996,181.229996,177.220001,181.130005,393400,174.617081
"2020-12-07",180.100006,181.639999,178.940002,179.850006,521800,173.383102
"2020-12-08",178.529999,181.800003,178.059998,180.919998,333400,174.414642
"2020-12-09",181.679993,183.229996,180.309998,182.080002,356000,175.532913
"2020-12-10",181.059998,182.229996,178.580002,180.779999,494200,174.279633
"2020-12-11",179.75,182.520004,179.75,180.779999,477100,174.279633
"2020-12-14",182.320007,182.339996,175.029999,175.179993,424100,168.881012
"2020-12-15",177.009995,177.029999,173.690002,174.940002,645300,168.649673
"2020-12-16",175.339996,175.679993,171.020004,171.919998,707100,165.738266
"2020-12-17",172,173,169.619995,171.160004,755700,165.005554
"2020-12-18",171.300003,171.710007,167.830002,169.860001,1223900,163.752319
"2020-12-21",168.009995,170.179993,165.559998,169.710007,381000,163.607712
